AFFYID	SYMBOL	LOCUS	GENENAME	p-value	WT Fold ?	p55-/-p75+/+ Fold ?	p55+/+p75-/- Fold ?	DKO Fold ?
1423799_at	Sui1-rs1	20918	suppressor of initiator codon mutations, related sequence 1 (S. cerevisiae)	0.0168	1.03	1.15	1.15	1.00
1423849_a_at	Clk3	102414	CDC-like kinase 3	0.0003	0.79	1.07	1.76	0.92
1423906_at	Hsbp1	68196	heat shock factor binding protein 1	0.0478	1.12	1.26	1.27	0.97
1423969_at	Nup37	69736	nucleoporin 37	0.0046	1.04	0.79	0.75	1.24
1423982_at	Fusip1	14105	FUS interacting protein (serine-arginine rich) 1	0.0344	0.80	0.55	0.58	0.87
1424025_at	BC013529	215751	cDNA sequence BC013529	0.0223	1.05	0.93	0.90	1.17
1424222_s_at	Rad23b	19359	RAD23b homolog (S. cerevisiae)	0.0205	1.04	0.93	0.82	0.95
1424456_at	Pvrl2	19294	poliovirus receptor-related 2	0.0015	0.71	0.97	1.00	0.82
1425036_a_at	Tnrc6	233835	trinucleotide repeat containing 6	0.0394	0.88	0.87	0.74	1.03
1425458_a_at	Grb10	14783	growth factor receptor bound protein 10	0.0300	0.93	0.87	0.89	1.05
1426129_at	Brms1	107392	breast cancer metastasis-suppressor 1	0.0002	0.92	1.99	1.03	0.66
1426242_at	Polr2a	20020	polymerase (RNA) II (DNA directed) polypeptide A	0.0461	1.39	2.09	1.76	1.48
1427060_at	Mapk3	26417	mitogen activated protein kinase 3	0.0078	0.98	1.02	1.12	0.80
1427070_at	AI481716	101113	expressed sequence AI481716	0.0178	0.52	0.77	1.11	0.75
1427161_at	Lek1	108000	leucine, glutamic acid, lysine family 1 protein	0.0375	0.75	0.93	0.93	0.74
1428306_at	Ddit4	74747	DNA-damage-inducible transcript 4	0.0098	0.90	0.71	1.12	1.73
1428315_at	Ebna1bp2	69072	EBNA1 binding protein 2	0.0414	1.11	0.83	1.09	1.35
1428372_at	St5	76954	suppression of tumorigenicity 5	0.0307	0.72	0.87	0.93	0.73
1431507_a_at	Synj2bp	24071	synaptojanin 2 binding protein	0.0387	1.19	0.91	1.03	0.99
1433497_at	Aqr	11834	aquarius	0.0019	0.90	1.09	1.12	0.76
1434434_s_at	Tcerg1	56070	transcription elongation regulator 1 (CA150)	0.0379	0.63	0.96	0.91	0.66
1435055_a_at	Tom1	21968	target of myb1 homolog (chicken)	0.0372	1.03	1.01	1.04	0.80
1436893_a_at	Axot	57438	axotrophin	0.0050	0.83	0.91	0.86	0.67
1436954_at	Waspip	215280	Wiskott-Aldrich syndrome protein interacting protein	0.0027	0.97	0.91	0.78	1.84
1438183_x_at	Sdh1	20322	sorbitol dehydrogenase 1	0.0138	0.96	1.24	1.18	0.90
1438467_at	Mgl2	216864	macrophage galactose N-acetyl-galactosamine specific lectin 2	0.0069	0.94	0.86	0.65	1.17
1443762_s_at	Mtmr13	74581	myotubularin related protein 13	0.0292	0.94	0.95	1.66	0.72
1448116_at	Ube1x	22201	ubiquitin-activating enzyme E1, Chr X	0.0044	1.04	0.98	1.18	0.88
1448124_at	Gus	110006	beta-glucuronidase	0.0021	1.09	0.91	0.97	1.28
1448537_at	Ttc1	66827	tetratricopeptide repeat domain 1	0.0466	1.20	1.73	1.27	1.01
1448610_a_at	Sod2	20656	superoxide dismutase 2, mitochondrial	0.0416	1.18	1.02	1.05	1.13
1449009_at	Tgtp	21822	T-cell specific GTPase	0.0073	0.46	0.81	0.92	0.78
1449135_at	Sox18	20672	SRY-box containing gene 18	0.0202	0.99	1.22	1.19	0.97
1449383_at	Adss	11565	adenylosuccinate synthetase, muscle	0.0070	1.17	1.11	0.86	1.52
1450138_a_at	Serpinb6a	20719	serine (or cysteine) proteinase inhibitor, clade B, member 6a	0.0122	1.10	1.01	1.08	1.25
1450865_s_at	Mrps24	64660	mitochondrial ribosomal protein S24	0.0176	1.09	1.12	1.24	0.94
1450872_s_at	Lip1	16889	lysosomal acid lipase 1	0.0395	1.16	1.18	0.89	1.20
1450969_at	Pccb	66904	propionyl Coenzyme A carboxylase, beta polypeptide	0.0064	1.06	1.12	1.23	0.79
1451310_a_at	Ctsl	13039	cathepsin L	0.0318	1.19	1.14	1.13	1.49
1451728_at	Wdr13	73447	WD repeat domain 13	0.0265	0.83	1.29	1.02	0.86
1452169_a_at	Dgkz	104418	diacylglycerol kinase zeta	0.0092	0.68	1.01	0.95	0.70
1452176_at	Nup153	218210	nucleoporin 153	0.0421	1.05	1.00	0.58	0.94
1452249_at	Prickle1	106042	prickle like 1 (Drosophila)	0.0136	0.51	0.80	0.67	0.42
1452251_at	Nbea	26422	neurobeachin	0.0194	0.72	1.11	0.82	0.64
1452344_at	Synj2	20975	synaptojanin 2	0.0356	0.46	0.56	0.54	0.42
1452828_at	Fbxo21	231670	F-box only protein 21	0.0035	0.82	1.05	1.05	0.78
1455042_at	Tbl1x	21372	transducin (beta)-like 1 X-linked	0.0313	0.70	1.02	1.02	0.87
1455955_s_at	Snx17	266781	sorting nexin 17	0.0235	0.99	1.42	1.32	1.17
1460248_at	Cpxm2	55987	carboxypeptidase X 2 (M14 family)	0.0191	1.16	0.93	1.00	1.38
1460316_at	Facl2	14081	fatty acid Coenzyme A ligase, long chain 2	0.0057	0.68	1.20	1.83	0.94
