Probesets	Symbol	Title
1418317_at	Lhx2	LIM homeobox protein 2
1418357_at	Foxg1	forkhead box G1
1418376_at	Fgf15	fibroblast growth factor 15
1418382_at	Apcdd1	adenomatosis polyposis coli down-regulated 1
1418383_at	Apcdd1	adenomatosis polyposis coli down-regulated 1
1418446_at	Slc16a2	solute carrier family 16 (monocarboxylic acid transporters), member 2
1418494_at	Ebf2	early B-cell factor 2
1418497_at	Fgf13	fibroblast growth factor 13
1418517_at	Irx3	Iroquois related homeobox 3 (Drosophila)
1418599_at	Col11a1	procollagen, type XI, alpha 1
1418615_at	Astn1	astrotactin 1
1418643_at	Tspan13	tetraspanin 13
1418664_at	Mpdz	multiple PDZ domain protein
1418690_at	Ptprz1	protein tyrosine phosphatase, receptor type Z, polypeptide 1
1418733_at	Twist1	twist gene homolog 1 (Drosophila)
1418784_at	Grik5	glutamate receptor, ionotropic, kainate 5 (gamma 2)
1418790_at	Fezf2	Fez family zinc finger 2
1418815_at	Cdh2	cadherin 2
1418860_a_at	Letmd1	LETM1 domain containing 1
1418868_at	En2	engrailed 2
1418908_at	Pam	peptidylglycine alpha-amidating monooxygenase
1418926_at	Zfhx1a	zinc finger homeobox 1a
1418941_at	Pcdhb22	protocadherin beta 22
1418953_at	Fbxo16	F-box protein 16
1418960_at	Phf20l1	PHD finger protein 20-like 1
1418967_a_at	St7	Suppression of tumorigenicity 7
1419108_at	Ophn1	oligophrenin 1
1419140_at	Acvr2b	activin receptor IIB
1419155_a_at	Sox4; LOC672274	SRY-box containing gene 4; similar to Transcription factor SOX-4
1419156_at	Sox4; LOC672274	SRY-box containing gene 4; similar to Transcription factor SOX-4
1419204_at	Dll1	delta-like 1 (Drosophila)
1419247_at	Rgs2	regulator of G-protein signaling 2
1419248_at	Rgs2	regulator of G-protein signaling 2
1419271_at	Pax6	paired box gene 6
1419380_at	Zfp423	zinc finger protein 423
1419449_a_at	Gnai2	guanine nucleotide binding protein, alpha inhibiting 2
1419583_at	Cbx4	chromobox homolog 4 (Drosophila Pc class)
1419584_at	Ttc28	tetratricopeptide repeat domain 28
1419592_at	Unc5c	unc-5 homolog C (C. elegans)
1419639_at	Efnb2	ephrin B2
1419652_s_at	2610200G18Rik	RIKEN cDNA 2610200G18 gene
1419829_a_at	Gab2	Growth factor receptor bound protein 2-associated protein 2
1419922_s_at	Atrnl1	attractin like 1
1419938_s_at	Arhgef17	Rho guanine nucleotide exchange factor (GEF) 17
1419954_s_at	Zfand3	zinc finger, AN1-type domain 3
1420110_s_at	Zfp334	zinc finger protein 334
1420377_at	St8sia2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
1420389_at	Pax3	paired box gene 3
1420422_at	Pcdhb21	protocadherin beta 21
1420621_a_at	App	amyloid beta (A4) precursor protein
1420688_a_at	Sgce	sarcoglycan, epsilon
1420695_at	Dach1	dachshund 1 (Drosophila)
1420772_a_at	Tsc22d3	TSC22 domain family 3
1420798_s_at	Pcdha4; Pcdha6; Pcdha7; Pcd...	protocadherin alpha 4; protocadherin alpha 6; protocadherin alpha 7; protocad...
1420851_at	Pard6g	par-6 partitioning defective 6 homolog gamma (C. elegans)
1420859_at	Pkia	protein kinase inhibitor, alpha
1420877_at	39331	septin 6
1420895_at	Tgfbr1	transforming growth factor, beta receptor I
1421045_at	Mrc2	mannose receptor, C type 2
1421048_a_at	Ypel1	yippee-like 1 (Drosophila)
1421072_at	Irx5	Iroquois related homeobox 5 (Drosophila)
1421133_at	Pvrl3	poliovirus receptor-related 3
1421157_at	Fzd3	frizzled homolog 3 (Drosophila)
1421180_at	Lix1	limb expression 1 homolog (chicken)
1421193_a_at	Pbx3	pre B-cell leukemia transcription factor 3
1421433_at	Zfhx4	zinc finger homeodomain 4
1421439_at	Wnt8b	wingless related MMTV integration site 8b
1421597_a_at	Msx3	homeo box, msh-like 3
1421612_a_at	H2afy3; H2afy2	H2A histone family, member Y3; H2A histone family, member Y2
1421908_a_at	Tcf12	transcription factor 12
1422073_a_at	Celsr2	cadherin EGF LAG seven-pass G-type receptor 2
1422146_at	Sema5b	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmemb...
1422165_at	Pou3f4	POU domain, class 3, transcription factor 4
1422272_at	Phxr4	per-hexamer repeat gene 4
1422293_a_at	Kctd1	potassium channel tetramerisation domain containing 1
1422431_at	Magee1	melanoma antigen, family E, 1
1422498_at	Mageh1	melanoma antigen, family H, 1
1422504_at	Glrb	glycine receptor, beta subunit
1422528_a_at	Zfp36l1	zinc finger protein 36, C3H type-like 1
1422538_at	Extl2	exotoses (multiple)-like 2
1422541_at	Ptprm	protein tyrosine phosphatase, receptor type, M
1422552_at	Rprm	reprimo, TP53 dependent G2 arrest mediator candidate
1422592_at	Ctnnd2	catenin (cadherin associated protein), delta 2
1422597_at	Mmp15	matrix metallopeptidase 15
1422625_at	Ly6h	lymphocyte antigen 6 complex, locus H
1422676_at	Smarce1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, s...
1422733_at	Fjx1	four jointed box 1 (Drosophila)
1422798_at	Cntnap2	contactin associated protein-like 2
1422818_at	Nedd9	neural precursor cell expressed, developmentally down-regulated gene 9
1422831_at	Fbn2; LOC639042	fibrillin 2; similar to fibrillin 2
1422851_at	Hmga2	high mobility group AT-hook 2
1422889_at	Pcdh18	protocadherin 18
1422890_at	Pcdh18	protocadherin 18
1422895_at	Vamp4	vesicle-associated membrane protein 4
1422945_a_at	Kif5c	kinesin family member 5C
1423055_at	Nsg1	neuron specific gene family member 1
1423061_at	Arvcf	armadillo repeat gene deleted in velo-cardio-facial syndrome
1423085_at	Efnb3	ephrin B3
1423091_a_at	Gpm6b	glycoprotein m6b
1423104_at	Irs1	insulin receptor substrate 1
1423146_at	Hes5	hairy and enhancer of split 5 (Drosophila)
1423150_at	Scg5	secretogranin V
1423213_at	Plxnc1	plexin C1
1423252_at	Hdgfrp3	hepatoma-derived growth factor, related protein 3
1423274_at	Ints6	integrator complex subunit 6
1423286_at	Cbln1	cerebellin 1 precursor protein
1423287_at	Cbln1	cerebellin 1 precursor protein
1423310_at	Tpbg	trophoblast glycoprotein
1423311_s_at	Tpbg	trophoblast glycoprotein
1423365_at	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit
1423399_a_at	Yaf2	YY1 associated factor 2
1423470_at	Ptbp2	polypyrimidine tract binding protein 2
1423477_at	Zic1	zinc finger protein of the cerebellum 1
1423484_at	Bicc1	bicaudal C homolog 1 (Drosophila)
1423488_at	Mmd	monocyte to macrophage differentiation-associated
1423489_at	Mmd	monocyte to macrophage differentiation-associated
1423499_at	Sncaip	synuclein, alpha interacting protein (synphilin)
1423503_at	Jam3	junction adhesion molecule 3
1423513_at	Neo1; E030041M21Rik	neogenin; RIKEN cDNA E030041M21 gene
1423515_at	Scn8a	sodium channel, voltage-gated, type VIII, alpha
1423537_at	Gap43	growth associated protein 43
1423561_at	Nell2	NEL-like 2 (chicken)
1423628_s_at	Pcdhgb1; Pcdhgb2; Pcdhgb4; ...	protocadherin gamma subfamily B, 1; protocadherin gamma subfamily B, 2; proto...
1423689_a_at	Gpsm1	G-protein signalling modulator 1 (AGS3-like, C. elegans)
1423690_s_at	Gpsm1	G-protein signalling modulator 1 (AGS3-like, C. elegans)
1423717_at	Ak3	adenylate kinase 3
1423756_s_at	Igfbp4	insulin-like growth factor binding protein 4
1423812_s_at	AW146242	expressed sequence AW146242
1423825_at	Gpr177	G protein-coupled receptor 177
1423835_at	Zfp503	zinc finger protein 503
1423836_at	Zfp503	zinc finger protein 503
1423895_a_at	Cugbp2	CUG triplet repeat, RNA binding protein 2
1423994_at	Kif1b	kinesin family member 1B
1424007_at	Gdf10	growth differentiation factor 10
1424029_at	Tspyl4	TSPY-like 4
1424076_at	Gdpd1	glycerophosphodiester phosphodiesterase domain containing 1
1424077_at	Gdpd1	glycerophosphodiester phosphodiesterase domain containing 1
1424086_at	D9Ucla1	DNA segment, Chr 9, University of California at Los Angeles 1
1424089_a_at	Tcf4	transcription factor 4
1424092_at		erythrocyte protein band 4.1
1424270_at	Dcamkl1	doublecortin and calcium/calmodulin-dependent protein kinase-like 1
1424271_at	Dcamkl1	doublecortin and calcium/calmodulin-dependent protein kinase-like 1
1424280_at	Mospd1	motile sperm domain containing 1
1424306_at	Elovl4	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4
1424341_s_at	Pcdha4; Pcdha6; Pcdha7; Pcd...	protocadherin alpha 4; protocadherin alpha 6; protocadherin alpha 7; protocad...
1424367_a_at	Homer2	homer homolog 2 (Drosophila)
1424373_at	Armcx3	armadillo repeat containing, X-linked 3
1424586_at	Ehbp1	EH domain binding protein 1
1424588_at	Srgap3	SLIT-ROBO Rho GTPase activating protein 3
1424634_at	Tceal1	transcription elongation factor A (SII)-like 1
1424659_at	Slit2	slit homolog 2 (Drosophila)
1424674_at	Slc39a6	solute carrier family 39 (metal ion transporter), member 6
1424755_at	Hip1	huntingtin interacting protein 1
1424817_at	Spef1	sperm flagellar 1
1424859_at	Homer3	homer homolog 3 (Drosophila)
1424863_a_at	Hipk2	homeodomain interacting protein kinase 2
1424886_at	Ptprd	protein tyrosine phosphatase, receptor type, D
1424925_at	Sec63	SEC63-like (S. cerevisiae)
1424950_at	Sox9	SRY-box containing gene 9
1424970_at	Purg	purine-rich element binding protein G
1425016_at	Ephb2	Eph receptor B2
1425022_at	Usp3	ubiquitin specific peptidase 3
1425023_at	Usp3	ubiquitin specific peptidase 3
1425270_at	Kif1b	kinesin family member 1B
1425281_a_at	Tsc22d3	TSC22 domain family 3
1425314_at	Gpr98	G protein-coupled receptor 98
1425315_at	Dock7	dedicator of cytokinesis 7
1425452_s_at	Ptprj; AW125753	protein tyrosine phosphatase, receptor type, J; expressed sequence AW125753
1425475_at	Col4a5	procollagen, type IV, alpha 5
1425476_at	Col4a5	procollagen, type IV, alpha 5
1425483_at	Tox	thymocyte selection-associated HMG box gene
1425484_at	Tox	thymocyte selection-associated HMG box gene
1425505_at	Mylk	myosin, light polypeptide kinase
1425506_at	Mylk	myosin, light polypeptide kinase
1425510_at	Mark1	MAP/microtubule affinity-regulating kinase 1
1425528_at	Prrx1	paired related homeobox 1
1425539_a_at	Rtn3	reticulon 3
1425575_at	Epha3	Eph receptor A3
1425597_a_at	Qk	quaking
1425601_a_at	Rtkn	rhotekin
1425679_a_at	Mapk8ip1	mitogen activated protein kinase 8 interacting protein 1
1425784_a_at	Olfm1	olfactomedin 1
1425896_a_at	Fbn1	fibrillin 1
1425983_x_at	Hipk2	homeodomain interacting protein kinase 2
1426024_a_at	Dbn1	drebrin 1
1426207_at	Ikbkb	inhibitor of kappaB kinase beta
1426208_x_at	Plagl1	pleiomorphic adenoma gene-like 1
1426218_at	Glcci1	glucocorticoid induced transcript 1
1426288_at	Lrp4	low density lipoprotein receptor-related protein 4
1426298_at	Irx2	Iroquois related homeobox 2 (Drosophila)
1426300_at	Alcam	activated leukocyte cell adhesion molecule
1426301_at	Alcam	activated leukocyte cell adhesion molecule
1426363_x_at	H2afy2	H2A histone family, member Y2
1426442_at	Gpm6a	glycoprotein m6a
1426448_at	Pja1	praja1, RING-H2 motif containing
1426449_a_at	Pja1	praja1, RING-H2 motif containing
1426450_at	Plcl2	phospholipase C-like 2
1426531_at	Zmynd11	zinc finger, MYND domain containing 11
1426562_a_at	Olfm1	olfactomedin 1
1426640_s_at	Trib2	tribbles homolog 2 (Drosophila)
1426680_at	Sepn1	selenoprotein N, 1
1426708_at	Antxr2	anthrax toxin receptor 2
1426756_at	Galnt2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransfer...
1426766_at	6330403K07Rik	RIKEN cDNA 6330403K07 gene
1426767_at	3230401M21Rik	RIKEN cDNA 3230401M21 gene
1426782_at	Gpr125	G protein-coupled receptor 125
1426850_a_at	Map2k6	mitogen activated protein kinase kinase 6
1426864_a_at	Ncam1	neural cell adhesion molecule 1
1426865_a_at	Ncam1	neural cell adhesion molecule 1
1426869_at	Boc	biregional cell adhesion molecule-related/down-regulated by oncogenes (Cdon) ...
1426896_at	Zfp191	zinc finger protein 191
1426934_at	Nhsl1	NHS-like 1
1426938_at	Nova1; LOC664883	neuro-oncological ventral antigen 1; similar to neuro-oncological ventral ant...
1426965_at	Rap2a	RAS related protein 2a
1426976_at	Usp47	ubiquitin specific peptidase 47
1426987_at	5430417L22Rik	RIKEN cDNA 5430417L22 gene
1426998_at	Zfand3	zinc finger, AN1-type domain 3
1427017_at	Satb2	special AT-rich sequence binding protein 2
1427019_at	Ptprz1	protein tyrosine phosphatase, receptor type Z, polypeptide 1
1427050_at	5730420B22Rik	RIKEN cDNA 5730420B22 gene
1427108_at	9530068E07Rik	RIKEN cDNA 9530068E07 gene
1427123_s_at	Copg2as2	coatomer protein complex, subunit gamma 2, antisense 2
1427139_at	Adamts10	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin...
1427233_at	Tshz1	teashirt zinc finger family member 1
1427246_at	Magi1	membrane associated guanylate kinase, WW and PDZ domain containing 1
1427288_at	Apba2	amyloid beta (A4) precursor protein-binding, family A, member 2
1427320_at	Copg2as2	coatomer protein complex, subunit gamma 2, antisense 2
1427384_at	Chd6	chromodomain helicase DNA binding protein 6
1427442_a_at	App	amyloid beta (A4) precursor protein
1427516_a_at	Boc	biregional cell adhesion molecule-related/down-regulated by oncogenes (Cdon) ...
1427560_at	Six5	sine oculis-related homeobox 5 homolog (Drosophila)
1427670_a_at	Tcf12	transcription factor 12
1427677_a_at	Sox6	SRY-box containing gene 6
1427934_at	2610208E05Rik	RIKEN cDNA 2610208E05 gene
1427982_s_at	Syne2	synaptic nuclear envelope 2
1428011_a_at	Erbb2ip	Erbb2 interacting protein
1428077_at	Tmem163	transmembrane protein 163
1428097_at	2510009E07Rik	RIKEN cDNA 2510009E07 gene
1428103_at	---	---
1428107_at	Sh3bgrl	SH3-binding domain glutamic acid-rich protein like
1428108_x_at	Tmcc2	transmembrane and coiled-coil domains 2
1428122_s_at	2610528K11Rik	RIKEN cDNA 2610528K11 gene
1428223_at	Mfsd2	major facilitator superfamily domain containing 2
1428286_at	---	---
1428367_at	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
1428392_at	Rassf2	Ras association (RalGDS/AF-6) domain family 2
1428412_at	Tm9sf3	transmembrane 9 superfamily member 3
1428433_at	Hipk2	homeodomain interacting protein kinase 2
1428466_at	Chd3	chromodomain helicase DNA binding protein 3
1428540_at	3321401G04Rik	RIKEN cDNA 3321401G04 gene
1428541_at	3321401G04Rik	RIKEN cDNA 3321401G04 gene
1428564_at	Zfp579	zinc finger protein 579
1428603_at	Glcci1	glucocorticoid induced transcript 1
1428653_x_at	Elavl1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)
1428681_at	Gm608	gene model 608, (NCBI)
1428718_at	Scrn1	secernin 1
1428739_at	2310040A07Rik	RIKEN cDNA 2310040A07 gene
1428774_at	Gpc6	glypican 6
1428791_at	Ube2h	ubiquitin-conjugating enzyme E2H
1428808_at	Prickle2	prickle-like 2 (Drosophila)
1428866_at	2810037O22Rik	RIKEN cDNA 2810037O22 gene
1428871_at	4121402D02Rik	RIKEN cDNA 4121402D02 gene
1428872_at	4121402D02Rik	RIKEN cDNA 4121402D02 gene
1428873_a_at	4121402D02Rik	RIKEN cDNA 4121402D02 gene
1428875_at	Golph4	golgi phosphoprotein 4
1428902_at	Chst11	carbohydrate sulfotransferase 11
1428917_at	Stx17	syntaxin 17
1428922_at	1200009O22Rik	RIKEN cDNA 1200009O22 gene
1428940_at	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
1428967_at	Igf1r	insulin-like growth factor I receptor
1429005_at	Mfhas1	malignant fibrous histiocytoma amplified sequence 1
1429051_s_at	Sox11	SRY-box containing gene 11
1429052_at	Ptprd	protein tyrosine phosphatase, receptor type, D
1429084_at	Vezf1	vascular endothelial zinc finger 1
1429085_at	Vezf1	vascular endothelial zinc finger 1
1429106_at	4921509J17Rik	RIKEN cDNA 4921509J17 gene
1429138_at	Npas3	neuronal PAS domain protein 3
1429163_at	Dchs1	dachsous 1 (Drosophila)
1429178_at	Odz3	odd Oz/ten-m homolog 3 (Drosophila)
1429204_at	Camk2n2	calcium/calmodulin-dependent protein kinase II inhibitor 2
1429205_at	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosop...
1429206_at	Rhobtb1	Rho-related BTB domain containing 1
1429265_a_at	Rnf130	ring finger protein 130
1429269_at	BC068157	cDNA sequence BC068157
1429293_at	Gpc2	glypican 2 (cerebroglycan)
1429310_at	Flrt3	fibronectin leucine rich transmembrane protein 3
1429372_at	Sox11	SRY-box containing gene 11
1429401_at	Stox2	storkhead box 2
1429410_at	Eny2	enhancer of yellow 2 homolog (Drosophila)
1429506_at	Nkd1; LOC634379; LOC671838	naked cuticle 1 homolog (Drosophila); similar to naked cuticle 1 homolog; sim...
1429539_at	Bcl2l13	BCL2-like 13 (apoptosis facilitator)
1429718_at	Slitrk5	SLIT and NTRK-like family, member 5
1429749_at	9330180L21Rik	RIKEN cDNA 9330180L21 gene
1429761_at	Rtn1	reticulon 1
1429782_at	Grcc10	gene rich cluster, C10 gene
1429809_at	Tmtc2	transmembrane and tetratricopeptide repeat containing 2
1429839_a_at	Yaf2	YY1 associated factor 2
1429841_at	Megf10	multiple EGF-like-domains 10
1429857_at	2900092D14Rik	RIKEN cDNA 2900092D14 gene
1429910_at	5730499H23Rik	RIKEN cDNA 5730499H23 gene
1429951_at	Ssbp2	single-stranded DNA binding protein 2
1429965_at	Lonrf2	LON peptidase N-terminal domain and ring finger 2
1430038_at	Gphn	gephyrin
1430127_a_at	Ccnd2	cyclin D2
1430187_at	Zfp60	zinc finger protein 60
1430335_a_at	Pax3	paired box gene 3
1430393_at	2510017J16Rik	RIKEN cDNA 2510017J16 gene
1430415_at	Phf6	PHD finger protein 6
1430526_a_at	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, s...
1430583_at	C130076O07Rik	RIKEN cDNA C130076O07 gene
1430791_at	6330415B21Rik	RIKEN cDNA 6330415B21 gene
1431017_at	Rcbtb2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing p...
1431225_at	Sox11	SRY-box containing gene 11
1431226_a_at	Fndc4	fibronectin type III domain containing 4
1431326_a_at	Tmod2	tropomodulin 2
1431340_a_at	2310002J21Rik	RIKEN cDNA 2310002J21 gene
1431826_a_at	Brsk2	BR serine/threonine kinase 2
1431880_at	3100003M19Rik	RIKEN cDNA 3100003M19 gene
1431890_a_at	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosop...
1432750_at	2810409C01Rik	RIKEN cDNA 2810409C01 gene
1433481_at	Fkbp14	FK506 binding protein 14
1433509_s_at	Reep1	receptor accessory protein 1
1433648_at	Spag9	sperm associated antigen 9
1433662_s_at	Timp2	tissue inhibitor of metalloproteinase 2
1433743_at	Dach1	dachshund 1 (Drosophila)
1433770_at	Dpysl2	dihydropyrimidinase-like 2
1433812_at	Lix1l	Lix1-like
1433855_at	Abat	4-aminobutyrate aminotransferase
1433864_at	Lrp12	low density lipoprotein-related protein 12
1433884_at	Syt1	synaptotagmin I
1433943_at	BC063749	cDNA sequence BC063749
1433954_at	4632419I22Rik	RIKEN cDNA 4632419I22 gene
1433968_a_at	---	---
1433977_at	Hs3st3b1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1
1433979_at	Rbms2	RNA binding motif, single stranded interacting protein 2
1433995_s_at	D16Bwg1543e	DNA segment, Chr 16, Brigham & Womens Genetics 1543 expressed
1434028_at	Arnt2	aryl hydrocarbon receptor nuclear translocator 2
1434106_at	Epm2aip1	EPM2A (laforin) interacting protein 1
1434148_at	Tcf4	transcription factor 4
1434149_at	Tcf4	transcription factor 4
1434210_s_at	Lrig1	leucine-rich repeats and immunoglobulin-like domains 1
1434223_at	1810007P19Rik	RIKEN cDNA 1810007P19 gene
1434232_a_at	2610030H06Rik	RIKEN cDNA 2610030H06 gene
1434264_at	Ank2	ankyrin 2, brain
1434265_s_at	Ank2	ankyrin 2, brain
1434285_at	Frmd4a	FERM domain containing 4A
1434291_a_at	Serf1	small EDRK-rich factor 1
1434316_at	Chsy1	carbohydrate (chondroitin) synthase 1
1434331_at	Eif2c1	eukaryotic translation initiation factor 2C, 1
1434361_at	Sh3px3	SH3 and PX domain containing 3
1434378_a_at	Mxd4	Max dimerization protein 4
1434423_at	---	---
1434427_a_at	Rnf157	ring finger protein 157
1434439_at	Gsk3b	glycogen synthase kinase 3 beta
1434446_at	D630014A15Rik	RIKEN cDNA D630014A15 gene
1434465_x_at	Vldlr	very low density lipoprotein receptor
1434481_at	4121402D02Rik	RIKEN cDNA 4121402D02 gene
1434498_at	Gm1673	gene model 1673, (NCBI)
1434572_at	Hdac9	histone deacetylase 9
1434639_at	Kbtbd9	kelch repeat and BTB (POZ) domain containing 9
1434645_at	C530008M17Rik	RIKEN cDNA C530008M17 gene
1434679_at	Cspg3	chondroitin sulfate proteoglycan 3
1434683_at	Cutl1	Cut-like 1 (Drosophila)
1434723_at	AI426748	expressed sequence AI426748
1434728_at	Gria3	glutamate receptor, ionotropic, AMPA3 (alpha 3)
1434745_at	Ccnd2	cyclin D2
1434776_at	---	---
1434777_at	Mycl1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)
1434788_at	D930050A07Rik	RIKEN cDNA D930050A07 gene
1434825_at	LOC381742	similar to CAGL79
1434856_at	Ankrd44	ankyrin repeat domain 44
1434881_s_at	Kctd12	potassium channel tetramerisation domain containing 12
1434920_a_at	Evl	Ena-vasodilator stimulated phosphoprotein
1434921_at	Nr2e1	nuclear receptor subfamily 2, group E, member 1
1434924_at	Phf2	PHD finger protein 2
1434957_at	Cdon	cell adhesion molecule-related/down-regulated by oncogenes
1434990_at	Ppm1e	protein phosphatase 1E (PP2C domain containing)
1435008_at	Slc9a6	solute carrier family 9 (sodium/hydrogen exchanger), isoform 6
1435018_at	5930434B04Rik	RIKEN cDNA 5930434B04 gene
1435020_at	Sdccag1	serologically defined colon cancer antigen 1
1435060_at	Tmod2	tropomodulin 2
1435083_at	Ctxn1	cortexin 1
1435087_at	BC039093	cDNA sequence BC039093
1435113_x_at	Stmn3	stathmin-like 3
1435120_at	---	Transcribed locus
1435136_at	Whsc1	Wolf-Hirschhorn syndrome candidate 1 (human)
1435167_at	Ranbp6	RAN binding protein 6
1435195_at	Vash1	vasohibin 1
1435197_at	Pou3f3	POU domain, class 3, transcription factor 3
1435203_at	Man2a2	mannosidase 2, alpha 2
