Symbol	Description	Ratio P7/P2	Ratio P14/P7	Function
Myl1	Myosin, light polypeptide 1	3.52	0.27	Cytoskeleton and cytoskeleton binding
Kif22	Kinesin family member 22	2.86	0.41	Cytoskeleton and cytoskeleton binding
Hk2	Hexokinase 2	8.16	0.29	Cell metabolism
Tyms	Thymidylate synthase	5.93	0.16	Cell metabolism
Klk1b1	Kallikrein 1ñrelated peptidase b1	4.38	0.27	Cell metabolism
Tk1	Thymidine kinase 1	3.72	0.22	Cell metabolism
Usp1	Ubiquitin-specific peptdiase 1	3.6	0.34	Cell metabolism
Rrm2	Ribonucleotide reductase M2	3.52	0.15	Cell metabolism
Ttk	Ttk protein kinase	3.39	0.29	Cell metabolism
Ddah2	Dimethylarginine dimethylaminohydrolase 2	3.07	0.5	Cell metabolism
Klk1	Kallikrein 1	2.9	0.36	Cell metabolism
Mcm3	Minichromosome maintenance.deficient 3 (S. cerevisiae)	6.28	0.12	RNA metabolism, transcription machinery, and polymerase
Tgif	TG interacting factor	4.86	0.17	RNA metabolism, transcription machinery, and polymerase
Hmgb2	High mobility group box 2	4.61	0.16	RNA metabolism, transcription machinery, and polymerase
Fignl1	Fidgetin-like 1	4.36	0.11	RNA metabolism, transcription machinery, and polymerase
Ezh2	Enhancer of zeste homolog 2 (Drosophila)	4.35	0.25	RNA metabolism, transcription machinery, and polymerase
Mcm5	Minichromosome maintenance.deficient 5, cell division cycle 46 (S. cerevisiae)	4.01	0.17	RNA metabolism, transcription machinery, and polymerase
Mcm7	Minichromosome maintenance.deficient 7 (S. cerevisiae)	3.97	0.22	RNA metabolism, transcription machinery, and polymerase
Mcm4	Minichromosome maintenance.deficient 4 homolog (S. cerevisiae)	3.55	0.25	RNA metabolism, transcription machinery, and polymerase
Mcm2	Minichromosome maintenance.deficient 2 mitotin (S. cerevisiae)	3.37	0.25	RNA metabolism, transcription machinery, and polymerase
Pola1	Polymerase (DNA-directed), alpha 1	3.07	0.26	RNA metabolism, transcription machinery, and polymerase
Nt5dc2	5Åå-Nucleotidase domain containing 2	3.01	0.3	RNA metabolism, transcription machinery, and polymerase
Mcm10	Minichromosome maintenance.deficient 10 (S. cerevisiae)	2.94	0.35	RNA metabolism, transcription machinery, and polymerase
Nsbp1	Nucleosome binding protein 1	2.71	0.26	RNA metabolism, transcription machinery, and polymerase
Recc1	Replication factor C 1	2.62	0.59	RNA metabolism, transcription machinery, and polymerase
Sfrs1	Splicing factor, arginine/serine.rich 1 (ASF/SF2)	2.6	0.2	RNA metabolism, transcription machinery, and polymerase
Solt	SoxLZ/Sox6 leucine zipper binding protein in testis	2.52	0.36	RNA metabolism, transcription machinery, and polymerase
Csnk2a1	Casein kinase II, alpha 1 polypeptide	4.42	0.29	Signal transduction and kinases
Map3k1	Mitogen-activated protein kinase kinase kinase 1	4.39	0.36	Signal transduction and kinases
Aurka	Aurora kinase A	4.27	0.22	Signal transduction and kinases
Prkcn	Protein kinase C, nu	3.96	0.35	Signal transduction and kinases
Rnd2	Rho family GTPase 2	3.28	0.49	Signal transduction and kinases
Rab3d	RAB3D, member RAS oncogene family	3.27	0.49	Signal transduction and kinases
Sstr2	Somatostatin receptor 2	3.23	0.31	Signal transduction and kinases
Plk1	Polo-like kinase 1 (Drosophila)	3.08	0.35	Signal transduction and kinases
Plk4	Polo-like kinase 4 (Drosophila)	2.89	0.22	Signal transduction and kinases
Igfbpl1	Insulin-like growth factor binding protein.like 1	9.07	0.2	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Sema7a	Sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	8.81	0.45	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Sstr2	Somatostatin receptor 2	6.98	0.15	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Slc29a1	Solute carrier family 29 (nucleoside transporters), member 1	6.27	0.36	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Tmem123	Transmembrane protein 123	4.78	0.58	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Vps37b	Vacuolar protein sorting 37B (yeast)	4.61	0.49	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Plp2	Proteolipid protein 2	4.19	0.17	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Tmpo	Thymopoietin	3.95	0.06	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Kcne1l	Potassium voltage-gated channel, Isk-related family, member 1.like	3.45	0.35	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Lbr	Lamin B receptor	3.4	0.5	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Clic1	Chloride intracellular channel 1	3.17	0.34	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Cxcr4	Chemokine (C-X-C motif) receptor 4	2.74	0.28	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Cd63	Cd63 antigen	2.63	0.42	Membrane structure and functions, receptors and ligands, secretion, and ion channels
Sfrp1	Secreted frizzled.related sequence protein 1	5.39	0.21	WNT.Shh pathways
Fzd2	Frizzled homolog 2 (Drosophila)	3.12	0.21	WNT.Shh pathways
Smc2l1	SMC2 structural maintenance of chromosomes 2.like 1 (yeast)	5.99	0.17	Nuclear protein
Nde1	Nuclear distribution gene E homolog 1 (Aspergillus nidulans)	5.93	0.4	Nuclear protein
Smc4l1	SMC4 structural maintenance of chromosomes 4.like 1 (yeast)	5.81	0.21	Nuclear protein
Top2a	Topoisomerase (DNA) II alpha	5.74	0.13	Nuclear protein
Lmnb1	Lamin B1	5.38	0.06	Nuclear protein
Smarca5	SWI/SNF.related, matrix-associated, actin-dependent regulator of chromatin, subfamily a, member 5	2.95	0.36	Nuclear protein
H2afv	H2A histone family, member V	2.94	0.48	Nuclear protein
C79407	Expressed sequence C79407	2.83	0.41	Nuclear protein
Rad51	RAD51 homolog (S. cerevisiae)	2.75	0.35	Nuclear protein
AI506816	Expressed sequence AI506816	5.99	0.15	Others
Prc1	Protein regulator of cytokinesis 1	5.15	0.15	Others
Spata13	Spermatogenesis-associated 13	5.01	0.55	Others
Trim59	Tripartite motif.containing 59	4.51	0.23	Others
Dtl	Denticleless homolog (Drosophila)	4.35	0.25	Others
Tera	Teratocarcinoma-expressed, serine-rich	3.38	0.26	Others
Anp32e	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	3.31	0.28	Others
Racgap1	Rac GTPase.activating protein 1	3.01	0.2	Others
Nedd1	Neural precursor cell expressed, developmentally downregulated gene 1	2.96	0.33	Others
