Gen Symbol	Fold Change	Log Odds
Cdh1	-1.72	3.84
Cldn2	-1.72	5.63
Stard10	-1.73	6.24
Bglap-rs1	-1.74	4.85
Myo15b	-1.74	7.50
Rnf186	-1.74	4.03
Ak3l1	-1.74	6.66
Centd1	-1.74	7.95
Ern2	-1.74	7.02
Sema4g	-1.75	5.07
Cftr	-1.75	7.39
Fut9	-1.75	5.34
Spint2	-1.76	4.18
Slc39a11	-1.76	8.01
Mep1b	-1.78	5.17
Foxa2	-1.78	6.84
Papss2	-1.78	4.32
Trim2	-1.78	6.06
Maoa	-1.78	5.67
Tubb5	-1.79	6.91
Atp2c2	-1.80	7.60
Vamp3	-1.80	3.76
Satb2	-1.80	6.57
Myo5c	-1.81	5.51
Pp11r	-1.81	5.13
Anxa8	-1.81	6.46
Gne	-1.81	6.02
Igh-V7183	-1.82	7.07
Ctnnbip1	-1.82	5.03
Krt84	-1.82	4.41
Sectm1b	-1.82	6.46
Pcdhb9	-1.83	5.60
Myo5b	-1.84	6.88
Kcne3	-1.84	6.19
Cmpk	-1.84	8.69
Baiap2l1	-1.84	7.46
Hmgcr	-1.84	3.49
Rab3d	-1.85	5.61
Rab25	-1.85	7.74
Scin	-1.85	7.63
Gjb6	-1.85	3.38
Gyk	-1.85	6.34
Klk10	-1.86	3.59
Cdx1	-1.86	7.91
Cd177	-1.86	7.96
Gbp1	-1.86	7.38
Hod	-1.87	5.11
Hpgd	-1.87	6.92
Lypd3	-1.87	4.86
Ceacam10	-1.88	4.98
Ly6g6c	-1.88	4.80
Sfn	-1.88	4.47
B3gnt5	-1.89	6.09
Tmprss4	-1.89	6.87
Chgb	-1.89	7.34
Tacstd2	-1.89	6.72
Thrap4	-1.90	6.52
Lgals12	-1.91	3.86
Col11a1	-1.91	7.45
Birc1a	-1.91	7.81
Mfsd4	-1.91	8.83
Sqle	-1.91	5.12
Il1f8	-1.91	5.48
Slc16a1	-1.92	3.25
Krt17	-1.92	4.59
Eaf2	-1.93	5.89
Cbr3	-1.93	5.75
Setd4	-1.94	8.14
Igl-V1	-1.94	9.26
Mep1a	-1.95	8.59
Aqp9	-1.95	8.77
Galnt6	-1.95	5.91
Gna14	-1.96	9.51
Mansc1	-1.97	4.60
Fdps	-1.97	7.59
Ldlr	-1.98	3.74
Padi4	-1.98	4.78
Cldn8	-1.98	7.16
Ehf	-1.98	4.87
Eps8l3	-1.99	8.49
F3	-2.00	3.90
Glo1	-2.00	8.81
Cldn3	-2.00	4.52
Polr3g	-2.00	4.53
Gipc2	-2.01	3.97
Gcat	-2.01	8.98
Npal2	-2.01	8.91
Sprr1b	-2.02	3.43
Ela1	-2.02	5.70
Dsg2	-2.03	3.73
Sqrdl	-2.04	6.58
Sult1b1	-2.04	9.86
Plscr1	-2.04	6.50
Thbs4	-2.05	6.00
Ndufv1	-2.05	5.16
Cyp4a12	-2.05	3.66
Atp2a3	-2.06	8.42
Tmem30b	-2.07	6.78
Mal2	-2.08	4.82
Fbp2	-2.11	7.33
Dynlt1	-2.13	9.45
Selenbp1	-2.14	7.75
Hmgcs1	-2.15	6.57
C1galt1	-2.17	8.69
Mt4	-2.18	9.24
Cyp51	-2.18	9.64
Dsc2	-2.18	5.77
Galnt4	-2.19	9.11
Agtr2	-2.20	6.48
Ceacam1	-2.21	3.69
Creb3l4	-2.21	7.95
Cd2ap	-2.21	5.20
Galnt7	-2.23	5.38
Mucdhl	-2.24	7.67
Gpx2	-2.26	7.09
Sc4mol	-2.27	6.95
Fgfbp1	-2.27	8.39
Tmprss8	-2.27	9.68
Nans	-2.28	9.03
Rab27b	-2.30	8.03
Akr1c12	-2.31	6.36
Ddc	-2.31	8.78
Ace2	-2.31	10.68
Clrn3	-2.32	10.91
Tst	-2.33	8.36
Sprr2h	-2.33	7.12
Fdft1	-2.34	9.53
Expi	-2.34	6.48
Golph2	-2.35	6.55
Slc5a8	-2.42	10.79
Cgref1	-2.44	10.59
Wfdc5	-2.46	9.65
Serpinb5	-2.47	11.65
Abp1	-2.47	10.26
Idi1	-2.47	8.09
Mup4	-2.48	9.57
Ces2	-2.49	9.08
Lpo	-2.49	8.54
Ckmt1	-2.50	11.63
Akr1c18	-2.51	10.83
Tacstd1	-2.51	7.73
Acsm3	-2.52	9.55
Gsta1	-2.53	2.65
Aqp8	-2.54	9.99
Pglyrp1	-2.55	3.03
Fxyd4	-2.56	8.80
Hnf4a	-2.63	11.28
Ckmt1	-2.64	8.60
Atp1b1	-2.64	7.77
Ifi202b	-2.66	6.91
ORF9	-2.67	9.36
Prss32	-2.72	12.27
Mboat1	-2.75	10.91
Slurp1	-2.76	10.50
Krt18	-2.78	6.64
Hrnr	-2.79	9.65
Angptl7	-2.80	10.69
Fcgbp	-2.80	4.61
Spon1	-2.81	9.40
S100a8	-2.83	11.86
Vil1	-2.86	11.80
Sprr2i	-2.87	8.89
Padi1	-2.88	6.67
Cntn1	-2.88	6.07
Cxcl15	-2.91	3.48
Ugt2b34	-2.96	11.49
Adamdec1	-2.97	13.11
Tm4sf20	-2.97	12.58
Cdh17	-2.97	12.23
Slc6a14	-2.99	8.42
Insl5	-3.02	9.25
Slc44a4	-3.02	10.45
Qscn6	-3.04	9.27
Aqp4	-3.05	11.25
Spdef	-3.06	12.92
Serpinb2	-3.11	8.36
Pla2g10	-3.14	11.03
Serpinb7	-3.19	7.66
Hoxb13	-3.37	11.68
Sult1d1	-3.38	10.15
Isg20	-3.47	9.53
Has2	-3.47	9.80
Avil	-3.52	9.64
Cyp2c55	-3.62	13.06
Car4	-3.77	12.10
Krt8	-4.14	3.29
Ifi203	-4.15	7.04
Ms4a8a	-4.17	13.57
H2-Eb1	-4.39	15.46
Serpinb11	-4.48	10.49
Clec2h	-4.49	12.10
Tspan1	-4.50	6.39
Pigr	-4.52	3.60
Muc13	-4.72	14.45
Hao3	-4.82	14.92
Slc26a3	-5.27	14.35
Ubtf	-5.42	6.22
Gp2	-5.71	15.46
Spink4	-6.11	15.43
Reg4	-6.23	14.46
Guca2a	-6.34	10.75
Igk-V28	-7.36	11.74
Igj	-8.55	14.26
Klk1	-8.66	13.39
H2-Ea	-9.32	13.83
H2-D1	-9.98	14.80
Dmbt1	-10.10	11.04
Sval1	-10.36	17.39
Igk-C	-10.41	13.50
Spink3	-10.68	15.10
Sycn	-11.06	13.75
Car1	-11.44	16.97
Igh-VJ558	-11.63	11.01
Saa1	-13.03	14.02
Itlna	-13.07	13.72
Muc3	-13.55	13.04
Tff1	-14.95	9.39
Tff3	-16.66	15.57
Lgals4	-22.41	13.85
Muc5b	-33.41	9.31
Agr2	-46.73	6.88
