Unigene	Gene name	Symbol	Hypoxia	AdCA5	Function
Hs.434375	Protein tyrosine phosphatase, receptor type, B	PTPRB	2.1	2.5	Receptors
Hs.371974	Activin A receptor, type IB	ACVR1B	2	2.4	Receptors
Hs.198288	Protein tyrosine phosphatase, receptor type, R	PTPRR	5.1	2.3	Receptors
Hs.434375	Protein tyrosine phosphatase, receptor type, B	PTPRB	2.6	2.2	Receptors
Hs.17109	Integral membrane protein 2A	ITM2A	1.8	1.8	Receptors
Hs.127826	Erythropoietin receptor	EPOR	1.7	1.8	Receptors
Hs.334131	Cadherin 2, type 1, N-cadherin (neuronal)	CDH2	1.6	1.8	Receptors
Hs.51233	TNF receptor superfamily, member 10b	TNFRSF10B	1.6	1.7	Receptors
Hs.279899	TNF receptor superfamily, member 14	TNFRSF14	1.5	1.7	Receptors
Hs.170129	Opsin 3 (encephalopsin, panopsin)	OPN3	1.5	1.6	Receptors
Hs.23581	Leptin receptor	LEPR	2.6	1.6	Receptors
Hs.75216	Protein tyrosine phosphatase, receptor type, F	PTPRF	1.7	1.5	Receptors
Hs.512235	Inositol 1,4,5-triphosphate receptor, type 2	ITPR2	1.8	1.5	Receptors
Hs.83341	AXL receptor tyrosine kinase	AXL	1.5	1.5	Receptors
Hs.23581	Leptin receptor	LEPR	1.6	1.5	Receptors
Hs.211569	G protein—coupled receptor kinase 5	GRK5	1.5	1.5	Receptors
Hs.106070	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C	3.6	17.2	Other signal transduction
Hs.512298	Phospholipase C, gamma 2	PLCG2	2.1	4.8	Other signal transduction
Hs.200598	AMP-activated protein kinase family member 5	ARK5	1.5	4.5	Other signal transduction
Hs.287460	PDZ domain containing 3	PDZK3	4.4	4.2	Other signal transduction
Hs.106070	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C	1.6	3.9	Other signal transduction
Hs.213840	Ectonucleotide pyrophosphatase/phosphodiesterase 1	ENPP1	2.6	3.5	Other signal transduction
Hs.458389	SPRY domain-containing SOCS box protein SSB-1	SSB1	1.6	3	Other signal transduction
Hs.298654	Dual specificity phosphatase 6	DUSP6	2.3	2.9	Other signal transduction
Hs.44038	Pellino homolog 2	PELI2	1.9	2.8	Other signal transduction
Hs.301664	Ribosomal protein S6 kinase, 90 kDa, polypeptide 2	RPS6KA2	1.7	2.7	Other signal transduction
Hs.10862	Adenylate kinase 3	AK3	5.7	2.6	Other signal transduction
Hs.15099	Rho-related BTB domain containing 1	RHOBTB1	1.6	2.6	Other signal transduction
Hs.288196	Calcium/calmodulin-dependent serine protein kinase	CASK	1.5	2.6	Other signal transduction
Hs.173380	CK2 interacting protein 1	CKIP-1	1.5	2.3	Other signal transduction
Hs.82294	Regulator of G-protein signaling 3	RGS3	1.9	2.3	Other signal transduction
Hs.112378	LIM and senescent cell antigen-like domains 1	LIMS1	1.6	2.2	Other signal transduction
Hs.10862	Adenylate kinase 3	AK3	3.8	2.1	Other signal transduction
Hs.80905	Ras association (RalGDS/AF-6) domain family 2	RASSF2	1.5	1.8	Other signal transduction
Hs.299883	FAD104	FAD104	1.6	1.8	Other signal transduction
Hs.446403	WAS protein family, member 2	WASF2	1.6	1.8	Other signal transduction
Hs.110571	Growth arrest and DNA-damage-inducible, beta	GADD45B	2.3	1.7	Other signal transduction
Hs.13291	Cyclin G2	CCNG2	1.5	1.7	Other signal transduction
Hs.129836	Cyclin-dependent kinase (CDC2-like) 11	CDK11	1.5	1.7	Other signal transduction
Hs.367689	Triple functional domain (PTPRF interacting)	TRIO	1.5	1.7	Other signal transduction
Hs.301664	Ribosomal protein S6 kinase, 90 kDa, polypeptide 2	RPS6KA2	1.7	1.6	Other signal transduction
Hs.9651	Related RAS viral (r-ras) oncogene homolog	RRAS	2.1	1.6	Other signal transduction
Hs.301242	Myocytic induction/differentiation originator	MIDOR1	1.9	1.5	Other signal transduction
Hs.497972	FK506 binding protein 9, 63 kDa	FKBP9	1.5	1.5	Other signal transduction
Hs.460889	V-maf oncogene homolog F	MAFF	2.1	5	Transcription factors
Hs.387667	Peroxisome proliferative activated receptor, gamma	PPARG	16.8	3.9	Transcription factors
Hs.232068	Transcription factor 8	TCF8	1.7	3.3	Transcription factors
Hs.321707	Jumonji domain containing 1	JMJD1	2.1	3.1	Transcription factors
Hs.511938	Zinc finger and BTB domain containing 1	ZBTB1	1.7	2.9	Transcription factors
Hs.420830	Hypoxia-inducible factor 3, alpha subunit	HIF3A	1.6	2.7	Transcription factors
Hs.357901	SRY (sex-determining region Y)-box 4	SOX4	1.7	2.3	Transcription factors
Hs.171825	Basic helix-loop-helix domain containing, class B, 2	BHLHB2	3.4	2.3	Transcription factors
Hs.324051	RelA-associated inhibitor	RAI	2.8	2.1	Transcription factors
Hs.321164	Neuronal PAS domain protein 2	NPAS2	1.6	2.1	Transcription factors
Hs.436100	Notch homolog 4	NOTCH4	2.6	2.1	Transcription factors
Hs.118630	MAX interacting protein 1	MXI1	3	2	Transcription factors
Hs.415033	Myocyte enhancer factor 2A	MEF2A	1.8	2	Transcription factors
Hs.406491	Transducin-like enhancer of split 1 homolog	TLE1	1.5	1.9	Transcription factors
Hs.75063	HIV-1 enhancer binding protein 2	HIVEP2	1.8	1.9	Transcription factors
Hs.318517	Transcription factor 7-like 1	TCF7L1	1.8	1.9	Transcription factors
Hs.448341	Zinc finger protein 292	ZNF292	1.9	1.8	Transcription factors
Hs.55967	Short stature homeobox 2	SHOX2	1.7	1.8	Transcription factors
Hs.357901	SRY box 4	SOX4	1.5	1.8	Transcription factors
Hs.179526	Thioredoxin interacting protein	TXNIP	2.6	1.7	Transcription factors
Hs.250666	Hairy and enhancer of split 1	HES1	2.2	1.7	Transcription factors
Hs.30209	Zinc fingers and homeoboxes 2	ZHX2	2.3	1.6	Transcription factors
Hs.155024	B-cell CLL/lymphoma 6 (zinc finger protein 51)	BCL6	1.7	1.6	Transcription factors
Hs.511950	Sirtuin (sir2 homolog) 3	SIRT3	1.7	1.6	Transcription factors
Hs.250666	Hairy and enhancer of split 1	HES1	2	1.6	Transcription factors
Hs.153863	MAD, mothers against decapentaplegic homolog 6	MADH6	1.9	1.6	Transcription factors
Hs.171825	Basic helix-loop-helix domain containing, class B, 2	BHLHB2	2.2	1.5	Transcription factors
Hs.77810	Nuclear factor of activated T cells 4	NFATC4	1.9	1.5	Transcription factors
Hs.59943	cAMP responsive element binding protein 3-like 2	CREB3L2	1.5	1.5	Transcription factors
