Expression	Gene Name	GO Term
Downregulated	HAS2: hyaluronan synthase 2	No swiss prot identifiers
Downregulated	HNRPM: heterogeneous nuclear ribonucleoprotein M	No swiss prot identifiers
Downregulated	KIAA0114: KIAA0114 gene product	No swiss prot identifiers
Downregulated	PSME4: proteasome (prosome, macropain) activator subunit 4	No swiss prot identifiers
Downregulated	S100A4: S100 calcium binding protein A4	No swiss prot identifiers
Downregulated	PPN: porcupinea	Nothing listed
Downregulated	USP14: ubiquitin specific protease 14a	Protein catabolism
Downregulated	MRPL23: mitochondrial ribosomal protein L23	Protein metabolism, protein biosynthesis
Downregulated	CDC20: CDC20 cell division cycle 20 homologa	Regulation of cell cycle, cell division
Downregulated	CCNB1: cyclin B1a	Regulation of cell cycle, cell division, mitosis
Downregulated	FOXM1: forkhead box M1a	Regulation of transcription
