Probeset	Gene symbol	Description	Relative Expression	P value
32082_at	SENP5	SUMO1/sentrin specific protease 5	-0.51	0.0037
32102_at	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin)	1.24	0.0004
32162_r_at	---	---	1.12	0.0035
32170_g_at	FBXO21	F-box protein 21	-0.81	0.0009
32176_at	RASA4	RAS p21 protein activator 4	0.59	0.0026
32230_at	EIF3S2	eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa	2.59	0.0057
32253_at	RERE	arginine-glutamic acid dipeptide (RE) repeats	-1.29	0.0033
32297_s_at	KLRC1 /// KLRC2	killer cell lectin-like receptor subfamily C, member 1 /// killer cell lectin-like receptor subfamily C, member 2	1.29	0.0014
32330_at	RPS11	ribosomal protein S11	2.21	0.0091
32354_at	NPAS3	neuronal PAS domain protein 3	0.75	0.0009
32391_g_at	LOC388714	similar to Putative dimethylaniline monooxygenase [N-oxide forming] 6 (Flavin-containing monooxygenase 6) (FMO 6) (Dimethylaniline oxidase 6)	1.19	0
32427_at	CRYGD	crystallin, gamma D	0.83	0.0058
32432_f_at	RPL15	ribosomal protein L15	2.11	0.008
32436_at	RPL27A	ribosomal protein L27a	2.5	0.0052
32438_at	RPS20	ribosomal protein S20	3	0.0054
32440_at	RPL17	ribosomal protein L17	3.05	0.0004
32528_at	CLPP	ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)	2.03	0.0072
32551_at	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	0.86	0.0002
326_i_at	---	---	2.68	0.0008
32611_at	PBP	prostatic binding protein	2.49	0.0012
32618_at	BLVRA	biliverdin reductase A	-0.87	0.0024
32619_at	FETUB	Fetuin B	0.66	0.0042
32647_at	VTI1B	vesicle transport through interaction with t-SNAREs homolog 1B (yeast)	-1.33	0.0002
32658_at	VPS52	vacuolar protein sorting 52 (yeast)	-3.04	0.0001
327_f_at	---	---	2.92	0.0014
32746_at	CFLAR	CASP8 and FADD-like apoptosis regulator	0.71	0.0018
32750_r_at	FLNA	filamin A, alpha (actin binding protein 280)	2.75	0.0056
32837_at	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	2.21	0.0002
32948_at	USH2A	Usher syndrome 2A (autosomal recessive, mild)	0.5	0.0069
33065_at	---	---	-0.92	0.0006
33068_f_at	UGT2B15	UDP glycosyltransferase 2 family, polypeptide B15	-0.67	0.0004
33173_g_at	11-Sep	septin 11	0.88	0.0046
33196_at	NFRKB	Nuclear factor related to kappaB binding protein	0.76	0.0076
33271_r_at	DMXL1	Dmx-like 1	0.55	0.0094
33331_at	BENE	BENE protein	-0.83	0.0022
33337_at	DEGS1	degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)	1.62	0.0015
33402_at	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	-0.58	0.0034
33409_at	FKBP2	FK506 binding protein 2, 13kDa	1.19	0.0023
33485_at	RPL4	ribosomal protein L4	2.12	0.0026
33550_at	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C	-0.55	0.0044
33621_at	TCF2	transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor	-0.67	0.0039
33772_at	PTGER4	prostaglandin E receptor 4 (subtype EP4)	0.7	0.0007
33872_at	LPHN2	latrophilin 2	0.7	0.0043
34035_at	SLC10A1	solute carrier family 10 (sodium/bile acid cotransporter family), member 1	1.05	0.0002
34074_s_at	GNAT1	Guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1	0.74	0.0023
34108_g_at	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	1	0.0047
34118_at	ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide	0.81	0.0034
34158_s_at	SLC1A3	DKFZP547J0410 protein	-0.47	0.0088
34199_at	SEC24A	SEC24 related gene family, member A (S. cerevisiae)	-0.7	0.0032
34201_at	DNAJA2	DnaJ (Hsp40) homolog, subfamily A, member 2	1.4	0.0025
34215_at	DXYS155E	DNA segment on chromosome X and Y (unique) 155 expressed sequence	-1.92	0.003
34292_at	CXorf12	chromosome X open reading frame 12	1.48	0.0033
34305_at	PCBP1	poly(rC) binding protein 1	1.85	0.0027
34384_at	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	-0.84	0.0095
34386_at	MBD4	methyl-CpG binding domain protein 4	-2.04	0.0087
34464_at	DAO	D-amino-acid oxidase	0.69	0.0007
34480_at	CDH16	cadherin 16, KSP-cadherin	1.17	0.0024
34490_f_at	FSCN2	fascin homolog 2, actin-bundling protein, retinal (Strongylocentrotus purpuratus)	-0.76	0.002
34560_at	S100A5	S100 calcium binding protein A5	0.87	0.0024
34570_at	RPS27A	ribosomal protein S27a	2.71	0.0003
34581_s_at	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	0.79	0.0024
34590_at	CNTF	ciliary neurotrophic factor	0.72	0.0036
34613_at	KIAA1086	KIAA1086	1.03	0.004
34620_at	PAX5	paired box gene 5 (B-cell lineage specific activator)	1.08	0.0002
34639_at	TCF1	transcription factor 1, hepatic; LF-B1, hepatic nuclear factor (HNF1), albumin proximal factor	0.7	0.0098
34663_at	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	-0.62	0.0074
34689_at	TREX1	three prime repair exonuclease 1	1.68	0.0002
34699_at	CD2AP	CD2-associated protein	-0.66	0.0068
34801_at	USP52	ubiquitin specific protease 52	-0.7	0.0045
34837_at	KIAA0376	KIAA0376 protein	1.31	0.0084
34895_at	SEC23IP	SEC23 interacting protein	1.16	0.0007
34902_at	KIAA0492	KIAA0492 protein	-0.7	0.0082
34914_at	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1	-0.86	0.0001
34987_s_at	HNRPA1	heterogeneous nuclear ribonucleoprotein A1	-1.1	0.0093
34999_at	PVRL1	poliovirus receptor-related 1 (herpesvirus entry mediator C; nectin)	0.71	0.0056
35004_at	DHRS2	dehydrogenase/reductase (SDR family) member 2	-0.82	0.0063
35028_at	GABRB1	gamma-aminobutyric acid (GABA) A receptor, beta 1	0.83	0.0032
35245_at	F5	coagulation factor V (proaccelerin, labile factor)	-0.41	0.004
35301_at	CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	-2.13	0.0092
35302_at	NXF1	nuclear RNA export factor 1	-1.49	0.0044
35363_at	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	-1.21	0.001
35523_at	PGDS	prostaglandin D2 synthase, hematopoietic	-1.04	0.0049
35726_at	S100A2	S100 calcium binding protein A2	0.99	0.005
35784_at	VAMP3	vesicle-associated membrane protein 3 (cellubrevin)	-0.71	0.0023
35809_g_at	SFRS6	splicing factor, arginine/serine-rich 6	-2.07	0.003
35913_at	ARID3A	AT rich interactive domain 3A (BRIGHT- like)	0.73	0.0032
35933_f_at	LOC442573	similar to PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	1.06	0.0065
35961_at	---	DKFZp586O1318 (from clone DKFZp586O1318)	-0.8	0.0002
36000_at	CREBL1	cAMP responsive element binding protein-like 1	0.98	0.0098
36187_at	RNH	ribonuclease/angiogenin inhibitor	2.78	0.0095
36291_at	C18orf25	chromosome 18 open reading frame 25	-0.64	0.0045
36362_at	SLC12A3	solute carrier family 12 (sodium/chloride transporters), member 3	0.68	0.0097
36497_at	C14orf78	chromosome 14 open reading frame 78	-0.71	0.0028
36508_at	GPC4	glypican 4	-0.61	0.0013
36614_at	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	-1.72	0.003
36715_at	ADRA1A	adrenergic, alpha-1A-, receptor	0.74	0.0063
36723_at	HNF4A	hepatocyte nuclear factor 4, alpha	0.74	0.0017
36844_at	DOCK3	dedicator of cytokinesis 3	-0.57	0.0008
36902_at	RHOG	ras homolog gene family, member G (rho G)	1.2	0.0044
37003_at	CD63	CD63 antigen (melanoma 1 antigen)	1.78	0.0011
37042_at	HYAL2	hyaluronoglucosaminidase 2	1.81	0.0092
37100_at	FMNL1	formin-like 1	1.08	0.0076
37103_at	BEAN	brain expressed, associated with Nedd4	0.66	0.0002
37149_s_at	LTF	lactotransferrin	-0.64	0.0094
37162_at	CCDC6	coiled-coil domain containing 6	1.01	0.0029
37374_at	ANXA4	annexin A4	0.77	0.0039
37403_at	ANXA1	annexin A1	0.36	0.0073
37469_at	KNTC1	kinetochore associated 1	0.93	0.004
37535_at	CREB1	cAMP responsive element binding protein 1	-0.78	0.0073
37604_at	HNMT	histamine N-methyltransferase	0.61	0.003
37610_at	FLJ10803	hypothetical protein FLJ10803	-1.2	0.0001
37637_at	RGS3	regulator of G-protein signalling 3	-0.68	0.0006
37645_at	CD69	CD69 antigen (p60, early T-cell activation antigen)	-0.46	0.0077
37651_at	RCOR1	REST corepressor 1	0.78	0.0052
37791_at	---	---	0.68	0.0044
37829_at	GAS2	growth arrest-specific 2	-0.97	0.0035
37905_r_at	GNL1	Guanine nucleotide binding protein-like 1	1.9	0.0015
37943_at	ZFYVE26	zinc finger, FYVE domain containing 26	-0.85	0.001
37950_at	PREP	prolyl endopeptidase	-1.11	0.0011
38001_at	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	0.56	0.0073
38003_s_at	DGKZ	diacylglycerol kinase, zeta 104kDa	-0.68	0.0079
38100_at	TLOC1	translocation protein 1	-0.67	0.0074
38106_at	TINP1	TGF beta-inducible nuclear protein 1	2.34	0.0001
38120_at	PKD2	polycystic kidney disease 2 (autosomal dominant)	-0.65	0.0069
38186_g_at	PAX2	paired box gene 2	0.75	0.0061
38224_at	SNAPC3	small nuclear RNA activating complex, polypeptide 3, 50kDa	-0.62	0.0069
38241_at	BTN3A3	butyrophilin, subfamily 3, member A3	-0.69	0.0095
38373_g_at	CXorf40 /// LOC541578	chromosome X open reading frame 40 /// hypothetical LOC541578 protein	1.59	0.0039
38437_at	CASC3	cancer susceptibility candidate 3	-1.82	0.0039
38491_at	ETV6	ets variant gene 6 (TEL oncogene)	0.96	0.0099
38498_at	CRYBB2	crystallin, beta B2	0.69	0.0076
38559_at	MGC22014	hypothetical protein MGC22014	-0.97	0.0061
38577_at	---	Clone DT1P1B6 mRNA, CAG repeat region	0.6	0.0075
38881_i_at	TRIM16	tripartite motif-containing 16	-0.71	0.0072
39031_at	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	0.8	0.0005
39043_at	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	1.85	0.0049
39061_at	BST2	bone marrow stromal cell antigen 2	1.33	0.0029
39139_at	SEC11L1	SEC11-like 1 (S. cerevisiae)	1.97	0.0043
39225_at	AGPS	alkylglycerone phosphate synthase	-0.49	0.006
39253_s_at	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	0.83	0.002
39307_s_at	CLTB	clathrin, light polypeptide (Lcb)	0.94	0.0001
39325_at	LEFTY2	left-right determination factor 2	0.72	0.0009
39489_g_at	PCDH9	Protocadherin 9	-0.68	0.008
39498_at	---	---	-0.86	0.0004
39547_at	---	---	-0.64	0.0095
39580_at	KIAA0649	KIAA0649	0.64	0.0053
39644_at	G2	G2 protein	0.58	0.0041
39763_at	HPX	hemopexin	0.95	0.0023
39844_at	FLJ30656	hypothetical protein FLJ30656	1.64	0.001
39855_at	FZR1	fizzy/cell division cycle 20 related 1 (Drosophila)	1.75	0.0034
39879_s_at	LOC474170	C114 SLIT-like testicular protein /// Hypothetical LOC388397	-1.23	0.0007
39899_at	IGSF4C	immunoglobulin superfamily, member 4C	1.42	0.0078
39920_r_at	C1QL1	complement component 1, q subcomponent-like 1	1.67	0.0084
39969_at	HIST1H4C	histone 1, H4c	1.75	0.0003
39997_at	PFC	properdin P factor, complement	1.45	0.0005
40014_at	SEMA6C	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	1.75	0.0009
40086_at	KIAA0261	KIAA0261	0.75	0.0084
40157_s_at	MYL1	myosin, light polypeptide 1, alkali; skeletal, fast	-0.98	0.0024
40244_s_at	MPPE1	metallophosphoesterase 1	-0.69	0.004
40344_at	NLGN1	neuroligin 1	0.75	0.0022
40422_at	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	0.58	0.0097
40423_at	EHBP1	EH domain binding protein 1	-0.63	0.0092
40435_at	SLC25A6	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	3.34	0.0001
40453_s_at	SFRS5	splicing factor, arginine/serine-rich 5	-1.81	0.0066
40460_s_at	ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl	-0.93	0.0014
40482_s_at	CROC4	transcriptional activator of the c-fos promoter	-0.61	0.0057
40521_at	RGL2	ral guanine nucleotide dissociation stimulator-like 2	-0.84	0.0047
40524_at	PTPN21	protein tyrosine phosphatase, non-receptor type 21	-0.54	0.0025
40581_at	TRIO	triple functional domain (PTPRF interacting)	-0.57	0.0059
40586_at	EEF1E1	Eukaryotic translation elongation factor 1 epsilon 1	0.83	0.0052
40621_at	PAWR	PRKC, apoptosis, WT1, regulator	0.72	0.0002
40751_at	C19orf36	chromosome 19 open reading frame 36	0.79	0.0067
40755_at	MICA	MHC class I polypeptide-related sequence A	-0.73	0.0045
40770_f_at	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like	2.1	0.0041
40783_s_at	PIK4CA /// LOC220686	phosphatidylinositol 4-kinase, catalytic, alpha polypeptide /// hypothetical protein LOC220686	-2.11	0.0082
40791_at	POLR2A	polymerase (RNA) II (DNA directed) polypeptide A, 220kDa	-2.28	0.0043
40828_at	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	-1.42	0.0088
40903_at	ATP6AP2	ATPase, H+ transporting, lysosomal accessory protein 2	1.32	0.0056
40984_at	76P	gamma tubulin ring complex protein (76p gene)	-0.83	0.0098
41015_at	PRKAA1	protein kinase, AMP-activated, alpha 1 catalytic subunit	-0.56	0.0051
41093_at	OPCML	opioid binding protein/cell adhesion molecule-like	0.56	0.0054
41167_at	PPP2R2A	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform	-0.77	0.004
41177_at	FLJ12443	hypothetical protein FLJ12443	1.5	0.0082
41178_at	RPL11	ribosomal protein L11	3.33	0.0001
41366_at	KIAA1002	KIAA1002 protein	-1.76	0.0014
41388_at	MEIS2	Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)	0.79	0.0048
41415_at	BYSL	bystin-like	1.14	0.0085
41452_at	ZFP95	zinc finger protein 95 homolog (mouse)	0.99	0.0037
41577_at	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	-0.59	0.0086
41597_s_at	SEC22L1	SEC22 vesicle trafficking protein-like 1 (S. cerevisiae)	-1.55	0.0007
41705_at	RFNG	radical fringe homolog (Drosophila)	1.28	0.0014
41779_at	RGS16	regulator of G-protein signalling 16	0.66	0.0001
41844_at	MGC11061	Hypothetical protein MGC11061	-0.81	0.0097
41854_at	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	-0.82	0.0002
507_s_at	ELF2	E74-like factor 2 (ets domain transcription factor)	-0.76	0.0044
599_at	HLX1	H2.0-like homeo box 1 (Drosophila)	0.78	0.0011
603_at	NR2C1	nuclear receptor subfamily 2, group C, member 1	-0.73	0.0014
702_f_at	---	---	0.69	0.0059
775_at	HTR1B	5-hydroxytryptamine (serotonin) receptor 1B	-0.88	0.0027
813_at	---	---	0.45	0.0099
920_at	---	---	-0.85	0.0002
939_at	---	---	-0.76	0.0057
967_g_at	RAD54L	RAD54-like (S. cerevisiae)	0.68	0.0062
