Probe set id	Gene symbol	Expressional cluster number	Gene number in Fig.2	Expression in Barretts relative to the normal epithelium [Log2 R (B/N)]	Expression in ADC relative to the normal epithelium [Log2 R (T/N)]
202139_at	AKR7A2	2	115	-0.6	-1.2
209372_x_at	TUBB	2	116	-0.86	-1.77
215813_s_at	PTGS1	2	117	-0.42	-1.68
210186_s_at	FKBP1A	2	118	-0.74	-1.24
200678_x_at	GRN	2	119	-0.92	-1.46
216041_x_at	GRN	2	120	-0.96	-1.58
204246_s_at	DCTN3	2	121	-0.73	-1.63
200886_s_at	PGAM1	2	122	-0.45	-1.62
204029_at	CELSR2	2	123	-0.75	-2.04
36499_at	CELSR2	2	124	-0.68	-1.97
203586_s_at	ARF4L	2	125	-0.44	-2.37
213848_at	DUSP7	2	126	-0.28	-2.13
200844_s_at	PRDX6	2	127	-0.86	-1.39
208751_at	NAPA	2	128	-0.73	-1.2
202807_s_at	TOM1	2	129	-0.73	-1.39
214182_at	ARF6	2	130	-0.74	-1.68
209193_at	PIM1	2	131	-0.96	-1.95
205172_x_at	CLTB	2	132	-0.65	-1.78
211043_s_at	CLTB	2	133	-0.44	-1.95
206284_x_at	CLTB	2	134	-0.65	-1.95
200863_s_at	RAB11A	2	135	-0.51	-1.58
200752_s_at	CAPN1	2	136	-0.79	-1.65
204341_at	TRIM16	2	137	-0.82	-2.5
204151_x_at	AKR1C1	2	138	0.44	-0.96
211653_x_at	AKR1C2	2	139	0.37	-1.32
209699_x_at	AKR1C2	2	140	0.47	-1.03
216594_x_at	AKR1C1	2	141	0.4	-1
205403_at	IL1R2	2	142	1.24	0.13
206561_s_at	AKR1B10	2	143	0.58	-1.07
205549_at	PCP4	3	144	-1.55	-2.8
218559_s_at	MAFB	3	145	-0.99	-2.39
204379_s_at	FGFR3	3	146	-0.86	-2.28
205286_at	TFAP2C	3	147	-0.62	-2.58
203074_at	ANXA8	3	148	-0.89	-4.35
203407_at	PPL	3	149	-0.74	-3.93
202504_at	TRIM29	3	150	-0.65	-3.94
204942_s_at	ALDH3B2	3	151	-1.33	-5.08
202345_s_at	FABP5	3	152	-0.24	-2.58
201012_at	ANXA1	3	153	-0.22	-2.63
212657_s_at	IL1RN	3	154	-0.43	-3.01
218677_at	S100A14	3	155	-0.39	-2.56
201324_at	EMP1	3	156	-0.56	-2.97
201325_s_at	EMP1	3	157	-0.61	-3.85
219764_at	FZD10	3	158	-0.5	-2.69
209191_at	TUBB-5	3	159	-0.77	-2.28
201348_at	GPX3	3	160	-0.84	-2.71
205349_at	GNA15	3	161	-0.82	-2.96
209587_at	PITX1	3	162	-0.94	-3.92
213279_at	DHRS1	3	163	-1.28	-3.02
205863_at	S100A12	3	164	-0.59	-3.15
38158_at	ESPL1	3	165	-1.82	-2.87
205470_s_at	KLK11	3	166	-0.95	-3.79
217315_s_at	KLK13	3	167	-0.97	-4.6
205783_at	KLK13	3	168	-1.41	-4.41
216243_s_at	IL1RN	3	169	-1.12	-4.53
204777_s_at	MAL	3	170	-0.74	-5.21
214599_at	IVL	3	171	-0.68	-4.91
214549_x_at	SPRR1A	3	172	-0.74	-4.05
204751_x_at	DSC2	3	173	-0.32	-2.35
204469_at	PTPRZ1	3	174	-0.03	-1.61
206032_at	DSC3	3	175	-0.74	-4.05
206166_s_at	CLCA2	3	176	-0.66	-4.29
210372_s_at	TPD52L1	3	177	-0.93	-2.87
203786_s_at	TPD52L1	3	178	-1.11	-3.28
213135_at	TIAM1	3	179	-0.67	-3.2
203797_at	VSNL1	3	180	-1.06	-2.72
207059_at	PAX9	3	181	-1.36	-3.68
204284_at	PPP1R3C	3	182	-0.68	-3.72
211726_s_at	FMO2	3	183	-1.01	-2.95
204614_at	SERPINB2	3	184	-0.77	-4.47
207602_at	HAT	3	185	-0.63	-3.87
205595_at	DSG3	3	186	-0.47	-3.58
209719_x_at	SERPINB3	3	187	-0.36	-3.79
211906_s_at	SERPINB4	3	188	-0.31	-4.07
205185_at	SPINK5	3	189	-0.63	-3.03
210413_x_at	SERPINB4	3	190	0.07	-4.32
204734_at	KRT15	3	191	-0.92	-7.56
220431_at	DESC1	3	192	-1	-5.02
220026_at	CLCA4	3	193	-0.61	-5.19
217528_at	CLCA2	3	194	-0.6	-4.31
206276_at	E48	3	195	-0.63	-4.18
209720_s_at	SERPINB3	3	196	-0.32	-3.72
208539_x_at	SPRR2B	3	197	-0.56	-3.89
213240_s_at	KRT4	3	198	-0.03	-4.73
213796_at	SPRR1A	3	199	-0.27	-3.3
219554_at	RHCG	3	200	-0.61	-6.05
205014_at	HBP17	3	201	-0.28	-4.24
203535_at	S100A9	3	202	-0.21	-3.46
39248_at	AQP3	3	203	-0.42	-3.75
204268_at	S100A2	3	204	-0.16	-3.42
202917_s_at	S100A8	3	205	0	-2.48
213680_at	KRT6B	3	206	-0.16	-2.92
218990_s_at	SPRR3	3	207	-0.07	-3.18
207935_s_at	KRT13	3	208	-0.19	-3.89
209126_x_at	KRT6B	3	209	-0.18	-3.52
201820_at	KRT5	3	210	-0.29	-3.89
209125_at	KRT6A	3	211	-0.24	-3.32
205064_at	SPRR1B	3	212	-0.23	-3.25
209351_at	KRT14	3	213	0.81	-2.17
220664_at	SPRR2C	3	214	-0.38	-4.25
