E/PS	E/MMT	UniGene	Gene	Map	Description
2.47	2.941	Hs.156880		4	Homo sapiens, clone IMAGE:4791597, mRNA
2.458	3.778	Hs.519137		4	Homo sapiens cDNA FLJ37284 fis, clone BRAMY2013590
2.456	4.519	Hs.432615			Homo sapiens transcribed sequence
2.428	2.31	Hs.11713	ELF5	11p13-p12	E74-like factor 5 (Ets domain transcription factor)
2.42	3.915	Hs.145807	TMC5	16p13.11	Transmembrane channel–like 5
2.383	2.065	Hs.348802	NMA	10p12.3-p11.2	Putative transmembrane protein
2.265	2.581	Hs.306278	CD44	11p13	CD44 antigen (homing function and Indian blood group system)
2.218	8.166	Hs.433197	ASRGL1	11q12.3	Asparaginase like 1
2.215	2.271	Hs.153952	NT5E	6q14-q21	5?-Nucleotidase, ecto (CD73)
2.184	2.901	Hs.79414	PDEF	6p21.3	Prostate epithelium–specific Ets transcription factor
2.124	3.088	Hs.439760	CYP4X1	1p33	Likely orthologue of rat cytochrome P450 4X1
2.121	2.453	Hs.293685			Homo sapiens transcribed sequence
2.096	3.305	Hs.518542	HGD	3q21-q23	Homogentisate 1,2-dioxygenase (homogentisate oxidase)
2.073	4.648	Hs.194710	GCNT3	15q21.3	Glucosaminyl (N-acetyl) transferase 3, mucin type
0.485	0.411	Hs.183650	CRABP2	1q21.3	Cellular retinoic acid binding protein 2
0.479	0.498	Hs.12844	EGFL6	Xp22	EGF-like domain, multiple 6
0.472	0.485	Hs.308628	SIAT8D	5q21	Sialyltransferase 8D (-2, 8-polysialyltransferase)
0.465	0.384	Hs.298646	PRO2000	8q24.13	PRO2000 protein
0.454	0.451	Hs.414407	HEC	18p11.31	Highly expressed in cancer, rich in leucine heptad repeats
0.45	0.279	Hs.336224	TMEFF1	9q31	Transmembrane protein with EGF-like
0.444	0.469	Hs.137047	FLJ25157	3p24.2	Hypothetical protein FLJ25157
0.443	0.193	Hs.76118	UCHL1	4p14	Ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
0.441	0.426	Hs.445098	FLJ20354	1p31.2	Hypothetical protein FLJ20354
0.437	0.381	Hs.169840	TTK	6q13-q21	TTK protein kinase
0.43	0.364	Hs.125124	EPHB2	1p36.1-p35	EphB2
0.423	0.349	Hs.79440	IMP-3	7p11	IGF-II mRNA-binding protein 3
0.407	0.315	Hs.250687	TRPC1	3q22-q24	Transient receptor potential cation channel, subfamily C
0.384	0.421	Hs.444096			Human full-length cDNA 5?-end of clone CS0DK007YB08
0.382	0.382	Hs.65366	KIAA1495	Xq24	KIAA1495 protein
0.37	0.435	Hs.132246	SLC38A1	12q13.11	Solute carrier family 38, member 1
0.358	0.311	Hs.444096			Human full-length cDNA 5?-end of clone CS0DK007YB08
0.346	0.264	Hs.512414	NR3C1	5q31	Nuclear receptor subfamily 3C1 (glucocorticoid receptor)
0.337	0.322	Hs.30299	IMP-2	3q28	IGF-II mRNA-binding protein 2
0.308	0.199	Hs.43577	ATP8B2	1q22	ATPase, class I, type 8B, member 2
0.306	0.298	Hs.444096			Human full-length cDNA 5?-end of clone CS0DK007YB08
0.302	0.135	Hs.126085	LRRN1	3p26.2	Leucine-rich repeat neuronal 1
0.276	0.21	Hs.14968	PLAG1	8q12	Pleiomorphic adenoma gene 1
0.259	0.104	Hs.349109	IGF2	11p15.5	Insulin-like growth factor 2 (somatomedin A)
2.042	2.679	Hs.387367	CYP39A1	6p21.1-p11.2	Cytochrome P450, family 39, subfamily A, polypeptide 1
2.035	3.538	Hs.184510	SFN	1p35.3	Stratifin
2.031	2.162	Hs.302738	SLC26A2	5q31-q34	Solute carrier family 26 (sulfate transporter), member 2
2.031	2.372	Hs.105547	NPDC1	9q34.3	Neural proliferation, differentiation and control, 1
2.03	3.485	Hs.28491	SAT	Xp22.1	Spermidine/spermine N1-acetyltransferase
2.017	2.669	Hs.302738	SLC26A2	5q31-q34	Solute carrier family 26 (sulfate transporter), member 2
