Cluster	RefSeq no.	Symbol	Gene name and type	Affymetrix	expression	Mapped	Function
AF002283	NM_016798	Pdlim3	PDZ and LIM domain 3	-2.875	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
Z18280	NM_010934	Npy1r	neuropeptide Y receptor Y1	-2.6	up	Yes	Cell adhesion, signal transduction and cell-cell signaling
X04480	NM_010512	Igf1	insulin-like growth factor 1	-2.575	up	Yes	Cell adhesion, signal transduction and cell-cell signaling
M19681	NM_011333	Ccl2	chemokine (C-C motif) ligand 2	-1.675	up	Yes	Cell adhesion, signal transduction and cell-cell signaling
X70058	NM_013654	Ccl7	chemokine (C-C motif) ligand 7	-1.575	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
U73199	NM_012026	Rgnef	Rho-guanine nucleotide exchange factor	2.55	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
U88064	XM_133570	Bnc	basonuclin	-1.6	NA	NA	Transcription Factors
X61800	NM_007679	Cebpd	CCAAT/enhancer binding protein (C/EBP), delta	-1.425	down	Yes	Transcription Factors
X17459	NM_009035	Rbpsuh	recombining binding protein suppressor of hairless (Drosophila)	1.225	NA	NA	Transcription Factors
J03776	NM_009099	Trim30	tripartite motif protein 30	1.7	NA	NA	Transcription Factors
M88299	NM_008900	Pou3f3	POU domain, class 3, transcription factor 3	1.175	NA	NA	Transcription Factors
V00727	NM_010234	Fos	FBJ osteosarcoma oncogene	-3.175	up	Yes	Transcription Factors
L38607	NM_008242	Foxd1	forkhead box D1	-1.375	NA	NA	Transcription Factors
AJ002366	NM_008186	Gtf2h1	general transcription factor II H, polypeptide 1	1.225	NA	NA	Transcription Factors
D49658	XM_131238	Lhx8	LIM homeobox protein 8	-3.65	NA	NA	Transcription Factors
X55318	NM_008272	Hoxc9	homeo box C9	-2.15	NA	NA	Transcription Factors
L35949	NM_010426	Foxf1a	forkhead box F1a	-3.75	NA	Yes	Transcription Factors
M31885	NM_010495	Idb1	inhibitor of DNA binding 1	-1.025	down	Yes	Transcription Factors
AB021961	NM_011640	Trp53	transformation related protein 53	-3.3	up	Yes	Transcription Factors
AB021961	NM_011640	Trp53	transformation related protein 53	-3.35	up	Yes	Transcription Factors
X81627	XM_130171	Lcn2	lipocalin 2	-3.375	up	Yes	Transporter
M35523	ND	Crabp2	cellular retinoic acid binding protein II	-2.6	up	Yes	Transporter
X15789	NM_013496	Crabp1	cellular retinoic acid binding protein I	-3.075	down	Yes	Transporter
L02914	NM_007472	Aqp1	aquaporin 1	5.8	NA	NA	Transporter
X03505	NM_011315	Saa3	serum amyloid A 3	-3.525	up	Yes	Transporter
U75215	NM_018861	Slc1a4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	1.3	up	Yes	Transporter
L42115	NM_009201	Slc1a7	solute carrier family 1, member 7	3.275	NA	NA	Transporter
U49430	NM_007752	Cp	ceruloplasmin	-1.55	up	Yes	Transporter
U28960	NM_011125	Pltp	phospholipid transfer protein	-2.45	NA	NA	Transporter
U72680	NM_008761	Fxyd5	FXYD domain-containing ion transport regulator 5	1.875	NA	NA	Transporter
X57349	NM_011638	Trfr	transferrin receptor	1.05	up	Yes	Transporter
X94353	NM_009921	Camp	cathelicidin antimicrobial peptide	-2.025	NA	NA	Xenobiotic Metabolism
X99347	NM_008489	Lbp	lipopolysaccharide binding protein	-1.75	up	Yes	Xenobiotic Metabolism
U89491	NM_010145	Ephx1	epoxide hydrolase 1, microsomal	-2.3	NA	NA	Xenobiotic Metabolism
L10244	NM_009121	Sat1	spermidine/spermine N1-acetyl transferase	-1.725	NA	NA	Metabolism related
AB016248	NM_172769	Sc5d	sterol-C5-desaturase (fungal ERG3, delta-5-desaturase) homolog (S. cerevisae)	-1.2	NA	NA	Metabolism related
U38261	NM_011435	Sod3	superoxide dismutase 3, extracellular	-1.45	NA	NA	Metabolism related
L35528	NM_013671	Sod2	superoxide dismutase 2, mitochondrial	-1.55	down	Yes	Metabolism related
L16992	XM_135013	Bckdhb	branched chain ketoacid dehydrogenase E1, beta polypeptide	1.275	NA	NA	Metabolism related
Y15733	NM_010476	Hsd17b7	hydroxysteroid (17-beta) dehydrogenase 7	-1.025	NA	NA	Metabolism related
X97755	NM_007898	Ebp	phenylalkylamine Ca2+ antagonist (emopamil) binding protein	-1.625	NA	NA	Metabolism related
AF059213	NM_009890	Ch25h	cholesterol 25-hydroxylase	-1.825	NA	NA	Metabolism related
AB001607	NM_008968	Ptgis	prostaglandin I2 (prostacyclin) synthase	-1.425	up	Yes	Metabolism related
M88242	NM_011198	Ptgs2	prostaglandin-endoperoxide synthase 2	-1.325	up	Yes	Metabolism related
M34141	NM_008969	Ptgs1	prostaglandin-endoperoxide synthase 1	-1.3	up	Yes	Metabolism related
AJ006033	NM_007802	Ctsk	cathepsin K	-2	up	Yes	Metabolism related
M96827	NM_017370	Hp	haptoglobin	-1.6	up or down	Yes	Metabolism related
X72307	XM_131908	Hgf	hepatocyte growth factor	-3.35	up	Yes	Metabolism related
X66402	NM_010809	Mmp3	matrix metalloproteinase 3	-1.35	up	Yes	Metabolism related
U04299	NM_008548	Man1a	mannosidase 1, alpha	-1.525	NA	NA	Metabolism related
U44088	NM_009344	Phlda1	pleckstrin homology-like domain, family A, member 1	-1.95	NA	NA	Metabolism related
M21285	NM_009127	Scd1	stearoyl-Coenzyme A desaturase 1	-1.25	up	Yes	Metabolism related
AF017175	NM_013495	Cpt1a	carnitine palmitoyltransferase 1, liver	-1.525	NA	NA	Metabolism related
X61600	NM_007933	Eno3	enolase 3, beta muscle	-1.85	NA	NA	Metabolism related
D89866	NM_011673	Ugcg	UDP-glucose ceramide glucosyltransferase	-1.25	NA	NA	Metabolism related
Y14004	NM_012006	Cte1	cytosolic acyl-CoA thioesterase 1	-1.65	NA	NA	Metabolism related
M63335	NM_008509	Lpl	lipoprotein lipase	-2	up	Yes	Metabolism related
D42048	NM_009270	Sqle	squalene epoxidase	-1.2	NA	NA	Metabolism related
X58196	NM_023123	H19	H19 fetal liver mRNA	4.7	down	Yes	Miscellaneous
AJ242778	NM_021327	Tnip1	TNFAIP3 interacting protein 1	-1.1	NA	NA	Miscellaneous
X59520	NM_031161	Cck	cholecystokinin	-5.6	up	Yes	Miscellaneous
X70296	NM_009255	Serpine2	serine (or cysteine) proteinase inhibitor, clade E, memb 2	-4.275	up	Yes	Miscellaneous
X59846	NM_019521	Gas6	growth arrest specific 6	-1.9	NA	NA	Miscellaneous
AB024538	NM_012043	Islr	immunoglobulin superfamily containing leucine-rich repeat	-1.375	NA	NA	Miscellaneous
AF013262	NM_008524	Lum	lumican	-2.125	NA	NA	Miscellaneous
AB011030	NM_011825	Prdc (pending)	protein related to DAN and cerberus	2.875	NA	NA	Miscellaneous
U15012	NM_010284	Ghr	growth hormone receptor	-1.425	NA	Yes	Miscellaneous
AF072127	NM_016674	Cldn1	claudin 1	2.05	NA	NA	Miscellaneous
D78354	NM_011636	Plscr1	phospholipid scramblase 1	-1.325	NA	NA	Miscellaneous
AB031386	NM_023056	1810009M01Rik	RIKEN cDNA 1810009M01 gene	-1.25	NA	NA	Miscellaneous
AF083876	XM_148339	Emp2	epithelial membrane protein 2	1.575	NA	NA	Miscellaneous
L38971	NM_008409	Itm2a	integral membrane protein 2A	3.05	NA	NA	Miscellaneous
M98530	NM_010942	Nsg1	neuron specific gene family member 1	-2.775	NA	NA	Miscellaneous
AB025412	NM_011857	Odz3	odd Oz/ten-m homolog 3 (Drosophila)	3.65	NA	NA	Miscellaneous
D64162	NM_009018	Raet1c	retinoic acid early transcript gamma	-1.675	NA	NA	Miscellaneous
X54511	NM_007599	Capg	capping protein (actin filament), gelsolin-like	-1.15	NA	NA	Miscellaneous
U20257	NM_009626	Adh7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	2.275	up	Yes	Miscellaneous
AB006714	NM_007765	Crmp1	collapsin response mediator protein 1	-3.625	NA	NA	Miscellaneous
AF038939	NM_008817	Peg3	paternally expressed 3	-2.65	up	Yes	Miscellaneous
AB015426	NM_010243	Fut9	fucosyltransferase 9	1.7	NA	NA	Miscellaneous
AI854539	NM_134073	AA675328	expressed sequence AA675328	1.225	NA	NA	Miscellaneous
X94310	NM_007697	Chl1	close homolog of L1	-4.425	NA	NA	Miscellaneous
L27439	XM_148185	Pros1	protein S (alpha)	-1.2	NA	NA	Miscellaneous
AF004833	XM_130305	Tfpi	tissue factor pathway inhibitor	-2.525	down	Yes	Miscellaneous
AJ002390	NM_013473	Anxa8	annexin A8	-2.275	NA	NA	Miscellaneous
V00746	XM_207061	H2-K	histocompatibility 2, K region	1.425	NA	NA	Miscellaneous
M33960	NM_008871	Serpine1	serine (or cysteine) proteinase inhibitor, clade E, memb 1	1.125	up	Yes	Miscellaneous
X77731	NM_007832	Dck	deoxycytidine kinase	1.325	NA	NA	Miscellaneous
J03482	NM_015786	Hist1h1c	histone 1, H1c	1.125	up	Yes	Miscellaneous
L41365	NM_007827	Daf2	decay accelerating factor 2	-4.975	NA	NA	Miscellaneous
AF010254	NM_009776	Serping1	serine (or cysteine) proteinase inhibitor, clade G, memb 1	-1.825	NA	NA	Miscellaneous
M12347	XM_134551	Acta1	actin, alpha 1, skeletal muscle	-1.425	NA	NA	Miscellaneous
M36120	NM_008471	Krt1-19	keratin complex 1, acidic, gene 19	-5.5	NA	NA	Miscellaneous
M58661	NM_009846	Cd24a	CD24a antigen	-2.825	NA	NA	Miscellaneous
X04653	NM_010738	Ly6a	lymphocyte antigen 6 complex, locus A	-1.75	up	Yes	Miscellaneous
U88567	NM_009144	Sfrp2	secreted frizzled-related sequence protein 2	2.025	NA	NA	Miscellaneous
Z12171	NM_010052	Dlk1	delta-like 1 homolog (Drosophila)	1.45	up	Yes	Miscellaneous
X92411	NM_009011	Rad23b	RAD23b homolog (S. cerevisiae)	1.1	up	Yes	Miscellaneous
U01915	NM_011623	Top2a	topoisomerase (DNA) II alpha	1.125	down	Yes	Miscellaneous
U90435	NM_008027	Flot1	flotillin 1	-1.3	up	Yes	Unknown
AI854235	NM_023203	2410015N17Rik	RIKEN cDNA 2410015N17 gene	1.25	NA	NA	Unknown
X15591	NM_007796	Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	-2.35	NA	NA	Unknown
AF075136	NM_021788	Sap30	sin3 associated polypeptide	1.075	NA	NA	Unknown
