ProbeSetID	Symbol	Cytoband	strWlcxn	P-value	FDR
204826_at	CCNF	16p13.3	4.191568485	2.77E-05	0.0095
212525_s_at	H2AFX	11q23.2-q23.3	4.191568485	2.77E-05	0.0095
213741_s_at	KPNA1	3q21	4.185787012	2.84E-05	0.0095
219838_at	TTC23	15q26.3	-4.185787012	2.84E-05	0.0095
200952_s_at	CCND2	12p13	-4.180005538	2.92E-05	0.0095
212247_at	NUP205	7q33	4.180005538	2.92E-05	0.0095
205569_at	LAMP3	3q26.3-q27	-4.16844259	3.07E-05	0.0095
211271_x_at	PTBP1	19p13.3	4.16844259	3.07E-05	0.0095
218593_at	RBM28	7q32.1	4.16844259	3.07E-05	0.0095
212226_s_at	PPAP2B	1pter-p22.1	-4.162661117	3.15E-05	0.0095
218355_at	KIF4A	Xq13.1	4.162661117	3.15E-05	0.0095
215548_s_at	SCFD1	14q12	4.156879643	3.23E-05	0.0095
218497_s_at	RNASEH1	2p25	4.156879643	3.23E-05	0.0095
221962_s_at	UBE2H	7q32	4.156879643	3.23E-05	0.0095
204731_at	TGFBR3	1p33-p32	-4.151098169	3.31E-05	0.0095
210337_s_at	ACLY	17q12-q21	4.151098169	3.31E-05	0.0095
53720_at	PPAN	19p13	-4.151098169	3.31E-05	0.0095
208824_x_at	PCTK1	Xp11.3-p11.23	4.145316695	3.39E-05	0.0095
218982_s_at	MRPS17	7p11	4.139535221	3.48E-05	0.0095
204294_at	AMT	3p21.2-p21.1	-4.136644485	3.52E-05	0.0095
207622_s_at	ABCF2	7q36	4.133753748	3.57E-05	0.0095
213988_s_at	SAT1	Xp22.1	-4.133753748	3.57E-05	0.0095
219176_at	C2orf47	2q33.1	4.133753748	3.57E-05	0.0095
201114_x_at	PSMA7	20q13.33	4.127972274	3.66E-05	0.0095
219512_at	DSN1	20q11.23	4.127972274	3.66E-05	0.0095
220295_x_at	DEPDC1	1p31.2	4.127972274	3.66E-05	0.0095
201115_at	POLD2	7p13	4.1221908	3.75E-05	0.0095
209382_at	POLR3C	1q21.1	4.1221908	3.75E-05	0.0095
212661_x_at	LOC653214	21q21.1	4.1221908	3.75E-05	0.0095
217784_at	YKT6	7p15.1	4.116409326	3.85E-05	0.0096
213832_at	NA	NA	-4.110627853	3.95E-05	0.0097
204162_at	KNTC2	18p11.32	4.104846379	4.05E-05	0.0098
216652_s_at	DR1	1p22.1	4.104846379	4.05E-05	0.0098
205761_s_at	DUS4L	7q22-q31	4.099064905	4.15E-05	0.0098
207828_s_at	CENPF	1q32-q41	4.099064905	4.15E-05	0.0098
207654_x_at	DR1	1p22.1	4.093283431	4.25E-05	0.0099
202542_s_at	SCYE1	4q24	4.087501957	4.36E-05	0.0099
210386_s_at	MTX1	1q21	4.087501957	4.36E-05	0.0099
212178_s_at	POM121	7q11.23	4.087501957	4.36E-05	0.0099
212168_at	CPNE1	20q11.22	4.084611221	4.42E-05	0.0099
202290_at	PDAP1	7q22.1	4.081720484	4.47E-05	0.0099
211080_s_at	NEK2	1q32.2-q41	4.078829747	4.53E-05	0.0099
204766_s_at	NUDT1	7p22	4.07593901	4.58E-05	0.0099
201090_x_at	TUBA1B	12q13.12	4.070157536	4.70E-05	0.0099
201629_s_at	ACP1	2p25	4.070157536	4.70E-05	0.0099
207098_s_at	MFN1	3q26.32	4.070157536	4.70E-05	0.0099
