GeneBank Accession 	Gene Description 	Symbol 	Normal Mean 	Tumor Mean 	Fold Change 	P value 	Functional Category
AI223140	purine-rich element binding protein A	PURA	1137	506	-2.25	0.002448	Nucleic Acid Binding 
AF015950	telomerase reverse transcriptase	TERT	561	255	-2.2	0.002839	Nucleic Acid Binding 
U40462	zinc finger protein, subfamily 1A, 1	ZNFN1A1	662	308	-2.15	0.001171	Nucleic Acid Binding 
Z93930	X-box binding protein 1	XBP1	2223	1061	-2.09	0.000277	Nucleic Acid Binding 
AB019410	PET112-like	PET112A	1422	707	-2.01	0.001309	Nucleic Acid Binding 
X00129	retinol binding protein 4, plasma	RBP4	1517	68	-22.27	0.004809	Ligand Binding 
AJ223317	sarcosine dehydrogenase	SARDH	3844	1069	-3.6	0.000085	Ligand Binding 
AB017494	LCAT-like lysophospholipase	LYPLA3	906	326	-2.78	0.001131	Ligand Binding 
U78735	ATP-binding cassette, sub-family A, member 3	ABCA3	1914	706	-2.71	0.000288	Ligand Binding 
AF026488	spectrin, beta, non-erythrocytic 2	SPTBN2	1604	671	-2.39	0.00005	Ligand Binding 
U83659	ATP-binding cassette, sub-family C, member 3	ABCC3	1287	551	-2.34	0.00244	Ligand Binding 
R93527	metallothionein 1H	MT1H	5093	2196	-2.32	0.002937	Ligand Binding 
AA586894	S100 calcium binding protein A7	S100A7	507	221	-2.29	0.000537	Ligand Binding 
U91329	kinesin family member 1C	KIF1C	2981	1484	-2.01	0.000518	Ligand Binding 
M81057	carboxypeptidase B1	CPB1	4534	79	-57.09	0.001106	Enzyme 
X71345	protease, serine, 4	PRSS3	3859	76	-51.11	0.004102	Enzyme 
X01683	serine (or cysteine) proteinase inhibitor, clade A	SERPINA1	2550	74	-34.64	0.004833	Enzyme 
M24400	chymotrypsinogen B1	CTRB1	5158	207	-24.95	0.001744	Enzyme 
M18700	elastase 3A, pancreatic	ELA3A	7058	384	-18.37	0.000009	Enzyme 
U66061	protease, serine, 1	PRSS1	7291	645	-11.31	0.000047	Enzyme 
L22524	matrix metalloproteinase 7	MMP7	595	54	-11.03	0.002591	Enzyme 
AI655458	5-oxoprolinase (ATP-hydrolysing)	OPLAH	446	99	-4.52	0.004072	Enzyme 
H94881	FXYD domain-containing ion transport regulator 2	FXYD2	3116	708	-4.4	0.000539	Enzyme 
AL021026	flavin containing monooxygenase 2	FMO2	905	215	-4.21	0.000804	Enzyme 
AC_005525	plasminogen activator, urokinase receptor	PLAUR	1779	566	-3.14	0.000031	Enzyme 
U40370	phosphodiesterase 1A, calmodulin-dependent	PDE1A	268	89	-3.03	0.004023	Enzyme 
R90942	sialyltransferase 7D	SIAT7D	3148	1052	-2.99	0.002319	Enzyme 
M84472	hydroxysteroid (17-beta) dehydrogenase 1	HSD17B1	1196	440	-2.72	0.000991	Enzyme 
X55988	ribonuclease, RNase A family, 2	RNASE2	480	203	-2.36	0.001314	Enzyme 
AB003151	carbonyl reductase 1	CBR1	4538	1945	-2.33	0.000511	Enzyme 
X08020	glutathione S-transferase M1	GSTM1	2766	1376	-2.01	0.000519	Enzyme 
U15979	delta-like homolog	SIGLEC5	3384	402	-8.41	0.002927	Embryogenesis 
M60094	H1 histone family, member T	HIST1H1T	976	230	-4.23	0.001639	Embryogenesis 
U50330	bone morphogenetic protein 1	BMP1	3298	973	-3.39	0.001637	Embryogenesis 
M74297	homeo box A4	HOXA4	501	176	-2.85	0.000477	Embryogenesis 
AJ011785	sine oculis homeobox homolog 6	SIX6	530	190	-2.79	0.000286	Embryogenesis 
U66198	fibroblast growth factor 13	FGF13	191	73	-2.61	0.001068	Embryogenesis 
D31897	double C2-like domains, alpha	DOC2A	1151	451	-2.55	0.000068	Embryogenesis 
U12472	glutathione S-transferase pi	GSTP1	3122	1524	-2.05	0.000237	Embryogenesis 
AL049228	pleckstrin homology domain interacting protein	PHIP	257	33	-7.69	0.000782	Transcription 
M27878	zinc finger protein 84	ZNF84	54	15	-3.64	0.001108	Transcription 
U77629	achaete-scute complex-like 2	ASCL2	438	184	-2.38	0.000058	Transcription 
D50495	transcription elongation factor A, 2	TCEA2	1330	595	-2.23	0.000019	Transcription 
U49857	transcriptional activator of the c-fos promoter	CROC4	542	259	-2.09	0.003894	Transcription 
X72475	immunoglobulin kappa constant	IGKC	1409	276	-5.11	0.000111	Other/Undefined 
D17570	zona pellucida binding protein	ZPBP	355	71	-5.02	0.001107	Other/Undefined 
M90657	transmembrane 4 superfamily member 1	TM4SF1	592	141	-4.2	0.004537	Other/Undefined 
AF063308	mitotic spindle coiled-coil related protein	SPAG5	2015	502	-4.01	0.000588	Other/Undefined 
U66059	T cell receptor beta locus		3022	779	-3.88	0.000266	Other/Undefined 
AL022165	carbohydrate sulfotransferase 7	CHST7	359	94	-3.82	0.001738	Other/Undefined 
U10694	melanoma antigen, family A, 9	MAGEA9	1039	272	-3.82	0.000067	Other/Undefined 
M73255	vascular cell adhesion molecule 1	VCAM1	80	22	-3.66	0.004179	Other/Undefined 
U47926	leprecan-like 2 protein	LEPREL2	1003	319	-3.15	0.00013	Other/Undefined 
L05424	CD44 antigen	CD44	1439	471	-3.05	0.001361	Other/Undefined 
AI445461	transmembrane 4 superfamily member 1	TM4SF1	463	161	-2.88	0.002911	Other/Undefined 
AF010310	proline oxidase homolog	PRODH	1194	421	-2.84	0.000005	Other/Undefined 
AF000991	testis-specific transcript, Y-linked 2	TTTY2	700	254	-2.76	0.000542	Other/Undefined 
X57522	transporter 1, ATP-binding cassette, sub-family B	TAP1	781	287	-2.72	0.000971	Other/Undefined 
AA314825	trefoil factor 1	TFF1	1657	616	-2.69	0.000011	Other/Undefined 
AB020880	squamous cell carcinoma antigen	SART3	3228	1224	-2.64	0.000135	Other/Undefined 
AF040707	homologous to yeast nitrogen permease	NPR2L	1131	437	-2.59	0.001537	Other/Undefined 
U47292	trefoil factor 2	TFF2	359	141	-2.54	0.000684	Other/Undefined 
X69398	CD47 antigen	CD47	350	144	-2.42	0.000853	Other/Undefined 
U27331	fucosyltransferase 6	FUT6	1105	473	-2.34	0.000872	Other/Undefined 
AI827730	cyclin M2	CNNM2	5863	2535	-2.31	0.000484	Other/Undefined 
U05255	glycophorin B	GYPB	1606	717	-2.24	0.00013	Other/Undefined 
M34428	pvt-1 oncogene homolog, MYC activator	PVT1	1231	550	-2.24	0.004423	Other/Undefined 
U86759	netrin 2-like	NTN2L	2039	937	-2.18	0.000204	Other/Undefined 
D90278	CEA-related cell adhesion molecule 3	CEACAM3	4388	2024	-2.17	0.000902	Other/Undefined 
L40400	ZAP3 protein	ZAP3	1549	719	-2.15	0.000776	Other/Undefined 
U48224	beaded filament structural protein 2, phakinin	BFSP2	568	271	-2.1	0.000166	Other/Undefined 
AI138834	deltex homolog 2	DTX2	311	148	-2.1	0.000687	Other/Undefined 
M13755	interferon-stimulated protein, 15 kDa	G1P2	1507	741	-2.03	0.001157	Other/Undefined 
X52228	mucin 1, transmembrane	MUC1	1523	756	-2.02	0.001707	Other/Undefined 
