Probe Set	EMC Average	Non-EMC Average	Fold Difference	Higher Group	P-value	P-value adjusted	Q-value	Gene	Location	Gene Description
203571_s_at	4257	222	19	EMC	5.00E-07	1.00E-02	2.00E-05	C10orf116	chr10q23.2	chromosome 10 open reading frame 116
207016_s_at	1238	66	19	EMC	2.00E-06	4.00E-02	5.00E-05	ALDH1A2	chr15q21.3	aldehyde dehydrogenase 1 family, member A2
205694_at	309	17	18	EMC	2.00E-28	4.00E-24	1.00E-25	TYRP1	chr9p23	tyrosinase-related protein 1
201926_s_at	1412	77	18	EMC	3.00E-08	6.00E-04	1.00E-06	DAF	chr1q32	decay accelerating factor for complement (CD55, Cromer blood group system)
201925_s_at	507	29	17	EMC	5.00E-09	1.00E-04	3.00E-07	DAF	chr1q32	decay accelerating factor for complement (CD55, Cromer blood group system)
214452_at	293	18	17	EMC	2.00E-22	4.00E-18	7.00E-20	BCAT1	chr12pter-q12	branched chain aminotransferase 1, cytosolic
63825_at	1017	62	16	EMC	1.00E-10	2.00E-06	1.00E-08	ABHD2	chr15q26.1	abhydrolase domain containing 2
218888_s_at	772	48	16	EMC	2.00E-08	5.00E-04	1.00E-06	NETO2	chr16q11	neuropilin (NRP) and tolloid (TLL)-like 2
204223_at	1557	101	15	EMC	6.00E-12	1.00E-07	7.00E-10	PRELP	chr1q32	proline/arginine-rich end leucine-rich repeat protein
204284_at	1974	130	15	EMC	2.00E-09	4.00E-05	1.00E-07	PPP1R3C	chr10q23-q24	protein phosphatase 1, regulatory (inhibitor) subunit 3C
220356_at	228	15	15	EMC	3.00E-40	8.00E-36	7.00E-37	CORIN	chr4p13-p12	corin, serine peptidase
220595_at	246	17	15	EMC	2.00E-40	4.00E-36	4.00E-37	PDZRN4	chr12q12	PDZ domain containing RING finger 4
201117_s_at	840	58	15	EMC	3.00E-08	7.00E-04	2.00E-06	CPE	chr4q32.3	carboxypeptidase E
201732_s_at	619	43	14	EMC	9.00E-21	2.00E-16	3.00E-18	CLCN3	chr4q33	chloride channel 3
218197_s_at	363	25	14	EMC	3.00E-26	8.00E-22	2.00E-23	OXR1	chr8q23	oxidation resistance 1
201539_s_at	928	65	14	EMC	1.00E-07	3.00E-03	6.00E-06	FHL1	chrXq26	four and a half LIM domains 1
217966_s_at	837	59	14	EMC	3.00E-17	6.00E-13	7.00E-15	C1orf24	chr1q25	chromosome 1 open reading frame 24
210298_x_at	1079	76	14	EMC	4.00E-07	9.00E-03	2.00E-05	FHL1	chrXq26	four and a half LIM domains 1
204939_s_at	680	48	14	EMC	2.00E-09	4.00E-05	1.00E-07	PLN	chr6q22.1	phospholamban
205413_at	362	26	14	EMC	2.00E-06	4.00E-02	5.00E-05	MPPED2	chr11p13	metallophosphoesterase domain containing 2
220988_s_at	1607	116	14	EMC	4.00E-07	1.00E-02	2.00E-05	C1QTNF3	---	C1q and tumor necrosis factor related protein 3 /// C1q and tumor necrosis factor related protein 3
205951_at	248	19	13	EMC	2.00E-12	3.00E-08	2.00E-10	MYH1	chr17p13.1	myosin, heavy polypeptide 1, skeletal muscle, adult
205798_at	619	47	13	EMC	1.00E-19	3.00E-15	4.00E-17	IL7R	chr5p13	interleukin 7 receptor /// interleukin 7 receptor
202644_s_at	2444	195	13	EMC	2.00E-11	4.00E-07	2.00E-09	TNFAIP3	chr6q23	tumor necrosis factor, alpha-induced protein 3
219295_s_at	296	24	12	EMC	4.00E-08	1.00E-03	2.00E-06	PCOLCE2	chr3q21-q24	procollagen C-endopeptidase enhancer 2
204014_at	422	34	12	EMC	7.00E-08	2.00E-03	3.00E-06	DUSP4	chr8p12-p11	dual specificity phosphatase 4
217999_s_at	379	31	12	EMC	7.00E-23	1.00E-18	3.00E-20	---	---	CDNA clone IMAGE:5531727
202643_s_at	660	55	12	EMC	8.00E-15	2.00E-10	1.00E-12	TNFAIP3	chr6q23	tumor necrosis factor, alpha-induced protein 3
207379_at	352	30	12	EMC	1.00E-26	3.00E-22	9.00E-24	EDIL3	chr5q14	EGF-like repeats and discoidin I-like domains 3
203498_at	628	54	12	EMC	7.00E-11	2.00E-06	6.00E-09	DSCR1L1	chr6p21.1-p12.3	Down syndrome critical region gene 1-like 1
204940_at	185	16	11	EMC	2.00E-17	5.00E-13	5.00E-15	PLN	chr6q22.1	phospholamban
205139_s_at	404	36	11	EMC	3.00E-13	6.00E-09	3.00E-11	UST	chr6q25.1	uronyl-2-sulfotransferase
202709_at	2922	265	11	EMC	3.00E-10	6.00E-06	2.00E-08	FMOD	chr1q32	fibromodulin
214620_x_at	1107	101	11	EMC	7.00E-08	2.00E-03	3.00E-06	PAM	chr5q14-q21	peptidylglycine alpha-amidating monooxygenase
221310_at	267	25	11	EMC	5.00E-18	1.00E-13	1.00E-15	FGF14	chr13q34	fibroblast growth factor 14
204938_s_at	225	22	10	EMC	1.00E-16	3.00E-12	3.00E-14	PLN	chr6q22.1	phospholamban
219523_s_at	540	53	10	EMC	4.00E-10	8.00E-06	3.00E-08	ODZ3	chr4q35.1	odz, odd Oz/ten-m homolog 3 (Drosophila)
210155_at	591	58	10	EMC	6.00E-20	1.00E-15	2.00E-17	MYOC	chr1q23-q24	myocilin, trabecular meshwork inducible glucocorticoid response
202600_s_at	376	37	10	EMC	9.00E-09	2.00E-04	6.00E-07	NRIP1	chr21q11.2	nuclear receptor interacting protein 1
206869_at	692	69	10	EMC	1.00E-28	3.00E-24	1.00E-25	CHAD	chr17q21.33	chondroadherin
221815_at	487	49	10	EMC	9.00E-11	2.00E-06	8.00E-09	ABHD2	chr15q26.1	abhydrolase domain containing 2
206637_at	132	14	10	EMC	7.00E-26	2.00E-21	4.00E-23	P2RY14	chr3q21-q25	purinergic receptor P2Y, G-protein coupled, 14
213496_at	224	24	9	EMC	8.00E-22	2.00E-17	3.00E-19	LPPR4	chr1p21.3	plasticity related gene 1
214279_s_at	847	93	9	EMC	2.00E-14	3.00E-10	2.00E-12	NDRG2	chr14q11.2	NDRG family member 2
202946_s_at	1692	186	9	EMC	4.00E-07	9.00E-03	2.00E-05	BTBD3	chr20p12.2	BTB (POZ) domain containing 3
201733_at	249	28	9	EMC	2.00E-16	5.00E-12	5.00E-14	CLCN3	chr4q33	chloride channel 3
202599_s_at	1109	124	9	EMC	2.00E-06	4.00E-02	6.00E-05	NRIP1	chr21q11.2	nuclear receptor interacting protein 1
201735_s_at	1471	166	9	EMC	7.00E-10	2.00E-05	6.00E-08	CLCN3	chr4q33	chloride channel 3
206118_at	451	51	9	EMC	7.00E-24	1.00E-19	3.00E-21	STAT4	chr2q32.2-q32.3	signal transducer and activator of transcription 4
204454_at	2288	261	9	EMC	1.00E-09	3.00E-05	9.00E-08	LDOC1	chrXq27	leucine zipper, down-regulated in cancer 1
212681_at	151	17	9	EMC	4.00E-15	8.00E-11	6.00E-13	EPB41L3	chr18p11.32	erythrocyte membrane protein band 4.1-like 3
214390_s_at	422	49	9	EMC	5.00E-27	1.00E-22	4.00E-24	BCAT1	chr12pter-q12	branched chain aminotransferase 1, cytosolic
220283_at	499	59	8	EMC	4.00E-42	8.00E-38	1.00E-38	KIAA1822L	chr1q41	KIAA1822-like
219093_at	421	50	8	EMC	7.00E-08	2.00E-03	4.00E-06	FLJ20701	chr2q36.3	hypothetical protein FLJ20701 /// hypothetical protein FLJ20701
214505_s_at	1449	172	8	EMC	2.00E-07	5.00E-03	1.00E-05	FHL1	chrXq26	four and a half LIM domains 1
202218_s_at	1135	138	8	EMC	5.00E-08	1.00E-03	2.00E-06	FADS2	chr11q12-q13.1	fatty acid desaturase 2
206835_at	148	18	8	EMC	1.00E-06	3.00E-02	4.00E-05	STATH	chr4q11-q13	statherin
205523_at	142	18	8	EMC	4.00E-27	9.00E-23	3.00E-24	HAPLN1	chr5q14.3	hyaluronan and proteoglycan link protein 1
204224_s_at	344	43	8	EMC	1.00E-08	2.00E-04	6.00E-07	GCH1	chr14q22.1-q22.2	GTP cyclohydrolase 1 (dopa-responsive dystonia)
208116_s_at	146	19	8	EMC	2.00E-39	4.00E-35	2.00E-36	MAN1A1	chr6q22	mannosidase, alpha, class 1A, member 1
204489_s_at	1389	181	8	EMC	7.00E-10	2.00E-05	6.00E-08	CD44	chr11p13	CD44 antigen (homing function and Indian blood group system)
208427_s_at	140	19	8	EMC	1.00E-16	3.00E-12	3.00E-14	ELAVL2	chr9p21	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)
201734_at	2396	322	7	EMC	4.00E-12	9.00E-08	5.00E-10	CLCN3	chr4q33	Chloride channel 3
215972_at	211	29	7	EMC	2.00E-36	4.00E-32	2.00E-33	---	---	Clone 24820 mRNA sequence
205857_at	177	24	7	EMC	1.00E-16	3.00E-12	3.00E-14	SLC18A2	chr10q25	solute carrier family 18 (vesicular monoamine), member 2
218692_at	334	46	7	EMC	2.00E-08	5.00E-04	1.00E-06	FLJ20366	chr8q23.2	hypothetical protein FLJ20366
213071_at	424	59	7	EMC	3.00E-07	8.00E-03	1.00E-05	DPT	chr1q12-q23	dermatopontin
212730_at	832	117	7	EMC	6.00E-08	1.00E-03	3.00E-06	DMN	chr15q26.3	desmuslin
213695_at	342	48	7	EMC	9.00E-14	2.00E-09	1.00E-11	PON3	chr7q21.3	paraoxonase 3
212990_at	379	54	7	EMC	3.00E-16	7.00E-12	6.00E-14	SYNJ1	chr21q22.2	synaptojanin 1
207012_at	134	20	7	EMC	7.00E-28	2.00E-23	6.00E-25	MMP16	chr8q21	matrix metallopeptidase 16 (membrane-inserted)
207441_at	153	23	7	EMC	1.00E-14	2.00E-10	2.00E-12	SMR3B	chr4q13.3	submaxillary gland androgen regulated protein 3 homolog B (mouse)
219157_at	282	42	7	EMC	6.00E-07	1.00E-02	2.00E-05	KLHL2	chr4q21.2	kelch-like 2, Mayven (Drosophila)
222317_at	88	13	7	EMC	7.00E-35	2.00E-30	8.00E-32	PDE3B	chr11p15.1	Phosphodiesterase 3B, cGMP-inhibited
203642_s_at	120	19	7	EMC	7.00E-13	1.00E-08	9.00E-11	COBLL1	chr2q24.3	COBL-like 1
209278_s_at	166	27	6	EMC	2.00E-07	5.00E-03	9.00E-06	TFPI2	chr7q22	tissue factor pathway inhibitor 2
206710_s_at	154	25	6	EMC	4.00E-09	8.00E-05	2.00E-07	EPB41L3	chr18p11.32	erythrocyte membrane protein band 4.1-like 3
212345_s_at	1041	174	6	EMC	8.00E-11	2.00E-06	8.00E-09	CREB3L2	chr7q34	cAMP responsive element binding protein 3-like 2
217865_at	2208	383	6	EMC	2.00E-08	4.00E-04	1.00E-06	RNF130	chr5q35.3	ring finger protein 130
212741_at	391	69	6	EMC	6.00E-09	1.00E-04	4.00E-07	MAOA	chrXp11.3	monoamine oxidase A
214156_at	80	14	6	EMC	4.00E-17	9.00E-13	9.00E-15	MYRIP	chr3p22.2-p22.1	myosin VIIA and Rab interacting protein
217998_at	574	104	6	EMC	1.00E-22	3.00E-18	5.00E-20	PHLDA1	chr12q15	pleckstrin homology-like domain, family A, member 1
207752_x_at	487	88	6	EMC	5.00E-16	1.00E-11	1.00E-13	PRB1 /// PRB2	chr12p13.2	proline-rich protein BstNI subfamily 1 /// proline-rich protein BstNI subfamily 2
212851_at	431	78	6	EMC	9.00E-10	2.00E-05	7.00E-08	DCUN1D4	chr4q11	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)
201599_at	2026	376	5	EMC	2.00E-06	4.00E-02	6.00E-05	OAT	chr10q26	ornithine aminotransferase (gyrate atrophy)
204834_at	215	40	5	EMC	1.00E-09	3.00E-05	1.00E-07	FGL2	chr7q11.23	fibrinogen-like 2
203717_at	96	18	5	EMC	3.00E-14	7.00E-10	5.00E-12	DPP4	chr2q24.3	dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)
206730_at	101	19	5	EMC	2.00E-29	4.00E-25	2.00E-26	GRIA3	chrXq25-q26	glutamate receptor, ionotrophic, AMPA 3
210461_s_at	352	67	5	EMC	7.00E-08	2.00E-03	3.00E-06	ABLIM1	chr10q25	actin binding LIM protein 1
204324_s_at	185	35	5	EMC	2.00E-12	4.00E-08	2.00E-10	GOLPH4	chr3q26.2	golgi phosphoprotein 4
219564_at	76	15	5	EMC	3.00E-25	6.00E-21	2.00E-22	KCNJ16	chr17q23.1-q24.2	potassium inwardly-rectifying channel, subfamily J, member 16
205524_s_at	342	67	5	EMC	5.00E-18	1.00E-13	1.00E-15	HAPLN1	chr5q14.3	hyaluronan and proteoglycan link protein 1
216012_at	190	37	5	EMC	5.00E-25	1.00E-20	3.00E-22	---	---	Unidentified mRNA, partial sequence
212510_at	892	175	5	EMC	1.00E-08	3.00E-04	7.00E-07	GPD1L	chr3p24.1	glycerol-3-phosphate dehydrogenase 1-like
210597_x_at	878	174	5	EMC	1.00E-15	2.00E-11	2.00E-13	PRB1 /// PRB2	chr12p13.2	proline-rich protein BstNI subfamily 1 /// proline-rich protein BstNI subfamily 2
205236_x_at	570	114	5	EMC	2.00E-17	3.00E-13	4.00E-15	SOD3	chr4p16.3-q21	superoxide dismutase 3, extracellular
213429_at	204	41	5	EMC	1.00E-06	2.00E-02	3.00E-05	---	---	CDNA FLJ26539 fis, clone KDN09310
205272_s_at	267	54	5	EMC	2.00E-06	4.00E-02	6.00E-05	PRH1 /// PRH2	chr12p13.2	proline-rich protein HaeIII subfamily 1 /// proline-rich protein HaeIII subfamily 2
210968_s_at	4395	895	5	EMC	3.00E-08	6.00E-04	1.00E-06	RTN4	chr2p16.3	reticulon 4
207577_at	135	28	5	EMC	2.00E-39	3.00E-35	2.00E-36	HTR4	chr5q31-q33	5-hydroxytryptamine (serotonin) receptor 4
219377_at	273	56	5	EMC	1.00E-13	3.00E-09	2.00E-11	FAM59A	chr18q12.1	family with sequence similarity 59, member A
213056_at	109	22	5	EMC	9.00E-11	2.00E-06	8.00E-09	FRMD4B	chr3p14.1	FERM domain containing 4B
211776_s_at	151	31	5	EMC	1.00E-13	2.00E-09	2.00E-11	EPB41L3	chr18p11.32	erythrocyte membrane protein band 4.1-like 3 /// erythrocyte membrane protein band 4.1-like 3
211531_x_at	907	188	5	EMC	3.00E-14	6.00E-10	4.00E-12	PRB1 /// PRB2	chr12p13.2	proline-rich protein BstNI subfamily 1 /// proline-rich protein BstNI subfamily 2
206448_at	127	26	5	EMC	1.00E-13	3.00E-09	2.00E-11	ZNF365	chr10q21.2	zinc finger protein 365
219407_s_at	262	55	5	EMC	1.00E-17	3.00E-13	3.00E-15	LAMC3	chr9q31-q34	laminin, gamma 3
210121_at	61	13	5	EMC	7.00E-22	2.00E-17	3.00E-19	B3GALT2	chr1q31	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2
202119_s_at	1997	424	5	EMC	1.00E-07	3.00E-03	6.00E-06	CPNE3	chr8q21.3	copine III
220351_at	69	15	5	EMC	3.00E-24	6.00E-20	2.00E-21	CCRL1	chr3q22	chemokine (C-C motif) receptor-like 1
202742_s_at	144	31	5	EMC	2.00E-08	5.00E-04	1.00E-06	PRKACB	chr1p36.1	protein kinase, cAMP-dependent, catalytic, beta
212650_at	156	34	5	EMC	8.00E-16	2.00E-11	2.00E-13	EHBP1	chr2p15	EH domain binding protein 1
202922_at	287	64	5	EMC	4.00E-08	8.00E-04	2.00E-06	GCLC	chr6p12	glutamate-cysteine ligase, catalytic subunit
209468_at	227	51	4	EMC	2.00E-12	4.00E-08	2.00E-10	LRP5	chr11q13.4	low density lipoprotein receptor-related protein 5
205736_at	175	40	4	EMC	8.00E-08	2.00E-03	4.00E-06	PGAM2	chr7p13-p12	phosphoglycerate mutase 2 (muscle)
205638_at	93	21	4	EMC	6.00E-07	1.00E-02	2.00E-05	BAI3	chr6q12	brain-specific angiogenesis inhibitor 3
206453_s_at	1925	441	4	EMC	2.00E-07	5.00E-03	1.00E-05	NDRG2	chr14q11.2	NDRG family member 2
205668_at	79	18	4	EMC	2.00E-07	3.00E-03	7.00E-06	LY75	chr2q24	lymphocyte antigen 75
212530_at	1251	289	4	EMC	1.00E-06	3.00E-02	4.00E-05	NEK7	chr1q31.3	NIMA (never in mitosis gene a)-related kinase 7
214582_at	94	22	4	EMC	9.00E-26	2.00E-21	6.00E-23	PDE3B	chr11p15.1	phosphodiesterase 3B, cGMP-inhibited
220999_s_at	375	87	4	EMC	2.00E-11	4.00E-07	2.00E-09	CYFIP2	chr5q33.3	cytoplasmic FMR1 interacting protein 2 /// cytoplasmic FMR1 interacting protein 2
214596_at	257	60	4	EMC	2.00E-13	3.00E-09	2.00E-11	CHRM3	chr1q41-q44	cholinergic receptor, muscarinic 3
212451_at	184	44	4	EMC	7.00E-08	2.00E-03	4.00E-06	KIAA0256	chr15q21.1	KIAA0256 gene product
209277_at	52	12	4	EMC	7.00E-12	2.00E-07	8.00E-10	TFPI2	chr7q22	Tissue factor pathway inhibitor 2
214077_x_at	348	82	4	EMC	1.00E-06	3.00E-02	5.00E-05	MEIS4	chr17p12	Meis1, myeloid ecotropic viral integration site 1 homolog 4 (mouse)
201941_at	595	143	4	EMC	5.00E-07	1.00E-02	2.00E-05	CPD	chr17p11.1-q11.2	carboxypeptidase D
202552_s_at	106	26	4	EMC	5.00E-09	1.00E-04	3.00E-07	CRIM1	chr2p21	cysteine rich transmembrane BMP regulator 1 (chordin-like)
203914_x_at	104	25	4	EMC	9.00E-08	2.00E-03	4.00E-06	HPGD	chr4q34-q35	hydroxyprostaglandin dehydrogenase 15-(NAD)
210916_s_at	209	51	4	EMC	1.00E-08	3.00E-04	7.00E-07	CD44	chr11p13	CD44 antigen (homing function and Indian blood group system)
219054_at	214	54	4	EMC	3.00E-07	8.00E-03	1.00E-05	FLJ14054	chr5p13.3	hypothetical protein FLJ14054
211509_s_at	4832	1218	4	EMC	3.00E-07	7.00E-03	1.00E-05	RTN4	chr2p16.3	reticulon 4
218322_s_at	169	43	4	EMC	5.00E-14	1.00E-09	7.00E-12	ACSL5	chr10q25.1-q25.2	acyl-CoA synthetase long-chain family member 5
203641_s_at	197	50	4	EMC	1.00E-09	3.00E-05	9.00E-08	COBLL1	chr2q24.3	COBL-like 1
219331_s_at	208	53	4	EMC	1.00E-16	3.00E-12	3.00E-14	FLJ10748	chr1q32.1	hypothetical protein FLJ10748
207010_at	74	19	4	EMC	7.00E-20	2.00E-15	2.00E-17	GABRB1	chr4p12	gamma-aminobutyric acid (GABA) A receptor, beta 1
214629_x_at	3693	966	4	EMC	7.00E-08	1.00E-03	3.00E-06	RTN4	chr2p16.3	reticulon 4
206938_at	175	46	4	EMC	2.00E-15	5.00E-11	4.00E-13	SRD5A2	chr2p23	steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)
215813_s_at	189	50	4	EMC	5.00E-09	1.00E-04	3.00E-07	PTGS1	chr9q32-q33.3	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
216881_x_at	279	75	4	EMC	5.00E-12	1.00E-07	5.00E-10	PRB4	chr12p13.2	proline-rich protein BstNI subfamily 4
210518_at	165	45	4	EMC	4.00E-07	9.00E-03	2.00E-05	CDH8	chr16q22.1	cadherin 8, type 2
204015_s_at	266	73	4	EMC	5.00E-07	1.00E-02	2.00E-05	DUSP4	chr8p12-p11	dual specificity phosphatase 4
203788_s_at	230	64	4	EMC	2.00E-06	4.00E-02	5.00E-05	SEMA3C	chr7q21-q31	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
217452_s_at	46	13	4	EMC	1.00E-18	2.00E-14	3.00E-16	B3GALT2	chr1q31	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2
214297_at	167	47	4	EMC	3.00E-07	6.00E-03	1.00E-05	CSPG4	chr15q23	Chondroitin sulfate proteoglycan 4 (melanoma-associated)
208591_s_at	317	90	4	EMC	2.00E-21	5.00E-17	7.00E-19	PDE3B	chr11p15.1	phosphodiesterase 3B, cGMP-inhibited
201151_s_at	60	17	4	EMC	1.00E-08	3.00E-04	8.00E-07	MBNL1	chr3q25	muscleblind-like (Drosophila)
221060_s_at	140	40	3	EMC	2.00E-14	4.00E-10	3.00E-12	TLR4	chr9q32-q33	toll-like receptor 4 /// toll-like receptor 4
202821_s_at	190	56	3	EMC	7.00E-15	1.00E-10	1.00E-12	LPP	chr3q28	LIM domain containing preferred translocation partner in lipoma
209877_at	122	36	3	EMC	3.00E-19	7.00E-15	9.00E-17	SNCG	chr10q23.2-q23.3	synuclein, gamma (breast cancer-specific protein 1)
213704_at	173	51	3	EMC	1.00E-07	3.00E-03	6.00E-06	RABGGTB	chr1p31	Rab geranylgeranyltransferase, beta subunit
203821_at	300	89	3	EMC	8.00E-09	2.00E-04	5.00E-07	HBEGF	chr5q23	heparin-binding EGF-like growth factor
214807_at	98	29	3	EMC	1.00E-08	2.00E-04	6.00E-07	---	---	MRNA; cDNA DKFZp564O0862 (from clone DKFZp564O0862)
209883_at	150	45	3	EMC	1.00E-13	3.00E-09	2.00E-11	GLT25D2	chr1q25	glycosyltransferase 25 domain containing 2
206381_at	128	38	3	EMC	2.00E-17	4.00E-13	4.00E-15	SCN2A2	chr2q23-q24	sodium channel, voltage-gated, type II, alpha 2
203716_s_at	171	51	3	EMC	6.00E-08	1.00E-03	3.00E-06	DPP4	chr2q24.3	dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)
201262_s_at	177	53	3	EMC	1.00E-08	2.00E-04	6.00E-07	BGN	chrXq28	biglycan
207568_at	235	71	3	EMC	9.00E-16	2.00E-11	2.00E-13	CHRNA6	chr8p11.21	cholinergic receptor, nicotinic, alpha polypeptide 6
201813_s_at	403	124	3	EMC	5.00E-07	1.00E-02	2.00E-05	TBC1D5	chr3p24.3	TBC1 domain family, member 5
213325_at	62	19	3	EMC	2.00E-06	4.00E-02	5.00E-05	PVRL3	chr3q13	poliovirus receptor-related 3
221104_s_at	82	25	3	EMC	2.00E-20	5.00E-16	7.00E-18	NIPSNAP3B	chr9q31.1	nipsnap homolog 3B (C. elegans)
219312_s_at	59	18	3	EMC	7.00E-12	2.00E-07	8.00E-10	ZBTB10	chr8q13-q21.1	zinc finger and BTB domain containing 10
205833_s_at	202	63	3	EMC	5.00E-11	1.00E-06	5.00E-09	PART1	chr5q12.1	prostate androgen-regulated transcript 1
213355_at	68	21	3	EMC	5.00E-11	1.00E-06	5.00E-09	ST3GAL6	chr3q12.1	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
206007_at	57	18	3	EMC	4.00E-16	1.00E-11	9.00E-14	PRG4	chr1q25-q31	proteoglycan 4
87100_at	50	16	3	EMC	2.00E-10	4.00E-06	1.00E-08	ABHD2	chr15q26.1	Abhydrolase domain containing 2
206780_at	186	59	3	EMC	1.00E-18	3.00E-14	3.00E-16	GAD2	chr10p11.23	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)
213955_at	263	83	3	EMC	1.00E-12	3.00E-08	2.00E-10	MYOZ3	chr5q33.1	myozenin 3
209863_s_at	107	34	3	EMC	2.00E-08	4.00E-04	1.00E-06	TP73L	chr3q28	tumor protein p73-like
200959_at	393	1205	3	Non-EMC	1.00E-06	3.00E-02	5.00E-05	FUS	chr16p11.2	fusion (involved in t(12;16) in malignant liposarcoma)
204467_s_at	161	53	3	EMC	4.00E-11	1.00E-06	4.00E-09	SNCA	chr4q21	synuclein, alpha (non A4 component of amyloid precursor) /// synuclein, alpha (non A4 component of amyloid precursor)
34697_at	90	30	3	EMC	1.00E-14	3.00E-10	2.00E-12	LRP6	chr12p11-p13	low density lipoprotein receptor-related protein 6
201728_s_at	217	72	3	EMC	4.00E-07	8.00E-03	1.00E-05	KIAA0100	chr17q11.2	KIAA0100 gene product
220429_at	79	26	3	EMC	1.00E-21	3.00E-17	4.00E-19	NDST3	chr4q26	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3
204221_x_at	122	41	3	EMC	3.00E-09	7.00E-05	2.00E-07	GLIPR1	chr12q21.1	GLI pathogenesis-related 1 (glioma)
207819_s_at	109	37	3	EMC	4.00E-10	9.00E-06	3.00E-08	ABCB4	chr7q21.1	ATP-binding cassette, sub-family B (MDR/TAP), member 4
212052_s_at	795	271	3	EMC	5.00E-09	1.00E-04	3.00E-07	KIAA0676	chr5q35.3	KIAA0676 protein
209859_at	126	43	3	EMC	2.00E-09	4.00E-05	1.00E-07	TRIM9	chr14q22.1	tripartite motif-containing 9
205128_x_at	313	107	3	EMC	6.00E-08	1.00E-03	3.00E-06	PTGS1	chr9q32-q33.3	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
