probeset	M	Gene Title	Gene Symbol	Ensembl	Entrez Gene	SwissProt	RefSeq Protein ID	RefSeq Transcript ID
230135_at	-1.335203561	CDNA FLJ42405 fis, clone ASTRO3000474	NA	NA	NA	NA	NA	NA
1558668_s_at	-1.333764692	spermatogenesis associated 22	SPATA22	ENSG00000141255	84690	Q8NHS9 /// Q969H3 /// Q96JT4	NP_115987.1	NM_032598
235572_at	-1.333732719	spindle pole body component 24 homolog (S. cerevisiae)	SPBC24	NA	147841	Q8NBT2	NP_872319.1	NM_182513
205053_at	-1.330808613	primase, polypeptide 1, 49kDa	PRIM1	ENSG00000198056	5557	P49642 /// Q53F98	NP_000937.1	NM_000946
216870_x_at	-1.31827133	deleted in lymphocytic leukemia, 2	DLEU2	NA	8847	O43262 /// Q7Z2U1	NA	NR_002612
203755_at	-1.312417494	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	BUB1B	ENSG00000156970	701	O60566 /// Q59HH6 /// Q8WV50	NP_001202.4	NM_001211
203362_s_at	-1.311152431	MAD2 mitotic arrest deficient-like 1 (yeast)	MAD2L1	ENSG00000164109	4085	Q13257 /// Q53F56 /// Q6IRW7 /// Q8IZX3	NP_002349.1	NM_002358
222962_s_at	-1.306626456	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	MCM10	ENSG00000065328	55388	Q3MIR3 /// Q7L590 /// Q7LD55 /// Q96GX4 /// Q96NB6 /// Q9H0D7 /// Q9H3P9	NP_060988.3 /// NP_877428.1	NM_018518 /// NM_182751
231855_at	-1.305423851	KIAA1524	KIAA1524	NA	57650	Q6P4G6 /// Q8TCG1 /// Q8WVP8 /// Q96PI2 /// Q9H9C6 /// Q9P204	NP_065941.1	NM_020890
222680_s_at	-1.304022132	denticleless homolog (Drosophila)	DTL	ENSG00000143476	51514	Q96SN0 /// Q9NW03 /// Q9NW34 /// Q9NWM5 /// Q9NZJ0	NP_057532.1	NM_016448
209292_at	-1.303301171	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	ID4	NA	3400	P47928	NP_001537.1	NM_001546
209708_at	-1.29949529	monooxygenase, DBH-like 1	MOXD1	ENSG00000079931	26002	Q6UVY6 /// Q8NC97 /// Q8WV49 /// Q9H4M6 /// Q9Y4U3	NP_001026869.1	NM_001031699
238831_at	-1.298918646	Transcribed locus	NA	NA	NA	NA	NA	NA
1552365_at	-1.298339425	scinderin	SCIN	NA	85477	Q8NBV9 /// Q9Y6U3	NP_149119.1	NM_033128
1552619_a_at	-1.298334885	anillin, actin binding protein	ANLN	ENSG00000011426	54443	Q9NQW6	NP_061155.2	NM_018685
1554906_a_at	-1.298289919	M-phase phosphoprotein 6	MPHOSPH6	NA	10200	Q53HB4 /// Q8NHT4 /// Q99547	NP_005783.1	NM_005792
206364_at	-1.295860667	kinesin family member 14	KIF14	ENSG00000118193	9928	Q14CI8 /// Q15058 /// Q4G0A5	NP_055690.1	NM_014875
205034_at	-1.29171015	cyclin E2	CCNE2	ENSG00000175305	9134	O96020 /// Q7Z774 /// Q8WUE3	NP_477083.1 /// NP_477097.1	NM_057735 /// NM_057749
235585_at	-1.290805727	Transcribed locus	NA	NA	NA	NA	NA	NA
210559_s_at	-1.287996412	cell division cycle 2, G1 to S and G2 to M	CDC2	ENSG00000170312	983	P06493 /// Q3B785 /// Q5H9N4	NP_001777.1 /// NP_203698.1	NM_001786 /// NM_033379
225687_at	-1.286296935	family with sequence similarity 83, member D	FAM83D	ENSG00000101447	81610	Q68EN1 /// Q6P457 /// Q7Z6H0 /// Q9H4H8	NP_112181.1	NM_030919
205065_at	-1.284816114	NA	NA	ENSG00000197594	NA	NA	NA	NA
236535_at	-1.277405355	structural maintenance of chromosomes 6	SMC6	ENSG00000163029	79677	Q96SB8 /// Q9H0X3 /// Q9H6M0	NP_078900.1	NM_024624
235609_at	-1.27149849	Transcribed locus	NA	NA	NA	NA	NA	NA
223843_at	-1.257132355	scavenger receptor class A, member 3	SCARA3	ENSG00000168077	51435	Q6AZY7	NP_057324.2 /// NP_878185.1	NM_016240 /// NM_182826
230479_at	-1.254045565	Transcribed locus	NA	NA	NA	NA	NA	NA
204612_at	-1.249803598	protein kinase (cAMP-dependent, catalytic) inhibitor alpha	PKIA	ENSG00000171033	5569	P61925	NP_006814.1 /// NP_862822.1	NM_006823 /// NM_181839
237571_at	-1.239917762	Amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)	APP	NA	351	P05067 /// Q6GSC0 /// Q6P0P4 /// Q8WZ99	NP_000475.1 /// NP_958816.1 /// NP_958817.1	NM_000484 /// NM_201413 /// NM_201414
226184_at	-1.236271834	formin-like 2	FMNL2	ENSG00000157827	114793	Q14CC9 /// Q6ZN96 /// Q8N3E0 /// Q96CE5 /// Q96PY5	NP_443137.2	NM_052905
91816_f_at	-1.234345093	ring finger and KH domain containing 1	RKHD1	ENSG00000181588	399664	Q38IJ5 /// Q38IJ6 /// Q71M49 /// Q86XN8 /// Q8NI85	NP_976049.1	NM_203304
227458_at	-1.233454269	NA	NA	ENSG00000120217	NA	NA	NA	NA
202503_s_at	-1.23057292	KIAA0101	KIAA0101	ENSG00000166803	9768	Q15004 /// Q5JPH1 /// Q6UWT8 /// Q8IXA3 /// Q9H5M4 /// Q9HCP0	NP_001025160.1 /// NP_055551.1	NM_001029989 /// NM_014736
209408_at	-1.227465559	kinesin family member 2C	KIF2C	ENSG00000142945	11004	Q6ICU1 /// Q6ZVQ5 /// Q8N5N1 /// Q99661	NP_006836.1	NM_006845
227953_at	-1.226341157	CDNA FLJ36440 fis, clone THYMU2012565	NA	NA	NA	NA	NA	NA
242005_at	-1.221563774	NA	NA	NA	NA	NA	NA	NA
219306_at	-1.221411897	kinesin family member 15 /// chromosome 7 open reading frame 9	KIF15 /// C7orf9	ENSG00000163808	56992 /// 64111	Q17RV9 /// Q69YG0 /// Q69YL6 /// Q8WUQ6 /// Q96JX7 /// Q9H280 /// Q9HCQ7 /// Q9NS87	NP_064627.1 /// NP_071433.3	NM_020242 /// NM_022150
241470_x_at	-1.220012873	Transcribed locus, moderately similar to NP_055301.1 neuronal thread protein AD7c-NTP [Homo sapiens]	NA	NA	NA	NA	NA	NA
202954_at	-1.219990387	p21 (CDKN1A)-activated kinase 3 /// ubiquitin-conjugating enzyme E2C	PAK3 /// UBE2C	ENSG00000175063	11065 /// 5063	O00762 /// O75914 /// Q5TZN3	NP_002569.1 /// NP_008950.1 /// NP_861515.1 /// NP_861516.1 /// NP_861517.1 /// NP_861518.1 /// NP_861519.1	NM_002578 /// NM_007019 /// NM_181799 /// NM_181800 /// NM_181801 /// NM_181802 /// NM_181803
226864_at	-1.210154588	Protein kinase (cAMP-dependent, catalytic) inhibitor alpha	PKIA	NA	5569	P61925	NP_006814.1 /// NP_862822.1	NM_006823 /// NM_181839
203887_s_at	-1.206789379	thrombomodulin	THBD	ENSG00000178726	7056	P07204 /// Q8IV29	NP_000352.1	NM_000361
228314_at	-1.204826778	NA	NA	ENSG00000171488	NA	NA	NA	NA
215193_x_at	-1.204271424	major histocompatibility complex, class II, DR beta 1	HLA-DRB1	ENSG00000196101 /// ENSG00000206306 /// ENSG00000206240	3123	O02951 /// O19190 /// O19507 /// O19517 /// O19585 /// O19586 /// O19587 /// O19622 /// O19721 /// O19725 /// O19728 /// O19729 /// O19730 /// O19742 /// O19762 /// O19763 /// O77961 /// O77966 /// O78042 /// O78117 /// P01912 /// P01913 /// P01914 /// P04229 /// P13760 /// P13761 /// P13762 /// P20039 /// P79483 /// P79552 /// Q13365 /// Q29671 /// Q29672 /// Q29673 /// Q29696 /// Q29703 /// Q29717 /// Q29726 /// Q29745 /// Q29755 /// Q29769 /// Q29787 /// Q29788 /// Q29789 /// Q29790 /// Q29791 /// Q29792 /// Q29889 /// Q29890 /// Q29901 /// Q29971 /// Q29972 /// Q29973 /// Q29974 /// Q29975 /// Q2LIR3 /// Q2LIR4 /// Q2LIR5 /// Q30008 /// Q30009 /// Q30103 /// Q30104 /// Q30109 /// Q30112 /// Q30114 /// Q30120 /// Q30131 /// Q30134 /// Q30136 /// Q30137 /// Q30142 /// Q30143 /// Q30147 /// Q30148 /// Q30150 /// Q30151 /// Q30152 /// Q30154 /// Q30158 /// Q30159 /// Q30162 /// Q30164 /// Q30165 /// Q30166 /// Q30167 /// Q30178 /// Q30179 /// Q32MY7 /// Q4A1G9 /// Q4JH26 /// Q4ZJJ2 /// Q56FN4 /// Q56FN5 /// Q56FN6 /// Q56FN7 /// Q56FN8 /// Q56FN9 /// Q56FP1 /// Q56FP2 /// Q56FP3 /// Q56FP5 /// Q56FP7 /// Q5BM92 /// Q5IWM0 /// Q5K3W2 /// Q5K3W3 /// Q5SP44 /// Q5UT58 /// Q5XKU0 /// Q5Y7B9 /// Q5Y7D1 /// Q6YJU6 /// Q70I25 /// Q70Q10 /// Q7YPT7 /// Q860C0 /// Q860Y4 /// Q8N855 /// Q8NEI3 /// Q8TB62 /// Q8WLU3 /// Q95379 /// Q95462 /// Q95HK1 /// Q95HK2 /// Q95HK3 /// Q95HL8 /// Q95IE3 /// Q95IH1 /// Q95IT4 /// Q96HZ9 /// Q9GIY0 /// Q9GIY1 /// Q9GIY2 /// Q9GIY3 /// Q9MYB9 /// Q9TQD6 /// Q9TQD7 /// Q9TQD8 /// Q9TQD9 /// Q9TQE0 /// Q9TQE1	NP_002115.1	NM_002124
209773_s_at	-1.204005525	ribonucleotide reductase M2 polypeptide	RRM2	ENSG00000171848	6241	P31350 /// Q8N6S3	NP_001025.1	NM_001034
222777_s_at	-1.202150174	Wolf-Hirschhorn syndrome candidate 1	WHSC1	NA	7468	O96028 /// O96031 /// Q4VBY8 /// Q5GMH9 /// Q672J1 /// Q6IS00 /// Q86V01 /// Q9BZB4 /// Q9P0D8 /// Q9UI92 /// Q9UPR2	NP_001035889.1 /// NP_015627.1 /// NP_579877.1 /// NP_579878.1 /// NP_579889.1 /// NP_579890.1 /// NP_579891.1	NM_001042424 /// NM_007331 /// NM_133330 /// NM_133331 /// NM_133334 /// NM_133335 /// NM_133336
235759_at	-1.200489261	Transcribed locus, strongly similar to NP_071746.1 EF hand calcium binding protein 1; synaptotagmin interacting protein 1; neuronal calcium binding protein [Homo sapiens]	NA	NA	NA	NA	NA	NA
201969_at	-1.197623268	nuclear autoantigenic sperm protein (histone-binding)	NASP	ENSG00000132780	4678	O95138 /// P49321 /// Q53GW5 /// Q53H03 /// Q5T626 /// Q6PJY7	NP_002473.2 /// NP_689511.2 /// NP_751896.1	NM_002482 /// NM_152298 /// NM_172164
221521_s_at	-1.193484867	GINS complex subunit 2 (Psf2 homolog)	GINS2	ENSG00000131153	51659	Q53G08 /// Q9Y248	NP_057179.1	NM_016095
1554474_a_at	-1.190893906	monooxygenase, DBH-like 1	MOXD1	ENSG00000079931	26002	Q6UVY6 /// Q8NC97 /// Q8WV49 /// Q9H4M6 /// Q9Y4U3	NP_001026869.1	NM_001031699
242486_at	-1.190576017	KIAA0101	KIAA0101	NA	9768	Q15004 /// Q5JPH1 /// Q6UWT8 /// Q8IXA3 /// Q9H5M4 /// Q9HCP0	NP_001025160.1 /// NP_055551.1	NM_001029989 /// NM_014736
1555938_x_at	-1.188106399	vimentin	VIM	NA	7431	P08670 /// Q53HU8 /// Q548L2 /// Q8N9S6	NP_003371.2	NM_003380
208808_s_at	-1.180940405	high-mobility group box 2	HMGB2	ENSG00000164104	3148	P26583 /// Q5U071 /// Q5U072 /// Q96J53	NP_002120.1	NM_002129
201292_at	-1.18008424	topoisomerase (DNA) II alpha 170kDa	TOP2A	ENSG00000131747	7153	P11388	NP_001058.2	NM_001067
241435_at	-1.179561651	V-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	ETS1	NA	2113	P14921 /// Q5U0M2 /// Q6FG54 /// Q6N087 /// Q96AC5	NP_005229.1	NM_005238
205046_at	-1.177645156	centromere protein E, 312kDa	CENPE	ENSG00000138778	1062	Q02224 /// Q4LE75	NP_001804.2	NM_001813
210982_s_at	-1.176708308	major histocompatibility complex, class II, DR alpha	HLA-DRA	ENSG00000206308 /// ENSG00000206243 /// ENSG00000204287	3122	O19716 /// O19720 /// P01903 /// Q29868 /// Q30118	NP_061984.2	NM_019111
223274_at	-1.174795425	NA	NA	ENSG00000206352 /// ENSG00000137310 /// ENSG00000206455	NA	NA	NA	NA
204162_at	-1.172706474	kinetochore associated 2	KNTC2	ENSG00000080986	10403	O14777 /// Q6PJX2	NP_006092.1	NM_006101
204510_at	-1.172528066	CDC7 cell division cycle 7 (S. cerevisiae)	CDC7	ENSG00000097046	8317	O00311 /// Q59FX2 /// Q5T5U5 /// Q6JSD6	NP_003494.1	NM_003503
218355_at	-1.171730614	kinesin family member 4A	KIF4A	ENSG00000090889	24137	O95239 /// Q59HG1 /// Q6PKB2 /// Q9HCC8 /// Q9NXJ6	NP_036442.2	NM_012310
219990_at	-1.170432815	E2F transcription factor 8	E2F8	ENSG00000129173	79733	Q2VPJ3 /// Q3C1U6 /// Q5BKY4 /// Q8N340 /// Q9H5M0	NP_078956.2	NM_024680
229665_at	-1.168925463	cleavage stimulation factor, 3 pre-RNA, subunit 3, 77kDa	CSTF3	NA	1479	Q12996 /// Q32P22 /// Q96QK4	NP_001028677.1 /// NP_001028678.1 /// NP_001317.1	NM_001033505 /// NM_001033506 /// NM_001326
242560_at	-1.165993549	Fanconi anemia, complementation group D2	FANCD2	ENSG00000144554	2177	Q7Z6N6 /// Q86XG0 /// Q8NAP4 /// Q9BXW9	NP_001018125.1 /// NP_149075.2	NM_001018115 /// NM_033084
215731_s_at	-1.164247957	M-phase phosphoprotein 9	MPHOSPH9	NA	10198	Q99550	NP_073619.2	NM_022782
218039_at	-1.163709027	nucleolar and spindle associated protein 1	NUSAP1	ENSG00000137804	51203	Q53GW2 /// Q8TBT4 /// Q96E58 /// Q96FJ1 /// Q9BXS6 /// Q9GZM9 /// Q9NZ85 /// Q9UI70	NP_057443.1 /// NP_060924.4	NM_016359 /// NM_018454
205381_at	-1.160151503	leucine rich repeat containing 17	LRRC17	ENSG00000128606	10234	Q8N6Y2	NP_001026862.1 /// NP_005815.1	NM_001031692 /// NM_005824
227545_at	-1.14572298	Transcribed locus, strongly similar to NP_000456.1 BRCA1 associated RING domain 1; BRCA1-associated RING domain 1; BRCA1-associated RING domain gene 1 [Homo sapiens]	NA	NA	NA	NA	NA	NA
209709_s_at	-1.134298262	hyaluronan-mediated motility receptor (RHAMM)	HMMR	ENSG00000072571	3161	O75330 /// Q2VPE6 /// Q32N02 /// Q6NSC0 /// Q6PG44 /// Q6PIR6	NP_036616.1 /// NP_036617.1	NM_012484 /// NM_012485
210758_at	-1.121354407	PC4 and SFRS1 interacting protein 1	PSIP1	ENSG00000164985	11168	O75475 /// Q8N4N4	NP_066967.2 /// NP_150091.2	NM_021144 /// NM_033222
