Probe Set ID	Gene Symbol	Gene Title	Adjusted P-value	Average Expression Ratio
228156_at			0.022	0.23
243427_at			0.022	0.22
1563071_at			0.025	0.24
1556159_at			0.026	0.17
242171_at			0.027	0.27
237634_at			0.03	0.23
237602_at			0.032	0.17
1557147_a_at			0.037	0.27
1566787_at			0.039	0.26
1560095_s_at			0.039	0.35
232273_at			0.04	0.12
228854_at			0.04	0.19
233958_at			0.043	0.26
1569953_at			0.045	0.32
1570299_at			0.047	0.46
1555263_at			0.048	0.4
214163_at	HSPB11	heat shock protein family B (small), member 11	< 0.0001	3.02
206493_at	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	< 0.0001	3.85
208930_s_at	ILF3	interleukin enhancer binding factor 3, 90kDa	< 0.0001	3.55
215748_at	KLHL35	Kelch-like 35 (Drosophila)	< 0.0001	3.44
242581_at	MAP3K15	Mitogen-activated protein kinase 15	< 0.0001	3.93
207138_at	PHF2	PHD finger protein 2	< 0.0001	4.75
234724_x_at	PCDHB18	protocadherin beta 18 pseudogene	< 0.0001	2.42
220510_at	RHBG	Rh family, B glycoprotein	< 0.0001	6.57
220454_s_at	SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	< 0.0001	2.49
236008_at	LOC100128909	similar to hCG1817494	< 0.0001	2.05
228956_at	UGT8	UDP glycosyltransferase 8	< 0.0001	3.46
224979_s_at	USP36	ubiquitin specific peptidase 36	0.00012	4.16
214935_at	IL4I1 /// NUP62	interleukin 4 induced 1 /// nucleoporin 62kDa	0.00022	2.85
225377_at	C9orf86	chromosome 9 open reading frame 86	0.00034	10.43
230239_at	ROCK1	Rho-associated, coiled-coil containing protein kinase 1	0.00041	4.79
232153_at	SPEG	SPEG complex locus	0.00041	4.42
227185_at	LOC643988	hypothetical LOC643988	0.00071	3.98
218529_at	CD320	CD320 molecule	0.00075	1.58
1558711_at	FAM13A1OS	FAM13A1 opposite strand (non-protein coding)	0.00075	3.9
201895_at	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	0.0013	3.49
206625_at	PRPH2	peripherin 2 (retinal degeneration, slow)	0.0013	1.99
1555499_a_at	IL28RA	interleukin 28 receptor, alpha (interferon, lambda receptor)	0.0015	6.72
226583_at	FLJ40142	FLJ40142 protein	0.0016	3.13
218217_at	SCPEP1	serine carboxypeptidase 1	0.0018	6.74
203662_s_at	TMOD1	tropomodulin 1	0.002	2.83
224488_s_at	SPON1	spondin 1, extracellular matrix protein	0.002	4.16
238986_at	FLJ43663	hypothetical LOC378805	0.002	2.49
217511_at	KAZALD1	Kazal-type serine peptidase inhibitor domain 1	0.0021	3.39
1553527_at	NLRP9	NLR family, pyrin domain containing 9	0.0024	3.57
1556300_s_at	SIM1	single-minded homolog 1 (Drosophila)	0.0029	6.01
221926_s_at	IL17RC	interleukin 17 receptor C	0.0029	1.73
235103_at	MAN2A1	mannosidase, alpha, class 2A, member 1	0.0029	5.78
219332_at	MICALL2	MICAL-like 2	0.0031	4.79
206761_at	CD96	CD96 molecule	0.0033	3.77
206876_at	SIM1	single-minded homolog 1 (Drosophila)	0.0033	4.33
217015_at	LOC727842	hypothetical LOC727842	0.0035	2.61
212745_s_at	BBS4	Bardet-Biedl syndrome 4	0.0037	4.16
1559640_at	ANKFN1	Ankyrin-repeat and fibronectin type III domain containing 1	0.0039	4.12
202248_at	E2F4	E2F transcription factor 4, p107/p130-binding	0.0044	4.88
209469_at	GPM6A	glycoprotein M6A	0.0044	3.02
211643_x_at	IGK@ /// IGKV3-20 /// IGKV3D-11 /// IGKV3D-15	immunoglobulin kappa locus /// immunoglobulin kappa variable 3-20 /// immunoglobulin kappa variable 3D-11 /// immunoglobulin kappa variable 3D-15	0.0046	1.65
218199_s_at	NOL6	nucleolar protein family 6 (RNA-associated)	0.0046	4.83
218555_at	ANAPC2	anaphase promoting complex subunit 2	0.0047	2.47
227258_at	C10orf46	chromosome 10 open reading frame 46	0.0049	4.67
216408_at	OR2B2	olfactory receptor, family 2, subfamily B, member 2	0.005	2.66
240614_at	KCNC2	potassium voltage-gated channel, Shaw-related subfamily, member 2	0.0051	2.27
239189_at	CASKIN1	CASK interacting protein 1	0.0053	2.99
223587_s_at	AMN	amnionless homolog (mouse)	0.0059	3.13
241599_at	LSM11	LSM11, U7 small nuclear RNA associated	0.0059	3.21
237595_at	LMX1A	LIM homeobox transcription factor 1, alpha	0.006	2.85
233866_at	KLHL5	kelch-like 5 (Drosophila)	0.0061	5.61
206395_at	DGKG	diacylglycerol kinase, gamma 90kDa	0.0064	4.7
208057_s_at	GLI2	GLI-Kruppel family member GLI2	0.0064	4.74
217254_s_at	EPO	erythropoietin	0.0066	5.91
201214_s_at	PPP1R7	protein phosphatase 1, regulatory (inhibitor) subunit 7	0.0068	2.51
219851_at	ZNF613	zinc finger protein 613	0.0068	2.56
244755_at	XPR1	Xenotropic and polytropic retrovirus receptor	0.0077	7.21
1555212_at	OR8B8	olfactory receptor, family 8, subfamily B, member 8	0.0079	3.97
231650_s_at	SEZ6L	Seizure related 6 homolog (mouse)-like	0.008	3.4
235838_at	NLGN2	Neuroligin 2	0.0085	3.03
1554953_a_at	C21orf90	chromosome 21 open reading frame 90	0.0086	3.37
219011_at	PLEKHA4	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4	0.0093	2.01
235539_at	NUMA1	nuclear mitotic apparatus protein 1	0.01	4.62
215074_at	MYO1B	myosin IB	0.01	3.88
208973_at	PRNPIP	prion protein interacting protein	0.011	3.28
218029_at	FAM65A	family with sequence similarity 65, member A	0.011	2.04
222755_s_at	CHD7	chromodomain helicase DNA binding protein 7	0.011	4.13
38447_at	ADRBK1	adrenergic, beta, receptor kinase 1	0.011	3.06
210366_at	LST-3TM12 /// SLCO1B1 /// SLCO1B3	organic anion transporter LST-3b /// solute carrier organic anion transporter family, member 1B1 /// solute carrier organic anion transporter family, member 1B3	0.011	3.92
230690_at	TUBB1	tubulin, beta 1	0.012	3.73
234796_at	CABP7	calcium binding protein 7	0.012	4.61
221956_at	LRCH4	leucine-rich repeats and calponin homology (CH) domain containing 4	0.012	3.69
235816_s_at	RGL4	ral guanine nucleotide dissociation stimulator-like 4	0.013	2.61
224139_at	C11orf76	chromosome 11 open reading frame 76	0.013	3.87
223285_s_at	ST6GALNAC4	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	0.013	7.56
221306_at	GPR27	G protein-coupled receptor 27	0.013	3.66
242422_at	G3BP1	GTPase activating protein (SH3 domain) binding protein 1	0.013	4.98
212757_s_at	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	0.014	3.2
221738_at	KIAA1219	KIAA1219	0.014	3.96
220437_at	LOC55908	hepatocellular carcinoma-associated gene TD26	0.014	4.63
234714_x_at	ATP2B2	ATPase, Ca++ transporting, plasma membrane 2	0.015	2.38
213250_at	CCDC85B	Coiled-coil domain containing 85B	0.015	1.75
207007_at	NR1I3	nuclear receptor subfamily 1, group I, member 3	0.015	4.08
221572_s_at	SLC26A6	solute carrier family 26, member 6	0.016	1.68
207946_at	MAML3	mastermind-like 3 (Drosophila)	0.016	3.07
225954_s_at	MIDN	midnolin	0.016	3.14
237576_x_at	LOC100130850 /// LOC339240 /// LOC729704	hypothetical protein LOC100130850 /// keratin pseudogene /// hypothetical LOC729704	0.016	3.5
222192_s_at	C2orf43	chromosome 2 open reading frame 43	0.017	3.27
210804_x_at	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	0.017	5.1
208544_at	ADRA2B	adrenergic, alpha-2B-, receptor	0.017	3.6
222671_s_at	JMJD4	jumonji domain containing 4	0.018	3.19
220341_s_at	C5orf45	chromosome 5 open reading frame 45	0.019	3.52
213751_at	LRRC68	leucine rich repeat containing 68	0.019	2.55
1564485_at	LOC100131551	hypothetical LOC100131551	0.02	2.28
220504_at	KERA	keratocan	0.02	3.43
215063_x_at	LRRC40	leucine rich repeat containing 40	0.02	3.24
237423_at	RSPO4	R-spondin family, member 4	0.02	1.88
217023_x_at	TPSAB1 /// TPSB2	tryptase alpha/beta 1 /// tryptase beta 2	0.021	4.17
211796_s_at	TRBC1 /// TRBC2 /// TRBV19	T cell receptor beta constant 1 /// T cell receptor beta constant 2 /// T cell receptor beta variable 19	0.021	3.18
219623_at	ACTR5	ARP5 actin-related protein 5 homolog (yeast)	0.021	3.03
228821_at	ST6GAL2	ST6 beta-galactosamide alpha-2,6-sialyltranferase 2	0.021	2.89
204936_at	MAP4K2	mitogen-activated protein kinase 2	0.022	1.92
240283_at	LOC100132971	hypothetical protein LOC100132971	0.022	3.33
223644_s_at	CRYGS	crystallin, gamma S	0.022	5.11
223899_at	PBRM1	polybromo 1	0.022	4.86
243526_at	WDR86	WD repeat domain 86	0.022	3.5
230658_at	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	0.024	3.95
207859_s_at	CHRNB3	cholinergic receptor, nicotinic, beta 3	0.024	3.45
1554222_at	MGC45922	hypothetical gene MGC45922	0.024	2.74
44617_at	OGFOD2	2-oxoglutarate and iron-dependent oxygenase domain containing 2	0.025	3.21
207959_s_at	DNAH9	dynein, axonemal, heavy chain 9	0.025	3.95
215551_at	ESR1	estrogen receptor 1	0.025	3.57
1556536_at	hCG_2044152	hCG2044152	0.025	2.96
202978_s_at	CREBZF	CREB/ATF bZIP transcription factor	0.025	2.18
1553544_at	GPR101	G protein-coupled receptor 101	0.025	3.52
221175_at	C3orf36	chromosome 3 open reading frame 36	0.026	2.87
1555490_s_at	PDZD3	PDZ domain containing 3	0.026	2.45
227323_at	COX4NB	COX4 neighbor	0.026	3.58
223979_x_at	FTCD	formiminotransferase cyclodeaminase	0.026	3.31
1565537_at	NKX1-1	NK1 homeobox 1	0.026	8.02
208140_s_at	LRRC48	leucine rich repeat containing 48	0.027	3.74
221722_x_at	LZTS1	leucine zipper, putative tumor suppressor 1	0.027	3.19
203237_s_at	NOTCH3	Notch homolog 3 (Drosophila)	0.027	2.34
225975_at	PCDH18	protocadherin 18	0.027	2.63
202787_s_at	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	0.029	2.72
239911_at	ONECUT2	one cut homeobox 2	0.029	3.56
216251_s_at	TTLL12	tubulin tyrosine ligase-like family, member 12	0.029	2.68
223123_s_at	C1orf128	chromosome 1 open reading frame 128	0.029	2.95
213602_s_at	MMP11	Matrix metallopeptidase 11 (stromelysin 3)	0.03	2.16
243153_at	CDK5RAP2	CDK5 regulatory subunit associated protein 2	0.03	3.27
236102_at	LOC100126784	Hypothetical LOC100126784	0.03	3.05
210382_at	SCTR	secretin receptor	0.03	2.98
232624_at	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2	0.03	1.92
216327_s_at	SIGLEC8	sialic acid binding Ig-like lectin 8	0.03	2.73
1560720_at	MKNK1	MAP kinase interacting serine/threonine kinase 1	0.03	2.75
211472_at	PLXNB2	Plexin B2	0.031	1.97
228262_at	MAP7D2	MAP7 domain containing 2	0.031	3.42
214986_x_at	PPIL2	peptidylprolyl isomerase (cyclophilin)-like 2	0.032	2.37
1559254_at	C21orf113	chromosome 21 open reading frame 113	0.032	3.17
1561666_a_at	KIAA1908	KIAA1908 protein	0.032	2
227218_at	RLTPR	RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing	0.032	2.31
205175_s_at	KHK	ketohexokinase (fructokinase)	0.033	2.4
242935_at	SBF2	SET binding factor 2	0.033	2.52
222089_s_at	C16orf71	chromosome 16 open reading frame 71	0.033	2.63
202663_at	WIPF1	WAS/WASL interacting protein family, member 1	0.034	3.62
1566168_at	LOC729986	hypothetical LOC729986	0.036	4.78
1562244_at	ZNF578	Zinc finger protein 578	0.037	4.01
232526_at	ITPKB	inositol 1,4,5-trisphosphate 3-kinase B	0.037	2.33
231253_at	IMP5	intramembrane protease 5	0.037	3.17
207205_at	CEACAM4	carcinoembryonic antigen-related cell adhesion molecule 4	0.038	4.34
213417_at	TBX2	T-box 2	0.038	2.2
238055_at	ATP8B1	ATPase, class I, type 8B, member 1	0.038	6.09
217058_at	GNAS	GNAS complex locus	0.038	3.11
1558778_s_at	MKL2	MKL/myocardin-like 2	0.04	6.56
226235_at	LOC339290	hypothetical protein LOC339290	0.04	2.95
1560198_at	C14orf70	chromosome 14 open reading frame 70	0.041	1.77
232996_at	CCDC120	coiled-coil domain containing 120	0.041	2
1567060_at	OR8G1	olfactory receptor, family 8, subfamily G, member 1	0.041	2.59
1553039_a_at	ASB10	ankyrin repeat and SOCS box-containing 10	0.042	3.14
203052_at	C2	complement component 2	0.042	2.53
220893_at	LOC57399	uncharacterized gastric protein ZA52P	0.042	2.99
236705_at	TMEM196	transmembrane protein 196	0.043	2.79
238500_at	EMP2	epithelial membrane protein 2	0.044	2.84
212832_s_at	CKAP5	cytoskeleton associated protein 5	0.044	4.18
236071_at	LOC494558	hypothetical locus LOC494558	0.044	3.73
212879_x_at	LOC100134427 /// PIAS4	similar to PIAS4 protein /// protein inhibitor of activated STAT, 4	0.044	3.47
221980_at	EMILIN2	Elastin microfibril interfacer 2	0.047	3.14
223199_at	MKNK2	MAP kinase interacting serine/threonine kinase 2	0.047	3.57
1568720_at	ZNF506	zinc finger protein 506	0.047	2.51
242583_at	STON2	Stonin 2	0.048	3.21
222501_s_at	REPIN1	replication initiator 1	0.048	2.5
214343_s_at	ATXN7L1	ataxin 7-like 1	0.049	3.92
216895_at	GABRG3	gamma-aminobutyric acid (GABA) A receptor, gamma 3	0.049	3.06
237431_at	USP32	Ubiquitin specific peptidase 32	0.049	2.05
216465_at			< 0.0001	2.4
236219_at			< 0.0001	2.41
244141_at			< 0.0001	3.29
243016_at			< 0.0001	3.54
243729_at			< 0.0001	3.92
216376_x_at			< 0.0001	4.3
215799_at			< 0.0001	5.05
240680_at			< 0.0001	5.18
242322_at			< 0.0001	5.76
239255_at			< 0.0001	6.03
240341_at			0.00028	3.54
229498_at			0.00028	6.14
1561479_at			0.00061	3.66
239779_at			0.00067	6.54
229641_at			0.0011	6.35
233189_at			0.0015	5.47
224349_at			0.0018	6.22
1563001_at			0.0018	3.77
216569_at			0.0018	3.46
1561806_at			0.0019	3.92
236362_at			0.0034	2.15
1556622_s_at			0.004	4.33
237547_at			0.004	5.29
239054_at			0.0048	2.53
1562023_at			0.0068	2.69
1561084_at			0.01	5.12
234930_at			0.01	1.37
239372_at			0.011	3.72
216443_at			0.013	1.89
213525_at			0.014	6.57
237724_at			0.016	4.12
1555727_at			0.017	4.28
1565903_at			0.018	2.16
229716_at			0.018	4.18
243004_at			0.018	2.24
1563425_at			0.02	2.96
234043_at			0.02	3.93
1569763_at			0.021	1.41
1561345_at			0.021	2.82
221379_at			0.022	2.07
1567379_at			0.025	6.08
231116_at			0.027	5.18
208061_at			0.03	2.81
237552_at			0.03	2.31
233745_at			0.03	2.32
240266_at			0.033	5.79
1561480_a_at			0.037	1.64
217424_at			0.038	4.16
220822_at			0.038	3.34
241283_at			0.039	3.24
237253_at			0.043	4.44
238502_at			0.044	4.54
235862_at			0.044	4.76
1561834_a_at			0.044	6.29
239280_at			0.048	2.7
234070_at			0.049	3.02
