Probe	Symbol	Entrez	Centroid	FDR	Absolutely Present or Absent?	Description
1449827_at	agc1	11595	17	0	P	aggrecan 1
1448972_at	gria1	14799	17	0	P	glutamate receptor, ionotropic, AMPA1 (alpha 1)
1418477_at	matn1	17180	17	0	P	matrilin 1, cartilage matrix protein 1
1417464_at	tnnc2	21925	17	0	P	troponin C2, fast
1448594_at	wisp1	22402	17	0	P	WNT1 inducible signaling pathway protein 1
1423110_at	1423110_at	1423110_at	17	0	--	---
1437889_x_at	bgn	12111	17	0	--	biglycan
1450857_a_at	col1a2	12843	17	0	--	procollagen, type I, alpha 2
1450944_at	cspg4	121021	17	0	--	chondroitin sulfate proteoglycan 4
1418450_at	islr	26968	17	0	--	immunoglobulin superfamily containing leucine-rich repeat
1417645_at	sspn	16651	17	0	--	sarcospan
1423669_at	col1a1	12842	18	0	--	procollagen, type I, alpha 1
1438251_x_at	htra1	56213	18	0	--	HtrA serine peptidase 1
1450430_at	mrc1	17533	18	0	--	mannose receptor, C type 1
1453501_at	hoxb1	15407	19	0	P	homeo box B1
1450209_at	hoxd4	15436	19	0	--	homeo box D4
1422839_at	neurog2	11924	19	0	--	neurogenin 2
