GeneSymbol	Gene name	GO terms	Mitogen Withdrawal	Contact Inhibition	Loss of Adhesion	20 dy Confluence	Time
CXADR	coxsackie virus and adenovirus receptor	cell surface receptor	-				4 days
PLAUR	plasminogen activator, urokinase receptor	cell surface receptor	-				4 days
TGFB1	transforming growth factor, beta 1	secreted signaling	-				4 days
BMP3	bone morphogenetic protein 3	secreted signaling		-			4 days
EDG2	endothelial differentiation, lysophosphatidic acid receptor, 2	cell surface receptor			-		4 days
LDLR	low density lipoprotein receptor	cell surface receptor			-		4 days
FGF5	fibroblast growth factor 5	secreted signaling			-		4 days
TFPI2	tissue factor pathway inhibitor 2	extracellular matrix	-	-			4 days
NOS2A	nitric oxide synthase 2A	nitric oxide synthesis	-	-			4 days
DLG7	discs, large homolog 7 (Drosophila) 	cell surface protein	-	-	-		4 days
OPRK1	opioid receptor, kappa 1	cell surface receptor	-	-	-		4 days
FAS	Fas (TNF receptor superfamily, member 6)	cell surface receptor				+	20 days
IL32	interleukin 32	secreted signaling				+	20 days
CSPG4	chondroitin sulfate proteoglycan 4	cell surface protein				-	20 days
ITGA9	integrin, alpha 9	cell surface protein				-	20 days
BMPR1A	bone morphogenetic protein receptor	cell surface receptor				-	20 days
LIFR	leukemia inhibitory factor receptor	cell surface receptor				-	20 days
PGRMC1	progesterone receptor membrane component 1	cell surface receptor				-	20 days
COL6A2	collagen, type VI, alpha 2	extracellular matrix				-	20 days
MMP14	matrix metallopeptidase 14	extracellular matrix				-	20 days
C8A	complement component 8, alpha polypeptide	secreted protein				-	20 days
GDF1	growth differentiation factor 1	secreted signaling				-	20 days
IL13	interleukin 13	secreted signaling				-	20 days
PLAU	plasminogen activator, urokinase	secreted signaling				-	20 days
