Name	Gene	Category	Regulation
cytochrome P450, subfamily IVF, polypeptide 12	CYP4F12	Y	Down
aromatic L-amino acid decarboxylase	DDC	Y	Down
v-erb-b2 erythroblastic leukemia viral oncogene	ERBB3	Y	Down
fatty acid amide hydrolase	FAAH	Y	Down
fibrinogen, beta polypeptide	FGB	Y	Down
fibrinogen, gamma polypeptide	FGG	Y	Down
fibronectin 1	FN1	Y	Down
glycophorin E	GYPE	Y	Down
H factor (complement)-like 1	HFL1	Y	Down
homogentisate 1,2-dioxygenase	HGD	Y	Down
mucin 5, subtypes A and C	MUC5AC	Y	Down
Rho-related BTB domain containing 1	RHOBTB1	Y	Down
S100 calcium binding protein P	S100P	Y	Down
selenium binding protein 1	SELENBP1	Y	Down
solute carrier family 7	SLC7A7	Y	Down
Fibronectin, Alt. Splice 1		Y	Down
mevalonate (diphospho) decarboxylase	MVD	Y	Up
nuclear receptor subfamily 4, group A, member 2	NR4A2	Y	Up
endothelial cell growth factor 1 (platelet-derived)	ECGF1	Y	Up
GTP binding protein in skeletal muscle	GEM	Y	Up
interleukin 11	IL11	Y	Up
neuronal PAS domain protein 2	NPAS2	Y	Up
neuronal pentraxin I	NPTX1	Y	Up
nuclear receptor subfamily 4, group A, member 3	NR4A3	Y	Up
neuregulin 1	NRG1	Y	Up
Ras-induced senescence 1	p40BBP	Y	Up
polymerase, delta 1, catalytic subunit (125kD)	POLD1	Y	Up
related RAS viral (r-ras) oncogene homolog	RRAS	Y	Up
thioredoxin reductase 2	TXNRD2	Y	Up
actinin, alpha 1	ACTN1	STY	Up
adenosine A2a receptor	ADORA2A	STY	Up
amino-terminal enhancer of split	AES	STY	Up
allograft inflammatory factor 1	AIF1	STY	Up
v-akt murine thymoma viral oncogene homolog 1	AKT1	STY	Up
argininosuccinate synthetase	ASS	STY	Up
BCL2-related protein A1	BCL2A1	STY	Up
core-binding factor, runt domain, alpha subunit 2	CBFA2T3	STY	Up
chemokine (C-C motif) ligand 5	CCL5	STY	Up
cold inducible RNA binding protein	CIRBP	STY	Up
clathrin, light polypeptide (Lcb);LIM domain kinase 1	CLTB;LIMK1	STY	Up
colony stimulating factor 2 (granulocyte-macrophage)	CSF2	STY	Up
colony stimulating factor 3 (granulocyte)	CSF3	STY	Up
chemokine (C-X3-C motif) ligand 1	CX3CL1	STY	Up
cytoplasmic linker 2	CYLN2	STY	Up
delta sleep inducing peptide, immunoreactor	DSIPI	STY	Up
dual specificity phosphatase 8	DUSP8	STY	Up
epithelial membrane protein 3	EMP3	STY	Up
epoxide hydrolase 1, microsomal (xenobiotic)	EPHX1	STY	Up
Ewing sarcoma breakpoint region 1	EWSR1	STY	Up
hypothetical protein F25965	F25965	STY	Up
fusion, derived from t(12;16) malignant liposarcoma	FUS	STY	Up
similar to vaccinia virus HindIII K4L ORF	HU-K4	STY	Up
intercellular adhesion molecule 4	ICAM4	STY	Up
interferon gamma receptor 2	IFNGR2	STY	Up
POM121 membrane glycoprotein	POM121	STY	Up
interferon stimulated gene (20kD)	ISG20	STY	Up
v-jun sarcoma virus 17 oncogene homolog (avian)	JUN	STY	Up
jun D proto-oncogene	JUND	STY	Up
KIAA0284 protein	KIAA0284	STY	Up
KIAA0346 protein	KIAA0346	STY	Up
laminin, beta 3	LAMB3	STY	Up
lipocalin 2 (oncogene 24p3)	LCN2	STY	Up
U6 snRNA-associated Sm-like protein	LSM4	STY	Up
melanoma-associated antigen	MAAT1	STY	Up
mitogen-activated protein kinase kinase 3	MAP2K3	STY	Up
mitogen-activated protein kinase kinase kinase 14	MAP3K14	STY	Up
midkine (neurite growth-promoting factor 2)	MDK	STY	Up
hypothetical protein MGC10471	MGC10471	STY	Up
hypothetical protein MGC2650	MGC2650	STY	Up
mitochondrial ribosomal protein L12	MRPL12	STY	Up
mitochondrial ribosomal protein S12	MRPS12	STY	Up
mucin 5, subtype B, tracheobronchial	MUC5B	STY	Up
mevalonate (diphospho) decarboxylase	MVD	STY	Up
myomesin 1 (skelemin) (185kD)	MYOM1	STY	Up
nuclear factor kappa B (p105)	NFKB1	STY	Up
ninjurin 1	NINJ1	STY	Up
natural killer cell transcript 4	NK4	STY	Up
nuclear receptor subfamily 1, group H, member 2	NR1H2	STY	Up
phosphatidic acid phosphatase type 2B	PPAP2B	STY	Up
protein phosphatase 5, catalytic subunit	PPP5C	STY	Up
polyglutamine binding protein 1	PQBP1	STY	Up
proteasome 26S subunit, non-ATPase, 3	PSMD3	STY	Up
RNA binding protein	RALY	STY	Up
RNA-binding region (RNP1, RRM) containing 1	RNPC1	STY	Up
ribosome binding protein 1 homolog 180kD (dog)	RRBP1	STY	Up
S100 calcium binding protein A3	S100A3	STY	Up
Src homology 2 domain adaptor protein B	SHB	STY	Up
sialyltransferase 4C	SIAT4C	STY	Up
syntaphilin	SNPH	STY	Up
sequestosome 1	SQSTM1	STY	Up
signal transducer and activator of transcription 5A	STAT5A	STY	Up
stanniocalcin 1	STC1	STY	Up
syntaxin 11	STX11	STY	Up
thymidine kinase 1, soluble	TK1	STY	Up
tumor necrosis factor, alpha-induced protein 6	TNFAIP6	STY	Up
tumor necrosis factor receptor member 10b	TNFRSF10B	STY	Up
translocase of outer mitochondrial membrane 40	TOMM40	STY	Up
thyroid hormone receptor interactor 10	TRIP10	STY	Up
ubiquitin-activating enzyme E1	UBE1	STY	Up
ubiquitin-conjugating enzyme E2M	UBE2M	STY	Up
Nef-associated factor 1	VAN	STY	Up
vitronectin (serum spreading factor)	VTN	STY	Up
prointerleukin 1 beta	IL1B	STY	Up
Tumor Necrosis Factor Receptor 2 Associated Protein	Trap3	STY	Up
alcohol dehydrogenase 5 (class III), chi polypeptide	ADH5	STY	Down
AHNAK nucleoprotein (desmoyokin)	AHNAK	STY	Down
acidic (leucine-rich) nuclear phosphoprotein 32	ANP32A	STY	Down
chromobox homolog 1 (HP1 beta homolog Drosophila )	CBX1	STY	Down
cyclin B1	CCNB1	STY	Down
centrin, EF-hand protein, 2	CETN2	STY	Down
CDC28 protein kinase 2	CKS2	STY	Down
dickkopf homolog 1 (Xenopus laevis)	DKK1	STY	Down
DNA segment on chromosome X and Y	DXYS155E	STY	Down
KIAA1085 protein	FLJ14127	STY	Down
inhibitor of DNA binding 1	ID1	STY	Down
insulin receptor substrate 1	IRS1	STY	Down
KIAA0102 gene product	KIAA0102	STY	Down
limkain b1	KIAA0430	STY	Down
lamin B1	LMNB1	STY	Down
hypothetical protein BC011859	LOC113146	STY	Down
nardilysin (N-arginine dibasic convertase)	NRD1	STY	Down
conserved gene amplified in osteosarcoma	OS4	STY	Down
peptidylprolyl isomerase D (cyclophilin D)	PPID	STY	Down
SMC1 structural maintenance of chromosomes 1	SMC1L1	STY	Down
Sjogren syndrome antigen B (autoantigen La)	SSB	STY	Down
transforming growth factor, beta receptor II (70-80kD)	TGFBR2	STY	Down
transmembrane 4 superfamily member 4	TM4SF4	STY	Down
ubiquitin specific protease 10	USP10	STY	Down
zinc finger protein 36, C3H type-like 2	ZFP36L2	STY	Down
EST W73822		STY	Down
activin A receptor, type IB		STY	Down
actinin, alpha 1	ACTN1	TTS	Up
adenosine A2a receptor	ADORA2A	TTS	Up
lymphotoxin alpha (TNF superfamily)	LTA	TTS	Up
v-akt murine thymoma viral oncogene homolog 1	AKT1	TTS	Up
argininosuccinate synthetase	ASS	TTS	Up
core-binding factor, runt domain, alpha subunit 2	CBFA2T3	TTS	Up
chemokine (C-C motif) ligand 5	CCL5	TTS	Up
cold inducible RNA binding protein	CIRBP	TTS	Up
clathrin, light polypeptide (Lcb);LIM domain kinase 1	CLTB;LIMK1	TTS	Up
colony stimulating factor 2 (granulocyte-macrophage)	CSF2	TTS	Up
chemokine (C-X3-C motif) ligand 1	CX3CL1	TTS	Up
cytoplasmic linker 2	CYLN2	TTS	Up
delta sleep inducing peptide, immunoreactor	DSIPI	TTS	Up
dual specificity phosphatase 8	DUSP8	TTS	Up
epithelial membrane protein 3	EMP3	TTS	Up
Ewing sarcoma breakpoint region 1	EWSR1	TTS	Up
hypothetical protein F25965	F25965	TTS	Up
fusion, derived from t(12;16) malignant liposarcoma	FUS	TTS	Up
intercellular adhesion molecule 4	ICAM4	TTS	Up
interferon gamma receptor 2	IFNGR2	TTS	Up
immunoglobulin lambda locus	IGL	TTS	Up
interferon stimulated gene (20kD)	ISG20	TTS	Up
v-jun sarcoma virus 17 oncogene homolog (avian)	JUN	TTS	Up
KIAA0284 protein	KIAA0284	TTS	Up
KIAA0346 protein	KIAA0346	TTS	Up
melanoma-associated antigen	MAAT1	TTS	Up
mitogen-activated protein kinase kinase kinase 14	MAP3K14	TTS	Up
midkine (neurite growth-promoting factor 2)	MDK	TTS	Up
hypothetical protein MGC10471	MGC10471	TTS	Up
hypothetical protein MGC2650	MGC2650	TTS	Up
mitochondrial ribosomal protein L12	MRPL12	TTS	Up
mitochondrial ribosomal protein S12	MRPS12	TTS	Up
mucin 5, subtype B, tracheobronchial	MUC5B	TTS	Up
myomesin 1 (skelemin) (185kD)	MYOM1	TTS	Up
nuclear factor kappa B (p105)	NFKB1	TTS	Up
natural killer cell transcript 4	NK4	TTS	Up
nuclear receptor subfamily 1, group H, member 2	NR1H2	TTS	Up
phosphatidic acid phosphatase type 2B	PPAP2B	TTS	Up
protein phosphatase 5, catalytic subunit	PPP5C	TTS	Up
polyglutamine binding protein 1	PQBP1	TTS	Up
proteasome (prosome, macropain) 26S subunit	PSMD3	TTS	Up
RNA binding protein	RALY	TTS	Up
RNA-binding region (RNP1, RRM) containing 1	RNPC1	TTS	Up
ribosome binding protein 1 homolog 180kD (dog)	RRBP1	TTS	Up
S100 calcium binding protein A3	S100A3	TTS	Up
sialyltransferase 4C	SIAT4C	TTS	Up
syntaphilin	SNPH	TTS	Up
sequestosome 1	SQSTM1	TTS	Up
syntaxin 11	STX11	TTS	Up
thymidine kinase 1, soluble	TK1	TTS	Up
tumor necrosis factor, alpha-induced protein 6	TNFAIP6	TTS	Up
tumor necrosis factor receptor, member 10b	TNFRSF10B	TTS	Up
Tumor Necrosis Factor Receptor 2 Associated Protein	Trap3	TTS	Up
ubiquitin-activating enzyme E1	UBE1	TTS	Up
ubiquitin-conjugating enzyme E2M	UBE2M	TTS	Up
Nef-associated factor 1	VAN	TTS	Up
vitronectin	VTN	TTS	Up
ras homolog gene family, member B	ARHB	TTS	Up
activating transcription factor 3	ATF3	TTS	Up
BCL2 binding component 3	BBC3	TTS	Up
chromosome 20 open reading frame 16	C20orf16	TTS	Up
core promoter element binding protein	COPEB	TTS	Up
chromosome X open reading frame 6	CXorf6	TTS	Up
decay accelerating factor for complement (CD55)	DAF	TTS	Up
H2A histone family, member G	H2AFG	TTS	Up
musculin (activated B-cell factor-1)	MSC	TTS	Up
nuclear factor kappa light B inhibitor, epsilon	NFKBIE	TTS	Up
prostate differentiation factor	PDF	TTS	Up
plasminogen activator, urokinase receptor	PLAUR	TTS	Up
protein phosphatase 1, regulatory (inhibitor)	PPP1R15A	TTS	Up
trefoil factor 1	TFF1	TTS	Up
alcohol dehydrogenase 5 (class III)	ADH5	TTS	Down
AHNAK nucleoprotein (desmoyokin)	AHNAK	TTS	Down
acidic (leucine-rich) nuclear phosphoprotein 32 family	ANP32A	TTS	Down
chromobox homolog 1	CBX1	TTS	Down
cyclin B1	CCNB1	TTS	Down
centrin, EF-hand protein, 2	CETN2	TTS	Down
CDC28 protein kinase 2	CKS2	TTS	Down
dickkopf homolog 1 (Xenopus laevis)	DKK1	TTS	Down
inhibitor of DNA binding 1	ID1	TTS	Down
insulin receptor substrate 1	IRS1	TTS	Down
insulin receptor substrate 1	IRS1	TTS	Down
KIAA0102 gene product	KIAA0102	TTS	Down
limkain b1	KIAA0430	TTS	Down
lamin B1	LMNB1	TTS	Down
hypothetical protein BC011859	LOC113146	TTS	Down
nardilysin (N-arginine dibasic convertase)	NRD1	TTS	Down
conserved gene amplified in osteosarcoma	OS4	TTS	Down
peptidylprolyl isomerase D (cyclophilin D)	PPID	TTS	Down
structural maintenance of chromosomes 1	SMC1L1	TTS	Down
Sjogren syndrome antigen B (autoantigen La)	SSB	TTS	Down
transforming growth factor, beta receptor II (70-80kD)	TGFBR2	TTS	Down
transmembrane 4 superfamily member 4	TM4SF4	TTS	Down
ubiquitin specific protease 10	USP10	TTS	Down
zinc finger protein 36, C3H type-like 2	ZFP36L2	TTS	Down
IMAGE-344299		TTS	Down
IMAGE-2372431		TTS	Down
chromosome 20 open reading frame 16	C20orf16	NC	Up
BCL2 binding component 3	BBC3	NC	Up
ras homolog gene family, member B	ARHB	NC	Up
plasminogen activator, urokinase receptor	PLAUR	NC	Up
prostate differentiation factor	PDF	NC	Up
activating transcription factor 3	ATF3	NC	Up
H2A histone family, member G	H2AFG	NC	Up
trefoil factor 1	TFF1	NC	Up
musculin (activated B-cell factor-1)	MSC	NC	Up
core promoter element binding protein	COPEB	NC	Up
protein phosphatase 1, regulatory subunit 15A	PPP1R15A	NC	Up
nuclear factor kappaB inhibitor, epsilon	NFKBIE	NC	Up
chromosome X open reading frame 6	CXorf6	NC	Up
decay accelerating factor for complement (CD55)	DAF	NC	Up
GA binding protein transcription factor, beta subunit 1	GABPB1	NC	Up
slingshot 1	SSH-1	NC	Up
nucleophosmin 1	NPM1P14	NC	Up
retinoic acid receptor responder	RARRES1	NC	Up
COQ7 coenzyme Q, 7 homolog ubiquinone	COQ7	NC	Up
fructose-6-phosphate,2-kinase-		NC	Up
phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1	NC	Up
nuclear receptor subfamily 4, group A, member 2	NR4A2	NC	Up
v-fos	FOS	NC	Up
BTG family, member 3	BTG3	NC	Up
LIS1-interacting protein NUDEL	MITAP1	NC	Up
pleckstrin homology, Sec7 domains 1(cytohesin 1)	PSCD1	NC	Up
pleckstrin homology-like domain, family A1	PHLDA1	NC	Up
vascular endothelial growth factor	VEGF	NC	Up
NGFI-A binding protein 1 (EGR1 binding protein 1)	NAB1	NC	Up
RAB9A, member RAS oncogene family	RAB9A	NC	Up
UDP-glucose ceramide glucosyltransferase	UGCG	NC	Up
Ras-Related Protein Rap1b		NC	Up
serum-inducible kinase	SNK	NC	Up
basic helix-loop-helix domain containing, class B2	BHLHB2	NC	Up
immediate early protein	ETR101	NC	Up
microtubule-interacting protein	MIPT3	NC	Down
defensin, beta 4	DEFB4	NC	Down
G protein-coupled receptor 68	GPR68	NC	Down
FERM, RhoGEF and pleckstrin domain protein 2	FARP2	NC	Down
B-cell CLL/lymphoma 2	BCL2	NC	Down
myogenin (myogenic factor 4)	MYOG	NC	Down
Hypothetical zinc finger protein	KIAA0296	NC	Down
thousand and one amino acid protein kinase	KIAA0881	NC	Down
cytochrome P450, subfamily IVA, polypeptide 11	CYP4A11	NC	Down
surfactant, pulmonary-associated protein C	SFTPC	NC	Down
cartilage paired-class homeoprotein 1	CART1	NC	Down
complement 4B;ser/thr kinase 19	C4B;STK19	NC	Down
MADS box transcription enhancer factor 2	MEF2B	NC	Down
topoisomerase (DNA) III beta	TOP3B	NC	Down
superoxide dismutase 3, extracellular	SOD3	NC	Down
proline dehydrogenase (oxidase) 1	PRODH	NC	Down
nitric oxide synthase 2C	NOS2C	NC	Down
X66436:H.sapiens hsr1 mRNA		NC	Down
EUROIMAGE 51358		NC	Down
splicing factor 3a, subunit 2, 66kD	SF3A2	NC	Down
Mucin 3, Intestinal	muc3	NC	Down
Notch homolog 3 (Drosophila)	NOTCH3	NC	Down
chromosome 11 open reading frame 9	C11orf9	NC	Down
ATP synthase, mitochondrial F1 complex	ATP5D	NC	Down
GDP dissociation inhibitor 1	GDI1	NC	Down
adrenomedullin	ADM	O	Up
amino-terminal enhancer of split	AES	O	Up
amphiregulin	AREG	O	Up
BCL2-related protein A1	BCL2A1	O	Up
baculoviral IAP repeat-containing 3	BIRC3	O	Up
chromosome 20 open reading frame 16	C20orf16	O	Up
chemokine (C-C motif) ligand 2	CCL2/MCP1	O	Up
chemokine (C-C motif) ligand 20	CCL20/MIP3A	O	Up
colony stimulating factor 3 (granulocyte)	CSF3	O	Up
chemokine (C-X-C motif) ligand 1	CXCL1/GROa	O	Up
chemokine (C-X-C motif) ligand 2	CXCL2/GROb	O	Up
chemokine (C-X-C motif) ligand 3	CXCL3/GROg	O	Up
chemokine (C-X-C motif) ligand 5	CXCL5	O	Up
DKFZP586C1619 protein	DKFZP586C1619	O	Up
dual specificity phosphatase 1	DUSP1	O	Up
ephrin-A1	EFNA1	O	Up
epoxide hydrolase 1, microsomal (xenobiotic)	EPHX1	O	Up
putative lymphocyte G0/G1 switch gene	G0S2	O	Up
GTP cyclohydrolase 1 (dopa-responsive dystonia)	GCH1	O	Up
glutamine-fructose-6-phosphate transaminase 2	GFPT2	O	Up
intercellular adhesion molecule 1 (CD54)	ICAM1	O	Up
immediate early response 3	IER3	O	Up
interferon gamma receptor 1	IFNGR1	O	Up
interleukin 1, beta	IL1B	O	Up
interleukin 6 (interferon, beta 2)	IL6	O	Up
interleukin 8	IL8	O	Up
interferon regulatory factor 1	IRF1	O	Up
jun B proto-oncogene	JUNB	O	Up
jun D proto-oncogene	JUND	O	Up
laminin, beta 3	LAMB3	O	Up
lipocalin 2 (oncogene 24p3)	LCN2	O	Up
LSM4 homolog, U6 small nuclear RNA associated	LSM4	O	Up
mitogen-activated protein kinase kinase 3	MAP2K3	O	Up
mitogen-activated protein kinase kinase kinase 8	MAP3K8	O	Up
mevalonate (diphospho) decarboxylase	MVD	O	Up
nuclear factor kappa B1 (p105)	NFKB1	O	Up
nuclear factor kappa B2 (p49/p100)	NFKB2	O	Up
nuclear factor kappa B inhibitor, alpha	IkBa/MAD3	O	Up
ninjurin 1	NINJ1	O	Up
nuclear receptor subfamily 4, group A, member 1	NR4A1	O	Up
phosphodiesterase 4B, cAMP-specific	PDE4B	O	Up
phospholipase D3	PLD3	O	Up
prostaglandin-endoperoxide synthase 2	PTGS2	O	Up
HIF-1 responsive RTP801	REDD-1	O	Up
nuclear factor kappa B3	RELB	O	Up
GTP-binding protein	RND1	O	Up
syndecan 4 (amphiglycan, ryudocan)	SDC4	O	Up
serine (or cysteine) proteinase inhibitor	SERPINE1	O	Up
Src homology 2 domain adaptor protein B	SHB	O	Up
signal transducer and activator of transcription 5A	STAT5A	O	Up
stanniocalcin 1	STC1	O	Up
tumor necrosis factor, alpha-induced protein 2	TNFAIP2	O	Up
tumor necrosis factor, alpha-induced protein 3	TNFAIP3	O	Up
TNFAIP3 interacting protein 1	TNIP1	O	Up
translocase of outer mitochondrial membrane 40	TOMM40	O	Up
thyroid hormone receptor interactor 10	TRIP10	O	Up
zinc finger protein 36, C3H type	ZFP36	O	Up
D15F37	D15F37	O	Down
DNA segment on chromosome X and Y	DXYS155E	O	Down
FAT tumor suppressor homolog 2	FAT2	O	Down
FLJ20288 protein	FLJ10042	O	Down
inhibitor of DNA binding 2	ID2	O	Down
protease, serine, 22	PRSS22	O	Down
tumor necrosis factor receptor superfamily	TNFRSF6B	O	Down
