Ratio	Symbol	Gene name	Function and description	Expression
4.02	SERPINE2	Serine proteinase inhibitor, clade E, member 2	Serpin, development	Upregulated genes 58As9
3.77	CTSL	Cathepsin L	Cathepsin L, associated with highly invasive tumors	Upregulated genes 58As9
3.28	AKR1C3	Aldo-keto reductase family 1, member C3	Electron transporter, metabolism, cell proliferation	Upregulated genes 58As9
3.11	SIAT8B	Sialyltransferase 8B (alpha-2, 8-sialyltransferase)	Metabolism, embryogenesis and morphogenesis	Upregulated genes 58As9
3.01	FKBP1B	FK506 binding protein 1B	Popeptidylprolyl isomerase	Upregulated genes 58As9
2.82	KIAA1247		Member of the sulftase family	Upregulated genes 58As9
2.8	I_1000731	GRB2-associated binding protein 2	Protein-protein and protein–lipid interactions	Upregulated genes 58As9
2.77	STMN3	Stathmin-like 3	Neurogenesis, SCG10 like-protein, tumor progression	Upregulated genes 58As9
2.75	ANK3	Ankyrin 3, node of Ranvier (ankyrin G)	Cytoskeletal anchoring, vesicle transport	Upregulated genes 58As9
2.74	CEBPE	CCAAT/enhancer binding protein (C/EBP), epsilon	Transcription activating factor, defense response	Upregulated genes 58As9
0.11	LAMR1	Laminin receptor 1	Signal transduction, cell adhesion, invasive growth	Downregulation 58As1
0.13	S100A4	S100 calcium binding protein A4	Calcium ion binding, invasive growth	Downregulation 58As1
0.15	RARRES1	Retinoic acid receptor responder	Negative regulation of cell proliferation	Downregulation 58As1
0.15	HLA-DQB1	HLA complex, class II, DQ beta 1 precursor	Immune response	Downregulation 58As1
0.15	KLK6	Kallikrein 6 (neurosin, zyme)	Serine-type peptidase, pathogenesis	Downregulation 58As1
0.16	TM4SF4	Transmembrane 4 superfamily member 4	Negative regulation of cell proliferation, glycosylation	Downregulation 58As1
0.16	HLA-DRA	Major histocompatibility complex, class II, DR alpha	Immune response	Downregulation 58As1
0.17	CTNNB1	Catenin (cadherin-associated pritein), beta 1, 88 kDa	Tumor suppressor, cell adhesion, transcription	Downregulation 58As1
0.19	HLA-DRB3	Major histocompatibility complex, class II, DR beta 3	Immune response	Downregulation 58As1
0.2	SAT	Spermidine/spermine N1-acetyltransferase	Diamine N-acetyltransferase, modulates tumorigenicity	Downregulation 58As1
0.2	HLA-DRB5	Major histocompatibility complex, class II, DR beta 5	Immune response	Downregulation 58As1
0.2	I_966873		Strong similarity to human HLA-DRB1	Downregulation 58As1
0.21	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	Transcription, methylation, cell growth, oncogenesis	Downregulation 58As1
0.21	I_965396		Unknown, high similarity to charcterized human AG2	Downregulation 58As1
0.22	CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6	Signal transduction, cell-cell signaling	Downregulation 58As1
0.06	CEACAM8	Carcinoembryonic antigen-related cell adhesion molecule 8	Tumor antigen, immune response, cell adhesion	Downregulation 58As9
0.07	TM4SF3	Transmembrane 4 superfamily member 3	Signal transducer, tumor antigen, pathogenesis	Downregulation 58As9
0.07	LAMR1	Laminin receptor 1 (ribosomal protein SA, 67 kDa)	Signal transduction, cell adhesion, invasive growth	Downregulation 58As9
0.09	CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6	Signal transduction, cell-cell signaling, cell adhesion	Downregulation 58As9
0.12	CTNNB1	Catenin (cadherin-associated pritein), beta 1, 88 kDa	Tumor suppressor, cell adhesion, oncogenesis	Downregulation 58As9
0.12	KRT19	Keratin 19	Structural constituent of cytoskeleton, differentiation	Downregulation 58As9
0.13	KRTHA3A	Keratin, hair, acidic, 3 A	Cell shape and cell size control	Downregulation 58As9
0.13	CEACAM3	Carcinoembryonic antigen-related cell adhesion molecule 3	Tumor antigen, immune response, cell adhesion	Downregulation 58As9
0.14	I_966690		Strong similarity to human HLA-DRB4	Downregulation 58As9
0.17	S100A4	S100 calcium binding protein A4	Calcium ion binding, invasive growth	Downregulation 58As9
0.2	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	Transcription, methylation, cell growth, oncogenesis	Downregulation 58As9
0.22	DAF	Decay accelerating factor for complement (CD55)	Decay accelerating factor	Downregulation 58As9
0.23	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	Transcription factor, cell cycle, pathogenesis	Downregulation 58As9
0.24	CRIP1	Cysteine-rich protein 1 (intestinal)	Zinc ion binding, cell proliferation	Downregulation 58As9
0.24	KRTHB6	Keratin, hair, basic, 6	Monilethrix	Downregulation 58As9
