GeneID	score	FDR	fold.chg	Description
202489_s_at	-17.25	0.00093	2.6	FXYD3 : FXYD domain containing ion transport regulator 3
200696_s_at	-17.12	0.00093	2.51	GSN : gelsolin (amyloidosis, Finnish type)
212956_at	-17.07	0.00093	2.06	KIAA0882 : KIAA0882 protein
203953_s_at	-16.72	0.00093	2.01	CLDN3 : claudin 3
212328_at	-16.45	0.00093	2.4	KIAA1102 : KIAA1102 protein
218396_at	-16.4	0.00093	2.07	VPS13C : vacuolar protein sorting 13C (yeast)
215945_s_at	-16.36	0.00093	2.39	TRIM2 : tripartite motif-containing 2
204646_at	-16.02	0.00093	2.9	DPYD : dihydropyrimidine dehydrogenase
204290_s_at	-15.9	0.00093	2.12	ALDH6A1 : aldehyde dehydrogenase 6 family, member A1
204351_at	-15.66	0.00093	4.73	S100P : S100 calcium binding protein P
208436_s_at	-15.65	0.00093	2.4	IRF7 : interferon regulatory factor 7
212677_s_at	-15.59	0.00093	2.05	KIAA0582 : KIAA0582
218537_at	-15.49	0.00093	2.04	HCFC1R1 : host cell factor C1 regulator 1 (XPO1 dependant)
203973_s_at	-15.45	0.00093	2.18	CEBPD : CCAAT/enhancer binding protein (C/EBP), delta
212822_at	-15.42	0.00093	2.09	HEG1 : HEG homolog 1 (zebrafish)
212992_at	-15.33	0.00093	2.33	C14orf78 : chromosome 14 open reading frame 78
209002_s_at	-15.21	0.00093	2.51	KIAA1536 : KIAA1536 protein
221588_x_at	-15.07	0.00093	2.01	ALDH6A1 : aldehyde dehydrogenase 6 family, member A1
212741_at	-14.93	0.00093	2.07	MAOA : monoamine oxidase A
202761_s_at	-14.93	0.00093	2.73	SYNE2 : spectrin repeat containing, nuclear envelope 2
201565_s_at	-14.91	0.00093	3.09	ID2 : inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
203665_at	-14.86	0.00093	2.59	HMOX1 : heme oxygenase (decycling) 1
209398_at	-14.79	0.00093	3.35	HIST1H1C : histone 1, H1c
212675_s_at	-14.66	0.00093	2.14	KIAA0582 : KIAA0582
205602_x_at	-14.63	0.00093	2.47	PSG7 : pregnancy specific beta-1-glycoprotein 7
221760_at	-14.48	0.00093	2.9	MAN1A1 : Mannosidase, alpha, class 1A, member 1
202434_s_at	-13.89	0.00093	3.86	CYP1B1 : cytochrome P450, family 1, subfamily B, polypeptide 1
201302_at	-13.56	0.00093	2.08	ANXA4 : annexin A4
221986_s_at	-13.52	0.00093	4.22	DRE1 : DRE1 protein
218807_at	-13.4	0.00093	2.62	VAV3 : vav 3 oncogene
208257_x_at	-13.17	0.00093	2.5	PSG1 : pregnancy specific beta-1-glycoprotein 1
215821_x_at	-11.84	0.00093	2.02	PSG3 : pregnancy specific beta-1-glycoprotein 3
201116_s_at	-11.28	0.00093	2.47	CPE : carboxypeptidase E
202769_at	-10.47	0.00093	2.17	CCNG2 : Cyclin G2
207379_at	-9.9	0.00093	2.18	EDIL3 : EGF-like repeats and discoidin I-like domains 3
207733_x_at	-8.55	0.00093	2.26	PSG9 : pregnancy specific beta-1-glycoprotein 9
AFFX-HUMRGE/M10098_3_at	-4.11	0.0051	2.12	M10098 Human 18S rRNA gene, complete (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
