Unigene	Signal Log Ratio	Gene Symbol	Title
Hs.171003	2.8	CBS	cystathionine-beta-synthase
Hs.155109	2.9	HSD17B2	hydroxysteroid (17-beta) dehydrogenase 2
Hs.282209	3	PON1	paraoxonase 1
Hs.73853	3	BMP2	bone morphogenetic protein 2
Hs.73793	3.1	VEGF	vascular endothelial growth factor
Hs.110571	3.2	GADD45B	growth arrest and DNA-damage-inducible, beta
Hs.106070	3.2	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
Hs.171695	3.3	DUSP1	dual specificity phosphatase 1
Hs.321164	3.3	NPAS2	neuronal PAS domain protein 2
Hs.411311	3.4	IL24	interleukin 24
Hs.318567	3.5	NDRG1	N-myc downstream regulated gene 1
Hs.2258	3.5	MMP10	matrix metalloproteinase 10 (stromelysin 2)
Hs.2050	3.5	PTX3	pentaxin-related gene, rapidly induced by IL-1 beta
Hs.105434	3.6	ISG20	interferon stimulated gene 20kDa
Hs.7972	3.7	RIPX	rap2 interacting protein x
Hs.14846	3.7	SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1
Hs.417050	4	CCNA1	cyclin A1
Hs.73090	4.1	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
Hs.336046	4.1	IL13RA2	interleukin 13 receptor, alpha 2
Hs.155651	4.2	FOXA2	forkhead box A2
Hs.419	4.4	DLX2	distal-less homeo box 2
Hs.66	4.4	IL1RL1	interleukin 1 receptor-like 1
Hs.511937	4.6	DEFCAP	death effector filament-forming Ced-4-like apoptosis protein
Hs.171695	4.9	DUSP1	dual specificity phosphatase 1
