Gene Symbol	Gene Description	Fold Change	Biological Process
HSD17B3	hydroxysteroid (17-beta) dehydrogenase 3	2.568	male genitalia morphogenesis, metabolism, steroid biosynthesis
PARP14	poly (ADP-ribose) polymerase family, member 14	2.542	unknown
PLS1	plastin 1 (I isoform)	2.528	unknown
AGPAT2	lysophosphatidic acid acyltransferase	2.514	metabolism, phosphatidic acid biosynthesis, phospholipid biosynthesis
ARID5A (MRF1-like)	AT rich interactive domain 5A	2.486	unknown
NME2 (NM23B) expressed in	non-metastatic cells 2, protein	2.477	nucleotide metabolism, negative regulation of cell cycle, negative regulation of cell proliferation
MSTP9	macrophage stimulating, pseudogene 9	2.474	proteolysis and peptidolysis
GCC2	GRIP and coiled-coil domain containing 2	2.469	unknown
HLA-A	major histocompatibility complex, class I, A	2.446	antigen processing, endogenous antigen via MHC class I
ELF5	E74-like factor 5 (ets domain transcription factor)	2.441	cell proliferation, regulation of transcription, DNA-dependent, transcription from Pol II
LOC90139	tetraspanin similar to uroplakin1	2.432	unknown
ProSAPiP1	ProSAPiP1 protein	2.422	unknown
TBXAS1	thromboxane A synthase 1 (platelet, cytochrome P450, subfamily V)	2.422	electron transport, prostaglandin biosynthesis
LGALS2	lectin, galactoside-binding, soluble, 2 (galectin 2)	2.419	unknown
ICAM2	intercellular adhesion molecule	2.418	cell-cell adhesion
ECE1	endothelin converting enzyme	2.413	cell-cell signaling, proteolysis and peptidolysis
JUN	v-jun avian sarcoma virus 17  oncogene homolog	2.412	regulation of transcription, DNA-dependent
TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	2.405	apoptosis, cytokine and chemokine mediated signaling pathway
GBP3	guanylate binding protein 3	2.363	immune response
SFXN3	sideroflexin 3	2.36
ENC1	ectodermal-neural cortex (with BTB-like domain)	2.359	development
CRA	cisplatin resistance associated	2.359	unknown
IRF3	interferon regulatory factor 3	2.337	regulation of transcription, DNA-dependent, transcription from Pol II promoter
CCL4	chemokine (C-C motif) ligand 4 (CCL4)	2.327	cell adhesion, cell motility, cell-cell signaling, chemotaxis, establishment and/or maintenance of cell polar
PF4	platelet factor 4 (chemokine (C-X-C motif) ligand 4)	2.323	cytokine and chemokine mediated signaling pathway, immune response
COL9A2	collagen, type IX, alpha 2	2.285	phosphate transport
CREB3	cAMP responsive element binding protein 3	2.275	chemotaxis, regulation of transcription, DNA-dependent, sensory perception, transcription, transcription from Pol II promoter
TMEPAI	transmembrane, prostate androgen induced RNA	2.271	androgen receptor signaling pathway
NOTCH4	Notch homolog 4	2.252	Notch signaling pathway, cell differentiation, cell fate determination, mammary gland development, negative regulation of endothelial cell differentiation, positive regulation of transcription, DNA-dependent
LOC90410	intraflagellar transport protein IFT20	2.232	unknown
	ubiquitin-conjugating enzyme E2C	2.195	cell cycle, cyclin catabolism, cytokinesis, mitosis, positive regulation of cell proliferation, ubiquitin cycle, ubiquitin-dependent protein catabolism
C1R	complement component 1, r subcomponent	2.189	immune response, proteolysis and peptidolysis
DAPK1	death-associated protein kinase 1	2.171	induction of apoptosis by extracellular signals, protein amino acid phosphorylation, protein kinase cascade, signal transduction
CD97	CD97 antigen	2.165	cell adhesion, cell motility, cell-cell signaling, inflammatory response, neuropeptide signaling pathway
BAK1	BCL2-antagonist/killer 1	2.162	apoptotic mitochondrial changes, induction of apoptosis, regulation of apoptosis
MCM7	MCM7 minichromosome maintenance deficient 7	2.155	DNA replication, cell cycle, regulation of transcription, DNA-dependent
SMTN	smoothelin	2.153	smooth muscle contraction
CCR7	G protein-coupled receptor 19	2.148	G-protein coupled receptor protein signaling pathway
ITGAM	integrin, alpha M	2.135	cell-matrix adhesion, integrin-mediated signaling pathway
ANXA5	annexin A5	2.133	negative regulation of coagulation
CL1C1	chloride intracellular channel 1	2.129	chloride transport, ion transport
SLC16A4	solute carrier family 16	2.125	monocarboxylic acid transport, transport
SSR2	signal sequence receptor, beta	2.119	cotranslational protein-membrane targeting
TCF7L2	transcription factor 7-like 2	2.116
CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity	2.112	respiratory gaseous exchange, signal transduction, cytokine and chemokine
AMPD2	adenosine monophosphate  deaminase 2 (isoform L)	2.102	Purine nucleotide metabolism
LAPTM5	lysosomal-associated multispanning membrane protein-5	2.097	unknown
GSTO1	glutathione transferase omega	2.094	metabolism
TAF15	TAF15 RNA polymerase II	2.089	unknown
FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma	2.085	immune response, cell surface linked signal transduction
HSPC121	butyrate-induced transcript 1	2.083	small GTPase mediated signal transduction, I-kappaB kinase/NF-kappaB cascade, activation
BTN3A3	butyrophilin, subfamily 3, member A3	2.078	unknown
NOMO1	NODAL modulator 3	2.077
IFNGR1	interferon gamma receptor 1	2.075	response to pathogenic bacteria, response to virus, signal transduction
KNG1	kininogen 1	2.065	inflammatory response, negative regulation of cell adhesion, positive regulation of apoptosis
KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein	2.033	intracellular protein transport
AQP9	aquaporin 9	2.019	carboxylic acid transport, response to osmotic stress, water transport
PNPLA2	patatin-like phospholipase domain containing 2	2.012	unknown
	glucose regulated protein, 58kDa	2.009	protein-ER retention, protein-nucleus import, signal transduction, electron transport
PIGT	phosphatidyl inositol glycan class T	1.998	unknown
SDC4	syndecan 4	1.99	unknown
GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3	1.989	carbohydrate metabolism
FKBP6	FK506 binding protein 6,36kDa	1.982	protein folding
LAT-3TM	LAT1-3TM protein	1.981	amino acid transport, transport
CALU	calumenin	1.98	unknown
RPP30	ribonuclease P (30kD)	0.51	tRNA processing
ACAA1	acetyl-Coenzyme A acyltransferase 1	0.508	fatty acid metabolism, generation of precursor metabolites and energy
CR2	complement component receptor 2	0.508	immune response
SLC26A2	solute carrier family 26 (sulfate transporter), member 2	0.507	sulfate transport, transport
KIF1C	kinesin family member 1C	0.505	microtubule-based movement
TEF3	transducin-like enhancer of split 3 (E(sp1) homolog	0.505	frizzled signaling pathway, regulation of transcription, DNA-dependent
PPP4R1	protein phosphatase 4,	0.502	protein phosphatase 4, regulatory subunit 1
FLJ11193	hypothetical protein FLJ11193	0.501	unknown
FOSL2	FOS-like antigen 2	0.501	cell death, regulation of transcription from Pol II promoter
AMFR	autocrine motility factor receptor	0.501	ER-associated protein catabolism, cell motility, protein ubiquitination, signal
CS	citrate synthase	0.5	tricarboxylic acid cycle
DKFZP566E144	small fragment nuclease	0.496	nucleotide metabolism
STAT4	signal transducer and activator of transcription 4	0.494	intracellular signaling cascade, JAK-STAT cascade
CDK7	cyclin-dependent kinase 7	0.492	regulation of cyclin dependent protein kinase activity, DNA repair, cytokinesis, protein amino acid phosphorylation
CAPNS1	calpain, small subunit 1	0.491	positive regulation of cell proliferation
MGC11335	Homo sapiens cDNA FLJ39316 fis, clone OCBBF2014052	0.491	metabolism, electron transport
GTF3C1	general transcription factor IIIC, polypeptide 1	0.489	unknown
ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl	0.485	prostaglandin metabolism, electron transport, fatty acid beta-oxidation, lipid metabolism
DUSP7	dual specificity phosphatase 7	0.485	protein amino acid dephosphorylation
MLLT4	myeloid/lymphoid or mixed-lineage leukemia, translocated to, 4	0.485	cell adhesion, cell-cell signaling, signal transduction
DDX3X	DEAD/H box polypeptide 3, transcript variant 2	0.48	ATP binding, ATP-dependent RNA helicase activity, DNA binding, RNA binding
NSDHL	NAD(P) dependent steroid dehydrogenase-like; H105e3	0.478	cholesterol biosynthesis, steroid biosynthesis
PRDX6	Peroxiredoxin 6	0.478	phospholipid catabolism, response to oxidative stress, lipid catabolism
MOSPD3	motile sperm domain containing 3	0.478	unknown
HECTD1	HECT domain containing 1	0.478	ubiquitin cycle
KIAA0830	KIAA0830 protein	0.477	unknown
ARRD3	arrestin domain containing 2	0.477	unknown
PPP2R2C	protein phosphatase 2, regulatory subunit B, gamma isoform	0.476	signal transduction
SLC16A6	solute carrier family 16 (monocarboxylic acid transporters), member 6	0.474	monocarboxylic acid transport, transport
GOLGA2	golgi autoantigen, golgin subfamily a, 2	0.472	unknown
C9orf60	chromosome 9 open reading frame 60	0.472	unknown
NCOA1	nuclear receptor coactivator 1	0.471	unknown
RAPA2	RAP2A, member of RAS oncogene family	0.469	signal transduction, small GTPase mediated signal transduction
NCOA3	nuclear receptor coactivator 3	0.468	regulation of transcription, DNA-dependent, signal transduction, transcription
RFP2	ret finger protein 2	0.466	negative regulation of cell cycle, positive regulation of I-kappaB kinase/NF-kappaB cascade, protein ubiquitination
CAST	calpastatin	0.464	unknown
SLC27A4	solute carrier family 27	0.464	fatty acid transport, lipid metabolism, metabolism, transport
NRP1	neuropilin 1	0.461	angiogenesis, cell adhesion, cell-cell signaling, neurogenesis, positive regulation of cell proliferation, signal transduction
NRBP	nuclear receptor binding protein	0.458	signal transduction, protein amino acid phosphorylation
STK38	serine threonine protein kinase	0.457	protein amino acid phosphorylation, protein kinase cascade
FPGT	fucose-1-phosphate guanylyltransferase	0.455	fucose metabolism
	transcribed locus	0.454	unknown
MAPKAPK3	mitogen-activated protein kinase-activated protein kinase	0.453	protein amino acid phosphorylation, response to stress, signal transduction
TXNL5	thioredoxin-like 5	0.45	electron transport
ALDH4A1	aldehyde dehydrogenase 4 family, member A1	0.45	proline catabolism, metabolism, proline biosynthesis
ATXN3	ataxin 3	0.448	nucleotide-excision repair, regulation of transcription, DNA-dependent
Septin 8	septin 8	0.448	cell cycle
S100A11	S100 calcium binding protein A11 (calgizzarin)	0.446	negative regulation of DNA replication, negative regulation of cell proliferation
OXCT1	3-oxoacid CoA transferase	0.441	metabolism, succinyl-CoA metabolism
RHF1	ras homolog gene family, member E	0.44	protein transport, small GTPase mediated signal transduction
SLC1A3	solute carrier family1, member	0.439	unknown
ADIPOR1	adiponectin receptor 1	0.438	lipid metabolism, fatty acid oxidation, Hormone-mediated signaling
KCNK5	potassium channel, subfamily K, member 5	0.436	ion transport, potassium ion transport, Excretion
RAC1	ras-related C3 botulinum toxin substrate 1	0.434	protein transport, small GTPase mediated signal transduction
RAB6A	RAB6A, member RAS oncogene family	0.432	small GTPase mediated signal transduction
PITPNA	phosphotidylinositol transfer protein	0.432	transport, lipid metabolism
PGF	placental growth factor, vascular endothelial growth factor-related protein	0.422	positive regulation of cell proliferation, signal transduction, Angiogenesis, cell proliferation, cell-cell signaling
IGFBP2	insulin-like growth factor binding protein 2, 36kD	0.415	regulation of cell growth
GPR109B	putative chemokine receptor; GTP-binding protein	0.414	G-protein coupled receptor protein signaling pathway
FUT1	fucosyltransferase 1	0.413	protein amino acid glycosylation, L-fucose catabolism, carbohydrate metabolism
ADK	adenosine kinase, transcript variant ADK-long	0.41	lipid metabolism, visual perception, transport
SIAT7B	sialyltransferase 7, B	0.403	protein amino acid glycosylation
	cathepsin B	0.402
PGAM1	phosphoglycerate mutase 1	0.4	glycolysis, metabolism
AP3S1	adaptor-related protein complex 3, sigma 1 subunit	0.394	insulin receptor signaling pathway, intracellulat protein transport
KIK5	kallikrein 5	0.393	epidermis development, proteolysis and peptidolysis
STIM1	stromal interaction molecule 1	0.389	cell-cell adhesion, negative regulation of cell cycle, positive regulation of cell proliferation
ALDH3A1	aldehyde dehydrogenase 3 family, memberA1	0.386	aldehyde metabolism, carbohydrate metabolism, metabolism
EPHX1	epoxide hydrolase 1, microsomal	0.385	aromaatic compound catabolism, response to toxin, xenobiotic metabolism
GPC1	glypican 1	0.384	unknown
NALP2	NALP2 protein	0.382	apoptosis
NUCB2	nucleobindin 2	0.374	unknown
TIAM1	T-cell lymphoma invasion and metastasis 1	0.368	intracellulat signaling cascade
PCL1	prenylcysteine lyase	0.368	prenylated protein catabolism, prenylcysteine metabolism
TM4SF9	transmembrane 4 superfamily member 9	0.367	unknown
TM4SF6	transmembrane 4 superfamily member 6	0.366	cell motility, positive regulation of I-kappaB kinase/NF-kappaB cascade
hCDCrel-1	cell division control related protein	0.353	cell cycle, cytokinesis
SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	0.353	protein complex assembly, wnt receptor signaling pathway
SHMT1	serine hydroxymethyltransferase 1	0.352	L-serine metabolism, Glycine metabolism, One-carbon compound metabolism
GM2A	GM2 ganglioside activator	0.348	glycolipid catabolism, glycosphingolipid metabolism, sphingolipid catabolism
RXRA	retinoid X receptor, alpha	0.347	regulation of transcription, DNA-dependent, signal transduction, Vitamin metabolism
ARL7	ADP-ribosylation factor-like 7	0.342	unknown
S100A12	S100 calcium binding protein A12 (calgranulin C)	0.332	inflammatory response, xenobiotic metabolism
PLXNC1	plexin C1	0.328	cell adhesion, development
YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein	0.324	regulation of cell cycle, exocytosis
RABGGTA	Rab geranylgeranyltransferase, alpha subunit	0.323	protein amino acid prenylation, protein modification
DUSP5	dual specificity phosphatase 5	0.321	protein amino acid dephosphorylation
TBC1D10	TBC1 domain family, member	0.321	unknown
PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	0.306	apoptosis
DANJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	0.3	protein folding, response to unfolded protein
CRYAB	crystallin, alpha B	0.3	visual perception, protein folding
ARF3	ADP-ribosylation factor 3	0.297	small GTPase mediated signal transduction, intracellulat protein transport
STK17B	serine/threonine kinase 17b (apoptosis-inducing)	0.297	induction of apoptosis, protein amino acid phosphorylation, protein kinase cascade
PMM1	phosphomannomutase	0.295	Mannose biosynthesis, metabolism
ASCC1	activating signal cointegrator 1	0.275	regulation of transcription, regulation of transcription, DNA-dependent
GAN15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	0.266	PLC activating pathway, PLC activation, positive regulation of cytosolic calcium ion concentration, G-protein coupled receptor protein signaling pathway
WWP1	WW domain containing E3 ubiquitin protein ligase 1	0.257	negative regulation of transcription, protein ubiquitination, signal transduction, T-cell differentiation
ALDH1A3	aldehyde dehydrogenase 1 family, member A3	0.256	alcohol metabolism, lipid metabolism, metabolism
SYNGY3	synaptogyrin 3	0.246	unknown
SH3GL1	protein containing SH3 domain	0.244	unknown
CNN3	calponin 3, acidic	0.233	smooth muscle contraction
IMPA1	inositol(myo)-1(or 4)-monophosphatase 1	0.218	phosphate metabolism, signal transduction, carbohydrate metabolism
EREG	epiregulin	0.215	regulation of cell cycle, angiogenesis, cell-cell signaling, epidermal growth factor receptor signaling pathway, cell proliferation
MAL	mal, T-cell differentiation protein	0.214	cell differentiation,homecyte development, induction of apoptosis, signal transduction
GPX3	glutathione peroxidase 3	0.209	response to lipid hydroperoxide
KRT5	keratin 5	0.204	epidermis development
GJB2	gap junction protein, beta 2, 26kD	0.183	cell signaling, transport
BENE	BENE protein	0.172	unknown
RRO1L	ERO1-like	0.149	chaperone cofactor dependent protein folding
UPP1	uridine phosphorylase 1	0.143	nucleoside metabolism, electron transport
C10orf116	chromosome 10 open reading frame 116	0.128	unknown
