Affymetrix probesets	average fold.change	RT-PCR fold change	Gene Name	Gene Symbol
211715_S_AT	2.53		3-hydroxybutyrate dehydrogenase (heart, mitochondrial)	BDH
217645_AT	2.13		chromosome 14 open reading frame 112	C14orf112
202279_AT	2.28		chromosome 14 open reading frame 2	C14orf2
208910_S_AT	5.46		complement component 1, q subcomponent binding protein	C1QBP
214214_S_AT	5.10		complement component 1, q subcomponent binding protein	C1QBP
218168_S_AT	2.28		chaperone, ABC1 activity of bc1 complex like (S. pombe)	CABC1
218470_AT	1.94		CGI-04 protein	CGI-04
202799_AT	1.89		ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)	CLPP
223515_S_AT	3.47		coenzyme Q3 homolog, methyltransferase (yeast)	COQ3
203551_S_AT	1.65		COX11 homolog, cytochrome c oxidase assembly protein (yeast)	COX11
211727_S_AT	2.37		COX11 homolog, cytochrome c oxidase assembly protein (yeast)	COX11
209674_AT	3.15		cryptochrome 1 (photolyase-like)	CRY1
201066_AT	2.79		cytochrome c-1	CYC1
208905_AT	4.21	10.97	cytochrome c, somatic	CYCS
229415_AT	2.61	10.97	cytochrome c, somatic	CYCS
218447_AT	2.42		DC13 protein	DC13
209759_S_AT	2.09		dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase)	DCI
213632_AT	2.26		dihydroorotate dehydrogenase	DHODH
218194_AT	3.91		small fragment nuclease	DKFZP566E144
211150_S_AT	4.05		dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	DLAT
212568_S_AT	3.93		dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	DLAT
213149_AT	2.60		dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	DLAT
213647_AT	2.37		DNA2 DNA replication helicase 2-like (yeast)	DNA2L
222447_AT	2.01		DORA reverse strand protein 1	DREV1
208955_AT	4.65		dUTP pyrophosphatase	DUT
208956_X_AT	2.30		dUTP pyrophosphatase	DUT
209932_S_AT	2.81		dUTP pyrophosphatase	DUT
225153_AT	2.49	6.81	mitochondrial elongation factor G1	EFG1
225158_AT	2.81	6.81	mitochondrial elongation factor G1	EFG1
225161_AT	2.78	6.81	mitochondrial elongation factor G1	EFG1
232296_S_AT	2.67	6.81	mitochondrial elongation factor G1	EFG1
204824_AT	3.18	10.64	endonuclease G	ENDOG
212218_S_AT	5.32		fatty acid synthase	FASN
204767_S_AT	2.74		flap structure-specific endonuclease 1	FEN1
204768_S_AT	3.23		flap structure-specific endonuclease 1	FEN1
203032_S_AT	4.28	3.54	fumarate hydratase	FH
203033_X_AT	3.03	3.54	fumarate hydratase	FH
214170_X_AT	3.26	3.54	fumarate hydratase	FH
218993_AT	2.37		putative RNA methyltransferase	FLJ10581
219277_S_AT	3.07		hypothetical protein FLJ10851	FLJ10851
203701_S_AT	2.81		hypothetical protein FLJ20244	FLJ20244
210463_X_AT	2.86		hypothetical protein FLJ20244	FLJ20244
220060_S_AT	2.91		hypothetical protein FLJ20641	FLJ20641
227928_AT	3.11		hypothetical protein FLJ20641	FLJ20641
205565_S_AT	5.29		Friedreich ataxia	FRDA
225520_AT	13.17		formyltetrahydrofolate synthetase domain containing 1	FTHFSDC1
231094_S_AT	4.49		formyltetrahydrofolate synthetase domain containing 1	FTHFSDC1
205164_AT	1.82		glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)	GCAT
213133_S_AT	8.14		glycine cleavage system protein H (aminomethyl carrier)	GCSH
204836_AT	3.53		glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)	GLDC
219933_AT	3.11		glutaredoxin 2	GLRX2
223079_S_AT	2.37		glutaminase	GLS
215794_X_AT	1.84		glutamate dehydrogenase 2	GLUD2
200648_S_AT	2.18		glutamate-ammonia ligase (glutamine synthase)	GLUL
215001_S_AT	2.13		glutamate-ammonia ligase (glutamine synthase)	GLUL
214431_AT	3.40		guanine monphosphate synthetase	GMPS
200708_AT	3.17		glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	GOT2
212432_AT	4.72		GrpE-like 1, mitochondrial (E. coli)	GRPEL1
212434_AT	4.73		GrpE-like 1, mitochondrial (E. coli)	GRPEL1
226881_AT	3.03		GrpE-like 2, mitochondrial (E. coli)	GRPEL2
238427_AT	2.15		GrpE-like 2, mitochondrial (E. coli)	GRPEL2
201035_S_AT	3.25		L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	HADHSC
201036_S_AT	3.74		L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	HADHSC
211569_S_AT	3.64		L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	HADHSC
202934_AT	2.58		hexokinase 2	HK2
200690_AT	3.38		heat shock 70kDa protein 9B (mortalin-2)	HSPA9B
200691_S_AT	3.88		heat shock 70kDa protein 9B (mortalin-2)	HSPA9B
200692_S_AT	4.08		heat shock 70kDa protein 9B (mortalin-2)	HSPA9B
200806_S_AT	6.41		heat shock 60kDa protein 1 (chaperonin)	HSPD1
200807_S_AT	4.08		heat shock 60kDa protein 1 (chaperonin)	HSPD1
205133_S_AT	5.30		heat shock 10kDa protein 1 (chaperonin 10)	HSPE1
201948_AT	2.53		nucleolar GTPase	HUMAUANTIG
210014_X_AT	1.87		isocitrate dehydrogenase 3 (NAD+) beta	IDH3B
210418_S_AT	1.91		isocitrate dehydrogenase 3 (NAD+) beta	IDH3B
218617_AT	1.95		tRNA isopentenyltransferase 1	IPT
223255_AT	1.95		KIAA1333	KIAA1333
34764_AT	2.06		leucyl-tRNA synthetase 2, mitochondrial	LARS2
214045_AT	2.77		lipoic acid synthetase	LIAS
225470_AT	4.75		mitotic phosphoprotein 44	LOC129401
218969_AT	2.43		mitochondria-associated protein involved in granulocyte-macrophage colony-stimulating factor signal transduction	Magmas
209623_AT	2.19		methylcrotonoyl-Coenzyme A carboxylase 2 (beta)	MCCC2
209624_S_AT	2.92		methylcrotonoyl-Coenzyme A carboxylase 2 (beta)	MCCC2
209036_S_AT	2.61		malate dehydrogenase 2, NAD (mitochondrial)	MDH2
209397_AT	2.44		malic enzyme 2, NAD(+)-dependent, mitochondrial	ME2
210153_S_AT	2.24		malic enzyme 2, NAD(+)-dependent, mitochondrial	ME2
210154_AT	3.09		malic enzyme 2, NAD(+)-dependent, mitochondrial	ME2
221020_S_AT	3.08		mitochondrial folate transporter/carrier	MFTC
223296_AT	3.74		mitochondrial carrier protein	MGC4399
224918_X_AT	6.09		microsomal glutathione S-transferase 1	MGST1
231736_X_AT	5.77		microsomal glutathione S-transferase 1	MGST1
204305_AT	2.53		mitochondrial intermediate peptidase	MIPEP
36830_AT	3.33		mitochondrial intermediate peptidase	MIPEP
216503_S_AT	1.95		myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	MLLT10
230122_AT	2.41		myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	MLLT10
225826_AT	1.91		methylmalonic aciduria (cobalamin deficiency) type B	MMAB
223154_AT	2.20		mitochondrial ribosomal protein L1	MRPL1
219162_S_AT	2.69		mitochondrial ribosomal protein L11	MRPL11
203931_S_AT	3.95	6.31	mitochondrial ribosomal protein L12	MRPL12
218049_S_AT	2.62		mitochondrial ribosomal protein L13	MRPL13
217907_AT	1.97		mitochondrial ribosomal protein L18	MRPL18
203465_AT	3.31		mitochondrial ribosomal protein L19	MRPL19
213897_S_AT	2.59		mitochondrial ribosomal protein L23	MRPL23
208787_AT	3.66		mitochondrial ribosomal protein L3	MRPL3
225260_S_AT	2.32		mitochondrial ribosomal protein L32	MRPL32
221692_S_AT	2.60		mitochondrial ribosomal protein L34	MRPL34
224331_S_AT	2.51		mitochondrial ribosomal protein L36	MRPL36
222993_AT	3.04		mitochondrial ribosomal protein L37	MRPL37
218558_S_AT	2.31		mitochondrial ribosomal protein L39	MRPL39
217919_S_AT	2.00		mitochondrial ribosomal protein L42	MRPL42
224479_S_AT	2.17		mitochondrial ribosomal protein L45	MRPL45
219244_S_AT	1.90		mitochondrial ribosomal protein L46	MRPL46
223480_S_AT	2.49		mitochondrial ribosomal protein L47	MRPL47
225580_AT	3.19		mitochondrial ribosomal protein L50	MRPL50
225581_S_AT	2.64		mitochondrial ribosomal protein L50	MRPL50
204331_S_AT	3.37		mitochondrial ribosomal protein S12	MRPS12
210008_S_AT	2.42		mitochondrial ribosomal protein S12	MRPS12
221437_S_AT	2.72		mitochondrial ribosomal protein S15	MRPS15
223292_S_AT	1.88		mitochondrial ribosomal protein S15	MRPS15
226296_S_AT	2.56		mitochondrial ribosomal protein S15	MRPS15
218982_S_AT	4.50		mitochondrial ribosomal protein S17	MRPS17
208907_S_AT	1.93		mitochondrial ribosomal protein S18B	MRPS18B
218001_AT	5.14		mitochondrial ribosomal protein S2	MRPS2
219220_X_AT	2.08		mitochondrial ribosomal protein S22	MRPS22
226257_X_AT	1.97		mitochondrial ribosomal protein S22	MRPS22
223156_AT	3.06		mitochondrial ribosomal protein S23	MRPS23
224015_S_AT	2.13		mitochondrial ribosomal protein S25	MRPS25
224869_S_AT	2.78		mitochondrial ribosomal protein S25	MRPS25
224873_S_AT	2.00		mitochondrial ribosomal protein S25	MRPS25
226848_AT	2.16		mitochondrial ribosomal protein S25	MRPS25
225196_S_AT	3.07		mitochondrial ribosomal protein S26	MRPS26
212145_AT	2.46		mitochondrial ribosomal protein S27	MRPS27
219819_S_AT	2.41		mitochondrial ribosomal protein S28	MRPS28
218398_AT	3.15		mitochondrial ribosomal protein S30	MRPS30
218112_AT	3.09		mitochondrial ribosomal protein S34	MRPS34
217942_AT	2.91		mitochondrial ribosomal protein S35	MRPS35
209421_AT	2.34		mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	MSH2
202911_AT	2.14		mutS homolog 6 (E. coli)	MSH6
211450_S_AT	2.54		mutS homolog 6 (E. coli)	MSH6
235689_AT	2.76		methionyl-tRNA formyltransferase, mitochondrial	MtFMT
202309_AT	2.80		methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	MTHFD1
201761_AT	2.68		methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	MTHFD2
203095_AT	2.18		mitochondrial translational initiation factor 2	MTIF2
203359_S_AT	2.12		c-myc binding protein	MYCBP
203360_S_AT	2.50		c-myc binding protein	MYCBP
218160_AT	2.24		NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	NDUFA8
202077_AT	3.07		NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa	NDUFAB1
203613_S_AT	2.46		NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa	NDUFB6
202839_S_AT	2.06		NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	NDUFB7
236356_AT	2.51		NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	NDUFS1
201757_AT	2.51		NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)	NDUFS5
203606_AT	2.19		NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)	NDUFS6
211752_S_AT	1.93		NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)	NDUFS7
225943_AT	5.25		neurolysin (metallopeptidase M3 family)	NLN
225944_AT	8.13		neurolysin (metallopeptidase M3 family)	NLN
218057_X_AT	2.04		neighbor of COX4	NOC4
222504_S_AT	1.90		neighbor of COX4	NOC4
227363_S_AT	1.90		neighbor of COX4	NOC4
217850_AT	4.00		nucleostemin	NS
204766_S_AT	1.74		nudix (nucleoside diphosphate linked moiety X)-type motif 1	NUDT1
219347_AT	2.57		nudix (nucleoside diphosphate linked moiety X)-type motif 15	NUDT15
206550_S_AT	2.74		nucleoporin 155kDa	NUP155
228902_AT	1.88		nucleoporin 214kDa	NUP214
201599_AT	2.96		ornithine aminotransferase (gyrate atrophy)	OAT
200790_AT	4.26		ornithine decarboxylase 1	ODC1
202780_AT	2.70		3-oxoacid CoA transferase	OXCT
205353_S_AT	4.12		prostatic binding protein	PBP
211941_S_AT	3.39		prostatic binding protein	PBP
212694_S_AT	2.36		propionyl Coenzyme A carboxylase, beta polypeptide	PCCB
205512_S_AT	2.01		programmed cell death 8 (apoptosis-inducing factor)	PDCD8
219575_S_AT	2.87		peptide deformylase-like protein	PDF
200979_AT	3.00		pyruvate dehydrogenase (lipoamide) alpha 1	PDHA1
200980_S_AT	3.19		pyruvate dehydrogenase (lipoamide) alpha 1	PDHA1
207621_S_AT	2.12		phosphatidylethanolamine N-methyltransferase	PEMT
204300_AT	1.87		PET112-like (yeast)	PET112L
200658_S_AT	5.01		prohibitin	PHB
200659_S_AT	2.46		prohibitin	PHB
223290_AT	2.26		pyridoxal phosphate phosphatase	PLP
212088_AT	2.20		peptidase (mitochondrial processing) alpha	PMPCA
213677_S_AT	2.03		PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	PMS1
203782_S_AT	3.69	4.48	polymerase (RNA) mitochondrial (DNA directed)	POLRMT
205761_S_AT	2.18		protein similar to E.coli yhdg and R. capsulatus nifR3	PP35
201489_AT	6.30		peptidylprolyl isomerase F (cyclophilin F)	PPIF
201490_S_AT	7.67		peptidylprolyl isomerase F (cyclophilin F)	PPIF
202883_S_AT	2.58		protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	PPP2R1B
202884_S_AT	2.00		protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	PPP2R1B
202886_S_AT	3.11		protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	PPP2R1B
201619_AT	2.14		peroxiredoxin 3	PRDX3
209017_S_AT	3.30		protease, serine, 15	PRSS15
218670_AT	2.55		pseudouridylate synthase 1	PUS1
217791_S_AT	3.09		pyrroline-5-carboxylate synthetase (glutamate gamma-semialdehyde synthetase)	PYCS
222416_AT	3.54		pyrroline-5-carboxylate synthetase (glutamate gamma-semialdehyde synthetase)	PYCS
218496_AT	1.97		ribonuclease H1	RNASEH1
218497_S_AT	2.06		ribonuclease H1	RNASEH1
223221_AT	3.11	5.3	SCO cytochrome oxidase deficient homolog 1 (yeast)	SCO1
202675_AT	2.93	5	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	SDHB
208939_AT	2.69		selenophosphate synthetase 1	SEPHS1
208941_S_AT	2.11		selenophosphate synthetase 1	SEPHS1
218392_X_AT	2.53		sideroflexin 1	SFXN1
230069_AT	2.90		sideroflexin 1	SFXN1
214095_AT	3.10		serine hydroxymethyltransferase 2 (mitochondrial)	SHMT2
214096_S_AT	2.91		serine hydroxymethyltransferase 2 (mitochondrial)	SHMT2
214437_S_AT	3.25		serine hydroxymethyltransferase 2 (mitochondrial)	SHMT2
203775_AT	2.48		solute carrier family 25, member 13 (citrin)	SLC25A13
211754_S_AT	2.85		solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17	SLC25A17
223222_AT	2.09		solute carrier family 25 (mitochondrial deoxynucleotide carrier), member 19	SLC25A19
202825_AT	1.86		solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	SLC25A4
215223_S_AT	2.91		superoxide dismutase 2, mitochondrial	SOD2
216841_S_AT	2.96		superoxide dismutase 2, mitochondrial	SOD2
202591_S_AT	2.90		single-stranded DNA binding protein 1	SSBP1
212459_X_AT	1.93		succinate-CoA ligase, GDP-forming, beta subunit	SUCLG2
214835_S_AT	2.00		succinate-CoA ligase, GDP-forming, beta subunit	SUCLG2
215772_X_AT	1.87		succinate-CoA ligase, GDP-forming, beta subunit	SUCLG2
212894_AT	2.51		suppressor of var1, 3-like 1 (S. cerevisiae)	SUPV3L1
203176_S_AT	3.47	4.54	transcription factor A, mitochondrial	TFAM
203177_X_AT	3.45	4.54	transcription factor A, mitochondrial	TFAM
208541_X_AT	2.01	4.54	transcription factor A, mitochondrial	TFAM
218408_AT	2.74		translocase of inner mitochondrial membrane 10 homolog (yeast)	TIMM10
218188_S_AT	5.72		translocase of inner mitochondrial membrane 13 homolog (yeast)	TIMM13
201821_S_AT	3.04		translocase of inner mitochondrial membrane 17 homolog A (yeast)	TIMM17A
215171_S_AT	2.86		translocase of inner mitochondrial membrane 17 homolog A (yeast)	TIMM17A
222841_S_AT	2.51		translocase of inner mitochondrial membrane 22 homolog (yeast)	TIMM22
218118_S_AT	2.57		translocase of inner mitochondrial membrane 23 homolog (yeast)	TIMM23
218119_AT	2.52		translocase of inner mitochondrial membrane 23 homolog (yeast)	TIMM23
225535_S_AT	2.42		translocase of inner mitochondrial membrane 23 homolog (yeast)	TIMM23
203092_AT	2.98		translocase of inner mitochondrial membrane 44 homolog (yeast)	TIMM44
203093_S_AT	3.27		translocase of inner mitochondrial membrane 44 homolog (yeast)	TIMM44
205217_AT	2.98		translocase of inner mitochondrial membrane 8 homolog A (yeast)	TIMM8A
218357_S_AT	2.35		translocase of inner mitochondrial membrane 8 homolog B (yeast)	TIMM8B
200662_S_AT	3.13		translocase of outer mitochondrial membrane 20 homolog (yeast)	TOMM20
217960_S_AT	2.27		translocase of outer mitochondrial membrane 22 homolog (yeast)	TOMM22
222474_S_AT	2.84		translocase of outer mitochondrial membrane 22 homolog (yeast)	TOMM22
201870_AT	1.95		translocase of outer mitochondrial membrane 34	TOMM34
202264_S_AT	3.03		translocase of outer mitochondrial membrane 40 homolog (yeast)	TOMM40
235088_AT	2.67		translocase of outer mitochondrial membrane 7 homolog (yeast)	TOMM7
238015_AT	2.58		translocase of outer mitochondrial membrane 7 homolog (yeast)	TOMM7
201512_S_AT	2.74		translocase of outer mitochondrial membrane 70 homolog A (yeast)	TOMM70A
201519_AT	2.38		translocase of outer mitochondrial membrane 70 homolog A (yeast)	TOMM70A
225802_AT	3.50		mitochondrial topoisomerase I	TOP1MT
201391_AT	6.52		heat shock protein 75	TRAP1
212656_AT	2.85		Ts translation elongation factor, mitochondrial	TSFM
201513_AT	2.12		translin	TSN
201113_AT	3.61		Tu translation elongation factor, mitochondrial	TUFM
202330_S_AT	5.87		uracil-DNA glycosylase	UNG
209065_AT	2.09		ubiquinol-cytochrome c reductase binding protein	UQCRB
201903_AT	2.17		ubiquinol-cytochrome c reductase core protein I	UQCRC1
201796_S_AT	2.05		valyl-tRNA synthetase 2	VARS2
201797_S_AT	5.56		valyl-tRNA synthetase 2	VARS2
212038_S_AT	2.61		voltage-dependent anion channel 1	VDAC1
208846_S_AT	2.34		voltage-dependent anion channel 3	VDAC3
218766_S_AT	1.93		tryptophanyl tRNA synthetase 2 (mitochondrial)	WARS2
218882_S_AT	4.02		WD repeat domain 3	WDR3
