Genbank ID	Gene Title	Gene Symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos FC ± SEM	Gene sequence
BB656515	SET binding factor 2	Sbf2	N.C.	-1.9 ± 0.4	N.C.	N.C.	30
AK017357	copine III	Cpne3	N.C.	-2.0 ± 0.4	N.C.	N.C.	31
AF114437	Phosphatidylcholine transfer protein	Pctp	-1.6 ± 0.4	N.C.	N.C.	N.C.	32
AK002308	RIKEN cDNA 0610007P14 gene	0610007P14Rik	-1.7 ± 0.4	N.C.	N.C.	N.C.	33
AK004285	RIKEN cDNA 1110057K04 gene	1110057K04Rik	-1.9 ± 0.4	N.C.	N.C.	N.C.	34
AK005441	sterol-C4-methyl oxidase-like	Sc4mol	-1.5 ± 0.4	N.C.	N.C.	N.C.	35
BB283187	carnitine O-octanoyltransferase	Crot	-2.0 ± 0.4	N.C.	N.C.	N.C.	36
BC019373	lysophospholipase 3	Lypla3	-2.1 ± 0.4	N.C.	N.C.	N.C.	37
BC026817	acetoacetyl-CoA synthetase	Aacs	-2.1 ± 0.5	N.C.	N.C.	N.C.	38
BE987427	lysophosphatidylglycerol acyltransferase 1	Lpgat1	-1.6 ± 0.4	N.C.	N.C.	N.C.	39
NM_007639	CD1d1 antigen	Cd1d1	N.C.	N.C.	-1.5 ± 0.4	N.C.	40
NM_008149	Glycerol-3-phosphate acyltransferase, mitochondrial	Gpam	-1.6 ± 0.4	N.C.	N.C.	N.C.	41
NM_008880	phospholipid scramblase 2	Plscr2	-2.1 ± 0.4	N.C.	N.C.	N.C.	42
NM_010322	glyceronephosphate O-acyltransferase	Gnpat	-1.5 ± 0.4	N.C.	N.C.	N.C.	43
NM_017399	fatty acid binding protein 1, liver	Fabp1	-1.6 ± 0.4	N.C.	-2.0 ± 0.4	-2.3 ± 0.5	44
NM_030721	acyl-Coenzyme A oxidase 3, pristanoyl	Acox3	-1.5 ± 0.4	N.C.	N.C.	N.C.	45
NM_031257	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2	Plekha2	-1.7 ± 0.4	N.C.	N.C.	N.C.	46
AK013111	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Aasdhppt	-1.6 ± 0.4	N.C.	N.C.	N.C.	58
BF658463	Ethanolamine kinase 1	Etnk1	N.C.	-2.2 ± 0.4	N.C.	N.C.	77
BB279524	diacylglycerol kinase, beta	Dgkb	N.C.	-2.5 ± 0.4	N.C.	N.C.	156
AV348702	inositol (myo)-1(or 4)-monophosphatase 1	Impa1	-1.6 ± 0.4	N.C.	N.C.	N.C.	462
BB518473	Lecithin-retinol acyltransferase (phosphatidylcholine-retinol-O-acyltransferase)	Lrat	-2.4 ± 0.5	N.C.	N.C.	-1.6 ± 0.4	721
BB546727	phosphatidylinositol glycan, class Q	Pigq	-1.7 ± 0.3	N.C.	N.C.	N.C.	733
BB732183	phosphatidylinositol glycan, class H	Pigh	-2.9 ± 0.4	N.C.	N.C.	N.C.	751
BB794710	serine palmitoyltransferase, long chain base subunit 2	Sptlc2	-1.5 ± 0.4	N.C.	N.C.	N.C.	774
BB794719	Phosphatidylinositol glycan, class N	Pign	-1.5 ± 0.4	-3.7 ± 0.4	N.C.	N.C.	775
BM237177	lysocardiolipin acyltransferase	Lycat	-1.8 ± 0.4	N.C.	N.C.	N.C.	950
BM118638	fatty acid 2-hydroxylase	Fa2h	N.C.	-1.7 ± 0.4	N.C.	N.C.	1073
AB030038	acid phosphatase 6, lysophosphatidic	Acp6	-1.6 ± 0.4	N.C.	N.C.	N.C.	1175
AI595920	phosphatidylinositol transfer protein, cytoplasmic 1	Pitpnc1	-2.4 ± 0.4	N.C.	-1.5 ± 0.4	-1.8 ± 0.4	1211
AI646503	diacylglycerol kinase, gamma	Dgkg	-3.2 ± 0.4	N.C.	N.C.	N.C.	1213
AK004775	acyl-Coenzyme A oxidase-like	Acoxl	N.C.	N.C.	-2.9 ± 0.4	-3.1 ± 0.4	1249
AK014096	phosphatidylinositol glycan, classC	Pigc	-1.8 ± 0.3	N.C.	N.C.	N.C.	1318
BC014860	diacylglycerol kinase zeta	Dgkz	-1.8 ± 0.4	N.C.	N.C.	N.C.	1526
NM_024208	enoyl Coenzyme A hydratase domain containing 3	Echdc3	-1.5 ± 0.4	N.C.	N.C.	N.C.	1862
NM_030255	apolipoprotein B editing complex 3	Apobec3	-2.1 ± 0.4	N.C.	N.C.	N.C.	1904
BC003792	apolipoprotein B editing complex 1	Apobec1	N.C.	N.C.	-1.6 ± 0.4	N.C.	1482
NM_053011	low density lipoprotein-related protein 1B (deleted in tumors)	Lrp1b	N.C.	-3.6 ± 0.5	N.C.	N.C.	1129
BB476639	steroid 5 alpha-reductase 2-like 2	Srd5a2l2	N.C.	-1.9 ± 0.4	N.C.	N.C.	121
BC002148	fatty acid binding protein 4, adipocyte	Fabp4	N.C.	-1.7 ± 0.5	N.C.	N.C.	6
