EGID	SYMBOL	GENENAME	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
2713	GK3P	glycerol kinase 3 pseudogene	215966_x_at	1.1	5.45	4.91	0	0.01	2.56
122809	SOCS4	suppressor of cytokine signaling 4	1552792_at	1.51	5.96	4.87	0	0.02	2.47
4238	MFAP3	microfibrillar-associated protein 3	1552312_a_at	1.43	6.9	4.87	0	0.02	2.46
552889	LOC552889	hypothetical LOC552889	212113_at	1.65	8.02	4.85	0	0.02	2.42
23657	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	207528_s_at	1.47	4.42	4.85	0	0.02	2.4
54989	ZNF770	zinc finger protein 770	238687_x_at	1.05	4.47	4.83	0	0.02	2.35
6506	SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2	1558009_at	1.66	3.21	4.81	0	0.02	2.31
5774	PTPN3	protein tyrosine phosphatase, non-receptor type 3	203997_at	1.27	7.12	4.81	0	0.02	2.29
9728	KIAA0256	KIAA0256 gene product	212451_at	1.6	6.32	4.79	0	0.02	2.24
481	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	201242_s_at	2.82	9.78	4.78	0	0.02	2.21
6249	CLIP1	CAP-GLY domain containing linker protein 1	1558924_s_at	1.51	5.19	4.76	0	0.02	2.18
3308	HSPA4	heat shock 70kDa protein 4	208814_at	1.79	6.71	4.76	0	0.02	2.18
80267	EDEM3	ER degradation enhancer, mannosidase alpha-like 3	220342_x_at	1.34	7.14	4.75	0	0.02	2.14
79699	ZYG11B	zyg-11 homolog B (C. elegans)	227918_s_at	2.07	6.51	4.74	0	0.02	2.13
55752	12:00 AM	septin 11	201308_s_at	1.56	6.76	4.74	0	0.02	2.12
57551	TAOK1	TAO kinase 1	227454_at	1.86	7.35	4.74	0	0.02	2.11
10432	RBM14	RNA binding motif protein 14	1555639_a_at	1.31	7.11	4.73	0	0.02	2.08
9117	SEC22C	SEC22 vesicle trafficking protein homolog C (S. cerevisiae)	236268_at	1.32	6.63	4.72	0	0.02	2.07
162494	RHBDL3	rhomboid, veinlet-like 3 (Drosophila)	233409_at	-1.79	6.07	-4.73	0	0.02	2.09
6048	RNF5	ring finger protein 5	216018_at	-1.15	4.79	-4.83	0	0.02	2.36
441054	LOC441054	hypothetical protein LOC441054	236915_at	-1.15	4.24	-4.85	0	0.02	2.42
254268	C1orf62	chromosome 1 open reading frame 62	1563834_a_at	-2.11	3.11	-4.87	0	0.02	2.46
23338	PHF15	PHD finger protein 15	212660_at	-1.78	6.67	-4.88	0	0.02	2.47
1281	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	215076_s_at	-3.08	6.63	-4.9	0	0.01	2.55
8396	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase, type II, beta	1558599_at	-1.22	4.01	-4.94	0	0.01	2.64
64772	FLJ21865	endo-beta-N-acetylglucosaminidase	220349_s_at	-1.05	6.3	-5.22	0	0.01	3.38
509	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	214132_at	-1.03	6.11	-5.36	0	0.01	3.75
84253	GARNL3	GTPase activating Rap/RanGAP domain-like 3	223604_at	-1.49	6.1	-5.38	0	0.01	3.81
91368	CDKN2AIPNL	CDKN2A interacting protein N-terminal like	1554348_s_at	-1.26	5.07	-5.66	0	0	4.52
3039	HBA1	hemoglobin, alpha 1	214414_x_at	-1.48	5.37	-5.84	0	0	5
4666	NACA	nascent polypeptide-associated complex alpha subunit	222018_at	-1.34	7.12	-6.2	0	0	5.95
7110	TMF1	TATA element modulatory factor 1	215855_s_at	-1.09	5.19	-6.23	0	0	6.01
1337	COX6A1	cytochrome c oxidase subunit VIa polypeptide 1	224344_at	-3.86	5.54	-10.13	0	0	15.03
3956	LGALS1	lectin, galactoside-binding, soluble, 1 (galectin 1)	216405_at	-5.57	6.79	-13.86	0	0	21.43
	NA	NA	217572_at	-6.89	8.27	-14.02	0	0	21.66
3046	HBE1	hemoglobin, epsilon 1	217683_at	-8.54	7.92	-17.71	0	0	26.18
