Name	CloneID	Cell lines TK6	Cell lines NH32	Cell lines WTK1	Function
 Microtubule-associated protein 7 (MAP7)	144834	1.3 (3)	1.36 (1)	2.01 (9)	Filament-related genes
 Plasminogen activator, urokinase (PLAU)	714106	1.53 (1)	1.56 (24)	2.2 (6)	Filament-related genes
 PCNA=proliferating cell nuclear (PCNA)	789182	2.18 (6)	1.67 (6)	1.35 (6)	DNA damage/repair genes
 MSH2=DNA mismatch repair mutS homolog 2 (MSH2)	630013	2.29 (6)	2.02 (24)	1.31 (24)	DNA damage/repair genes
 Damage-specific DNA binding protein (DDB2)	753447	2.7 (9)	1.67 (24)	1.18 (24)	DNA damage/repair genes
 GADD153	361456	2.09 (9)	1.61 (9)	1.7 (9)	DNA damage/repair genes
 Interferon- receptor 1 (IFNGR1)	47900	2 (24)	1.37 (24)	2.5 (1)	Signal transduction genes
 Signal-induced proliferation-associated gene 1 (SIPA1)	593114	2.19 (9)	2.05 (24)	1.74 (24)	Signal transduction genes
 Nuclear receptor coactivator 3 (NCOA3)	502333	2.16 (24)	1.35 (24)	1.38 (6)	Signal transduction genes
 Protein tyrosine phosphatase, (PTPN11)	1604158	1.86 (9)	2.89 (9)	1.44 (9)	Signal transduction genes
 Transcription factor 21 (TCF21)	461351	2.54 (3)	3.14 (24)	2.17 (9)	Trascription factor-regulated genes
 Basic leucine zipper transcriptional factor (BATF)	1558151	1.98 (6)	2.42 (1)	2.31 (6)	Trascription factor-regulated genes
 Nuclear factor (NFE2L1)	755821	1.22 (9)	1.31 (6)	2.06 (9)	Trascription factor-regulated genes
 Regulatory factor X, 5 (RFX5)	767753	1.55 (9)	2.14 (24)	1.23 (9)	Trascription factor-regulated genes
 sgk=putative serine/threonine protein kinase (SGK)	840776	2.2 (24)	1.43 (6)	1.47 (1)	Stress/oxidative related genes
 Cytochrome c oxidase subunit VI (COX7B)	258120	1.44 (24)	1.59 (24)	2.47 (1)	Stress/oxidative related genes
 Carnitine acetyltransferase (CRAT)	744417	1.33 (24)	1.22 (9)	2.03 (1)	Stress/oxidative related genes
 NADH dehydrogenase ubiquinone  subcomplex (NDUFB5)	307933	2.18 (24)	1.16 (6)	1.24 (6)	Stress/oxidative related genes
 UQCRC2—ubiquinol-cytochrome c reductase core protein 2 (HK)	25584	2.21 (24)	2.37 (1)	2.9 (6)	Stress/oxidative related genes
