Gene	Description	p-value	GenBank Accession	Expression
CCNB2	CyclinB2	0.001	NM_004701	Decreased expression by bleomycin treatment
ZNF410	Zinc finger protein 410	0.001	U90919	Decreased expression by bleomycin treatment
DCTN2	Dynactin 2 (p50)	0.001	NM_006400	Decreased expression by bleomycin treatment
TLP19	Endoplasmic reticulum thioredoxin superfamily member, 18 kDa	0.001	NM_015913	Decreased expression by bleomycin treatment
LTA4H	Leukotriene A4 hydrolase	0.001	NM_000895	Decreased expression by bleomycin treatment
CCNA2	CyclinA2	0.001	NM_001237	Decreased expression by bleomycin treatment
TUBA6	Tubulin alpha 6	0.001	D28390	Decreased expression by bleomycin treatment
CECR5	Cat eye syndrome chromosome region, candidate 5	0.001	NM_017829	Decreased expression by bleomycin treatment
FKBP4	FK506 binding protein 4, 59kDa	0.001	NM_002014	Decreased expression by bleomycin treatment
KNTC2	Kinetochore associated2	0.001	NM_006101	Decreased expression by bleomycin treatment
LAPTM4A	Lysosomal-associated protein transmembrane 4 alpha	0.001	NM_014713	Decreased expression by bleomycin treatment
TM9SF1	Transmembrane 9 superfamily member 1	0.001	NM_006405	Decreased expression by bleomycin treatment
MORF4L2	Mortality factor 4 like 2	0.001	NM_012286	Decreased expression by bleomycin treatment
ELAVL1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	0.001	NM_001419	Decreased expression by bleomycin treatment
MRPS17	Mitochondrial ribosomal protein S17	0.001	NM_015969	Decreased expression by bleomycin treatment
PLK1	Polo-like kinase 1 (Drosophila)	0.001	NM_005030	Decreased expression by bleomycin treatment
CDC25B	Cell division cycle 25B	0.001	NM_004358	Decreased expression by bleomycin treatment
RAC1	Ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	0.001	D25274	Decreased expression by bleomycin treatment
RAMP	RA-regulated nuclear matrix-associated protein	0.001	NM_016448	Decreased expression by bleomycin treatment
SSR2	Signal sequence receptor, beta (translocon-associated protein beta)	0.001	NM_003145	Decreased expression by bleomycin treatment
TM9SF2	Transmembrane 9 superfamily member 2	0.001	NM_004800	Decreased expression by bleomycin treatment
DERP6	S-phase 2 protein	0.001	NM_015362	Decreased expression by bleomycin treatment
SF1	Splicing factor 1	0.001	NM_004630	Decreased expression by bleomycin treatment
SIAH2	Seven in absentia homolog 2 (Drosophila)	0.001	NM_005067	Decreased expression by bleomycin treatment
XBP1	X-box binding protein 1	0.001	NM_005080	Decreased expression by bleomycin treatment
EIF4G2	Eukaryotic translation initiation factor 4 gamma, 2	0.001	NM_001418	Decreased expression by bleomycin treatment
ADAMTS9	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 9	0.001	NM_020249	Decreased expression by bleomycin treatment
NEDD8	Neural precursor cell expressed, developmentally down-regulated 8	0.001	NM_006156	Decreased expression by bleomycin treatment
UBE2G1	Ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, C. elegans)	0.001	D78514	Decreased expression by bleomycin treatment
TIMM10	Translocase of inner mitochondrial membrane 10 homolog (yeast)	0.001	NM_012456	Decreased expression by bleomycin treatment
CCT8	Chaperonin containing TCP1, subunit 8 (theta)	0.002	NM_006585	Decreased expression by bleomycin treatment
HSPA8	Heat shock 70kDa protein 8	0.002	NM_006597	Decreased expression by bleomycin treatment
BCAP29	B-cell receptor-associated protein 29	0.002	NM_018844	Decreased expression by bleomycin treatment
CALU	Calumenin	0.002	NM_001219	Decreased expression by bleomycin treatment
NALP1	NACHT, leucine rich repeat and PYD (pyrin domain) containing 1	0.002	NM_014922	Decreased expression by bleomycin treatment
RGC32	Response gene to complement 32	0.002	NM_014059	Decreased expression by bleomycin treatment
CLIC4	Chloride intracellular channel 4	0.002	NM_013943	Decreased expression by bleomycin treatment
CDK4	Cyclin-dependent kinase 4	0.002	NM_000075	Decreased expression by bleomycin treatment
DCTD	DCMP deaminase	0.002	NM_001921	Decreased expression by bleomycin treatment
DAP3	Death associated protein 3	0.002	NM_004632	Decreased expression by bleomycin treatment
DLD	Dihydrolipoamide dehydrogenase	0.002	NM_000108	Decreased expression by bleomycin treatment
PSAP	Prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	0.002	J03077	Decreased expression by bleomycin treatment
GEMIN6	Gem (nuclear organelle) associated protein 6	0.002	AK027112	Decreased expression by bleomycin treatment
GOT1	Glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	0.002	NM_002079	Decreased expression by bleomycin treatment
GARS	Glycyl-tRNA synthetase	0.002	NM_002047	Decreased expression by bleomycin treatment
TUBB1	Tubulin, beta 1	0.002	AJ292757	Decreased expression by bleomycin treatment
ARF3	ADP-ribosylation factor3	0.002	NM_001659	Decreased expression by bleomycin treatment
RHEB	Ras homolog enriched in brain	0.002	NM_005614	Decreased expression by bleomycin treatment
MTHFD1	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1,	0.002	NM_005956	Decreased expression by bleomycin treatment
DHX35	DEAH (Asp-Glu-Ala-His) box polypeptide 35	0.002	AK026412	Decreased expression by bleomycin treatment
MLC1	Megalencephalic leukoencephalopathy with subcortical cysts 1	0.002	D25217	Decreased expression by bleomycin treatment
IDH3B	Isocitrate dehydrogenase 3 (NAD+) beta	0.002	NM_006899	Decreased expression by bleomycin treatment
ED1	EctodysplasinA	0.002	NM_001399	Decreased expression by bleomycin treatment
MAPRE1	Microtubule-associated protein, RP/EB family, member 1	0.002	NM_012325	Decreased expression by bleomycin treatment
MRPL37	Mitochondrial ribosomal protein L37	0.002	NM_016491	Decreased expression by bleomycin treatment
MLLT3	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	0.002	NM_004529	Decreased expression by bleomycin treatment
NUP93	Nucleoporin 93kDa	0.002	NM_014669	Decreased expression by bleomycin treatment
SLC29A2	Solute carrier family 29 (nucleoside transporters), member 2	0.002	AF034102	Decreased expression by bleomycin treatment
OLFM1	Olfactomedin1	0.002	U79299	Decreased expression by bleomycin treatment
FLJ20399	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	0.002	NM_018380	Decreased expression by bleomycin treatment
PRDX1	Peroxiredoxin1	0.002	NM_002574	Decreased expression by bleomycin treatment
CUL7	Cullin7	0.002	NM_014780	Decreased expression by bleomycin treatment
MID1	Midline 1 (Opitz/BBB syndrome)	0.002	NM_000381	Decreased expression by bleomycin treatment
DUSP12	Dual specificity phosphatase 12	0.002	NM_007240	Decreased expression by bleomycin treatment
RAB2	RAB2, member RAS oncogene family	0.002	NM_002865	Decreased expression by bleomycin treatment
RAD21	RAD21 homolog (S. pombe)	0.002	NM_006265	Decreased expression by bleomycin treatment
TRA2A	Transformer-2 alpha	0.002	NM_013293	Decreased expression by bleomycin treatment
CBFB	Core-binding factor, beta subunit	0.002	AF294326	Decreased expression by bleomycin treatment
GRB7	Growth factor receptor-bound protein 7	0.002	NM_005310	Decreased expression by bleomycin treatment
RNUT1	RNA, U transporter 1	0.002	NM_005701	Decreased expression by bleomycin treatment
SKP1A	S-phase kinase-associated protein 1A (p19A)	0.002	D17032	Decreased expression by bleomycin treatment
AF5Q31	ALL1 fused gene from 5q31	0.002	NM_014423	Decreased expression by bleomycin treatment
EIF4A1	CD68 antigen	0.002	D17188	Decreased expression by bleomycin treatment
RFP	Ret finger protein	0.002	NM_006510	Decreased expression by bleomycin treatment
TPD52	Tumor protein D52	0.002	NM_005079	Decreased expression by bleomycin treatment
CUL2	Cullin2	0.002	NM_003591	Decreased expression by bleomycin treatment
ZNF330	Zinc finger protein 330	0.002	NM_014487	Decreased expression by bleomycin treatment
AK3L1	Adenylate kinase 3	0.003	NM_016282	Decreased expression by bleomycin treatment
MGAT2	Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	0.003	NM_002408	Decreased expression by bleomycin treatment
SLC38A2	Solute carrier family 38, member 2	0.003	NM_018976	Decreased expression by bleomycin treatment
ANXA2	AnnexinA2	0.003	NM_004039	Decreased expression by bleomycin treatment
BAT1	HLA-B associated transcript 1	0.003	NM_004640	Decreased expression by bleomycin treatment
FADD	Fas (TNFRSF6)-associated via death domain	0.003	NM_003824	Decreased expression by bleomycin treatment
SSA1	Tripartite motif-containing 21	0.003	NM_003141	Decreased expression by bleomycin treatment
PRKRA	Protein kinase, interferon-inducible double stranded RNA dependent activator	0.003	NM_003690	Decreased expression by bleomycin treatment
EXO1	Exonuclease1	0.003	NM_003686	Decreased expression by bleomycin treatment
XPO6	Exportin6	0.003	AB002368	Decreased expression by bleomycin treatment
ATP6V1E1	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E isoform 1	0.003	NM_001696	Decreased expression by bleomycin treatment
PGAM1	Phosphoglycerate mutase 1 (brain)	0.003	NM_002629	Decreased expression by bleomycin treatment
NUP54	Nucleoporin 54kDa	0.003	NM_017426	Decreased expression by bleomycin treatment
OAZIN	Antizyme inhibitor 1	0.003	NM_015878	Decreased expression by bleomycin treatment
OGDHL	Oxoglutarate dehydrogenase-like	0.003	NM_018245	Decreased expression by bleomycin treatment
HPRP8BP	WD repeat domain 57 (U5 snRNP specific)	0.003	NM_004814	Decreased expression by bleomycin treatment
PHB	Prohibitin	0.003	NM_002634	Decreased expression by bleomycin treatment
TRAPPC4	Trafficking protein particle complex 4	0.003	NM_016146	Decreased expression by bleomycin treatment
COPZ1	Coatomer protein complex, subunit zeta 1	0.003	NM_016057	Decreased expression by bleomycin treatment
SNX1	Sorting nexin 1	0.003	NM_003099	Decreased expression by bleomycin treatment
RAF1	V-raf-1 murine leukemia viral oncogene homolog 1	0.003	NM_002880	Decreased expression by bleomycin treatment
PPP1CB	Protein phosphatase 1, catalytic subunit, beta isoform	0.003	NM_002709	Decreased expression by bleomycin treatment
PR48	Protein phosphatase 2 (formerly 2A), regulatory subunit B, beta	0.003	NM_013239	Decreased expression by bleomycin treatment
AURKB	Aurora kinase B	0.003	NM_004217	Decreased expression by bleomycin treatment
CRKL	V-crk sarcoma virus CT10 oncogene homolog (avian)-like	0.003	AK000311	Decreased expression by bleomycin treatment
DKFZp566C0424	Putative MAPK activating protein PM20,PM21	0.003	AL050028	Decreased expression by bleomycin treatment
RAP1B	RAP1B, member of RAS oncogene family	0.003	X08004	Decreased expression by bleomycin treatment
COPS4	COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)	0.003	NM_016129	Decreased expression by bleomycin treatment
STRAP	2-deoxyribose-5-phosphate aldolase homolog (C. elegans)	0.003	NM_015954	Decreased expression by bleomycin treatment
STAG3	Stromal antigen 3	0.003	NM_012447	Decreased expression by bleomycin treatment
SDHB	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	0.003	NM_003000	Decreased expression by bleomycin treatment
TEGT	Testis enhanced gene transcript (BAX inhibitor 1)	0.003	NM_003217	Decreased expression by bleomycin treatment
TTRAP	TRAF and TNF receptor associated protein	0.003	NM_016614	Decreased expression by bleomycin treatment
YY1	Solute carrier family 25, member 29	0.003	AK026497	Decreased expression by bleomycin treatment
DDX1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	0.003	NM_004939	Decreased expression by bleomycin treatment
TIMM17A	Translocase of inner mitochondrial membrane 17 homolog A (yeast)	0.003	NM_006335	Decreased expression by bleomycin treatment
TUBB2	Tubulin, beta, 2	0.003	NM_006088	Decreased expression by bleomycin treatment
C14orf130	Chromosome 14 open reading frame 130	0.003	NM_018108	Decreased expression by bleomycin treatment
VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C	0.003	NM_004738	Decreased expression by bleomycin treatment
RABEP1	Rabaptin, RAB GTPase binding effector protein 1	0.003	NM_004703	Decreased expression by bleomycin treatment
AACS	Acetoacetyl-CoA synthetase	0.004	AK022451	Decreased expression by bleomycin treatment
HADHB	Hydroxyacyl-Coenzyme A dehydrogenase	0.004	NM_000183	Decreased expression by bleomycin treatment
ANP32B	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	0.004	NM_006401	Decreased expression by bleomycin treatment
ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	0.004	NM_012089	Decreased expression by bleomycin treatment
VCP	Valosin-containing protein	0.004	NM_007126	Decreased expression by bleomycin treatment
ACLY	ATP citrate lyase	0.004	NM_001096	Decreased expression by bleomycin treatment
CASC3	Cancer susceptibility candidate 3	0.004	NM_007359	Decreased expression by bleomycin treatment
CSNK2A2	Casein kinase 2, alpha prime polypeptide	0.004	NM_001896	Decreased expression by bleomycin treatment
CGREF1	Cell growth regulator with EF hand domain 1	0.004	NM_006569	Decreased expression by bleomycin treatment
ARPC4	Actin related protein 2/3 complex, subunit 4, 20kDa	0.004	NM_005718	Decreased expression by bleomycin treatment
LIG3	Ligase III, DNA, ATP-dependent	0.004	NM_013975	Decreased expression by bleomycin treatment
SEC63	SEC63-like (S. cerevisiae)	0.004	NM_007214	Decreased expression by bleomycin treatment
SLC2A1	Solute carrier family 2 (facilitated glucose transporter), member 1	0.004	NM_006516	Decreased expression by bleomycin treatment
GOLGA3	Golgi autoantigen, golgin subfamily a, 3	0.004	NM_005895	Decreased expression by bleomycin treatment
ITPK1	Inositol 1,3,4-triphosphate 5/6 kinase	0.004	NM_014216	Decreased expression by bleomycin treatment
ITPR1	Inositol 1,4,5-triphosphate receptor, type 1	0.004	D26070	Decreased expression by bleomycin treatment
LBR	Lamin B receptor	0.004	NM_002296	Decreased expression by bleomycin treatment
MK-STYX	Dual specificity phosphatase 24 (putative)	0.004	NM_016086	Decreased expression by bleomycin treatment
MARS	Methionine-tRNA synthetase	0.004	NM_004990	Decreased expression by bleomycin treatment
HOMER1	Homer homolog 1 (Drosophila)	0.004	NM_004272	Decreased expression by bleomycin treatment
PTEN	Phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	0.004	AK024986	Decreased expression by bleomycin treatment
PTP4A2	Protein tyrosine phosphatase type IVA, member 2	0.004	NM_003479	Decreased expression by bleomycin treatment
RBBP6	Retinoblastoma binding protein 6	0.004	NM_006910	Decreased expression by bleomycin treatment
RAE1	RAE1 RNA export 1 homolog (S. pombe)	0.004	NM_003610	Decreased expression by bleomycin treatment
SIAT1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	0.004	NM_003032	Decreased expression by bleomycin treatment
GEMIN4	Gem (nuclear organelle) associated protein 4	0.004	NM_015721	Decreased expression by bleomycin treatment
M6PR	Mannose-6-phosphate receptor (cation dependent)	0.004	NM_002355	Decreased expression by bleomycin treatment
UQCRFS1	Ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	0.004	NM_006003	Decreased expression by bleomycin treatment
