Probe ID	Fold change	p-value	GeneSymbol	GenbankAccession	Description
A_52_P105537	28.4	6.08E-06	Nov	NM_010930	nephroblastoma overexpressed gene (Nov), mRNA [NM_010930]
A_52_P386075	28.2	1.80E-05	ENSMUSG00000057445	AK084071	12 days embryo spinal ganglion cDNA, RIKEN full-length enriched library, clone:D130083G05 product:hypothetical protein, full insert sequence. [AK084071]
A_51_P448784	28.08	1.53E-05	Nrsn1	NM_009513	neurensin 1 (Nrsn1), mRNA [NM_009513]
A_51_P420415	27.94	8.32E-05	Srd5a1	NM_175283	steroid 5 alpha-reductase 1 (Srd5a1), mRNA [NM_175283]
A_52_P552036	27.92	1.55E-04	Myh2	NM_001039545	myosin, heavy polypeptide 2, skeletal muscle, adult (Myh2), mRNA [NM_001039545]
A_51_P246119	27.91	1.29E-05	Cenpf	NM_001081363	centromere protein F (Cenpf), mRNA [NM_001081363]
A_51_P358316	27.84	2.31E-05	Chga	NM_007693	chromogranin A (Chga), mRNA [NM_007693]
A_52_P1133481	27.71	3.51E-05	LOC675467	XM_982330	PREDICTED:  hypothetical protein LOC675467 (LOC675467), mRNA [XM_982330]
A_51_P463789	27.7	1.41E-04	2900083I11Rik	BC051947	RIKEN cDNA 2900083I11 gene, mRNA (cDNA clone MGC:62200 IMAGE:5696610), complete cds. [BC051947]
A_51_P229547	27.66	1.23E-05	Nrxn1	NM_020252	neurexin I (Nrxn1), mRNA [NM_020252]
A_51_P495269	27.41	1.32E-04	Lor	NM_008508	loricrin (Lor), mRNA [NM_008508]
A_52_P4666	27.33	9.43E-05	Cenpk	NM_021790	centromere protein K (Cenpk), transcript variant 1, mRNA [NM_021790]
A_51_P161248	26.71	8.43E-06	Scg3	NM_009130	secretogranin III (Scg3), mRNA [NM_009130]
A_51_P253803	26.14	4.02E-06	Mki67	X82786	M.musculus mRNA for Ki-67. [X82786]
A_52_P622418	26.08	2.94E-06	Tnnt3	NM_011620	troponin T3, skeletal, fast (Tnnt3), mRNA [NM_011620]
A_52_P563908	26.03	6.73E-06	Prox1	AK038396	adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230003G05 product:unclassifiable, full insert sequence [AK038396]
A_51_P246854	25.62	3.80E-05	Acta1	NM_009606	actin, alpha 1, skeletal muscle (Acta1), mRNA [NM_009606]
A_51_P253808	25.45	1.00E-06	Mki67	X82786	M.musculus mRNA for Ki-67. [X82786]
A_52_P320261	25.2	2.48E-05	Cpa2	NM_001024698	carboxypeptidase A2, pancreatic (Cpa2), mRNA [NM_001024698]
A_52_P139650	25.04	5.11E-05	2810433K01Rik	NM_025581	RIKEN cDNA 2810433K01 gene (2810433K01Rik), mRNA [NM_025581]
A_52_P342836	24.99	8.27E-06	ENSMUSG00000057445	AK084071	12 days embryo spinal ganglion cDNA, RIKEN full-length enriched library, clone:D130083G05 product:hypothetical protein, full insert sequence. [AK084071]
A_51_P421912	24.95	3.92E-06	Tox	NM_145711	thymocyte selection-associated HMG box gene (Tox), mRNA [NM_145711]
A_51_P196718	24.81	2.25E-05	Adcy1	NM_009622	adenylate cyclase 1 (Adcy1), mRNA [NM_009622]
A_52_P95294	24.78	2.71E-05	TC1685221
A_51_P503722	24.63	1.24E-04	Elavl4	NM_010488	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D) (Elavl4), transcript variant 1, mRNA [NM_010488]
A_51_P514700	24.48	2.33E-06	Spc25	NM_025565	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae) (Spc25), mRNA [NM_025565]
A_51_P111233	24.46	2.02E-03	Drd2	NM_010077	dopamine receptor 2 (Drd2), mRNA [NM_010077]
A_51_P147034	24.26	2.31E-04	Ica1l	NM_027407	islet cell autoantigen 1-like (Ica1l), mRNA [NM_027407]
A_51_P217778	24.23	2.22E-04	Aspm	NM_009791	asp (abnormal spindle)-like, microcephaly associated (Drosophila) (Aspm), mRNA [NM_009791]
A_51_P295237	23.35	4.66E-05	Lrp11	NM_172784	low density lipoprotein receptor-related protein 11 (Lrp11), mRNA [NM_172784]
A_51_P300657	23.33	1.37E-05	Nefh	NM_010904	neurofilament, heavy polypeptide (Nefh), mRNA [NM_010904]
A_51_P209150	23.25	2.85E-05	Pcdh10	AK122503	mRNA for mKIAA1400 protein. [AK122503]
A_51_P431531	23.21	5.71E-05	E2f8	NM_001013368	E2F transcription factor 8 (E2f8), mRNA [NM_001013368]
A_51_P513530	23.2	3.13E-06	Spag5	NM_017407	sperm associated antigen 5 (Spag5), mRNA [NM_017407]
A_52_P63905	22.98	1.92E-04	Ddc	NM_016672	dopa decarboxylase (Ddc), mRNA [NM_016672]
A_51_P487999	22.97	2.10E-05	Sgol1	NM_028232	shugoshin-like 1 (S. pombe) (Sgol1), mRNA [NM_028232]
A_52_P354373	22.94	1.13E-05	1190002F15Rik	AK138072	16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130083O13 product:RIKEN cDNA 1190002F15 gene, full insert sequence [AK138072]
A_51_P373393	22.83	1.93E-05	Lce3c	NM_033175	late cornified envelope 3C (Lce3c), mRNA [NM_033175]
A_51_P327322	22.81	3.85E-06	Cenpk	NM_021790	centromere protein K (Cenpk), transcript variant 1, mRNA [NM_021790]
A_51_P178083	22.77	1.92E-05	Resp18	NM_009049	regulated endocrine-specific protein 18 (Resp18), mRNA [NM_009049]
A_51_P169659	22.64	4.02E-04	Tbx15	NM_009323	T-box 15 (Tbx15), mRNA [NM_009323]
A_52_P299903	22.55	2.22E-06	Kif5c	NM_008449	kinesin family member 5C (Kif5c), mRNA [NM_008449]
A_51_P204402	22.45	7.29E-07	Shcbp1	NM_011369	Shc SH2-domain binding protein 1 (Shcbp1), mRNA [NM_011369]
A_52_P362161	22.43	4.81E-05	Rab3b	NM_023537	RAB3B, member RAS oncogene family (Rab3b), mRNA [NM_023537]
A_52_P374997	22.33	1.86E-06	E2f7	NM_178609	E2F transcription factor 7 (E2f7), mRNA [NM_178609]
A_52_P10793	22.33	6.65E-05	Ptn	NM_008973	pleiotrophin (Ptn), mRNA [NM_008973]
A_52_P383572	22.3	2.38E-05	Mylpf	NM_016754	myosin light chain, phosphorylatable, fast skeletal muscle (Mylpf), mRNA [NM_016754]
A_51_P409496	22.2	3.77E-05	Arhgap11a	NM_181416	Rho GTPase activating protein 11A (Arhgap11a), mRNA [NM_181416]
A_51_P498483	21.95	2.52E-05	Frmd3	NM_172869	FERM domain containing 3 (Frmd3), mRNA [NM_172869]
A_52_P328492	21.94	3.56E-04	Gas2l3	NM_001079876	growth arrest-specific 2 like 3 (Gas2l3), transcript variant 2, mRNA [NM_001079876]
A_52_P311725	21.81	1.02E-02	Spink5	NM_001081180	serine peptidase inhibitor, Kazal type 5 (Spink5), mRNA [NM_001081180]
A_51_P357980	21.71	1.65E-04	Gprin1	NM_012014	G protein-regulated inducer of neurite outgrowth 1 (Gprin1), mRNA [NM_012014]
A_52_P87843	21.58	2.46E-04	Aldh1a3	NM_053080	aldehyde dehydrogenase family 1, subfamily A3 (Aldh1a3), mRNA [NM_053080]
A_51_P148105	21.52	6.53E-07	Rad51	NM_011234	RAD51 homolog (S. cerevisiae) (Rad51), mRNA [NM_011234]
A_51_P233515	21.44	2.00E-04	Oaz3	BU559983	AGENCOURT_10321741 NIH_MGC_144  cDNA clone IMAGE:6588935 5, mRNA sequence [BU559983]
A_51_P481592	21.42	1.39E-04	Ckap2	NM_001004140	cytoskeleton associated protein 2 (Ckap2), mRNA [NM_001004140]
A_52_P42255	21.29	2.85E-04	Crmp1	NM_007765	collapsin response mediator protein 1 (Crmp1), mRNA [NM_007765]
A_51_P345159	21.29	1.13E-04	Ube2t	NM_026024	ubiquitin-conjugating enzyme E2T (putative) (Ube2t), mRNA [NM_026024]
A_51_P130015	21.13	1.16E-04	Ect2	NM_007900	ect2 oncogene (Ect2), mRNA [NM_007900]
A_51_P225134	21.13	7.93E-05	Myh2	NM_001039545	myosin, heavy polypeptide 2, skeletal muscle, adult (Myh2), mRNA [NM_001039545]
A_51_P160581	20.93	1.43E-04	Brsk2	NM_029426	BR serine/threonine kinase 2 (Brsk2), transcript variant 1, mRNA [NM_029426]
A_51_P319986	20.76	5.02E-04	Neil3	AK042059	3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630055A13 product:similar to CDNA FLJ10858 FIS, CLONE NT2RP4001555 [Homo sapiens], full insert sequence. [AK042059]
A_51_P166258	20.54	4.08E-05	Brunol4	NM_133195	bruno-like 4, RNA binding protein (Drosophila) (Brunol4), mRNA [NM_133195]
A_51_P461040	20.39	1.61E-04	Crct1	NM_028798	cysteine-rich C-terminal 1 (Crct1), mRNA [NM_028798]
A_52_P291428	20.28	2.92E-05	1700001E04Rik	NM_029288	RIKEN cDNA 1700001E04 gene (1700001E04Rik), mRNA [NM_029288]
A_51_P489268	20.09	5.97E-07	Ncapg	AJ237585	mRNA for hypothetical protein expressed in thymocytes (clone MFT.M05.13 [AJ237585]
A_51_P123405	19.78	9.34E-05	Bub1	NM_009772	budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae) (Bub1), mRNA [NM_009772]
A_52_P78699	19.71	1.08E-04	Kcnt1	NM_175462	potassium channel, subfamily T, member 1 (Kcnt1), mRNA [NM_175462]
A_52_P314705	19.68	7.43E-07	Uhrf1	NM_010931	ubiquitin-like, containing PHD and RING finger domains, 1 (Uhrf1), mRNA [NM_010931]
A_51_P164014	19.52	1.81E-04	Cenpe	NM_173762	centromere protein E (Cenpe), mRNA [NM_173762]
A_52_P519737	19.44	3.83E-07	Scml4	NM_172938	sex comb on midleg-like 4 (Drosophila) (Scml4), mRNA [NM_172938]
A_51_P407786	19.38	7.45E-04	Ly6h	NM_011837	lymphocyte antigen 6 complex, locus H (Ly6h), mRNA [NM_011837]
A_51_P369200	19.16	3.62E-06	Tpx2	NM_028109	TPX2, microtubule-associated protein homolog (Xenopus laevis) (Tpx2), mRNA [NM_028109]
A_52_P144310	19.01	2.17E-04	Gad1	NM_008077	glutamic acid decarboxylase 1 (Gad1), mRNA [NM_008077]
A_51_P431885	18.94	2.98E-06	Dnajc6	NM_198412	DnaJ (Hsp40) homolog, subfamily C, member 6 (Dnajc6), mRNA [NM_198412]
A_51_P240453	18.93	8.28E-06	Nusap1	NM_133851	nucleolar and spindle associated protein 1 (Nusap1), transcript variant 1, mRNA [NM_133851]
A_52_P499158	18.9	1.02E-04	Tex101	NM_019981	testis expressed gene 101 (Tex101), mRNA [NM_019981]
A_51_P516085	18.7	3.16E-05	Dntt	NM_009345	deoxynucleotidyltransferase, terminal (Dntt), transcript variant 1, mRNA [NM_009345]
A_51_P104012	18.65	9.88E-05	Tmem158	NM_001002267	transmembrane protein 158 (Tmem158), mRNA [NM_001002267]
A_51_P481920	18.56	2.84E-04	Ccna2	NM_009828	cyclin A2 (Ccna2), mRNA [NM_009828]
A_51_P338072	18.27	5.16E-05	Myh4	NM_010855	myosin, heavy polypeptide 4, skeletal muscle (Myh4), mRNA [NM_010855]
A_52_P144368	18.24	1.64E-04	Odz4	NM_011858	odd Oz/ten-m homolog 4 (Drosophila) (Odz4), mRNA [NM_011858]
A_52_P723267	18.11	1.11E-02	Pde11a	AK050924	9 days embryo whole body cDNA, RIKEN full-length enriched library, clone:D030036L15 product:unclassifiable, full insert sequence [AK050924]
A_51_P383489	18	2.03E-05	Fignl1	NM_021891	fidgetin-like 1 (Fignl1), mRNA [NM_021891]
A_51_P200447	17.97	7.99E-07	Pkib	NM_001039050	protein kinase inhibitor beta, cAMP dependent, testis specific (Pkib), transcript variant 2, mRNA [NM_001039050]
A_52_P162099	17.94	5.82E-03	Ckap2	NM_001004140	cytoskeleton associated protein 2 (Ckap2), mRNA [NM_001004140]
A_51_P475523	17.75	2.58E-06	Brca1	NM_009764	breast cancer 1 (Brca1), mRNA [NM_009764]
A_52_P265937	17.67	1.80E-05	Tagln3	NM_019754	transgelin 3 (Tagln3), mRNA [NM_019754]
A_51_P129038	17.46	4.81E-05	Bfsp1	NM_009751	beaded filament structural protein in lens-CP94 (Bfsp1), mRNA [NM_009751]
A_51_P406734	17.44	5.05E-05	St8sia5	NM_153124	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5 (St8sia5), transcript variant 2, mRNA [NM_153124]
A_52_P498208	17.36	3.15E-05	Hist1h2ak	NM_178183	histone cluster 1, H2ak (Hist1h2ak), mRNA [NM_178183]
A_52_P249544	17.31	1.46E-05	Rufy3	NM_027530	RUN and FYVE domain containing 3 (Rufy3), mRNA [NM_027530]
A_52_P173453	17.3	6.28E-07	LOC673676	XM_001006108	PREDICTED:  hypothetical protein LOC673676 (LOC673676), mRNA [XM_001006108]
A_52_P640694	17.23	7.22E-05	Rims3	AK122226	mRNA for mKIAA0237 protein. [AK122226]
A_51_P480136	17.19	9.68E-05	Cryba2	NM_021541	crystallin, beta A2 (Cryba2), mRNA [NM_021541]
A_51_P509651	17.17	1.37E-05	Cep55	NM_028760	centrosomal protein 55 (Cep55), mRNA [NM_028760]
A_51_P358633	17.13	4.15E-06	Melk	NM_010790	maternal embryonic leucine zipper kinase (Melk), mRNA [NM_010790]
A_51_P244586	17.11	3.83E-05	Zfp618	XM_990348	PREDICTED:  similar to zinc finger protein 618 (LOC667396), mRNA [XM_990348]
A_52_P148553	17.06	6.90E-05	Fignl1	NM_021891	fidgetin-like 1 (Fignl1), mRNA [NM_021891]
A_51_P252157	17.03	2.56E-04	Top2a	NM_011623	topoisomerase (DNA) II alpha (Top2a), mRNA [NM_011623]
A_51_P475049	16.99	3.89E-04	Uchl1	NM_011670	ubiquitin carboxy-terminal hydrolase L1 (Uchl1), mRNA [NM_011670]
A_51_P337110	16.86	2.10E-03	4933417O08Rik	NM_027694	RIKEN cDNA 4933417O08 gene (4933417O08Rik), mRNA [NM_027694]
A_52_P656699	16.75	3.79E-04	Actn3	NM_013456	actinin alpha 3 (Actn3), mRNA [NM_013456]
A_51_P366931	16.71	1.38E-05	Prc1	NM_145150	protein regulator of cytokinesis 1 (Prc1), mRNA [NM_145150]
A_52_P49457	16.62	1.12E-05	Fbxl16	XM_913601	PREDICTED:  F-box and leucine-rich repeat protein 16, transcript variant 3 (Fbxl16), mRNA [XM_913601]
A_52_P260555	16.55	5.53E-05	Vil1	NM_009509	villin 1 (Vil1), mRNA [NM_009509]
A_52_P498210	16.43	1.95E-07	Hist1h2af	NM_175661	histone cluster 1, H2af (Hist1h2af), mRNA [NM_175661]
A_52_P381553	16.41	3.51E-05	1500005I02Rik	NM_028055	RIKEN cDNA 1500005I02 gene (1500005I02Rik), mRNA [NM_028055]
A_51_P307917	16.31	1.52E-05	Tmem179	NM_178915	transmembrane protein 179 (Tmem179), mRNA [NM_178915]
A_51_P235139	16.19	2.53E-05	Kbtbd5	NM_028202	kelch repeat and BTB (POZ) domain containing 5 (Kbtbd5), mRNA [NM_028202]
A_51_P485161	16.08	2.54E-05	Cplx2	NM_009946	complexin 2 (Cplx2), mRNA [NM_009946]
A_51_P308279	15.94	1.97E-05	St18	NM_173868	suppression of tumorigenicity 18 (St18), mRNA [NM_173868]
A_51_P243750	15.75	1.07E-06	Racgap1	NM_012025	Rac GTPase-activating protein 1 (Racgap1), mRNA [NM_012025]
A_51_P373390	15.74	1.26E-04	Lce3c	NM_033175	late cornified envelope 3C (Lce3c), mRNA [NM_033175]
A_51_P481398	15.73	3.47E-04	Kif11	NM_010615	kinesin family member 11 (Kif11), mRNA [NM_010615]
A_52_P843282	15.73	2.47E-02	AK036268	AK036268	16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630050J22 product:unclassifiable, full insert sequence [AK036268]
A_51_P338664	15.72	1.61E-04	Hist3h2ba	NM_030082	histone cluster 3, H2ba (Hist3h2ba), mRNA [NM_030082]
A_51_P137433	15.7	2.28E-04	Kifc1	BC003753	kinesin family member C1, mRNA (cDNA clone MGC:5880 IMAGE:3495308), complete cds. [BC003753]
A_51_P192042	15.67	4.77E-05	Myh1	NM_030679	myosin, heavy polypeptide 1, skeletal muscle, adult (Myh1), mRNA [NM_030679]
A_52_P292792	15.65	5.70E-05	Col8a1	NM_007739	procollagen, type VIII, alpha 1 (Col8a1), mRNA [NM_007739]
A_52_P14686	15.63	2.25E-04	Dtl	NM_029766	denticleless homolog (Drosophila) (Dtl), mRNA [NM_029766]
A_51_P381409	15.5	1.33E-05	Vil1	NM_009509	villin 1 (Vil1), mRNA [NM_009509]
A_52_P651235	15.11	5.02E-05	Hist1h2ai	NM_178182	histone cluster 1, H2ai (Hist1h2ai), mRNA [NM_178182]
A_51_P330213	14.96	1.52E-05	Asf1b	NM_024184	ASF1 anti-silencing function 1 homolog B (S. cerevisiae) (Asf1b), mRNA [NM_024184]
A_52_P670275	14.88	4.07E-04	Kif14	NM_001081258	kinesin family member 14 (Kif14), mRNA [NM_001081258]
A_51_P155142	14.75	1.49E-05	Cdca8	NM_026560	cell division cycle associated 8 (Cdca8), mRNA [NM_026560]
A_52_P335354	14.62	2.15E-06	Gas2l3	NM_001079876	growth arrest-specific 2 like 3 (Gas2l3), transcript variant 2, mRNA [NM_001079876]
A_52_P299713	14.46	1.04E-02	Tcfl5	NM_178254	transcription factor-like 5 (basic helix-loop-helix) (Tcfl5), mRNA [NM_178254]
A_51_P493467	14.45	9.52E-07	Kif22	NM_145588	kinesin family member 22 (Kif22), mRNA [NM_145588]
A_51_P322941	14.41	7.95E-05	Dok7	NM_172708	docking protein 7 (Dok7), mRNA [NM_172708]
A_52_P619192	14.4	9.33E-06	Gm440	NM_198620	gene model 440, (NCBI) (Gm440), mRNA [NM_198620]
A_51_P249286	14.31	6.22E-06	Rgs16	NM_011267	regulator of G-protein signaling 16 (Rgs16), mRNA [NM_011267]
A_51_P228171	14.22	3.03E-05	Cenpp	NM_025495	centromere protein P (Cenpp), mRNA [NM_025495]
A_52_P318073	14.2	6.42E-05	NAP102625-1
A_51_P492830	14.14	3.55E-05	Cenph	NM_021886	centromere protein H (Cenph), mRNA [NM_021886]
A_51_P116289	14.06	4.70E-04	2610016C23Rik	NM_027930	RIKEN cDNA 2610016C23 gene (2610016C23Rik), mRNA [NM_027930]
A_51_P513682	14.04	1.19E-05	Nuf2	NM_023284	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae) (Nuf2), mRNA [NM_023284]
A_52_P24308	14.03	7.96E-05	Uchl1	NM_011670	ubiquitin carboxy-terminal hydrolase L1 (Uchl1), mRNA [NM_011670]
A_51_P402165	13.97	6.23E-04	Rgs7	NM_011880	regulator of G protein signaling 7 (Rgs7), mRNA [NM_011880]
A_52_P402394	13.94	8.10E-05	Tmem121	NM_153776	transmembrane protein 121 (Tmem121), mRNA [NM_153776]
A_51_P504494	13.93	6.42E-04	Dll3	NM_007866	delta-like 3 (Drosophila) (Dll3), mRNA [NM_007866]
A_51_P345699	13.88	8.90E-06	Tnnt3	NM_011620	troponin T3, skeletal, fast (Tnnt3), mRNA [NM_011620]
A_52_P603540	13.82	8.58E-07	4930555G01Rik	NM_175393	RIKEN cDNA 4930555G01 gene (4930555G01Rik), mRNA [NM_175393]
A_51_P140690	13.77	2.34E-05	Stmn3	NM_009133	stathmin-like 3 (Stmn3), mRNA [NM_009133]
A_51_P497768	13.68	1.17E-05	A530057A03Rik	NM_001081089	RIKEN cDNA A530057A03 gene (A530057A03Rik), mRNA [NM_001081089]
A_52_P98287	13.63	1.73E-03	BB037235	BB037235	BB037235 RIKEN full-length enriched, 13 days embryo forelimb  cDNA clone 5930424O19 3. [BB037235]
A_51_P191649	13.63	2.57E-04	Ndc80	NM_023294	NDC80 homolog, kinetochore complex component (S. cerevisiae) (Ndc80), mRNA [NM_023294]
A_52_P609024	13.59	1.02E-03	2610036L11Rik	AK141272	7 days embryo whole body cDNA, RIKEN full-length enriched library, clone:C430014K24 product:hypothetical Histone-fold containing protein, full insert sequence. [AK141272]
A_51_P491742	13.59	2.39E-06	Uhrf1	NM_010931	ubiquitin-like, containing PHD and RING finger domains, 1 (Uhrf1), mRNA [NM_010931]
A_51_P230103	13.57	2.89E-06	Birc5	NM_009689	baculoviral IAP repeat-containing 5 (Birc5), transcript variant 1, mRNA [NM_009689]
A_52_P220573	13.45	4.58E-05	Serpini1	NM_009250	serine (or cysteine) peptidase inhibitor, clade I, member 1 (Serpini1), mRNA [NM_009250]
A_51_P243123	13.37	3.92E-07	Rpl3l	NM_025425	ribosomal protein L3-like (Rpl3l), mRNA [NM_025425]
A_52_P138806	13.35	1.21E-04	Dlgap3	NM_198618	discs, large (Drosophila) homolog-associated protein 3 (Dlgap3), mRNA [NM_198618]
A_51_P285779	13.33	1.55E-05	Asphd2	NM_028386	aspartate beta-hydroxylase domain containing 2 (Asphd2), mRNA [NM_028386]
A_51_P291078	13.3	1.07E-05	2310045A20Rik	NM_172710	RIKEN cDNA 2310045A20 gene (2310045A20Rik), mRNA [NM_172710]
A_52_P279579	13.3	3.80E-05	6430598A04Rik	NM_175521	RIKEN cDNA 6430598A04 gene (6430598A04Rik), mRNA [NM_175521]
