Symbol	Gene Name	log2 Fold change	q (%)
Cnih	Cornichon homolog (Drosophila)	0.19	0.29
Pcolce	Procollagen C-proteinase enhancer protein	0.19	0.29
Cnnm2	Cyclin M2	0.89	0.51
Atpaf2	ATP synthase mitochondrial F1 complex assembly factor 2	0.81	0.51
Prkx	Protein kinase, X-linked	0.77	0.51
Sipa1l2	Signal-induced proliferation-associated 1 like 2	0.61	0.51
Vcp	Valosin containing protein	0.60	0.51
Taldo1	Transaldolase 1	0.54	0.51
Itgb5	Integrin beta 5	0.52	0.51
Socs3	Suppressor of cytokine signaling 3	0.44	0.51
Hmox2	Heme oxygenase (decycling) 2	0.29	0.51
Ppgb	Protective protein for beta-galactosidase	0.28	0.51
Sox15	SRY-box containing gene 16	0.25	0.51
Dcbld2	Discoidin, CUB and LCCL domain containing 2	0.20	0.51
Aup1	Ancient ubiquitous protein	0.16	0.51
Rtn4	Reticulon 4	0.16	0.51
Clcn3	Chloride channel 3	1.32	0.68
Pvr	Poliovirus receptor	0.64	0.68
Parp8	Poly (ADP-ribose) polymerase family, member 8	0.54	0.68
Sfrs2ip	Splicing factor, arginine/serine-rich 2, interacting protein	0.54	0.68
Jarid1a	Jumonji, AT rich interactive domain 1A (Rbp2 like)	0.52	0.68
Wdfy3	WD repeat and FYVE domain containing 3	0.50	0.68
Dnaja3	DnaJ (Hsp40) homolog, subfamily A, member 3	0.42	0.68
Glg1	Golgi apparatus protein 1	0.38	0.68
Itgb1	Integrin beta 1 (fibronectin receptor beta)	0.37	0.68
Lzf	Leucine zipper domain protein	0.36	0.68
Mnat1	Menage a trois 1	0.36	0.68
Eef1d	Eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	0.31	0.68
Hps4	Hermansky-Pudlak syndrome 4 homolog (human)	0.29	0.68
Gpd2	Glycerol phosphate dehydrogenase 2, mitochondrial	0.24	0.68
Ctsb	Cathepsin B	0.23	0.68
Ndufaf1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1	0.19	0.68
Rrm2	Ribonucleotide reductase M2	0.18	0.68
Rcn1	Reticulocalbin 1	0.15	0.68
Pemt	Phosphatidylethanolamine N-methyltransferase	0.14	0.68
Syngr1	Synaptogyrin 1	0.69	0.82
Stam2	Signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	0.58	0.82
Esd	Esterase D/formylglutathione hydrolase	0.52	0.82
Pde2a	Phosphodiesterase 2A, cGMP-stimulated	0.37	0.82
Eif2s2	Eukaryotic translation initiation factor 2, subunit 2 (beta)	0.37	0.82
Xpnpep1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	0.34	0.82
Ostf1	Osteoclast stimulating factor 1	0.32	0.82
Arpc1b	Actin related protein 2/3 complex, subunit 1B	0.31	0.82
Ebna1bp2	EBNA1 binding protein 2	0.28	0.82
Hsd17b12	Hydroxysteroid (17-beta) dehydrogenase 12	0.26	0.82
Wdhd1	WD repeat and HMG-box DNA binding protein 1	0.21	0.82
Hba-a1	Hemoglobin alpha, adult chain 1	0.21	0.82
Hexa	Hexosaminidase A	0.18	0.82
Snapc2	Small nuclear RNA activating complex, polypeptide 2	0.16	0.82
Aldob	Aldolase 2, B isoform	0.81	1.11
Rgmb	RGM domain family, member B	0.81	1.11
Gt(ROSA)26asSor	Gene trap ROSA 26 antisense, Philippe Soriano	0.75	1.11
Map2k1	Mitogen activated protein kinase kinase 1	0.58	1.11
Pygl	Liver glycogen phosphorylase	0.56	1.11
Usf2	Upstream transcription factor 2	0.55	1.11
Col23a1	Procollagen, type XXIII, alpha 1	0.45	1.11
Pcanap6	Prostate cancer associated protein 6	0.40	1.11
Set7	SET domain-containing protein 7	0.31	1.11
Myo1c	Myosin IC	0.26	1.11
Rpl15	Ribosomal protein L15	0.21	1.11
Bace1	Beta-site APP cleaving enzyme 1	0.20	1.11
Pycard	PYD and CARD domain containing	0.20	1.11
Arpc1a	Actin related protein 2/3 complex, subunit 1A	0.19	1.11
Agrn	Agrin	0.18	1.11
Ywhaq	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	0.18	1.11
Psmd8	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	0.16	1.11
Nsep1	Nuclease sensitive element binding protein 1	0.16	1.11
Strap	Serine/threonine kinase receptor associated protein	0.14	1.11
Zfp639	Zinc finger protein 639	0.14	1.11
Prdm10	PR domain containing 10	0.66	1.33
Wwp1	WW domain containing E3 ubiquitin protein ligase 1	0.50	1.33
Drd3	Dopamine receptor 3	0.49	1.33
Nkx1-1	NK1 transcription factor related, locus 1 (Drosophila)	0.46	1.33
H2-D1	Histocompatibility 2, D region locus 1	0.41	1.33
Vrk3	Vaccinia related kinase 3	0.38	1.33
Ibrdc3	IBR domain containing 3	0.34	1.33
Wwtr1	WW domain containing transcription regulator 1	0.32	1.33
Rai12	Retinoic acid induced 12	0.32	1.33
Xpo1	Exportin 1, CRM1 homolog (yeast)	0.29	1.33
Fem1b	Feminization 1 homolog b (C. elegans)	0.28	1.33
Mrpl49	Mitochondrial ribosomal protein L49	0.25	1.33
Atf7ip	Activating transcription factor 7 interacting protein	0.24	1.33
Picalm	Phosphatidylinositol binding clathrin assembly protein	0.24	1.33
Soat1	Sterol O-acyltransferase 1	0.24	1.33
Slc2a3	Solute carrier family 2 (facilitated glucose transporter), member 3	0.19	1.33
Tmsb10	Thymosin, beta 10	0.67	1.68
Eif3s9	Eukaryotic translation initiation factor 3, subunit 9 (eta)	0.58	1.68
Trpm7	Transient receptor potential cation channel, subfamily M, member 7	0.55	1.68
Mkrn1	Makorin, ring finger protein, 1	0.45	1.68
Lrp2	Low density lipoprotein receptor-related protein 2	0.42	1.68
Sc4mol	Sterol-C4-methyl oxidase-like	0.31	1.68
Chst12	Carbohydrate sulfotransferase 12	0.30	1.68
Asah1	N-acylsphingosine amidohydrolase 1	0.24	1.68
Fkbp5	FK506 binding protein 5	0.23	1.68
Cct2	Chaperonin subunit 2 (beta)	0.21	1.68
Cct5	Chaperonin subunit 5 (epsilon)	0.20	1.68
Rap1b	RAS related protein 1b	0.18	1.68
Asxl2	Additional sex combs like 2 (Drosophila)	0.15	1.68
Ly6g6c	Lymphocyte antigen 6 complex, locus G6C	0.15	1.68
Mtdh	Metadherin	0.12	1.68
Mcfd2	Multiple coagulation factor deficiency 2	0.12	1.68
Wdr9	WD repeat domain 9	0.70	1.82
Usp34	Ubiquitin specific protease 34	0.67	1.82
Tdo2	Tryptophan 2,3-dioxygenase	0.54	1.82
Prkar1a	Protein kinase, cAMP dependent regulatory, type I, alpha	0.52	1.82
Cast1	O-acetyltransferase	0.48	1.82
Stard13	Serologically defined colon cancer antigen 13	0.48	1.82
Pop1	Processing of precursor 1, ribonuclease P/MRP family, (S. cerevisiae)	0.45	1.82
Orc1l	Origin recognition complex, subunit 1-like (S.cereviaiae)	0.41	1.82
Hmgcl	3-hydroxy-3-methylglutaryl-Coenzyme A lyase	0.38	1.82
Creg1	Cellular repressor of E1A-stimulated genes 1	0.38	1.82
Plfr	Proliferin related protein	0.33	1.82
Nsf	N-ethylmaleimide sensitive fusion protein	0.32	1.82
Apex1	Apurinic/apyrimidinic endonuclease 1	0.29	1.82
Prkcbp1	Protein kinase C binding protein 1	0.29	1.82
Prkcz	Protein kinase C, zeta	0.25	1.82
Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	0.23	1.82
Brca2	Breast cancer 2	0.20	1.82
Ccar1	Cell division cycle and apoptosis regulator 1	0.19	1.82
Mrpl20	Mitochondrial ribosomal protein L20	0.10	1.82
Mc2r	Melanocortin 2 receptor	1.49	2.31
Nfkbia	Nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	0.70	2.31
Syncrip	Synaptotagmin binding, cytoplasmic RNA interacting protein	0.63	2.31
Dscr6	Down syndrome critical region homolog 6 (human)	0.57	2.31
Pkp2	Plakophilin 2	0.57	2.31
Mmp23	Matrix metalloproteinase 23	0.52	2.31
Ssbp3	Single-stranded DNA binding protein 3	0.46	2.31
Ly6a	Lymphocyte antigen 6 complex, locus A	0.43	2.31
Acox1	Acyl-Coenzyme A oxidase 1, palmitoyl	0.32	2.31
Map1lc3a	Microtubule-associated protein 1 light chain 3 alpha	0.28	2.31
Cxxc5	CXXC finger 5	0.26	2.31
Lcn7	Lipocalin 7	0.25	2.31
Ppp2r2d	Protein phosphatase 2, regulatory subunit B, delta isoform	0.24	2.31
Mir16	Membrane interacting protein of RGS16	0.21	2.31
Rpn1	Ribophorin I	0.21	2.31
Trip12	Thyroid hormone receptor interactor 12	0.21	2.31
Oprs1	Opioid receptor, sigma 1	0.18	2.31
Rpn2	Ribophorin II	0.18	2.31
Atp11a	ATPase, class VI, type 11A	0.18	2.31
Lamp1	Lysosomal membrane glycoprotein 1	0.16	2.31
Prune	Prune homolog (Drosophila)	0.15	2.31
Ssh2	Heat shock protein 1, alpha	0.12	2.31
Myc	Myelocytomatosis oncogene	0.10	2.31
Mdn1	Midasin homolog (yeast)	0.08	2.31
Sat1	Spermidine/spermine N1-acetyl transferase 1	0.76	2.70
Tm4sf14	Transmembrane 4 superfamily member 14	0.69	2.70
Eya3	Eyes absent 3 homolog (Drosophila)	0.55	2.70
Tcf12	Transcription factor 12	0.51	2.70
Ict1	Immature colon carcinoma transcript 1	0.44	2.70
Papss1	3-phosphoadenosine 5-phosphosulfate synthase 1	0.41	2.70
Vbp1	Von Hippel-Lindau binding protein 1	0.40	2.70
Nlk	Nemo like kinase	0.38	2.70
Ncor2	Nuclear receptor co-repressor 2	0.29	2.70
Nomo1	Nodal modulator 1	0.28	2.70
Ndufs2	NADH dehydrogenase (ubiquinone) Fe-S protein 2	0.28	2.70
Ak4	Adenylate kinase 4	0.25	2.70
Ris2	Retroviral integration site 2	0.24	2.70
Rce1	Ras and a-factor-converting enzyme 1 homolog (S. cerevisiae)	0.24	2.70
Fbxw11	F-box and WD-40 domain protein 11	0.21	2.70
G6pc3	Glucose 6 phosphatase, catalytic, 3	0.20	2.70
Slc4a7	Solute carrier family 4, sodium bicarbonate cotransporter, member 7	0.18	2.70
Smtn	Smoothelin	0.74	3.26
Lgmn	Legumain	0.42	3.26
Pkm2	Pyruvate kinase, muscle	0.39	3.26
Mars	Methionine-tRNA synthetase	0.37	3.26
Aprt	Adenine phosphoribosyl transferase	0.37	3.26
Stmn3	Stathmin-like 3	0.32	3.26
Ugalt2	UDP-galactose translocator 2	0.32	3.26
Waspip	Wiskott-Aldrich syndrome protein interacting protein	0.32	3.26
Tmem30b	Transmembrane protein 30B	0.31	3.26
Ugcgl1	UDP-glucose ceramide glucosyltransferase-like 1	0.31	3.26
Pvrl1	Poliovirus receptor-related 1	0.30	3.26
Igf2bp3	Insulin-like growth factor 2, binding protein 3	0.29	3.26
Rnf34	Ring finger protein 34	0.26	3.26
Fasn	Fatty acid synthase	0.24	3.26
Prkar2b	Protein kinase, cAMP dependent regulatory, type II beta	0.21	3.26
Mod1	Malic enzyme, supernatant	0.20	3.26
Tm9sf2	Transmembrane 9 superfamily member 2	0.19	3.26
Gpkow	G patch domain and KOW motifs	0.18	3.26
Crb3	Crumbs homolog 3 (Drosophila)	0.16	3.26
Gldc	Glycine decarboxylase	0.15	3.26
Ddx54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	0.15	3.26
Cabin1	Calcineurin binding protein 1	0.08	3.26
Esrra	Estrogen related receptor, alpha	0.85	3.91
Gpi1	Glucose phosphate isomerase 1	0.80	3.91
Pgm1	Phosphoglucomutase 1	0.58	3.91
Pofut2	Protein O-fucosyltransferase 2	0.58	3.91
Adamts10	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 10	0.54	3.91
Lmyc1	Lung carcinoma myc related oncogene 1	0.53	3.91
Dtnbp1	Dystrobrevin binding protein 1	0.50	3.91
Zfyve21	Zinc finger, FYVE domain containing 21	0.46	3.91
Ube2g1	Ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, C. elegans)	0.44	3.91
Sgk	Serum/glucocorticoid regulated kinase	0.41	3.91
Golga4	Golgi autoantigen, golgin subfamily a, 4	0.40	3.91
Gpc3	Glypican 3	0.39	3.91
Serpinb9	Serine (or cysteine) proteinase inhibitor, clade B, member 9	0.37	3.91
Pvrl3	Poliovirus receptor-related 3	0.34	3.91
Oact2	O-acyltransferase (membrane bound) domain containing 2	0.34	3.91
Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	0.34	3.91
Rnf141	Ring finger protein 141	0.34	3.91
Bmpr1a	Bone morphogenetic protein receptor, type 1A	0.34	3.91
B2m	Beta-2 microglobulin	0.34	3.91
Igbp1	Immunoglobulin (CD79A) binding protein 1	0.33	3.91
Ifnar1	Interferon (alpha and beta) receptor 1	0.33	3.91
Mrpl52	Mitochondrial ribosomal protein L52	0.32	3.91
Pdk3	Pyruvate dehydrogenase kinase, isoenzyme 3	0.32	3.91
Slc31a1	Solute carrier family 31, member 1	0.30	3.91
P4hb	Prolyl 4-hydroxylase, beta polypeptide	0.29	3.91
Mapt	Microtubule-associated protein tau	0.29	3.91
Fh1	Fumarate hydratase 1	0.29	3.91
Ap3s1	Adaptor-related protein complex 3, sigma 1 subunit	0.29	3.91
Tusc3	Tumor suppressor candidate 3	0.29	3.91
Sh3bgrl2	SH3 domain binding glutamic acid-rich protein like 2	0.28	3.91
Drctnnb1a	Down-regulated by Ctnnb1, a	0.28	3.91
Psmd4	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	0.26	3.91
Jmjd2a	Jumonji domain containing 2A	0.26	3.91
Blvrb	Biliverdin reductase B (flavin reductase (NADPH))	0.26	3.91
Chic2	Cysteine-rich hydrophobic domain 2	0.26	3.91
Catnal1	Catenin alpha-like 1	0.25	3.91
Arpc3	Actin related protein 2/3 complex, subunit 3	0.21	3.91
Npc2	Niemann Pick type C2	0.20	3.91
Xylt2	Xylosyltransferase II	0.20	3.91
Prkab1	Protein kinase, AMP-activated, beta 1 non-catalytic subunit	0.20	3.91
Dtx2	Deltex 2 homolog (Drosophila)	0.18	3.91
Atp6v0c	ATPase, H+ transporting, V0 subunit C	0.18	3.91
Mrps10	Mitochondrial ribosomal protein S10	0.18	3.91
Clns1a	Chloride channel, nucleotide-sensitive, 1A	0.18	3.91
Npm1	Nucleophosmin 1	0.18	3.91
Itgav	Integrin alpha V	0.15	3.91
Glmn	Glomulin, FKBP associated protein	0.15	3.91
Hspcb	Heat shock protein 1, beta	0.14	3.91
Lrrc27	Leucine rich repeat containing 27	0.14	3.91
Slc22a5	Solute carrier family 22 (organic cation transporter), member 5	0.14	3.91
Aldh9a1	Aldehyde dehydrogenase 9, subfamily A1	0.14	3.91
Dtnb	Dystrobrevin, beta	0.12	3.91
Wdr26	WD repeat domain 26	0.12	3.91
Rpl10	Ribosomal protein 10	0.08	3.91
