Region	Clone ID	UniGene ID	Gene	Description	p53 Effect	Rx effect
SE	415700	Hs.129548	HNRPK	Heterogeneous nuclear ribonucleoprotein K	0.29	?0.12
E	809639	Hs.2175	CSF3R	G-CSF receptor	0.45	0.02
E	24415	Hs.1846	TP53	p53	0.42	?0.04
E	429234	Hs.171957	TRIO	LAR transmembrane tyrosine phosphatase-binding protein	0.38	?0.04
E	45544	Hs.75725	TAGLN2	Transgelin 2	0.15	0.09
NE	485171	Hs.77502	MAT2A	Methionine adenosyltransferase ? subunit	0.32	0.14
E	868368	Hs.75968	TMSB4X	Thymosin, ? 4, X chromosome	0.31	0.09
SE	755578	Hs.184601	SLC7A5	Solute carrier family 7	0.16	?0.15
E	502085	Hs.62661	GBP1	Guanylate binding protein 1 interferon-inducible	0.66	0.03
E	24415	Hs.1846	TP53	p53	0.44	?0.05
E	446556	Hs.181163	HMG17	HMG-17 = non-histone chromosomal protein	0.48	0.03
E	841340	Hs.158164	ABCB2	TAP1 = peptide transporter	0.67	?0.06
SE	512247	Hs.254105	ENO1	40S ribosomal protein S2	0.68	?0.17
E	502669	Hs.3352	HDAC2	Histone deacetylase 2	0.58	?0.04
E	46070			Unknown	0.46	?0.1
N	784126	Hs.248267	TST	Rhodanese	0.08	0.11
N	51363	Hs.79015	MOX2	MRC OX-2	0.01	0.09
N	491565	Hs.82071	CITED2	Cbp/p300-interacting transactivator	?0.01	0.1
NE	328550	Hs.96	PMAIP1	APR = immediate-early-response gene	0.15	0.16
N	204515	Hs.395	CCR2	C-C chemokine receptor 2	0.05	0.11
NE	924165	Hs.144700	EFNB1	LERK-2 = EPLG2 = tyrosine kinase receptor	0.12	0.13
N	343871	Hs.250870	MAP2K5	MEK5 = MAP kinase kinase 5	0.08	0.13
N	809707	Hs.198951	JUNB	jun-B	?0.04	0.1
N	682817	Hs.170027	MDM2	Mouse double minute 2	?0.06	0.1
N	309864	Hs.198951	JUNB	jun B proto-oncogene	?0.02	0.11
N	809707	Hs.198951	JUNB	jun-B	?0.03	0.11
N	79022	Hs.75678	FOSB	FosB = G0S3	0.03	0.15
NW	701532	Hs.165249		ESTs	?0.14	0.19
NE	51448	Hs.460	ATF3	ATF-3 = activating transcription factor 3	0.38	0.17
NE	51448	Hs.460	ATF3	ATF-3 = activating transcription factor 3	0.22	0.15
E	122428	Hs.198951	JUNB	jun B proto-oncogene	0.16	0.1
E	472180	Hs.81256	S100A4	S100 calcium binding protein A4	1.4	?0.06
NE	470074	Hs.74621	PRNP	PrP = prion protein	0.58	0.17
NE	272499	Hs.179665	CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	0.88	0.2
NE	788832	Hs.116577	PLAB	Prostate differentiation factor	1.08	0.2
NE	256895	Hs.239189	KIAA0838	Glutaminase C	1.07	0.15
E	429356	Hs.153863	MADH6	Smad6 = JV15-1 = negative regulator of TGF-? signaling	0.6	0.1
NE	549383	Hs.116577	PLAB	TGF-? superfamily protein	0.78	0.15
NE	501643	Hs.112058	SIVA	CD27-binding protein = Siva = proapoptotic protein	0.79	0.14
S	262996	Hs.22670	CHD1	Nuclear protein with chromo and SNF2-related helicase/ATPase domains	?0.04	?0.1
S	304908	Hs.1189	E2F3	E2F-3 = pRB-binding transcription factor = KIAA0075	?0.05	?0.12
SW	789253	Hs.25363	PSEN2	PRESENILIN 2	?0.19	?0.11
S	824393	Hs.29285	ZYG	ZYG homologue	?0.08	?0.09
S	345525	Hs.191356	GTF2H2	General transcription factor IIH	?0.03	?0.08
S	50437	Hs.86386	MCL1	MCL1 = myeloid cell differentiation protein	0.01	?0.19
S	68320	Hs.155421	AFP	?-Fetoprotein	?0.06	?0.12
S	278622	Hs.44450	SP3	Sp3 = SPR-2	?0.08	?0.14
S	814792	Hs.78829	USP10	Ubiquitin-specific protease 10	?0.02	?0.11
SW	344759	Hs.172865	CSTF1	Cleavage stimulation factor	?0.11	?0.13
S	240367	Hs.57419	CTCF	CCCTC-binding factor (zinc finger protein)	0.04	?0.12
S	342378	Hs.2128	DUSP5	DUSP5 = dual specificity phosphatase	?0.07	?0.13
SW	825861	Hs.211608	NUP153	Nuclear pore complex protein	?0.19	?0.15
SE	812965	Hs.79070	MYC	c-myc	0.11	?0.12
SE	417226	Hs.79070	MYC	c-myc	0.21	?0.12
SE	108851	Hs.269432		ESTs	0.19	?0.15
SE	366815	Hs.83484	SOX4	SRY (sex-determining region Y)-box 4	0.17	?0.16
SE	789049	Hs.184760	CBF2	CCAAT-box-binding transcription factor	0.16	?0.15
SE	859359	Hs.50649	PIG3	Pig3 = p53-inducible gene	0.26	?0.15
N	796110	Hs.252317		ESTs	?0.06	0.13
N	298268	Hs.77054	BTG1	BTG1 = B-cell translocation gene 1 = antiproliferative	?0.03	0.13
S	323074	Hs.92260	HMG2L1	High-mobility group protein 2-like 1	?0.09	?0.19
SE	488178	Hs.9634		C10 = predicted protein adjacent to SHP-1 on 12p13	0.12	?0.17
S	250667	Hs.28726	RAB9	RAB9, member RAS oncogene family	0.05	?0.12
S	755752	Hs.6151	KIAA0235	KIAA0235 protein	0.01	?0.13
SE	814054	Hs.158282	KIAA0040	KIAA0040 gene product	0.27	?0.13
SE	910018	Hs.77439	PRKAR2B	cAMP-dependent protein kinase type II-? regulatory chain	0.31	?0.11
NW	359021	Hs.25601	CHD3	CHD3 = nuclear protein	?0.1	0.18
NW	724397	Hs.87450	CTSW	C1 peptidase expressed in natural killer and cytotoxic T cells	?0.28	0.18
NW	612224	Hs.54929	PHKG1	Phosphorylase kinase ? subunit	?0.23	0.15
NW	344432	Hs.81874	MGST2	Microsomal glutathione S-transferase 2	?0.2	0.18
NW	756092	Hs.198253	HLA-DQA1	MHC class II = DQ?	?0.4	0.19
W	265267	Hs.8997	HSPA1A	HSP70	?0.42	0.07
W	265267	Hs.8997	HSPA1A	HSP70	?0.42	0.05
SW	950092	Hs.167460	SFRS3	Splicing factor, arginine/serine-rich 3	?0.17	?0.11
S	630013	Hs.78934	MSH2	MSH2 = DNA mismatch repair	?0.05	?0.12
W	884719	Hs.180414	HSPA10	Heat shock Mr 70,000 protein 10	?0.23	?0.05
W	50615	Hs.80288	HSPA1L	Heat shock Mr 70,000 protein 1	?0.31	?0.05
W	50615	Hs.80288	HSPA1L	Heat shock Mr 70,000 protein 1	?0.29	0.07
N	511623	Hs.199067	ERBB3	V-erb-b2 avian erythroblastic leukemia viral oncogene	?0.07	0.2
N	181998	Hs.77810	NFATC4	NFAT3 = NFATc4	?0.06	0.2
NW	182264	Hs.73800	SELP	P-selectin	?0.19	0.18
N	511600	Hs.195175	CFLAR	FLICE-like inhibitory protein long form	?0.08	0.22
NW	525540	Hs.31210	BCL3	BCL-3	?0.11	0.22
N	510002	Hs.181390	CSNK1G2	Casein kinase I ? 2	?0.02	0.19
SW	46286	Hs.6685	TRIP8	Thyroid hormone receptor interactor 8	?0.14	?0.16
SW	796284	Hs.96063	IRS1	IRS-1 = insulin receptor substrate-1	?0.15	?0.13
S	796284	Hs.96063	IRS1	IRS-1 = insulin receptor substrate-1	?0.09	?0.14
S	788136	Hs.188	PDE4B	Phosphodiesterase 4B	?0.09	?0.13
S	429368	Hs.89583	HOX11	HOX-11 homeobox protein	?0.05	?0.12
SW	502486	Hs.146847	TANK	TRAF family member-associated NFKB activator	?0.24	?0.12
SW	252953	Hs.29882	GS3786	Predicted osteoblast protein	?0.42	?0.11
W	42739	Hs.227777	PTP4A1	Protein tyrosine phosphatase	?0.37	?0.04
SW	502396	Hs.4055	C21ORF50	Chromosome 21 open reading frame 50	?0.25	?0.16
SW	52339	Hs.288497		ESTs	?0.22	?0.15
SW	207358	Hs.169902	SLC2A1	Glucose transporter	?0.28	?0.17
SW	267186	Hs.34348		Homo sapiens mRNA	?0.27	?0.12
SW	108658	Hs.4084	KIAA1025	KIAA1025 protein	?0.22	?0.14
SW	784772	Hs.788	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	?0.16	?0.21
SW	343061	Hs.788	AKAP12	Gravin	?0.17	?0.22
SW	811740	Hs.271986	ITGA2	Integrin, ? 2	?0.11	?0.19
NW	795877	Hs.3838	SNK	Serum-inducible kinase	?0.17	0.15
W	241489	Hs.2551	ADRB2	?-2 Adrenergic receptor	?0.43	0.04
SW	51532	Hs.75249	ARL6IP	ADP-ribosylation factor-like 6 interacting protein	?0.21	?0.13
SW	138861	Hs.21201	DKFZP566 B084	Nectin 3	?0.53	?0.12
W	327094	Hs.111460		Similar to calcium/calmodulin-dependent protein kinase	?0.53	?0.09
W	327094	Hs.111460		Similar to calcium/calmodulin-dependent protein kinase	?0.48	?0.08
S	811771	Hs.154879	DGSI	DiGeorge syndrome critical region gene DGSI	?0.09	?0.22
S	739625	Hs.227489	KIAA0973	KIAA0973 protein	?0.09	?0.2
SW	377708	Hs.188	PDE4B	3?5?-cyclic AMP phosphodiesterase	?0.14	?0.2
SW	626502	Hs.11538	ARPC1B	Actin-related protein	?0.1	?0.27
SW	220372	Hs.40968	HS3ST1	Heparan sulfate sulfotransferase	?0.29	?0.27
SE	376370	Hs.738	EGR1	EGR-1 = Early growth response protein 1 = zinc finger protein	0.16	?0.12
SW	781047	Hs.98658	BUB1	Putative mitotic checkpoint protein	?0.3	?0.13
SW	129865	Hs.250822	STK6	Serine/threonine kinase 6	?0.28	?0.15
SW	209066	Hs.250822	STK6	Aurora/IPL1-related kinase	?0.29	?0.13
SW	744047	Hs.77597	PLK	Polo (Drosophila)-like kinase	?0.25	?0.19
S	627173	Hs.272458	PPP3CA	Protein phosphatase 3	?0.02	?0.16
S	612404	Hs.182366	TRAP1	Tumor necrosis factor type 1 receptor-associated protein	?0.05	?0.15
SW	898138	Hs.811	UBE2B	Ubiquitin-conjugating enzyme E2B	?0.16	?0.16
SW	431296	Hs.272458	PPP3CA	Protein phosphatase 3	?0.2	?0.15
SW	563130	Hs.23960	CCNB1	Cyclin B1	?0.22	?0.14
SW	809515	Hs.77597	PLK	Polo serine/threonine kinase	?0.18	?0.21
SW	128947	Hs.72550	HMMR	Hyaluronan-mediated motility receptor	?0.15	?0.22
SW	774409	Hs.76753	ENG	Endoglin	?0.22	?0.19
S	795352	Hs.740	PTK2	FAK = focal adhesion kinase	0.02	?0.17
S	687009	Hs.199263	SPAK	DCHT = similar to rat pancreatic serine threonine kinase	0.03	?0.16
S	114048	Hs.89548	EPOR	Erythropoietin receptor	0	?0.17
S	376515	Hs.105737		H. sapiens cDNA FLJ10416 fis	?0.02	?0.14
S	503119	Hs.166994	FAT	hFat = homologue ofDrosophila FAT gene	0.04	?0.22
S	504248	Hs.75350	VCL	Vinculin	?0.04	?0.13
SW	310493	Hs.268012	FACL3	Fatty-acid-coenzyme A ligase	?0.18	?0.12
SW	767994	Hs.183105	G2SNA	Nuclear autoantigen	?0.19	?0.11
S	298128	Hs.12802	DDEF2	Development and differentiation enhancing factor 2	?0.1	?0.12
SW	26568	Hs.74088	EGR3	T cell transcription factor	?0.11	?0.15
SW	825583	Hs.74111	RALY	RNA-binding protein (autoantigenic)	?0.13	?0.12
S	469229	Hs.70500	KIAA0370	KIAA0370 protein	?0.06	?0.13
SW	299360	Hs.118962	FUBP1	FUSE binding protein1 = myc transcription factor	?0.12	?0.13
E	502761	Hs.82285	GART	Phosphoribosylglycinamide formyltransferase	0.13	?0.07
S	768316	Hs.27007	CHC1L	Chromosome condensation 1-like	0	?0.15
S	320392	Hs.184340	MBLL	C3H-type zinc finger protein	?0.05	?0.18
S	773254	Hs.180610	SFPQ	Splicing factor proline/glutamine rich	?0.01	?0.18
S	278053	Hs.109694	KIAA1451	KIAA1451 protein	0.03	?0.16
SE	320509	Hs.31086		H. sapiens mRNA for cytochrome b5	0.17	?0.19
