Category	Gene ID	Symbol	Gene description	10 ?mol/L MGd + 50 ?mol/L zinc FC†	P	10 ?mol/L MGd + 25 ?mol/L zinc FC†	P	10 ?mol/L MGd FC†	P	50 ?mol/L zinc FC†	P
Metabolism	2194	FASN	Fatty acid synthase	?2.9	0	?1.4	0.011	?1.2	0.023	?1.7	0.005
Metabolism	65220	FLJ13052	NAD kinase	2.2	0.007	1.4	0.113	1.3	0.176	1.7	0.01
Metabolism	51706	NQO3A2	NAD(P)H:quinone oxidoreductase type 3, polypeptide A2	2.3	0	1.9	0.001	1.3	0.145	1.7	0.03
Metabolism	5209	PFKFB3	6-Phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	2	0.004	1.7	0.016	1.6	0	1.5	0.014
Metabolism	5210	PFKFB4	6-Phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	2	0.044	2.4	0.003	1.4	0.085	1.8	0.057
Metabolism	5230	PGK1	Phosphoglycerate kinase 1	5.6	0.007	2	0.001	1.7	0.018	2.4	0
Metabolism	389753	—	Similar to phosphoglucomutase 5	4	0	2.1	0.005	1.8	0.018	3.3	0.001
Receptors and ligands	8772	FADD	Fas (TNFRSF6)-associated via death domain	?1.6	0.001	?1.1	0.278	?1.2	0.053	?1.4	0.023
Receptors and ligands	55179	FAIM	Fas apoptotic inhibitory molecule	?1.7	0.001	?1.3	0.01	?1.1	0.102	?1.4	0.006
Receptors and ligands	25816	TNFAIP8	TNF, ?-induced protein 8	?1.6	0	?1.4	0.001	?1.2	0.007	?1.1	0.06
Receptors and ligands	8795	TNFRSF10B	TNF receptor superfamily, member 10b	1.6	0.003	1	1	1	1	1	0.423
Receptors and ligands	608	TNFRSF17	TNF receptor superfamily, member 17	?2.2	0.003	?1.5	0.014	?1.3	0.018	?1.4	0.005
Receptors and ligands	7132	TNFRSF1A	TNF receptor superfamily, member 1A	2.3	0.004	1.6	0.003	1.2	0.12	1	0.934
Receptors and ligands	944	TNFSF8	TNF (ligand) superfamily, member 8	1.9	0.001	1.2	0.042	1.2	0.042	1.6	0.001
Apoptosis related	332	BIRC5	Baculoviral IAP repeat-containing 5 (survivin)	1.8	0	1.3	0.058	1.2	0.326	1.6	0.044
Apoptosis related	51651	BIT1	Bcl-2 inhibitor of transcription	?2.6	0	?1.4	0.044	?1.2	0.004	?1.2	0.01
Apoptosis related	664	BNIP3	BCL2/adenovirus E1B interacting protein 3	2.1	0.004	1.9	0.003	1.4	0.002	1.6	0.015
Apoptosis related	665	BNIP3L	BCL2/adenovirus E1B interacting protein 3-like	1.7	0	1.7	0.003	1.4	0.022	1.5	0.001
Apoptosis related	836	CASP3	Caspase 3, apoptosis-related cysteine protease	?1.6	0	?1.4	0.072	?1.2	0.15	?1.2	0.131
Apoptosis related	1613	DAPK3	Death-associated protein kinase 3	1.9	0	?1.1	0.059	?1.1	0.072	1.9	0.001
Apoptosis related	162989	DEDD2	Death effector domain containing 2	4.2	0.003	2.1	0.004	1.3	0.007	1.2	0.036
Apoptosis related	1677	DFFB	DNA fragmentation factor, ?polypeptide	?1.6	0.002	?1.1	0.507	?1.1	0.279	?1.2	0.013
Apoptosis related	26355	E2IG5	Growth and transformation–dependent protein	2	0.001	2.1	0	1.5	0	1.4	0.001
Apoptosis related	29923	HIG2	Hypoxia-inducible protein 2	1.6	0.005	1.6	0.009	1.2	0.164	1.1	0.244
Apoptosis related	8739	HRK	Harakiri, BCL2 interacting protein	3.1	0.002	1.6	0.099	1.3	0.217	1.4	0.142
Apoptosis related	4615	MYD88	Myeloid differentiation primary response gene	?1.8	0	?1.3	0.007	?1.1	0.011	?1.3	0.002
Apoptosis related	11188	NISCH	Nischarin	?1.5	0.003	?1.1	0.115	?1.2	0.096	?1.3	0.016
Apoptosis related	22984	PDCD11	Programmed cell death 11	?1.8	0.002	?1.7	0.013	?1.5	0.011	?1.5	0.01
Apoptosis related	27250	PDCD4	Programmed cell death 4	2.4	0	1.5	0.022	1.2	0.137	1.8	0.005
Apoptosis related	9141	PDCD5	Programmed cell death 5	?1.5	0.001	?1.3	0.111	?1.1	0.669	?1.2	0.232
Apoptosis related	5366	PMAIP1	Phorbol-12-myristate-13-acetate–induced protein	2.7	0	1.8	0.004	1.3	0.068	1.6	0.009
Apoptosis related	79155	TNIP2	TNFAIP3 interacting protein 2	?1.6	0.002	?1.5	0.013	?1.3	0.003	?1.5	0
Cell cycle control	472	ATM	Ataxia telangiectasia mutated	1.7	0	1	0.45	1.1	0.046	1.6	0.103
Cell cycle control	545	ATR	Ataxia telangiectasia and Rad3 related	?1.5	0.005	?1.3	0.025	?1.1	0.011	?1.2	0.015
Cell cycle control	54619	CCNJ	Cyclin J	?2.0	0.003	?1.5	0.002	?1.2	0.225	?1.3	0.124
Cell cycle control	8881	CDC16	CDC16 cell division cycle 16 homologue	?1.8	0.001	?1.3	0.006	?1.2	0.017	?1.4	0.004
Cell cycle control	995	CDC25C	Cell division cycle 25C	2	0	1.7	0.032	1.2	0.018	1.4	0.083
Cell cycle control	996	CDC27	Cell division cycle 27	1.7	0.002	1.1	0.548	1.2	0.053	1.7	0.003
Cell cycle control	988	CDC5L	CDC5 cell division cycle 5-like (S. pombe)	?1.7	0.001	?1.3	0.008	?1.1	0.083	?1.3	0.013
Cell cycle control	157313	CDCA2	Cell division cycle associated 2	?1.6	0.005	?1.2	0.029	?1.1	0.066	?1.3	0.009
Cell cycle control	23097	CDK11	Cyclin-dependent kinase (CDC2-like) 11	2	0.003	1.7	0.012	1.3	0.09	1.8	0.014
Cell cycle control	1017	CDK2	Cyclin-dependent kinase 2	3.3	0.002	1.2	0.306	1.4	0.122	2.9	0
Cell cycle control	1027	CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	2.4	0.001	1.9	0	1.3	0.008	1.3	0.035
Cell cycle control	1869	E2F1	E2F transcription factor 1	1.6	0.001	1.5	0.003	1.1	0.125	1.2	0.139
Cell cycle control	1871	E2F3	E2F transcription factor 3	1.6	0.003	1.3	0.027	1.1	0.325	1.2	0.054
Cell cycle control	4193	MDM2	Mdm2, transformed 3T3 cell double minute 2	2.6	0.003	1.3	0.131	1.1	0.423	2.2	0.002
Cell cycle control	5591	PRKDC	Protein kinase, DNA-activated, catalytic	1.5	0.002	1.1	0.48	1.1	0.117	1.5	0.002
Cell cycle control	5925	RB1	Retinoblastoma 1 (including osteosarcoma)	?1.7	0.002	?1.8	0	?1.2	0.008	?1.4	0.005
Signaling	1649	DDIT3	DNA-damage-inducible transcript 3	6.6	0	1.7	0.014	1.2	0.337	1.1	0.337
Signaling	54541	DDIT4	DNA-damage-inducible transcript 4	30.1	0.001	13.6	0.001	5.2	0	3.7	0.006
Signaling	54583	EGLN1	Egl nine homologue1	3.3	0	2.9	0.004	1.8	0	2	0.001
Signaling	8518	IKBKAP	IKB, kinase-associated protein	?1.6	0.005	?1.3	0.005	?1.2	0.022	?1.3	0.026
Signaling	9641	IKBKE	IKB, kinase epsilon	1.8	0.001	1.6	0.031	1.3	0.029	1.6	0.03
Signaling	359948	IRF2BP2	IFNregulatory factor 2 binding protein 2	2.7	0.001	1.6	0.023	1.2	0.073	1.7	0.004
Signaling	55233	MOBKL1B	MOB1, Mps one binder kinase activator-like 1B	3.4	0.001	1.1	0.403	1.3	0.104	3.6	0.012
Signaling	4763	NF1	Neurofibromin 1	1.7	0	1.4	0.001	1.2	0.154	1.4	0.001
Signaling	9975	NR1D2	Nuclear receptor subfamily 1, group D, member 2	3.7	0.001	1.2	0.163	1.2	0.157	2.8	0
Signaling	8554	PIAS1	Protein inhibitor of activated STAT, 1	2.9	0	1.8	0.005	1.3	0.124	3.2	0.013
Signaling	5567	PRKACB	Protein kinase, cAMP-dependent, catalytic, ?	3	0.003	1.7	0.001	1.4	0.02	2	0.015
Signaling	5580	PRKCD	Protein kinase C, ?	?3.0	0.002	?1.3	0.064	?1.0	0.647	?1.7	0.015
Signaling	25865	PRKD2	Protein kinase D2	?1.8	0.005	?1.5	0.006	?1.4	0.01	?1.7	0.002
Signaling	117289	TAGAP	T-cell activation GTPase activating protein	2.9	0.001	1.8	0.066	1.3	0.159	1.3	0.198
Signaling	57761	TRB3	Tribbles homologue3	3.9	0.003	1.2	0.02	1.1	0.445	1.5	0.204
Signaling	7422	VEGF	Vascular endothelial growth factor	2.2	0	?1.0	0.838	1.3	0.035	1.6	0.003
Relevant to the function of transcriptions factors	467	ATF3	Activating transcription factor 3	3.9	0.005	1	1	1	1	1.1	0.423
Relevant to the function of transcriptions factors	571	BACH1	BTB and CNC homology 1	3.3	0.004	1.8	0.036	1	0.567	1.4	0.032
Relevant to the function of transcriptions factors	865	CBFB	Core-binding factor, ?subunit	2.2	0.003	1.4	0.12	1.2	0.286	2.1	0.006
Relevant to the function of transcriptions factors	8452	CUL3	Cullin 3	?1.7	0	?1.2	0.001	?1.0	0.088	?1.1	0.007
Relevant to the function of transcriptions factors	2309	FOXO3A	Forkhead box O3A	2	0.001	1.4	0.007	1.2	0.072	1.5	0.004
Relevant to the function of transcriptions factors	26959	HBP1	HMG-box transcription factor 1	3	0.001	2.3	0.002	1.5	0.031	1.4	0.029
Relevant to the function of transcriptions factors	204851	HIPK1	Homeodomain interacting protein kinase 1	3.1	0	1.2	0.205	1.1	0.437	2.8	0
Relevant to the function of transcriptions factors	3398	ID2	Inhibitor of DNA binding 2	2.8	0	1.6	0.002	1.1	0.119	1.2	0.047
Relevant to the function of transcriptions factors	3727	JUND	Jun D proto-oncogene	2	0.004	1.3	0.039	1.1	0.042	1	0.553
Relevant to the function of transcriptions factors	57157	PHTF2	Putative homeodomain transcription factor 2	3	0.003	1.2	0.41	1.3	0.117	3.2	0.004
Relevant to the function of transcriptions factors	5971	RELB	v-Rel reticuloendotheliosis viral oncogene B	1.6	0.002	1.3	0.061	1.2	0.096	1.2	0.148
Relevant to the function of transcriptions factors	6596	SMARCA3	SWI/SNF–related, regulator of chromatin, a3	?1.5	0	?1.1	0.016	?1.0	0.471	?1.2	0.003
Relevant to the function of transcriptions factors	6597	SMARCA4	SWI/SNF–related, regulator of chromatin, a4	?1.8	0	?1.1	0.126	?1.1	0.07	?1.4	0.012
Relevant to the function of transcriptions factors	8467	SMARCA5	SWI/SNF–related, regulator of chromatin, a5	?1.6	0	?1.3	0.001	?1.1	0.129	?1.2	0.002
Relevant to the function of transcriptions factors	7428	VHL	von Hippel-Lindau tumor suppressor	2	0.003	1.1	0.246	1.1	0.337	1.8	0.002
