Probe set ID	Gene symbol	Gene name
35940_at	POU4F1	POU domain, class 4, transcription factor 1
36028_at	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein a isoform 3
36088_at	DSCR2	Down syndrome critical region gene 2
36119_at	CAV1	caveolin 1, caveolae protein, 22kD
36142_at	SCA1	spinocerebellar ataxia 1 (olivopontocerebellar ataxia 1, autosomal dominant, ataxin 1)
36189_at	ILF2	interleukin enhancer binding factor 2, 45kD
36192_at	KIAA0193	KIAA0193 gene product
36269_at	ADAMTS3	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 3
36313_at	EVI2A	ecotropic viral integration site 2A
36365_at	TRPC6	transient receptor potential cation channel, subfamily C, member 6
36464_at	SGP28	specific granule protein (28 kDa)
36491_at	TMSNB	thymosin, beta, identified in neuroblastoma cells
36561_at	PCCB	propionyl Coenzyme A carboxylase, beta polypeptide
36601_at	VCL	vinculin
36655_at	TJP2	tight junction protein 2 (zona occludens 2)
36658_at	DHCR24	24-dehydrocholesterol reductase
36708_at	CPM	carboxypeptidase M
36709_at	ITGAX	integrin, alpha X (antigen CD11C (p150), alpha polypeptide)
36741_at	GIT2	G protein-coupled receptor kinase-interactor 2
36792_at	TPM1	tropomyosin 1 (alpha)
36805_s_at	NTRK1	neurotrophic tyrosine kinase, receptor, type 1
36851_g_at	N33	Putative prostate cancer tumor suppressor
36879_at	ECGF1	endothelial cell growth factor 1 (platelet-derived)
36941_at	AF1Q	ALL1-fused gene from chromosome 1q
36957_at	PRKCBP1	protein kinase C binding protein 1
37001_at	CAPN2	calpain 2, (m/II) large subunit
37011_at	AIF1	allograft inflammatory factor 1
37015_at	ALDH1A1	aldehyde dehydrogenase 1 family, member A1
37023_at	CALR	calreticulin
37027_at	AHNAK	AHNAK nucleoprotein (desmoyokin)
37177_at	CD58	CD58 antigen, (lymphocyte function-associated antigen 3)
37183_at	GAD1	glutamate decarboxylase 1 (brain, 67kD)
37259_at	SERPINI1	serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1
37263_at	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
37470_at	LAIR1	leukocyte-associated Ig-like receptor 1
37472_at	MANBA	mannosidase, beta A, lysosomal
37493_at	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
37534_at	CXADR	coxsackie virus and adenovirus receptor
37610_at	FLJ10803	hypothetical protein FLJ10803
37623_at	NR4A2	nuclear receptor subfamily 4, group A, member 2
37647_at	AOAH	acyloxyacyl hydrolase (neutrophil)
37678_at	NMA	putative transmembrane protein
37716_at	MOX2	antigen identified by monoclonal antibody MRC OX-2
37747_at	ANXA5	annexin A5
37809_at	HOXA9	homeo box A9
37811_at	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2
37883_i_at	AF038169	hypothetical protein AF038169
37892_at	COL11A1	collagen, type XI, alpha 1
37951_at	DLC1	deleted in liver cancer 1
37952_at	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)
38107_at	UNC119	unc-119 homolog (C. elegans)
38197_at	KEL	Kell blood group
38391_at	CAPG	capping protein (actin filament), gelsolin-like
38404_at	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
38411_at	U90916	Homo sapiens cDNA: FLJ21930 fis, clone HEP04301, highly similar to HSU90916 Human clone 23815 mRNA sequence
38453_at	ICAM2	intercellular adhesion molecule 2
38454_g_at	ICAM2	intercellular adhesion molecule 2
38620_at	GOSR2	golgi SNAP receptor complex member 2
38631_at	TNFAIP2	tumor necrosis factor, alpha-induced protein 2
38805_at	TGIF	TGFB-induced factor (TALE family homeobox)
38997_at	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1
38998_g_at	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1
39076_s_at	DRAP1	DR1-associated protein 1 (negative cofactor 2 alpha)
39123_s_at	TRPC1	transient receptor potential cation channel, subfamily C, member 1
39167_r_at	SERPINH2	serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 2
39269_at	RFC3	replication factor C (activator 1) 3 (38kD)
39320_at	CASP1	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)
39338_at	S100A10	S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))
39372_at	FADS1	fatty acid desaturase 1
39373_at	FADS1	fatty acid desaturase 1
39425_at	TXNRD1	thioredoxin reductase 1
39519_at	KIAA0692	KIAA0692 protein
39581_at	CSTA	cystatin A (stefin A)
39600_at	AL080110	Homo sapiens mRNA; cDNA DKFZp586G1922 (from clone DKFZp586G1922)
39613_at	MAN1A1	mannosidase, alpha, class 1A, member 1
39681_at	ZNF145	zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)
39717_g_at	MRPL33	mitochondrial ribosomal protein L33
39748_at	AL050021	Homo sapiens mRNA; cDNA DKFZp564D016 (from clone DKFZp564D016)
39776_at	ULK2	unc-51-like kinase 2 (C. elegans)
39794_at	USP8	ubiquitin specific protease 8
39997_at	PFC	properdin P factor, complement
40000_f_at	CHAC	chorea acanthocytosis
40002_r_at	CHAC	chorea acanthocytosis
40016_g_at	KIAA0303	KIAA0303 protein
40024_at	STAC	src homology three (SH3) and cysteine rich domain
40043_at	PRSS4	protease, serine, 4 (trypsin 4, brain)
40045_g_at	C18orf1	chromosome 18 open reading frame 1
40062_s_at	MYL4	myosin, light polypeptide 4, alkali; atrial, embryonic
40077_at	ACO1	aconitase 1, soluble
40113_at	GS3955	GS3955 protein
40127_at	PMX1	paired mesoderm homeo box 1
40229_at	TOM1L1	target of myb1-like 1 (chicken)
40244_s_at	MPPE1	metallo phosphoesterase
40335_at	AF052117	Homo sapiens clone 23809 mRNA sequence
40401_at	C20orf180	chromosome 20 open reading frame 180
40495_at	CBCIP2	CAP-binding protein complex interacting protein 2
40564_at	DKFZP564A043	DKFZP564A043 protein
40606_at	ELL2	ELL-related RNA polymerase II, elongation factor
40643_at	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B)
40644_g_at	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B)
40662_g_at	NR4A3	nuclear receptor subfamily 4, group A, member 3
40687_at	GJA4	gap junction protein, alpha 4, 37kD (connexin 37)
40715_at	LY64	lymphocyte antigen 64 homolog, radioprotective 105kD (mouse)
40718_at	CTSW	cathepsin W (lymphopain)
40844_at	TSBP	likely ortholog of mouse TPR-containing, SH2-binding phosphoprotein
40861_at	MRGX	MORF-related gene X
40877_s_at	MN7	D15F37 (pseudogene)
40878_f_at	MN7	D15F37 (pseudogene)
40900_at	AI382123	Homo sapiens cDNA: FLJ23324 fis, clone HEP12482, highly similar to HUMMYOHCB Human nonmuscle myosin heavy chain-B (MYH10) mRNA
40943_at	LCE	long-chain fatty-acyl elongase
41028_at	RYR3	ryanodine receptor 3
41188_at	LC27	putative integral membrane transporter
41246_at	DKFZP566I1024	DKFZP566I1024 protein
41257_at	CAST	calpastatin
41289_at	NCAM1	neural cell adhesion molecule 1
41474_at	KIF2	kinesin heavy chain member 2
41549_s_at	AP1S2	adaptor-related protein complex 1, sigma 2 subunit
41574_at	PNN	pinin, desmosome associated protein
41610_at	LAMA5	laminin, alpha 5
41645_at	PLA2G6	phospholipase A2, group VI (cytosolic, calcium-independent)
41690_at	AL049471	Homo sapiens mRNA; cDNA DKFZp586N012 (from clone DKFZp586N012)
41700_at	F2R	coagulation factor II (thrombin) receptor
41718_g_at	FADS1	fatty acid desaturase 1
41719_i_at	FADS1	fatty acid desaturase 1
41720_r_at	FADS1	fatty acid desaturase 1
41767_r_at	GOLGIN-67	golgin-67
41790_at	ALDH5A1	aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)
422_s_at	MAX	MAX protein
546_at	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha
547_s_at	NR4A2	nuclear receptor subfamily 4, group A, member 2
574_s_at	CASP1	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)
590_at	ICAM2	intercellular adhesion molecule 2
633_s_at	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)
717_at	GS3955	GS3955 protein
743_at	NAP1L3	nucleosome assembly protein 1-like 3
769_s_at	ANXA2	annexin A2
808_at	RAB27B	RAB27B, member RAS oncogene family
842_at	PRKCBP1	protein kinase C binding protein 1
906_at	STAT4	signal transducer and activator of transcription 4
925_at	IFI30	interferon, gamma-inducible protein 30
933_f_at	ZNF91	zinc finger protein 91 (HPF7, HTF10)
