Public ID	Gene title	Gene symbol	Fold change	AdjustedP	Function
M16238	Fibrinogen-like protein 2	Fgl2	9	0.001188	Cytolysis
X53798	Chemokine (C-X-C motif) ligand 2	Cxcl2	9	0.003481	Chemotaxis
U34277	Phospholipase A2, group VII (platelet-activating factor acetylhydrolase)	Pla2g7	9	0.023772	Inflammatory response
M12330	Ornithine decarboxylase, structural 1	Odc1	9	0.000056	Sonic hedgehog signaling
M72332	Selectin, platelet	Selp	9	0.004675	Inflammatory response
AF009246	RAS, dexamethasone-induced 1	Rasd1	9	0.000075	Small GTPase-mediated signal transduction
AV349152	Regulator of G-protein signaling 16	Rgs16	8	0.012457	G protein–coupled receptor protein signaling
U10551	GTP-binding protein (gene overexpressed in skeletal muscle)	Gem	8	0.000497	Small GTPase-mediated signal transduction
M15131	Interleukin 1?	Il1b	8	0.007405	Immune response
U12884	Vascular cell adhesion molecule 1	Vcam1	8	0.004675	Cell adhesion
U22262	Apolipoprotein B editing complex 1	Apobec1	8	0.006328	mRNA editing
AF099973	Schlafen 2	Slfn2	7	0.004604	Negative regulation of cell proliferation
C79248	Expressed sequence C79248	NA	7	0.022702	NA
U12919	Adenylate cyclase 7	Adcy7	7	0.00034	Cyclic AMP biosynthesis
AV152244	IFN, ?-inducible protein	G1p2	7	0.004984	Chemotaxis
AV370035	Chemokine (C-C motif) receptor 5	Ccr5	7	0.000655	Chemotaxis
AI839109	Tumor necrosis factor, ?-induced protein 8	Tnfaip8	7	0.006148	NA
U94828	Regulator of G-protein signaling 16	Rgs16	7	0.007984	G protein–coupled receptor protein signaling
AW230891	Leucine-rich ?-2-glycoprotein 1	Lrg1	7	0.000344	NA
X89749	TG interacting factor	Tgif	7	0.000758	TGF-? receptor signaling pathway
L19932	Transforming growth factor, ? induced	Tgfbi	6	0.005967	Cell adhesion
X82786	Antigen identified by monoclonal antibody Ki 67	Mki67	6	0.009691	Cell proliferation
D16432	Cd63 antigen	Cd63	6	0.006801	NA
Y07836	Basic helix-loop-helix domain containing, class B2	Bhlhb2	6	0.002148	Regulation of transcription
M32490	Cysteine rich protein 61	Cyr61	5	0.008365	Regulation of cell growth, angiogenesis
U67187	Regulator of G-protein signaling 2	Rgs2	5	0.01402	G protein–coupled receptor protein signaling
M61007	CAAT/enhancer binding protein, ?	Cebpb	5	0.03602	Regulation of transcription
AF020313	Amyloid ?(A4) precursor protein-binding, family B, interacting protein	Apbb1ip	5	0.037024	Neuropeptide signaling pathway
U00937	Growth arrest and DNA-damage-inducible 45 ?	Gadd45a	5	0.011075	Regulation of cell cycle
AW061318	CUG triplet repeat, RNA binding protein 2	Cugbp2	5	0.002034	mRNA splice site selection
AA204579	RIKEN cDNA 2510004L01 gene	NA	5	0.000899	NA
AB011812	Protein kinase C, ?	Prkcd	5	0.001361	Protein amino acid phosphorylation
AW120868	TCDD-inducible poly(ADP-ribose) polymerase	Tiparp	5	0.000682	Protein amino acid ADP-ribosylation
AF053959	Ras association (RalGDS/AF-6) domain family 5	Rassf5	5	0.006784	Neuropeptide signaling pathway
AI835159	PTK2 protein tyrosine kinase 2 ?	Ptk2b	4	0.016812	Protein amino acid phosphorylation
M24377	Early growth response 2	Egr2	4	0.004604	Regulation of transcription
X16995	Nuclear receptor subfamily 4, group A, member 1	Nr4a1	4	0.027893	Regulation of transcription
U74683	Cathepsin C	Ctsc	4	0.009244	Proteolysis and peptidolysis
U25685	Spleen tyrosine kinase	Syk	4	0.019266	G protein–coupled receptor protein signaling
Z16410	B-cell translocation gene 1, antiproliferative	Btg1	4	0.001908	Cell growth and/or maintenance
X66032	Cyclin B2	Ccnb2	4	0.001295	Cell cycle, sonic hedgehog signaling
J04596	Chemokine (C-X-C motif) ligand 1	Cxcl1	3	0.006109	Regulation of cell cycle
U44088	Pleckstrin homology-like domain, family A, member 1	Phlda1	3	0.014372	FasL biosynthesis
AW049031	Core promoter element binding protein	Copeb	3	0.000183	NA
U88327	Suppressor of cytokine signaling 2	Socs2	3	0.027363	Regulation of cell growth
M97590	Protein tyrosine phosphatase, nonreceptor type 1	Ptpn1	3	0.000218	Protein amino acid dephosphorylation
AB031292	Proteolipid protein 2	Plp2	3	0.000852	NA
M82831	Matrix metalloproteinase 12	Mmp12	3	0.012457	Proteolysis and peptidolysis
AV218205	Cystatin C	Cst3	3	0.015164	NA
U57524	Nuclear factor of ?light chain gene enhancer in B-cells inhibitor, ?	Nfkbia	3	0.001739	Regulation of cell proliferation
U19118	Activating transcription factor 3	Atf3	3	0.037702	Regulation of transcription
AJ001418	Pyruvate dehydrogenase kinase, isoenzyme 4	Pdk4	3	0.021345	Signal transduction annotation
X57437	Histidine decarboxylase	Hdc	3	0.006871	NA
K02236	Metallothionein 2	Mt2	3	0.010883	Zinc ion homeostasis
AA163960	RAS p21 protein activator 4	Rasa4	3	0.039682	Intracellular signaling cascade
U59864	TRAF family member-associated Nf-?B activator	Tank	3	0.011823	I-?B kinase/NF-?B cascade
AB013137	Glutaredoxin 1 (thioltransferase)	Glrx1	3	0.002616	Electron transport
AI851255	Cathepsin B	Ctsb	3	0.042611	Proteolysis and peptidolysis
AJ242663	Cathepsin Z	Ctsz	3	0.024982	Proteolysis and peptidolysis
AI846289	Casein kinase, ?	Csnk1d	3	0.000875	Wnt receptor signaling pathway
