Gene Symbol	Probe Set	FoldChange AI/AD	Parametric p-value	Description	Map	GenBank Accession	UniGene Cluster
BPAG1	215016_x_at	2.54	0.0002	bullous pemphigoid antigen 1, 230/240kDa	6p12-p11	BC004912.1	Hs.443518
SHAPY	46323_at	0.57	0.0046	Ca2+-dependent endoplasmic reticulum nucleoside diphosphatase	17q25.3	AL120741	Hs.8859
CDH11	207173_x_at	3.1	0.0004	cadherin 11, type 2, OB-cadherin (osteoblast)	16q22.1	D21254.1	Hs.443435
CPT2	204264_at	0.6	0.0026	carnitine palmitoyltransferase II	1p32	NM_000098.1	Hs.274336
CD84	211189_x_at	0.58	0.0032	CD84 antigen (leukocyte antigen)	1q24	AF054816.1	Hs.398093
GRIM19	220864_s_at	0.21	0.002	cell death-regulatory protein GRIM19	19p13.2	NM_015965.1	Hs.279574
CGI-12	219363_s_at	2.54	0.003	CGI-12 protein	8q22.1	NM_015942.1	Hs.46680
CGI-130	203259_s_at	1.61	0.0038	CGI-130 protein	6q13-q24.3	BC001671.1	Hs.32826
PNAS-4	212371_at	1.92	0.0003	CGI-146 protein	1q44	AL049397.1	Hs.211473
CCR9	207445_s_at	0.65	0.0031	chemokine (C-C motif) receptor 9	3p21.3	AF145439.1	Hs.225946
CXCR6	206974_at	0.67	0.0039	chemokine (C-X-C motif) receptor 6	3p21	NM_006564.1	Hs.34526
CSPG2	204619_s_at	3.1	0.001	chondroitin sulfate proteoglycan 2 (versican)	5q14.3	BF590263	Hs.434488
C11orf10	218213_s_at	0.46	0.0023	chromosome 11 open reading frame 10	11q12-q13.1	NM_014206.1	Hs.437779
C11orf2	217969_at	0.63	0.0018	chromosome 11 open reading frame2	11q13	NM_013265.2	Hs.277517
C14orf2	210532_s_at	0.68	0.0033	chromosome 14 open reading frame 2	14q32.33	AF116639.1	Hs.109052
C14orf58	219316_s_at	0.67	0.0032	chromosome 14 open reading frame 58	14q24.3	NM_017791.1	Hs.267566
C2orf3	216305_s_at	1.72	0.0021	chromosome 2 open reading frame 3	2p11.2-p11.1	AC_005034	Hs.158969
C21orf97	218018_at	0.58	0.0048	chromosome 21 open reading frame 97	21q22.3	NM_021941.1	Hs.458335
C22orf4	33778_at	0.67	0.0008	chromosome 22 open reading frame 4	22q13.3	AL096779	Hs.20017
C5orf6	218023_s_at	0.62	0.0008	chromosome 5 open reading frame 6	5q31	NM_016605.1	Hs.54056
LUC7A	220044_x_at	2.75	0.0007	cisplatin resistance-associated overexpressed protein	17q21	NM_016424.1	Hs.130293
COL5A2	221729_at	2.3	0.0043	collagen, type V, alpha 2	2q14-q32	NM_000393.1	Hs.283393
COL15A1	203477_at	2.67	0.0006	collagen, type XV, alpha 1	9q21-q22	NM_001855.1	Hs.409034
COPS6	213504_at	0.72	0.0032	COP9 subunit 6 (MOV34 homolog, 34 kD)	7q22.1	W63732	Hs.15591
CXADR	203917_at	0.57	0.0048	coxsackie virus and adenovirus receptor	21q21.1	NM_001338.1	Hs.79187
DMTF1	203301_s_at	1.9	0.0012	cyclin D binding myb-like transcription factor 1	7q21	NM_021145.1	Hs.129506
COX7C	217491_x_at	0.51	0.0041	cytochrome c oxidase subunit VIIc	5q14	AF042165	Hs.430075
COX8	201119_s_at	0.57	0.0024	cytochrome c oxidase subunit VIII	11q12-q13	NM_004074.1	Hs.433901
DBP	209783_at	0.63	0.0003	D site of albumin promoter (albumin D-box) binding protein	19q13.3	D28468.1	Hs.414480
DC13	218447_at	0.52	0.0035	DC13 protein	16q23.2	NM_020188.1	Hs.6879
DSS1	202276_at	0.63	0.004	Deleted in split-hand/split-foot 1 region	7q21.3-q22.1	NM_006304.1	Hs.333495
DBI	209389_x_at	0.58	0.0001	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	2q12-q21	M15887.1	Hs.78888
DKFZp547P234	221865_at	0.64	0.004	DKFZp547P234 protein	9q33.1	BF969986	Hs.170226
DKFZP564O0823	204687_at	0.58	0.0008	DKFZP564O0823 protein	4q13.3-q21.3	NM_015393.1	Hs.105460
DKFZP566H073	212047_s_at	0.72	0.0049	DKFZP566H073 protein	17p13.3	AK025329.1	Hs.7158
EDG4	206723_s_at	0.57	0.0043	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4	19p12	AF011466.1	Hs.122575
EIF3S9	203462_x_at	0.65	0.0001	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa	7p22.3	NM_003751.1	Hs.371001
EIF4EL3	213571_s_at	0.73	0.0027	eukaryotic translation initiation factor 4E-like 3	2q37.1	BF516289	Hs.211823
XPO1	208775_at	1.62	0.0046	exportin 1 (CRM1 homolog, yeast)	2p16	D89729.1	Hs.157367
ECM2	206101_at	2.25	0.004	extracellular matrix protein 2, female organ and adipocyte specific	9q22.3	NM_001393.1	Hs.117060
FBXO11	203255_at	1.95	0.0009	F-box only protein 11	2p21	NM_018693.1	Hs.284289
FBXO3	218432_at	2.1	0.0049	F-box only protein 3	11p13	NM_012175.1	Hs.406787
FN1	212464_s_at	2.53	0.0005	fibronectin1	2q34	X02761.1	Hs.418138
FN1	211719_x_at	2.72	0.0007	fibronectin1	2q34	BC005858.1	Hs.418138
FN1	210495_x_at	1.86	0.0013	fibronectin1	2q34	AF130095.1	Hs.418138
FRAT2	209864_at	0.65	0.0017	frequently rearranged in advanced T-cell lymphomas 2	10q24.1	AB045118.1	Hs.140720
X123	213900_at	0.34	0.0011	Friedreich ataxia region gene X123	9q13-q21	AA524029	Hs.77889
GPR116	212950_at	2.4	0.0044	G protein-coupled receptor 116	6p21.1	AB018301.1	Hs.362806
GABARAPL3	211458_s_at	0.52	0.0014	GABA(A) receptors associated protein like 3	15q26.1	AF180519.1	Hs.334497
GMPPB	219920_s_at	0.63	0.0019	GDP-mannose pyrophosphorylase B	3p21.31	NM_021971.1	Hs.438691
GTF3C3	218343_s_at	1.6	0.0033	general transcription factor IIIC, polypeptide 3, 102kDa	2q33.1	NM_012086.1	Hs.253724
GL004	219137_s_at	1.69	0.0015	GL004 protein	2q36.3	NM_020194.1	Hs.105166
G6PT1	202830_s_at	0.58	0.0024	glucose-6-phosphatase, transport (glucose-6-phosphate) protein 1	11q23.3	NM_001467.1	Hs.132760
GFPT1	202721_s_at	0.6	0.0006	glutamine-fructose-6-phosphate transaminase 1	2p13	BE645771	Hs.1674
GREB1	205862_at	0.18	0.0019	GREB1 protein	2p25.1	NM_014668.1	Hs.438037
GADD45B	209304_x_at	0.26	0.003	growth arrest and DNA-damage-inducible, beta	19p13.3	AF087853.1	Hs.110571
GADD45B	207574_s_at	0.28	0.0031	growth arrest and DNA-damage-inducible, beta	19p13.3	NM_015675.1	Hs.110571
GADD45G	204121_at	0.23	0.0001	growth arrest and DNA-damage-inducible, gamma	9q22.1-q22.2	NM_006705.2	Hs.9701
GMPR	204187_at	0.57	0.0036	guanosine monophosphate reductase	6p23	NM_006877.1	Hs.1435
HNRPA0	201055_s_at	0.65	0.0007	heterogeneous nuclear ribonucleoprotein A0	5q31	NM_006805.1	Hs.96996
HNRPH3	208990_s_at	1.73	0.0011	heterogeneous nuclear ribonucleoprotein H3 (2H9)	10q22	AF132362.1	Hs.156481
D13S106E	204190_at	1.8	0.0002	highly charged protein	13q12-q14	NM_005800.1	Hs.291431
HINT1	208826_x_at	0.66	0.0007	histidine triad nucleotide binding protein 1	5q31.2	U27143.1	Hs.256697
HOP	211597_s_at	1.89	0.0028	homeodomain-only protein	4q11-q12	AB059408.1	Hs.13775
NA	222148_s_at	1.27	0.0015	Homo sapiens mRNA; cDNA DKFZp434I212 (from clone DKFZp434I212)	17	BF688108	Hs.436453
NA	221844_x_at	0.5	0	Homo sapiens transcribed sequence with moderate similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]	4	AV756161	Hs.508129
NA	213931_at	0.29	0.0017	Homo sapiens transcribed sequence with strong similarity to protein pir:A40227 (H.sapiens) A40227 transcription repressor Id-2 - human		AI819238	Hs.502810
NA	215088_s_at	0.78	0.0034	Homo sapiens transcribed sequence with strong similarity to protein ref:NP_002992.1 (H.sapiens) succinate dehydrogenase complex, subunit C precursor; Succinate dehydrogenase complex, subunit C, integral membrane protein,; succinate-ubiquinone oxidoreduca		BG110532	Hs.355964
NA	214351_x_at	0.45	0.002	Homo sapiens transcribed sequence with strong similarity to protein ref:NP_150254.1 (H.sapiens) ribosomal protein L13; 60S ribosomal protein L13; breast basic conserved protein 1 [Homo sapiens]	16	AA789278	Hs.410817
NA	55705_at	0.7	0.0048	Homo sapiens transcribed sequences	NA	W07773	Hs.498224
NA	221803_s_at	2.44	0.0023	Homo sapiens, nuclear receptor binding factor-2, clone IMAGE:3463191, mRNA	10	AA883074	Hs.27181
HERPUD1	217168_s_at	0.72	0.0012	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	16q12.2-q13	AF217990.1	Hs.146393
HGD	214307_at	0.33	0.0001	homogentisate 1,2-dioxygenase (homogentisate oxidase)	3q21-q23	AI478172	Hs.116992
HGD	205221_at	0.22	0.001	homogentisate 1,2-dioxygenase (homogentisate oxidase)	3q21-q23	NM_000187.1	Hs.116992
HT002	205089_at	1.55	0.0026	hypertension-related calcium-regulated gene	8q24-qter	NM_003416.1	Hs.2076
DC50	221434_s_at	0.59	0.0011	hypothetical protein DC50	14q24.3	NM_031210.1	Hs.324521
DKFZp434E2220	218478_s_at	1.9	0.0007	hypothetical protein DKFZp434E2220	12q24.31	NM_017612.1	Hs.37706
DKFZp434G0522	221219_s_at	0.57	0.0046	hypothetical protein DKFZp434G0522	16q24.3	NM_017566.1	Hs.67991
PD2	202093_s_at	0.57	0.0044	hypothetical protein F23149_1	19q13.1	NM_019088.1	Hs.152894
FLJ10283	218534_s_at	1.51	0.0022	hypothetical protein FLJ10283	5q14.1	NM_018046.1	Hs.284216
FLJ13611	218674_at	2.05	0.0003	hypothetical protein FLJ13611	5q12.3	NM_024941.1	Hs.184664
FLJ20189	219069_at	2.22	0.0018	hypothetical protein FLJ20189	11q21	NM_017704.1	Hs.29052
FLJ20422	43977_at	0.67	0.0025	hypothetical protein FLJ20422	19p13.11	AI660497	Hs.26570
FLJ20618	212725_s_at	1.73	0.0015	hypothetical protein FLJ20618	22q12.2	N37081	Hs.52184
FLJ20628	221229_s_at	1.57	0.0029	hypothetical protein FLJ20628	2p23.3	NM_017910.2	Hs.32356
FLJ20696	218614_at	1.72	0.0012	hypothetical protein FLJ20696	NA	NM_018169.1	Hs.236844
FLJ20699	218272_at	0.45	0.0048	hypothetical protein FLJ20699	22q13	NM_017931.1	Hs.435832
FLJ20736	218244_at	2.46	0.0022	hypothetical protein FLJ20736	9q22.31	NM_017948.1	Hs.442199
FLJ22028	212918_at	1.97	0.002	hypothetical protein FLJ22028	12p12.3	BF219234	Hs.192570
FLJ22175	221800_s_at	0.67	0.0001	hypothetical protein FLJ22175	17q25.3	AK024644.1	Hs.313905
FLJ23468	218883_s_at	1.52	0.0024	hypothetical protein FLJ23468	4q35.1	NM_024629.1	Hs.38178
LOC162427	212697_at	0.69	0.0034	hypothetical protein LOC162427	17q21.31	AL515874	Hs.432850
LOC283537	214719_at	1.63	0.0049	hypothetical protein LOC283537	13q12.3	AK026720.1	Hs.117167
LOC57019	208968_s_at	0.7	0.0004	hypothetical protein LOC57019	16q13-q21	BC002568.1	Hs.4900
MGC4126	214739_at	0.61	0.0045	hypothetical protein MGC4126	3q29	AI357539	Hs.289038
MGC4701	210054_at	2.18	0.0026	hypothetical protein MGC4701	4p16.3	BC003648.1	Hs.421054
MGC5242	220949_s_at	1.36	0.0018	hypothetical protein MGC5242	7q33	NM_024033.1	Hs.443969
IKBKAP	202491_s_at	1.96	0.0004	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	9q34	NM_003640.1	Hs.31323
ICAM3	204949_at	0.6	0.0043	intercellular adhesion molecule 3	19p13.3-p13.2	NM_002162.2	Hs.353214
IL6	205207_at	0.62	0.0034	interleukin 6 (interferon, beta 2)	7p21	NM_000600.1	Hs.130210
FLJ23476	218647_s_at	0.66	0.0045	ischemia/reperfusion inducible protein	1p34.2	NM_024640.1	Hs.406462
JAK1	201648_at	2.3	0.0009	Janus kinase 1 (a protein tyrosine kinase)	1p32.3-p31.3	AL039831	Hs.436004
JUNB	201473_at	0.45	0.0035	jun B proto-oncogene	19p13.2	NM_002229.1	Hs.400124
JUND	203752_s_at	0.39	0.0002	jun D proto-oncogene	19p13.2	NM_005354.2	Hs.2780
KLK2	210339_s_at	0.53	0.0011	kallikrein 2, prostatic	19q13.41	BC005196.1	Hs.181350
KLK3	204582_s_at	0.29	0.0006	kallikrein 3, (prostate specific antigen)	19q13.41	NM_001648.1	Hs.171995
KLK3	204583_x_at	0.42	0.0011	kallikrein 3, (prostate specific antigen)	19q13.41	U17040.1	Hs.171995
KPNB1	213507_s_at	0.5	0.0049	karyopherin (importin) beta 1	17q21.32	BG249565	Hs.439683
KPNB3	211953_s_at	1.86	0.0014	karyopherin (importin) beta 3	13q32.2	NM_002271.1	Hs.113503
KPNB3	211952_at	1.54	0.005	karyopherin (importin) beta 3	13q32.2	NM_002271.1	Hs.113503
KRT18	201596_x_at	0.55	0.0026	keratin18	12q13	NM_000224.1	Hs.406013
P44S10	202753_at	1.34	0.0024	KIAA0107 gene product	3p21.1	NM_014814.1	Hs.350939
KIAA0376	212480_at	0.61	0.003	KIAA0376 protein	22q11.23	AB002374.1	Hs.4791
KIAA0471	213982_s_at	2.49	0.001	KIAA0471 gene product	1q24-q25	BG107203	Hs.242271
KIAA0759	36865_at	0.71	0.0022	KIAA0759 protein	14q24.3	AB018302	Hs.7285
KIAA0947	209654_at	1.7	0.0041	KIAA0947 protein	5p15.32	BC004902.1	Hs.5070
KIAA0970	202304_at	1.92	0.0031	KIAA0970 protein	13q14.12	NM_014923.1	Hs.103329
KIAA1010	212838_at	0.53	0.0023	KIAA1010 protein	10q24.31	AB023227.1	Hs.429994
KIAA1033	212795_at	1.75	0.0011	KIAA1033 protein	12q24.11	AL137753.1	Hs.12144
LAMA4	202202_s_at	2.13	0.004	laminin, alpha 4	6q21	NM_002290.2	Hs.437536
LAMB1	201505_at	3.01	0.0047	laminin, beta 1	7q22	NM_002291.1	Hs.122645
LTBP2	204682_at	1.61	0.005	latent transforming growth factor beta binding protein 2	14q24	NM_000428.1	Hs.83337
LMO2	204249_s_at	1.67	0.0011	LIM domain only 2 (rhombotin-like 1)	11p13	NM_005574.2	Hs.283063
LIM	216804_s_at	0.17	0.0008	LIM protein (similar to rat protein kinase C-binding enigma)	4q22	AK027217.1	Hs.154103
LHFP	218656_s_at	2.58	0.0013	lipoma HMGIC fusion partner	13q12	NM_005780.1	Hs.93765
NA	212993_at	2	0.0012	LOC157918	9q34.3	AA114166	Hs.349356
LRP3	204381_at	0.47	0.0038	low density lipoprotein receptor-related protein 3	19q13.12	NM_002333.1	Hs.143641
MIF	217871_s_at	0.58	0.0037	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	22q11.23	NM_002415.1	Hs.407995
CT120	218898_at	0.68	0.0039	membrane protein expressed in epithelial-like lung adenocarcinoma	17p13.3	NM_024792.1	Hs.154396
MAT2A	200768_s_at	0.74	0.0003	methionine adenosyltransferase II, alpha	2p11.2	BC001686.1	Hs.77502
MVK	36907_at	0.75	0.0032	mevalonate kinase (mevalonic aciduria)	12q24	M88468	Hs.130607
MRP63	204386_s_at	0.51	0.0009	mitochondrial ribosomal protein 63	13	NM_024026.1	Hs.458367
MRP63	221995_s_at	0.66	0.0039	mitochondrial ribosomal protein 63	13	BF195165	Hs.458367
MRPL20	220526_s_at	0.65	0.0002	mitochondrial ribosomal protein L20	1p36.3-p36.2	NM_017971.1	Hs.182698
MTO1	218716_x_at	1.37	0.0015	mitochondrial translation optimization 1 homolog (S. cerevisiae)	6q14.1	NM_012123.1	Hs.33979
MTO1	222014_x_at	1.61	0.0023	mitochondrial translation optimization 1 homolog (S. cerevisiae)	6q14.1	AI249752	Hs.33979
MBIP	218411_s_at	1.75	0.0014	MUK-binding inhibitory protein	14q13.2	NM_016586.1	Hs.368647
MCL1	200797_s_at	0.48	0.0005	myeloid cell leukemia sequence 1 (BCL2-related)	1q21	NM_021960.1	Hs.86386
NANS	218189_s_at	0.52	0.0006	N-acetylneuraminic acid synthase (sialic acid synthase)	9p24.1-p23	NM_018946.2	Hs.274424
NDUFA3	218563_at	0.49	0.0033	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa	19q13.42	NM_004542.1	Hs.198269
NOC4	218057_x_at	0.64	0.0034	neighbor of COX4	16q24	NM_006067.1	Hs.173162
NOV	214321_at	3.8	0.0016	nephroblastoma overexpressedgene	8q24.1	BF440025	Hs.235935
SLI	213464_at	0.54	0.0016	neuronal Shc adaptor homolog	19p13.3	AV705938	Hs.30965
NMT2	215069_at	0.72	0.0043	N-myristoyltransferase2	10p13	AK025065.1	Hs.60339
SGSH	35626_at	0.54	0.0005	N-sulfoglucosamine sulfohydrolase (sulfamidase)	17q25.3	U30894	Hs.31074
NMP200	203103_s_at	0.45	0.0001	nuclear matrix protein NMP200 related to splicing factor PRP19	11q12.2	NM_014502.1	Hs.173980
NDEL1	208093_s_at	0.61	0.0033	nudE nuclear distribution gene E homolog like 1 (A. nidulans)	17p13.1	NM_030808.1	Hs.3850
PARD6A	205245_at	0.44	0.0047	par-6 partitioning defective 6 homolog alpha (C.elegans)	16q22.1	NM_016948.1	Hs.112933
PPARD	208044_s_at	0.44	0.0032	peroxisome proliferative activated receptor, delta	6p21.2-p21.1	NM_006238.1	Hs.106415
PLCG2	204613_at	1.59	0.0047	phospholipase C, gamma 2 (phosphatidylinositol-specific)	16q24.1	NM_002661.1	Hs.271620
PECAM1	208982_at	2.62	0.0001	platelet/endothelial cell adhesion molecule (CD31 antigen)	17q23	AW574504	Hs.78146
PECAM1	208981_at	1.86	0.0048	platelet/endothelial cell adhesion molecule (CD31 antigen)	17q23	AW574504	Hs.78146
PLAG1	205372_at	2.56	0.0025	pleiomorphic adenoma gene 1	8q12	NM_002655.1	Hs.14968
POLR2F	209511_at	0.38	0.0029	polymerase (RNA) II (DNA directed) polypeptide F	22q13.1	BC003582.1	Hs.46405
PDEF	213442_x_at	0.61	0.0022	prostate epithelium-specific Ets transcription factor	6p21.3	AI745526	Hs.79414
PRKAR2B	203680_at	3.46	0.0004	protein kinase, cAMP-dependent, regulatory, type II, beta	7q22-q31.1	NM_002736.1	Hs.77439
PTMA	200773_x_at	1.59	0.0017	prothymosin, alpha (gene sequence 28)	2q35-q36	NM_002823.1	Hs.264317
PRPF4B	202127_at	1.87	0.0022	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	6p25.1	AA156948	Hs.198891
PTK2	208820_at	1.74	0.0025	PTK2 protein tyrosine kinase 2	8q24-qter	AL037339	Hs.434281
RAB27A	209514_s_at	0.35	0.0009	RAB27A, member RAS oncogene family	15q15-q21.1	BE502030	Hs.298530
RAB27A	210951_x_at	0.24	0.0015	RAB27A, member RAS oncogene family	15q15-q21.1	AF125393.1	Hs.298530
REPS2	205645_at	0.34	0.0005	RALBP1 associated Eps domain containing 2	Xp22.22	NM_004726.1	Hs.334168
REA	201600_at	0.67	0.0042	repressor of estrogen receptor activity	12p13	NM_007273.1	Hs.444499
RAP140	209285_s_at	1.96	0.0029	retinoblastoma-associated protein 140	3p21.31	AF180425.2	Hs.23440
ARHGEF3	218501_at	1.68	0.0018	Rho guanine nucleotide exchange factor (GEF) 3	3p21-p13	NM_019555.1	Hs.25951
RPL12	200809_x_at	0.64	0.0034	ribosomal protein L12	9q34	NM_000976.1	Hs.408054
RPL13	208929_x_at	0.44	0.001	ribosomal protein L13	16q24.3	BC004954.1	Hs.435770
RPL13	212191_x_at	0.43	0.0035	ribosomal protein L13	16q24.3	AW574664	Hs.435770
RPL13A	212790_x_at	0.42	0.0012	ribosomal protein L13a	19q13.3	BF942308	Hs.419535
RPL13A	210646_x_at	0.45	0.0012	ribosomal protein L13a	19q13.3	BC001675.1	Hs.419535
RPL13A	200715_x_at	0.62	0.0017	ribosomal protein L13a	19q13.3	BC000514.1	Hs.419535
RPL13A	200716_x_at	0.54	0.0048	ribosomal protein L13a	19q13.3	NM_012423.1	Hs.419535
RPL19	200029_at	0.6	0.0035	ribosomal protein L19	17q11.2-q12	NM_000981.1	Hs.381061
RPL27A	203034_s_at	0.52	0.0005	ribosomal protein L27a	11p15	NM_000990.1	Hs.356342
RPL27A	212044_s_at	0.48	0.0015	ribosomal protein L27a	11p15	BE737027	Hs.356342
RPL3	212039_x_at	0.59	0.0035	ribosomal protein L3	22q13	BG339228	Hs.119598
RPL34	200026_at	0.65	0.001	ribosomal protein L34	4q25	NM_000995.1	Hs.250895
RPL35A	213687_s_at	0.53	0.0029	ribosomal protein L35a	3q29-qter	BE968801	Hs.289093
RPL36	219762_s_at	0.6	0.0045	ribosomal protein L36	19p13.3	NM_015414.1	Hs.408018
RPL39	208695_s_at	0.63	0.0015	ribosomal protein L39	Xq22-q24	BC001019.1	Hs.300141
RPL41	201492_s_at	0.65	0.0035	ribosomal protein L41	12q13	NM_021104.1	Hs.381172
RPS10	200095_x_at	0.67	0.0027	ribosomal protein S10	6p21.31	AA320764	Hs.406620
RPS14	208646_at	0.53	0.0006	ribosomal protein S14	5q31-q33	AF116710.1	Hs.381126
RPS16	213890_x_at	0.45	0.0046	ribosomal protein S16	19q13.1	AI200589	Hs.397609
RPS2	221798_x_at	0.56	0.0031	ribosomal protein S2	16p13.3	AI183766	Hs.356366
RPS20	200949_x_at	0.59	0.0018	ribosomal protein S20	8q12	NM_001023.1	Hs.8102
RPS21	200834_s_at	0.55	0.0028	ribosomal protein S21	20q13.3	NM_001024.1	Hs.372960
RPS24	200061_s_at	0.53	0.0022	ribosomal protein S24	10q22-q23	BC000523.1	Hs.356794
RPS29	201094_at	0.4	0.0018	ribosomal protein S29	14q	NM_001032.1	Hs.539
RPS4X	213347_x_at	0.65	0.0048	ribosomal protein S4, X-linked	Xq13.1	AW132023	Hs.446628
RPS6	200081_s_at	0.51	0.0047	ribosomal protein S6	9p21	BE741754	Hs.408073
RPS9	214317_x_at	0.49	0.0019	ribosomal protein S9	19q13.4	BE348997	Hs.139876
RPS9	217747_s_at	0.48	0.0021	ribosomal protein S9	19q13.4	NM_001013.1	Hs.139876
RPLP2	200909_s_at	0.37	0	ribosomal protein, large P2	11p15.5-p15.4	NM_001004.1	Hs.437594
RPLP1	200763_s_at	0.53	0.0039	ribosomal protein, large, P1	15q22	NM_001003.1	Hs.356502
SEC61G	203484_at	0.54	0.0018	Sec61 gamma	7p11.2	NM_014302.1	Hs.9950
SPARC	212667_at	2.29	0.0045	secreted protein, acidic, cysteine-rich (osteonectin)	5q31.3-q32	AL575922	Hs.111779
STK3	204068_at	2.45	0.0028	serine/threonine kinase 3 (STE20 homolog, yeast)	8q22.2	NM_006281.1	Hs.166684
SDCCAG1	218649_x_at	1.81	0.0011	serologically defined colon cancer antigen 1	14q22	NM_004713.1	Hs.388584
NA	201049_s_at	0.5	0.0023	similar to 40S ribosomal protein S18	6	NM_022551.1	Hs.275865
NA	64488_at	0.44	0.0022	similar to FKSG27	19q13.32	AW003091	Hs.6217
NA	216442_x_at	2	0.0005	similar to hypothetical protein FLJ20958	2q35	AK026737.1	Hs.287820
SSBP1	202591_s_at	0.7	0.0007	single-stranded DNA binding protein	7q34	NM_003143.1	Hs.923
SSB	201139_s_at	3.48	0.0019	Sjogren syndrome antigen B (autoantigen La)	2q31.1	NM_003142.1	Hs.309316
SLC15A2	205317_s_at	0.54	0.0037	solute carrier family 15 (H+/peptide transporter), member 2	3q21.1	NM_021082.1	Hs.118747
SF3B1	201071_x_at	2.04	0.0013	splicing factor 3b, subunit 1, 155kDa	2q33.1	NM_012433.1	Hs.334826
SFRS11	200685_at	1.91	0.0035	splicing factor, arginine/serine-rich 11	1p31	AU146237	Hs.443458
SFRS7	201129_at	1.56	0.0044	splicing factor, arginine/serine-rich 7, 35kDa	2p22.1	NM_006276.2	Hs.309090
SULT1C2	205812_s_at	0.56	0.0005	sulfotransferase family, cytosolic, 1C, member 2	2q11.1-q11.2	NM_006588.1	Hs.312644
SUSP1	202318_s_at	1.41	0.0048	SUMO-1-specific protease	6q13-q14.3	AF306508.1	Hs.435628
SOD2	215078_at	0.11	0.0005	superoxide dismutase 2, mitochondrial	6q25.3	AL050388.1	Hs.384944
SDC2	212158_at	3.13	0.0008	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	8q22-q23	J04621.1	Hs.1501
TEK	206702_at	2.82	0.0015	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	9p21	NM_000459.1	Hs.89640
TTC3	208073_x_at	1.54	0.0023	tetratricopeptide repeat domain 3	21q22.2	NM_003316.1	Hs.132605
THBS1	201108_s_at	2.18	0.0038	thrombospondin1	15q15	AI812030	Hs.164226
TRAF5	204352_at	1.85	0.0019	TNF receptor-associated factor 5	1q32	NM_004619.1	Hs.385685
TOPBP1	202633_at	2	0.0006	topoisomerase (DNA) II binding protein	3q22.1	NM_007027.1	Hs.91417
TOMM7	201812_s_at	0.43	0	translocase of outer mitochondrial membrane 7 homolog (yeast)	7p15.3	NM_019059.1	Hs.112318
