Parametric P value	Mean of ratios in NHF-hTERT	Mean of ratios in NHF-hTERT shp53	Fold difference of means	Unique ID
0.0007693	2.623	1.208	2.171	MMP14
0.0007746	1.559	0.711	2.193	HEATR5B
0.0007835	1.423	0.31	4.59	MED18
0.0007935	1.048	0.523	2.004	ABCC9
0.0007986	2.479	1.036	2.393	RRM2B
0.0008025	1.435	0.643	2.232	PLEKHM1
0.0008034	1.61	0.472	3.411	VAMP1
0.0008082	1.349	0.475	2.84	DNAH9
0.0008272	1.352	0.491	2.754	SNRPN
0.000838	2.505	1.135	2.207	CES2
0.0008409	0.984	0.467	2.107	DOPEY1
0.0008448	2.47	1.039	2.377	ANKRD29
0.0008452	0.937	0.432	2.169	KIAA1586
0.0008485	1.297	0.442	2.934	FAM113A
0.0008583	2.273	1.053	2.159	YPEL3
0.0008714	3.209	1.62	1.981	FHL2
0.0008721	3.425	1.274	2.688	NADSYN1
0.0008789	1.672	0.738	2.266	PREPL
0.0008838	1.27	0.47	2.702	PLA2G4C
0.0008872	1.485	0.762	1.949	HFE
0.0008918	1.372	0.641	2.14	CRYL1
0.0009043	1.047	0.5	2.094	CCDC98
0.0009167	2.035	1.039	1.959	POU2F2
0.0009272	0.879	0.308	2.854	DEPDC7
0.0009329	1.285	0.626	2.053	USP15
0.0009351	1.172	0.295	3.973	HKDC1
0.0009527	1.778	0.791	2.248	EVC
0.0010024	1.31	0.607	2.158	MTMR10
0.0010211	0.548	0.212	2.585	EIF2C4
0.001028	1.177	0.498	2.363	YIPF6
0.0010684	1.303	0.456	2.857	TSC22D3
0.0010722	1.06	0.496	2.137	LOC286526
0.0010809	1.514	0.751	2.016	8-Mar
0.0010818	2.667	1.275	2.092	MKNK2
0.0010867	0.994	0.301	3.302	TBN
0.0010905	1.761	0.867	2.031	SNHG8
0.0010988	2.565	1.328	1.931	ASCC3
0.0011028	0.984	0.313	3.144	RAB28
0.001106	1.089	0.452	2.409	METTL7A
0.0011075	1.108	0.564	1.965	SMA4
0.0011089	2.315	1.153	2.008	PTP4A1
0.0011307	2.026	0.926	2.188	REV3L
0.0011394	1.763	0.458	3.849	EDIL3
0.0011439	2.201	0.955	2.305	HIST1H2BD
0.0011487	1.638	0.476	3.441	COBLL1
0.0011489	2.262	0.977	2.315	FEZ1
0.0011602	0.882	0.408	2.162	KIF21A
0.0011741	1.358	0.59	2.302	SLC4A11
0.0011775	1.354	0.414	3.271	HIST2H2BE
0.0011885	2.039	1.013	2.013	LOC729843
0.0011952	3.338	1.628	2.05	ISCU
0.0011972	2.537	0.995	2.55	PSG8
0.0012112	1.954	0.793	2.464	LRIG3
0.0012351	0.93	0.354	2.627	TMEM136
0.001245	2.472	1.084	2.28	AGRN
0.0012489	1.64	0.491	3.34	ASCC3
0.0012568	0.989	0.356	2.778	DAPK1
0.0012864	1.554	0.737	2.109	NDRG4
0.0012923	1.094	0.387	2.827	DPM3
0.0013018	2.277	1.159	1.965	BLOC1S2
0.0013064	2.689	1.418	1.896	PHLDA3
0.0013097	1.515	0.538	2.816	GTF2IRD2P
0.0013106	1.15	0.607	1.895	ZNF430
0.0013173	1.984	0.963	2.06	ANKRD29
0.0013281	1.928	0.959	2.01	NFAT5
0.0013282	1.512	0.695	2.176	DYNC2LI1
0.0013303	1.058	0.367	2.883	AKAP13
0.0013428	1.912	1.025	1.865	TCTA
0.0013443	0.954	0.35	2.726	ZNF667
0.001348	1.114	0.543	2.052	ZNF702
0.0013501	1.019	0.362	2.815	ARMC10
0.0013522	4.737	2.51	1.887	TRIM22
0.0013583	1.448	0.575	2.518	VAMP1
0.0013702	3.056	1.507	2.028	KRTAP1-5
0.0013786	2.478	1.277	1.94	AP1S1
0.001384	2.022	0.785	2.576	SDPR
0.0013843	1.636	0.758	2.158	C1QTNF1
0.0013846	1.504	0.543	2.77	SCN2A
0.0013946	0.834	0.295	2.827	RERE
0.0013956	2.064	0.573	3.602	TRIM3
0.0014053	3.329	0.96	3.468	AGRN
0.0014099	3.019	1.3	2.322	CEACAM3
0.0014136	3.333	1.162	2.868	CES2
0.0014139	2.21	0.995	2.221	POU2F2
0.0014307	1.16	0.609	1.905	LOC644189
0.0014482	2.412	1.139	2.118	COBLL1
0.0014562	1.045	0.524	1.994	KIAA1975
0.0014637	0.864	0.423	2.043	FSIP2
0.001486	1.654	0.642	2.576	SDC4
0.0014941	1.975	0.821	2.406	ARID5B
0.0014946	0.951	0.335	2.839	MAEL
0.0014957	1.094	0.552	1.982	FAT4
0.001503	1.72	0.837	2.055	FLNA
0.0015127	3.136	1.663	1.886	MASP1
0.0015163	1.791	0.922	1.943	RHOD
0.0015328	2.152	1.023	2.104	INHBA
0.0015336	1.313	0.623	2.108	PARD3B
0.0015385	1.887	0.911	2.071	MAST4
0.001545	0.839	0.361	2.324	C21orf81
0.0015643	1.321	0.683	1.934	TAF1
0.0015647	1.581	0.72	2.196	TMEM140
0.001565	1.062	0.561	1.893	TMEM63C
0.0015888	1.141	0.44	2.593	CEND1
0.0015905	1.094	0.551	1.985	TTC9B
0.001596	2.467	1.298	1.901	DDR1
0.001602	1.225	0.348	3.52	C15orf42
0.0016119	0.953	0.355	2.685	ZNF556
0.00163	0.824	0.43	1.916	DLG2
0.0016384	1.411	0.726	1.944	TMEM69
0.0016518	0.818	0.4	2.045	SFRS15
0.001657	3.003	1.097	2.737	LAMA4
0.0016594	0.791	0.376	2.104	LOC653643
0.0016601	1.727	0.713	2.422	QSCN6
0.00172	1.321	0.723	1.827	LRDD
0.0017214	3.332	1.627	2.048	DRAM
0.0017338	1.296	0.428	3.028	ZC3H6
0.0017509	0.828	0.222	3.73	FAM124B
0.0017517	1.216	0.611	1.99	LYL1
0.0017566	1.317	0.723	1.822	OSBPL1A
0.0017603	1.769	0.881	2.008	ALDOC
0.0017688	1.079	0.419	2.575	PPFIBP2
0.0017831	2.304	0.893	2.58	HSPG2
0.0017977	2.36	1.206	1.957	TNFRSF10B
0.0018091	0.914	0.359	2.546	ERCC4
0.0018171	0.77	0.404	1.906	APOL2
0.0018199	0.87	0.272	3.199	AVPR2
0.0018368	1.142	0.553	2.065	NCF1
0.0018396	2.538	1.176	2.158	NPAL3
0.0018484	1.033	0.517	1.998	CYP2S1
0.0018607	1.084	0.489	2.217	F8
0.0018878	0.741	0.262	2.828	OCLN
0.0018909	2.557	1.317	1.942	LOC728392
0.0019155	1.875	0.686	2.733	LRIG3
0.0019417	3.254	1.338	2.432	FAS
0.0019524	1.848	0.819	2.256	KIAA0319L
0.0019683	0.809	0.317	2.552	WDFY1
0.0020007	1.152	0.531	2.169	ELL3
0.0020032	1.177	0.41	2.871	ABLIM1
0.0020151	0.734	0.382	1.921	ABCC4
0.0020251	1.7	0.653	2.603	MYO7A
0.0020257	1.296	0.631	2.054	KIAA1688
0.0020324	1.8	0.717	2.51	MPV17
0.0020376	2.794	1.386	2.016	EPAS1
0.0020426	0.823	0.389	2.116	HSD3B1
0.0020613	1.303	0.705	1.848	SNCA
0.0020623	2.327	1.216	1.914	GALNT5
0.0021064	1.531	0.785	1.95	LLGL1
0.0021075	1.299	0.46	2.824	CCPG1
0.002126	0.83	0.417	1.99	DENND4C
0.00214	1.36	0.639	2.128	CFB
0.002142	1.889	0.977	1.933	SF3B1
0.0021597	1.11	0.393	2.824	WDFY3
0.0021599	2.184	1.167	1.871	RHOQ
0.002168	1.964	0.606	3.241	LOC653583
0.0021818	1.828	0.975	1.875	CTBS
0.0021987	1.505	0.556	2.707	CNTNAP2
0.0022123	1.853	0.811	2.285	LRIG3
0.0022276	1.456	0.584	2.493	MGC57359
0.0022309	1.938	0.752	2.577	NUAK2
0.0022466	1.198	0.432	2.773	OMA1
0.0022478	0.674	0.313	2.153	LRE1
0.0022503	1.088	0.564	1.929	ZBTB48
0.0022726	1.461	0.518	2.82	RALGDS
0.0022818	1.276	0.673	1.896	GGTL3
0.0022836	2.181	0.804	2.713	DSEL
0.0022947	1.736	0.853	2.035	LOC401320
0.0023053	1.192	0.509	2.342	OR12D2
0.0023494	1.128	0.482	2.34	KRT16
0.0023691	1.458	0.766	1.903	PCGF2
0.0023715	0.82	0.36	2.278	HLA-C
0.0023847	0.914	0.295	3.098	ANAPC2
0.0023902	1.71	0.719	2.378	PTPN23
0.0024084	1.187	0.548	2.166	ADAMTS7
0.0024212	2.072	1.163	1.782	BHLHB2
0.0024325	2.511	1.261	1.991	UBE2H
0.0024582	0.778	0.299	2.602	EFHA2
0.0024918	0.897	0.427	2.101	COL4A3BP
0.0025053	2.512	1.383	1.816	TOB1
0.0025243	1.136	0.471	2.412	C3orf17
0.0025482	2.97	1.407	2.111	GADD45A
0.0025492	0.914	0.482	1.896	FCER1A
0.0025987	1.115	0.334	3.338	C6orf111
0.0026129	1.654	0.878	1.884	AMOTL2
0.0026154	0.833	0.317	2.628	CD34
0.0026278	1.181	0.456	2.59	RUFY3
0.0026469	0.894	0.319	2.803	MEST
0.0026554	0.772	0.405	1.906	GKAP1
0.0026772	2.006	1.063	1.887	HSDL2
0.002679	0.734	0.331	2.218	GGT1
0.0027063	1.211	0.682	1.776	SH3YL1
0.002709	1.818	0.868	2.094	2-Mar
0.0027179	2.24	1.018	2.2	SVEP1
0.0027204	2.293	1.279	1.793	AK1
0.0027313	1.915	1.038	1.845	TNS1
0.002755	2.811	1.349	2.084	STAT1
0.0027577	0.839	0.327	2.566	TMEM45A
0.0027742	2.402	1.22	1.969	FUCA1
0.0027891	0.848	0.387	2.191	C1orf92
0.0028212	1.824	0.982	1.857	IHPK2
0.0028483	1.844	0.969	1.903	TGFBR3
0.0028512	0.785	0.374	2.099	MAP4
0.0028784	1.316	0.749	1.757	GEMIN8
0.0028807	2.232	1.196	1.866	AP1S1
0.0028841	1.752	0.547	3.203	LOC90826
0.0028987	1.712	0.784	2.184	SVIL
0.0028992	1.076	0.464	2.319	C3orf33
0.0029034	1.533	0.547	2.803	IL1RAP
0.0029184	1.327	0.643	2.064	CCDC71
0.0029199	0.772	0.386	2	PTPN6
0.0029225	0.902	0.471	1.915	CNKSR2
0.0029381	1.694	0.971	1.745	ADA
0.0029526	2.025	1.048	1.932	HSD17B14
0.0029548	1.074	0.33	3.255	CLK4
0.0029732	2.561	0.995	2.574	CALCOCO1
0.0029803	2.074	1.129	1.837	ERGIC1
0.0029859	1.958	0.778	2.517	TAP1
0.0030025	0.61	0.299	2.04	USP36
0.0030142	0.804	0.357	2.252	C8ORFK32
0.003021	2.532	1.343	1.885	RPS27L
0.0030366	1.209	0.591	2.046	C12orf53
0.0030374	1.277	0.686	1.862	MLL3
0.003058	1.758	0.85	2.068	ARID5B
0.0030651	1.404	0.707	1.986	GPR137B
0.003075	3.582	1.334	2.685	PSG2
0.0030762	1.648	0.826	1.995	TRPV1
0.0030917	2.521	1.351	1.866	KIAA1305
0.0030957	1.849	1.019	1.815	C3orf28
0.0030971	2.557	1.366	1.872	TBC1D2
0.0031042	1.046	0.563	1.858	GNL3L
0.003126	0.892	0.391	2.281	MAP9
0.0031428	1.474	0.838	1.759	IQGAP2
0.0031469	1.294	0.556	2.327	MYO5C
0.0031547	0.875	0.394	2.221	LOC113230
0.0031697	2.836	1.454	1.95	SYNPO2
0.0031796	0.602	0.233	2.584	GAD1
0.0031801	1.227	0.368	3.334	GARNL1
0.0031932	0.92	0.441	2.086	C20orf166
0.0031939	0.914	0.518	1.764	DKFZp434M131
0.0032157	1.517	0.615	2.467	BMP1
0.0032647	1.252	0.644	1.944	FAM118A
0.0032725	1.335	0.772	1.729	FLJ32810
0.0033365	2.115	1.125	1.88	ADAMTSL1
0.0033487	1.327	0.733	1.81	LOC440836
0.0033505	1.711	0.861	1.987	GALNT11
0.0033526	1.623	0.905	1.793	ZNF79
0.0033651	1.383	0.628	2.202	RNF6
0.003382	1.738	0.548	3.172	LMCD1
0.0034184	1.497	0.756	1.98	C3orf28
0.0034441	1.923	1.02	1.885	IBRDC3
0.0034767	0.67	0.3	2.233	SYTL1
0.0034835	1.898	0.813	2.335	PPFIBP1
0.0035083	1.332	0.673	1.979	KIAA0564
0.0035127	1.614	0.847	1.906	RHOJ
0.0035242	1.65	0.91	1.813	GRIA3
0.003529	1.478	0.783	1.888	MTMR1
0.0035606	1.1	0.512	2.148	CNNM1
0.0035945	0.756	0.306	2.471	TITF1
0.0036055	1.442	0.655	2.202	CRSP2
0.0036072	1.177	0.671	1.754	PCDHGA10
0.0036176	2.222	1.237	1.796	CCDC90B
0.0036293	1.13	0.626	1.805	L2HGDH
0.0036595	1.289	0.516	2.498	PMS2L5
0.0036655	1.206	0.627	1.923	BICD1
0.0036805	1.949	1.011	1.928	PGPEP1
0.0036977	0.794	0.418	1.9	IFT80
0.0037143	1.344	0.633	2.123	C17orf28
0.0037346	1.404	0.661	2.124	GNL3L
0.0037383	2.38	1.339	1.777	TSKU
0.0037552	1.739	0.936	1.858	LOC727913
0.0037608	1.35	0.668	2.021	GPD1L
0.0038489	1.254	0.591	2.122	IFIT1
0.0038692	2.386	1.111	2.148	ZFPM1
0.003877	2.13	1.214	1.755	ITFG1
0.0038974	2.116	1.22	1.734	CLEC3B
0.0039028	1.157	0.544	2.127	LOC283970
0.0039103	1.085	0.496	2.188	S100G
0.0039212	1.163	0.521	2.232	TRY6
0.0039402	1.273	0.665	1.914	KIAA1432
0.003963	1.175	0.38	3.092	ATM
0.0039725	1.67	0.54	3.093	KLHL24
0.0039808	0.869	0.408	2.13	CASC2
0.0039959	2.97	1.152	2.578	LRP1
0.0039976	1.493	0.85	1.756	RILP
0.004015	1.166	0.557	2.093	PAQR3
0.0040204	1.199	0.673	1.782	BTN3A1
0.0040235	0.433	0.149	2.906	CUL3
0.0040763	1.833	0.983	1.865	MYO6
0.00408	1.584	0.686	2.309	CCDC51
0.0041011	0.849	0.379	2.24	CD320
0.0041058	1.932	0.906	2.132	SLC35E2
0.0041256	1.1	0.628	1.752	CGB2
0.0041283	1.595	0.761	2.096	NADSYN1
0.0041535	0.857	0.362	2.367	RSPO2
0.0042095	1.856	0.794	2.338	FLJ20366
0.0042318	1.378	0.466	2.957	THRB
0.0042956	2.296	1.258	1.825	NPAL3
0.0043398	1.47	0.8	1.837	C9orf150
0.0043531	0.911	0.437	2.085	BBS5
0.0043547	1.953	1.03	1.896	CTSF
0.0043818	1.749	1.029	1.7	MR1
0.0044046	1.362	0.653	2.086	IPW
0.0044135	0.67	0.371	1.806	TAT
0.0044172	0.898	0.515	1.744	KIAA1328
0.0044242	0.8	0.404	1.98	C16orf42
0.0044266	0.93	0.528	1.761	TMEM45A
0.0044297	1.865	1.037	1.798	RGS20
0.0045213	0.959	0.442	2.17	SIRPB1
0.0045223	3.242	0.999	3.245	TGS1
0.0045254	2.018	1.168	1.728	LAYN
0.0045378	2.033	0.957	2.124	RTTN
0.0045479	0.978	0.467	2.094	KCNJ10
0.0045676	1.096	0.591	1.854	RP4-756G23.1
0.0045751	1.396	0.682	2.047	SLC23A2
0.0046054	1.106	0.636	1.739	L2HGDH
0.0046089	1.491	0.847	1.76	MGC26733
0.0046139	2.391	0.985	2.427	TNFRSF14
0.0046594	1.827	0.961	1.901	PDCD4
0.0046733	1.257	0.684	1.838	LOC442609
0.0047276	1.492	0.758	1.968	FLJ32679
0.0047471	1.493	0.804	1.857	FAM113A
0.0047477	1.365	0.584	2.337	FAM127C
0.00477	1.134	0.683	1.66	PFDN6
0.0047847	2.225	1.211	1.837	ZFYVE1
0.0047951	2.135	1.164	1.834	SLC27A1
0.0048107	2.891	1.49	1.94	FBLN2
0.0048985	1.394	0.505	2.76	MGC33894
0.0049054	3.227	1.217	2.652	PSG9
0.0049288	3.261	1.371	2.379	LBH
0.0049436	2.106	0.957	2.201	MYLK
0.0049477	1.7	0.655	2.595	FAM54B
0.0049545	1.851	1.11	1.668	DNAJC4
0.0049669	1.248	0.724	1.724	TTC17
0.0049682	0.961	0.452	2.126	SBF2
0.0049802	2.008	0.78	2.574	HS1BP3
0.0049877	1.092	0.39	2.8	RAB27B
0.0049911	1.577	0.768	2.053	CRADD
0.0050037	1.481	0.716	2.068	ORMDL1
0.0050299	3.068	1.709	1.795	SESN2
0.0050413	3.027	1.718	1.762	RPS27L
0.0050582	1.406	0.746	1.885	CDH18
0.0050695	1.491	0.699	2.133	ST5
0.0050745	1.817	0.932	1.95	ABCB6
0.0050887	1.91	1.093	1.747	MGC16169
0.0050916	0.881	0.506	1.741	ABL2
0.0051008	1.515	0.861	1.76	ACAD11
0.0051126	3.161	1.573	2.01	LBH
0.0051183	1.591	0.738	2.156	SFRP1
0.0051203	0.843	0.298	2.829	HAS3
0.0051328	1.045	0.454	2.302	SLC4A11
0.0051456	0.822	0.348	2.362	CEECAM1
0.0051543	1.796	0.87	2.064	PTGES
0.0051803	1.239	0.693	1.788	PPIL2
0.0051808	2.038	1.187	1.717	BAG2
0.0052206	1.014	0.461	2.2	BCL2L14
0.0052354	2.016	0.958	2.104	C12orf23
0.0052875	1.516	0.836	1.813	CABYR
0.0053039	1.333	0.802	1.662	OR52R1
0.0053046	1.771	0.786	2.253	LOC497661
0.005315	0.693	0.333	2.081	FAM82A
0.0053221	0.967	0.45	2.149	C3orf33
0.0053316	2.659	1.497	1.776	DUSP14
0.0053564	2.238	1.205	1.857	PTK7
0.0053702	1.295	0.38	3.408	PTPRU
0.0053769	0.458	0.16	2.863	TRAF3IP3
0.0054159	1.003	0.427	2.349	FAM43A
0.0054191	2.316	1.268	1.826	TLE4
0.005422	1.133	0.646	1.754	CD177
0.0054405	0.723	0.344	2.102	PTAR1
0.0054513	1.915	1.145	1.672	SEMA3C
0.0054563	1.953	1.079	1.81	GBE1
0.0054665	0.845	0.458	1.845	CYBA
0.005469	1.106	0.33	3.352	MAGED4
0.00548	1.128	0.557	2.025	BMP1
0.0054984	2.084	0.987	2.111	EML2
0.0055282	0.938	0.398	2.357	C6orf128
0.0055376	1.387	0.713	1.945	PVT1
0.0055426	0.883	0.341	2.589	SCYE1
0.0055503	2.556	1.108	2.307	SEMA3C
0.0055538	1.331	0.714	1.864	GNAI1
0.0055616	0.951	0.538	1.768	EMR2
0.0055624	1.79	1.024	1.748	ERGIC1
0.0056065	0.566	0.296	1.912	KIAA1217
0.0056108	1.152	0.532	2.165	MED11
0.0056145	1.164	0.549	2.12	PDE4C
0.0056252	0.881	0.396	2.225	BRPF3
0.0056563	1.344	0.602	2.233	CAST
0.0056642	1.17	0.612	1.912	SLC37A4
0.005687	1.177	0.473	2.488	USP33
0.0056958	1.088	0.504	2.159	E2F7
0.0057018	1.117	0.587	1.903	RETNLB
0.0057403	0.921	0.37	2.489	WAC
0.0057595	1.354	0.8	1.693	KLHL12
0.0057832	0.927	0.45	2.06	TTC35
0.0058075	1.618	0.768	2.107	CLN5
