Gene name	Affymetrix probe no.	Genbank	Description	Basal raw signal	Max fold induction by agonist	Max fold induction by antagonist	Functional Group
DDIT3	209383_at	BC003637	DNA-damage-inducible transcript 3	131	2.5	2.2	Tumor suppressors Cell-associated
FOXO3A	224891_at	AV725666	Forkhead box O3A	1172	2.3	1.8	Tumor suppressors Cell-associated
GSN	200696_s_at	NM_000177	Gelsolin	435	1.7	1.9	Tumor suppressors Cell-associated
PDCD4	212593_s_at	N92498	Programmed cell death 4 (neoplastic transformation inhibitor)	1433	1.7	1.6	Tumor suppressors Cell-associated
TGFBI	201506_at	NM_000358	Transforming growth factor, ?-induced, 68 kDa	127	53	12.8	Tumor suppressors Secreted
IGFBP3	210095_s_at	M31159	Insulin-like growth factor binding protein 3	15	32.2	12.3	Tumor suppressors Secreted
FBLN5	203088_at	NM_006329	Fibulin 5	7	10.1	19	Tumor suppressors Secreted
GDF15	221577_x_at	AF003934	Growth differentiation factor 15	378	7.2	3.4	Tumor suppressors Secreted
TGM2	211003_x_at	BC003551	Transglutaminase 2 (C polypeptide, protein-glutamine-?-glutamyltransferase)	17	5.8	2.9	Tumor suppressors Secreted
SULF1	212354_at	BE500977	Sulfatase 1	126	2.9	2.9	Tumor suppressors Secreted
TGFB2	228121_at	AU145950	Transforming growth factor, ?2	20	2	2.7	Tumor suppressors Secreted
IGFBP6	203851_at	NM_002178	Insulin-like growth factor binding protein 6	81	2.6	2.1	Tumor suppressors Secreted
PRSS8	202525_at	NM_002773	Protease, serine, 8 (prostasin)	186	2.4	1.9	Tumor suppressors Secreted
PRSS11	201185_at	NM_002775	Protease, serine, 11 (IGF binding)	50	1.9	1.5	Tumor suppressors Secreted
