GeneSymbol	Fold Change	p-value	Description
Efna5	3.72	2.74E-05	ephrin A5
Egf	2.06	1.63E-03	epidermal growth factor
Enc1	2.97	8.59E-06	ectodermal-neural cortex 1
Epha2	-2.14	7.85E-05	Eph receptor A2
Ephb2	8.28	7.75E-05	Eph receptor B2
Erbb2	-2.05	2.12E-03	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2
Faim	2.70	4.56E-04	Fas apoptotic inhibitory molecule
Fgf1	-3.22	3.06E-04	fibroblast growth factor 1
Fgf18	-2.88	5.93E-06	fibroblast growth factor 18
Fgfr1	-2.12	2.12E-04	fibroblast growth factor receptor 1
Fgfr3	-2.17	1.44E-03	fibroblast growth factor receptor 3
Flna	-2.32	1.47E-03	filamin, alpha
Ghrl	-2.37	1.91E-04	ghrelin
Gmnn	3.42	5.33E-05	geminin
Grip1	2.78	2.49E-03	mRNA for mKIAA4223 protein
Hap1	10.01	1.18E-05	huntingtin-associated protein 1
Hdac9	2.53	9.14E-04	histone deacetylase 9
Hes1	-3.13	2.08E-04	hairy and enhancer of split 1 (Drosophila)
Hes5	12.28	1.41E-04	hairy and enhancer of split 5 (Drosophila)
Hes6	4.66	1.12E-04	hairy and enhancer of split 6 (Drosophila)
Hey1	-3.22	1.93E-04	hairy/enhancer-of-split related with YRPW motif 1
Hey2	-2.14	9.05E-04	hairy/enhancer-of-split related with YRPW motif 2
Hhip	-2.40	7.49E-03	RIKEN  clone:9430014J21 product:unclassifiable
Hmgb2	6.45	9.41E-06	high mobility group box 2
Hoxa1	-2.81	3.17E-03	homeo box A1
Id3	-2.21	1.22E-04	inhibitor of DNA binding 3
Id4	11.04	2.45E-07	inhibitor of DNA binding 4
Igsf9	11.41	9.36E-05	immunoglobulin superfamily, member 9
Itm2b	-2.16	3.23E-06	integral membrane protein 2B
Kitl	-4.16	5.41E-05	kit ligand
Kndc1	2.11	1.16E-04	kinase non-catalytic C-lobe domain (KIND) containing 1
Lama2	-2.07	1.29E-03	laminin, alpha 2
Lhx1	8.13	1.66E-04	LIM homeobox protein 1
Lst1	-2.33	3.21E-06	Mouse B144 cDNA clone containing two potential ORFs, 3 end.
Ly6h	19.38	7.45E-04	lymphocyte antigen 6 complex, locus H
Maoa	-2.07	1.88E-04	monoamine oxidase A
Mapt	-2.23	2.55E-03	microtubule-associated protein tau
Mtap2	3.22	2.52E-03	microtubule-associated protein 2
Mxd3	8.10	2.34E-05	Max dimerization protein 3
Mycn	4.16	2.22E-04	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)
Myo6	-2.10	1.38E-03	myosin VI
Naip5	-2.87	6.56E-05	NLR family, apoptosis inhibitory protein 5
Ncam1	10.09	9.59E-05	neural cell adhesion molecule 1
Neu3	-2.15	3.12E-04	neuraminidase 3
Nf1	-2.08	1.03E-04	neurofibromatosis 1
Nfatc2	9.11	7.85E-06	RIKEN clone:C130082H17 product:nuclear factor of activated T-cells
Nfatc4	-4.92	5.80E-04	RIKEN clone:3110041H08 product:nuclear factor of activated T-cells
Ngfb	2.81	2.72E-03	nerve growth factor, beta
Notch1	-4.14	1.36E-02	M.musculus notch-1
Notch1	-3.30	4.56E-03	Notch gene homolog 1 (Drosophila)
Nova1	3.45	6.30E-03	similar to neuro-oncological ventral antigen 1 isoform 2, transcript variant 3
Nrp1	-2.60	2.35E-04	neuropilin 1
Olfm1	4.37	4.28E-05	olfactomedin 1
Pafah1b3	3.08	1.49E-03	platelet-activating factor acetylhydrolase, isoform 1b, alpha1 subunit
Pak1	5.22	1.03E-04	p21 (CDKN1A)-activated kinase 1
Plxna3	5.05	1.04E-04	plexin A3
Prkg1	-2.58	2.67E-06	RIKEN  clone:D830017E01: protein kinase, cGMP-dependent, type I
Ptn	22.33	6.65E-05	pleiotrophin
Rb1	4.26	1.63E-04	retinoblastoma 1
Rbl1	2.72	3.74E-06	retinoblastoma-like 1
Scarf1	-2.49	1.88E-03	scavenger receptor class F, member 1
Scn8a	33.60	4.97E-04	sodium channel, voltage-gated, type VIII, alpha
Sema3a	-2.56	3.23E-04	sema domain, immunoglobulin domain (Ig), (semaphorin) 3A
Sema3d	-2.15	3.34E-03	sema domain, immunoglobulin domain (Ig), (semaphorin) 3D
Sema5a	-2.38	2.32E-03	sema domain, seven thrombospondin repeats (type 1 and type 1-like), (semaphorin) 5A
Serpinf1	-2.04	9.20E-05	serine (or cysteine) peptidase inhibitor, clade F, member 1
Sgk	-2.08	2.64E-03	serum/glucocorticoid regulated kinase
Shh	-2.35	1.10E-03	sonic hedgehog
Sim2	7.43	7.63E-05	single-minded homolog 2 (Drosophila)
Slit2	-2.49	5.28E-06	slit homolog 2 (Drosophila)
Smo	-2.13	9.18E-05	smoothened homolog (Drosophila)
Sod1	-2.35	1.33E-03	superoxide dismutase 1, soluble, mRNA (cDNA clone IMAGE:5697222)
Sox11	7.41	1.91E-03	SRY-box containing gene 11
Sox11	4.87	6.24E-05	RIKEN  clone:1110038H03 product:unclassifiable
Sox2	3.50	6.30E-05	SRY-box containing gene 2
Sprr1a	6.19	9.17E-03	small proline-rich protein 1A
Stmn3	13.77	2.34E-05	stathmin-like 3
Tgfb2	-2.49	2.38E-03	transforming growth factor, beta 2
Thbs4	28.69	5.18E-04	thrombospondin 4
Tnrc4	68.86	1.41E-04	trinucleotide repeat containing 4
Vegfa	-2.35	1.35E-04	vascular endothelial growth factor A
Vim	-2.19	1.94E-04	vimentin
Vldlr	-2.02	3.72E-04	very low density lipoprotein receptor
Wnt3	7.51	3.09E-05	wingless-related MMTV integration site 3
Xrcc6	2.75	2.03E-03	X-ray repair complementing defective repair in Chinese hamster cells 6
