Affy ID	Symbol	Gene Name	PAX3-FKHR	PAX7-FKHR	PAX-FKHR	p-value†
210432_s_at	SCN3A	sodium channel, voltage-gated, type III, alpha	6.4	16.3	11.3	8.00E-08
39248_at	AQP3	aquaporin 3	3.7	6.8	5.2	9.00E-08
204014_at	DUSP4	dual specificity phosphatase 4	-1.9	-1.6	-1.7	1.00E-07
212651_at	RHOBTB1	Rho-related BTB domain containing 1	1.6	1.6	1.6	1.00E-07
216598_s_at	CCL2	chemokine (C-C motif) ligand 2	-1.7	-1.6	-1.6	1.10E-07
203434_s_at	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	3.5	5.4	4.5	1.50E-07
221861_at	---	MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	2.6	3.9	3.3	1.80E-07
201289_at	CYR61	cysteine-rich, angiogenic inducer, 61	2.5	2.0	2.3	2.20E-07
202207_at	ARL7	ADP-ribosylation factor-like 7	2.7	3.5	3.1	2.60E-07
211341_at	POU4F1	POU domain, class 4, transcription factor 1	3.6	6.2	4.9	2.60E-07
221123_x_at	ZNF395	zinc finger protein 395	1.7	2.0	1.8	3.00E-07
212012_at	PXDN	peroxidasin homolog (Drosophila)	2.0	2.6	2.3	3.60E-07
206657_s_at	MYOD1	myogenic factor 3	1.9	2.2	2.0	4.30E-07
205128_x_at	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	1.6	1.6	1.6	4.40E-07
203510_at	MET	met proto-oncogene (hepatocyte growth factor receptor)	2.5	3.8	3.1	4.60E-07
218807_at	VAV3	vav 3 oncogene	2.0	2.6	2.3	4.60E-07
207571_x_at	C1orf38	chromosome 1 open reading frame 38	2.0	2.8	2.4	4.90E-07
213438_at	NFASC	neurofascin	1.5	1.8	1.6	5.20E-07
207826_s_at	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	1.6	1.6	1.6	5.50E-07
205433_at	BCHE	butyrylcholinesterase	2.0	2.6	2.3	5.60E-07
205132_at	ACTC	actin, alpha, cardiac muscle	-1.7	-1.4	-1.6	6.10E-07
217028_at	CXCR4	chemokine (C-X-C motif) receptor 4	3.7	6.3	5.0	6.10E-07
203625_x_at	SKP2	S-phase kinase-associated protein 2 (p45)	2.3	2.6	2.5	6.20E-07
209888_s_at	MYL1	myosin, light polypeptide 1, alkali; skeletal, fast	-2.0	-2.2	-2.1	6.30E-07
202998_s_at	LOXL2	lysyl oxidase-like 2	2.9	4.8	3.9	6.40E-07
201109_s_at	THBS1	thrombospondin 1	1.5	1.7	1.6	6.70E-07
213069_at	HEG	HEG homolog 1 (zebrafish)	2.0	2.2	2.1	6.80E-07
212614_at	ARID5B	AT rich interactive domain 5B (MRF1-like)	1.9	2.5	2.2	8.60E-07
49111_at	---	MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	2.3	4.2	3.3	8.70E-07
215813_s_at	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	2.0	1.9	1.9	9.70E-07
222162_s_at	ADAMTS1	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	1.7	1.7	1.7	1.00E-06
222154_s_at	DNAPTP6	DNA polymerase-transactivated protein 6	1.4	1.6	1.5	1.00E-06
201565_s_at	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	1.6	1.7	1.7	1.00E-06
203233_at	IL4R	interleukin 4 receptor	1.6	1.8	1.7	1.20E-06
206940_s_at	POU4F1	POU domain, class 4, transcription factor 1	2.6	4.1	3.3	1.20E-06
201368_at	ZFP36L2	zinc finger protein 36, C3H type-like 2	-1.5	-1.7	-1.6	1.30E-06
43511_s_at	---	MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	2.4	4.7	3.6	1.40E-06
203324_s_at	CAV2	caveolin 2	1.4	1.6	1.5	1.40E-06
204364_s_at	C2orf23	chromosome 2 open reading frame 23	-2.8	-2.6	-2.7	1.50E-06
204722_at	SCN3B	sodium channel, voltage-gated, type III, beta	1.7	1.7	1.7	1.60E-06
205151_s_at	KIAA0644	KIAA0644 gene product	-1.7	-1.5	-1.6	1.80E-06
204454_at	LDOC1	leucine zipper, down-regulated in cancer 1	1.8	2.4	2.1	1.80E-06
205534_at	PCDH7	BH-protocadherin (brain-heart)	1.8	2.4	2.1	1.80E-06
219304_s_at	PDGFD	platelet derived growth factor D	2.2	3.2	2.7	1.90E-06
209710_at	GATA2	GATA binding protein 2	1.5	1.8	1.6	2.00E-06
212611_at	DTX4	deltex 4 homolog (Drosophila)	2.8	3.5	3.1	2.10E-06
210785_s_at	C1orf38	chromosome 1 open reading frame 38	2.0	3.0	2.5	2.30E-06
205656_at	PCDH17	protocadherin 17	1.7	2.2	1.9	2.40E-06
211320_s_at	PTPRU	protein tyrosine phosphatase, receptor type, U	1.8	1.7	1.8	2.40E-06
203065_s_at	CAV1	caveolin 1, caveolae protein, 22kDa	5.0	2.5	3.8	3.00E-06
203725_at	GADD45A	growth arrest and DNA-damage-inducible, alpha	1.7	2.3	2.0	3.10E-06
209946_at	VEGFC	vascular endothelial growth factor C	1.6	1.9	1.7	3.20E-06
219935_at	ADAMTS5	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	2.2	2.5	2.3	3.30E-06
202728_s_at	LTBP1	latent transforming growth factor beta binding protein 1	1.4	1.8	1.6	3.30E-06
208195_at	TTN	titin	-2.6	-4.1	-3.3	3.60E-06
204850_s_at	DCX	doublecortex; lissencephaly, X-linked (doublecortin)	4.9	18.0	11.5	3.90E-06
213689_x_at	LOC388650	Hypothetical LOC388650	1.5	1.5	1.5	4.40E-06
201860_s_at	PLAT	plasminogen activator, tissue	2.5	5.3	3.9	4.40E-06
211237_s_at	FGFR4	fibroblast growth factor receptor 4	1.7	2.3	2.0	4.50E-06
209656_s_at	TMEM47	transmembrane protein 47	4.1	5.1	4.6	4.60E-06
205388_at	TNNC2	troponin C2, fast	-2.0	-2.0	-2.0	4.60E-06
203910_at	ARHGAP29	Rho GTPase activating protein 29	2.3	2.9	2.6	4.70E-06
210830_s_at	PON2	paraoxonase 2	1.4	1.6	1.5	4.80E-06
212387_at	TCF4	Transcription factor 4	-2.1	-3.2	-2.6	4.80E-06
201005_at	CD9	CD9 antigen (p24)	2.6	6.0	4.3	4.90E-06
201324_at	EMP1	epithelial membrane protein 1	2.4	4.9	3.6	4.90E-06
209121_x_at	NR2F2	nuclear receptor subfamily 2, group F, member 2	1.7	1.9	1.8	5.00E-06
200953_s_at	CCND2	cyclin D2	1.5	1.7	1.6	5.10E-06
203217_s_at	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	1.6	2.2	1.9	5.40E-06
201596_x_at	KRT18	keratin 18	1.9	3.1	2.5	5.90E-06
204320_at	COL11A1	collagen, type XI, alpha 1	-2.1	-4.1	-3.1	6.00E-06
209220_at	GPC3	glypican 3	3.1	8.6	5.8	6.00E-06
205431_s_at	BMP5	bone morphogenetic protein 5	1.5	1.4	1.5	6.10E-06
205444_at	ATP2A1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	-1.6	-1.6	-1.6	6.20E-06
212977_at	CMKOR1	chemokine orphan receptor 1	4.6	19.9	12.2	6.50E-06
212354_at	SULF1	sulfatase 1	1.8	1.9	1.9	6.80E-06
222062_at	IL27RA	interleukin 27 receptor, alpha	1.6	2.1	1.8	6.90E-06
214608_s_at	EYA1	eyes absent homolog 1 (Drosophila)	1.8	2.9	2.3	7.70E-06
213093_at	PRKCA	protein kinase C, alpha	1.8	1.9	1.9	7.70E-06
204365_s_at	C2orf23	chromosome 2 open reading frame 23	-1.7	-2.7	-2.2	8.50E-06
204214_s_at	RAB32	RAB32, member RAS oncogene family	1.4	1.7	1.5	9.30E-06
208212_s_at	ALK	anaplastic lymphoma kinase (Ki-1)	1.5	1.8	1.7	9.40E-06
206850_at	RRP22	RAS-related on chromosome 22	1.3	1.7	1.5	9.60E-06
208353_x_at	ANK1	ankyrin 1, erythrocytic	2.0	1.5	1.8	1.00E-05
221841_s_at	KLF4	Kruppel-like factor 4 (gut)	2.8	7.9	5.4	1.00E-05
211926_s_at	MYH9	myosin, heavy polypeptide 9, non-muscle	1.4	1.6	1.5	1.00E-05
202369_s_at	TRAM2	translocation associated membrane protein 2	1.4	1.6	1.5	1.00E-05
212099_at	RHOB	ras homolog gene family, member B	1.4	1.7	1.6	1.10E-05
205150_s_at	KIAA0644	KIAA0644 gene product	-1.9	-1.9	-1.9	1.20E-05
202598_at	S100A13	S100 calcium binding protein A13	1.4	1.8	1.6	1.20E-05
210567_s_at	SKP2	S-phase kinase-associated protein 2 (p45)	2.4	5.6	4.0	1.20E-05
222146_s_at	TCF4	transcription factor 4	-1.7	-1.7	-1.7	1.20E-05
203476_at	TPBG	trophoblast glycoprotein	1.8	2.9	2.3	1.20E-05
219471_at	C13orf18	chromosome 13 open reading frame 18	-1.5	-1.7	-1.6	1.30E-05
204579_at	FGFR4	fibroblast growth factor receptor 4	1.9	3.0	2.5	1.30E-05
212098_at	LOC151162	hypothetical protein LOC151162	1.5	1.6	1.5	1.30E-05
212385_at	TCF4	Transcription factor 4	-1.6	-2.3	-2.0	1.30E-05
202643_s_at	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	1.8	1.6	1.7	1.30E-05
200872_at	S100A10	S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))	2.1	4.3	3.2	1.40E-05
202208_s_at	ARL7	ADP-ribosylation factor-like 7	1.4	1.7	1.5	1.50E-05
213050_at	COBL	cordon-bleu homolog (mouse)	-1.8	-1.8	-1.8	1.50E-05
205480_s_at	UGP2	UDP-glucose pyrophosphorylase 2	1.6	2.1	1.9	1.60E-05
203394_s_at	HES1	hairy and enhancer of split 1, (Drosophila)	1.6	2.1	1.8	1.70E-05
202887_s_at	DDIT4	DNA-damage-inducible transcript 4	-1.6	-1.8	-1.7	1.80E-05
207345_at	FST	follistatin	1.7	2.7	2.2	1.80E-05
203435_s_at	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	1.7	2.3	2.0	2.00E-05
206089_at	NELL1	NEL-like 1 (chicken)	2.2	5.1	3.7	2.00E-05
219686_at	STK32B	serine/threonine kinase 32B	1.4	1.7	1.6	2.10E-05
204451_at	FZD1	frizzled homolog 1 (Drosophila)	1.6	2.2	1.9	2.20E-05
201876_at	PON2	paraoxonase 2	1.5	1.6	1.5	2.20E-05
212386_at	TCF4	Transcription factor 4	-2.3	-3.0	-2.6	2.20E-05
205559_s_at	PCSK5	proprotein convertase subtilisin/kexin type 5	1.6	2.0	1.8	2.30E-05
212013_at	PXDN	peroxidasin homolog (Drosophila)	2.2	1.9	2.0	2.30E-05
209651_at	TGFB1I1	transforming growth factor beta 1 induced transcript 1	1.7	2.8	2.3	2.40E-05
209835_x_at	CD44	CD44 antigen (homing function and Indian blood group system)	1.4	1.7	1.6	2.50E-05
202008_s_at	NID1	nidogen 1	1.4	1.8	1.6	2.60E-05
203626_s_at	SKP2	S-phase kinase-associated protein 2 (p45)	2.2	4.6	3.4	2.70E-05
209185_s_at	IRS2	insulin receptor substrate 2	1.4	1.6	1.5	2.80E-05
209765_at	ADAM19	a disintegrin and metalloproteinase domain 19 (meltrin beta)	1.5	1.7	1.6	2.90E-05
212865_s_at	COL14A1	collagen, type XIV, alpha 1 (undulin)	2.2	2.2	2.2	2.90E-05
210511_s_at	INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)	1.8	3.3	2.5	3.00E-05
209757_s_at	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	1.5	2.6	2.1	3.00E-05
218309_at	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1	1.4	1.9	1.7	3.10E-05
205462_s_at	HPCAL1	hippocalcin-like 1	1.4	2.0	1.7	3.10E-05
202039_at	TIAF1	TGFB1-induced anti-apoptotic factor 1 /// myosin XVIIIA	1.8	3.4	2.6	3.10E-05
205902_at	KCNN3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	1.5	2.1	1.8	3.40E-05
211518_s_at	BMP4	bone morphogenetic protein 4	1.6	2.0	1.8	3.60E-05
205330_at	MN1	meningioma (disrupted in balanced translocation) 1	1.8	3.1	2.4	3.60E-05
211423_s_at	SC5DL	sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, fungal)-like	1.6	2.2	1.9	3.60E-05
212188_at	KCTD12	potassium channel tetramerisation domain containing 12 /// potassium channel tetramerisation domain containing 12	-1.5	-1.4	-1.4	3.80E-05
203184_at	FBN2	fibrillin 2 (congenital contractural arachnodactyly)	2.4	5.0	3.7	3.90E-05
220227_at	CDH4	cadherin 4, type 1, R-cadherin (retinal)	1.4	2.1	1.7	4.00E-05
213241_at	PLXNC1	plexin C1	2.0	3.3	2.7	4.00E-05
202794_at	INPP1	inositol polyphosphate-1-phosphatase	1.4	2.0	1.7	4.20E-05
212353_at	SULF1	sulfatase 1	1.8	2.2	2.0	4.70E-05
200625_s_at	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	1.4	1.6	1.5	5.00E-05
220794_at	GREM2	gremlin 2, cysteine knot superfamily, homolog (Xenopus laevis)	-2.7	-3.2	-2.9	5.00E-05
209170_s_at	GPM6B	glycoprotein M6B	1.8	2.8	2.3	5.10E-05
212489_at	COL5A1	collagen, type V, alpha 1	1.4	1.8	1.6	5.20E-05
203961_at	NEBL	nebulette	2.0	4.9	3.4	5.20E-05
202377_at	LEPR	leptin receptor /// leptin receptor overlapping transcript	1.4	1.9	1.6	5.40E-05
200661_at	PPGB	protective protein for beta-galactosidase (galactosialidosis)	1.3	1.8	1.5	5.60E-05
206571_s_at	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	1.4	1.6	1.5	5.80E-05
202345_s_at	FABP5	fatty acid binding protein 5 (psoriasis-associated)	2.1	2.9	2.5	5.90E-05
209683_at	FAM49A	Family with sequence similarity 49, member A	1.6	2.7	2.1	5.90E-05
205888_s_at	KIAA0555	Jak and microtubule interacting protein 2	1.6	1.7	1.7	5.90E-05
37892_at	COL11A1	collagen, type XI, alpha 1	-2.5	-7.5	-5.0	6.20E-05
217889_s_at	CYBRD1	cytochrome b reductase 1	1.5	1.6	1.6	6.20E-05
207630_s_at	CREM	cAMP responsive element modulator	1.5	2.0	1.7	6.60E-05
211828_s_at	TNIK	TRAF2 and NCK interacting kinase	-1.4	-1.7	-1.5	6.60E-05
219718_at	FLJ10986	hypothetical protein FLJ10986	1.7	3.4	2.5	6.70E-05
207282_s_at	MYOG	myogenin (myogenic factor 4)	-1.6	-1.3	-1.4	6.90E-05
200788_s_at	PEA15	phosphoprotein enriched in astrocytes 15	1.3	1.7	1.5	6.90E-05
221586_s_at	E2F5	E2F transcription factor 5, p130-binding	1.4	1.7	1.6	7.20E-05
221840_at	PTPRE	protein tyrosine phosphatase, receptor type, E	1.5	1.6	1.5	7.20E-05
212473_s_at	MICAL2	microtubule associated monoxygenase, calponin and LIM domain containing 2	-1.7	-1.8	-1.7	7.30E-05
218806_s_at	VAV3	vav 3 oncogene	1.9	3.2	2.6	7.30E-05
202071_at	SDC4	syndecan 4 (amphiglycan, ryudocan)	1.5	1.6	1.6	7.40E-05
212344_at	SULF1	sulfatase 1	1.5	1.9	1.7	7.50E-05
203753_at	TCF4	transcription factor 4	-1.9	-1.5	-1.7	7.60E-05
214632_at	NRP2	neuropilin 2	1.3	1.8	1.6	8.10E-05
212880_at	WDR7	WD repeat domain 7	-1.5	-2.0	-1.7	8.40E-05
212382_at	TCF4	Transcription factor 4	-2.3	-1.9	-2.1	8.70E-05
205113_at	NEF3	neurofilament 3 (150kDa medium)	-1.4	-2.0	-1.7	8.80E-05
220979_s_at	ST6GALNAC5	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 /// ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	1.4	1.7	1.5	8.80E-05
211323_s_at	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	-1.3	-1.6	-1.5	9.30E-05
201939_at	PLK2	polo-like kinase 2 (Drosophila)	-1.8	-3.3	-2.6	9.40E-05
202603_at	ADAM10	A disintegrin and metalloproteinase domain 10	2.2	2.4	2.3	9.50E-05
209120_at	NR2F2	nuclear receptor subfamily 2, group F, member 2	2.8	9.0	5.9	9.80E-05
211671_s_at	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) /// nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	1.6	1.8	1.7	9.80E-05
213381_at	C10orf72	Chromosome 10 open reading frame 72	1.7	3.5	2.6	1.00E-04
203689_s_at	FMR1	fragile X mental retardation 1	1.6	2.5	2.0	1.10E-04
212157_at	SDC2	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	1.5	2.1	1.8	1.10E-04
201811_x_at	SH3BP5	SH3-domain binding protein 5 (BTK-associated)	1.8	1.8	1.8	1.10E-04
209655_s_at	TMEM47	transmembrane protein 47	1.9	2.9	2.4	1.10E-04
202478_at	TRIB2	tribbles homolog 2 (Drosophila)	-1.4	-2.1	-1.8	1.10E-04
200621_at	CSRP1	cysteine and glycine-rich protein 1	1.4	2.1	1.7	1.20E-04
209031_at	IGSF4	Immunoglobulin superfamily, member 4	1.7	3.5	2.6	1.20E-04
202729_s_at	LTBP1	latent transforming growth factor beta binding protein 1	1.6	1.7	1.7	1.20E-04
211668_s_at	PLAU	plasminogen activator, urokinase /// plasminogen activator, urokinase	2.5	1.8	2.2	1.20E-04
205087_at	RWDD3	RWD domain containing 3	1.5	1.6	1.6	1.20E-04
201581_at	DJ971N18.2	hypothetical protein DJ971N18.2	1.7	3.4	2.6	1.30E-04
204015_s_at	DUSP4	dual specificity phosphatase 4	-1.5	-1.4	-1.4	1.30E-04
203178_at	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	1.7	2.4	2.1	1.40E-04
210095_s_at	IGFBP3	insulin-like growth factor binding protein 3	-1.5	-2.1	-1.8	1.40E-04
203837_at	MAP3K5	mitogen-activated protein kinase kinase kinase 5	1.7	1.3	1.5	1.40E-04
204049_s_at	PHACTR2	phosphatase and actin regulator 2	1.7	3.0	2.3	1.40E-04
209156_s_at	COL6A2	collagen, type VI, alpha 2	1.9	2.2	2.0	1.50E-04
209094_at	DDAH1	dimethylarginine dimethylaminohydrolase 1	1.6	3.0	2.3	1.50E-04
207145_at	GDF8	growth differentiation factor 8	-1.8	-2.0	-1.9	1.50E-04
206632_s_at	APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	1.7	3.6	2.6	1.60E-04
209539_at	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	-1.5	-1.4	-1.5	1.60E-04
210074_at	CTSL2	cathepsin L2	1.3	1.8	1.5	1.60E-04
212888_at	DICER1	Dicer1, Dcr-1 homolog (Drosophila)	1.6	2.2	1.9	1.60E-04
221016_s_at	TCF7L1	transcription factor 7-like 1 (T-cell specific, HMG-box) /// transcription factor 7-like 1 (T-cell specific, HMG-box)	1.4	2.1	1.7	1.60E-04
210102_at	LOH11CR2A	loss of heterozygosity, 11, chromosomal region 2, gene A	1.6	2.8	2.2	1.70E-04
202007_at	NID1	nidogen 1	2.1	3.3	2.7	1.70E-04
203824_at	TSPAN8	tetraspanin 8	1.3	2.0	1.6	1.70E-04
202920_at	ANK2	ankyrin 2, neuronal	1.8	4.2	3.0	1.80E-04
208092_s_at	FAM49A	family with sequence similarity 49, member A /// family with sequence similarity 49, member A	1.6	2.1	1.9	1.80E-04
217997_at	PHLDA1	pleckstrin homology-like domain, family A, member 1	-1.6	-1.7	-1.7	1.80E-04
211373_s_at	PSEN2	presenilin 2 (Alzheimer disease 4)	1.3	1.8	1.5	1.80E-04
210036_s_at	KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2	-1.2	-1.7	-1.4	1.90E-04
200795_at	SPARCL1	SPARC-like 1 (mast9, hevin)	-1.6	-3.4	-2.5	1.90E-04
202524_s_at	SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	-1.5	-1.6	-1.5	1.90E-04
218870_at	ARHGAP15	Rho GTPase activating protein 15	-1.7	-2.5	-2.1	2.00E-04
200632_s_at	NDRG1	N-myc downstream regulated gene 1	1.7	2.0	1.8	2.00E-04
218162_at	OLFML3	olfactomedin-like 3	-1.5	-1.6	-1.6	2.00E-04
212256_at	GALNT10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)	1.5	2.9	2.2	2.10E-04
200833_s_at	RAP1B	RAP1B, member of RAS oncogene family	1.4	1.8	1.6	2.10E-04
209460_at	ABAT	4-aminobutyrate aminotransferase	1.8	4.2	3.0	2.20E-04
203851_at	IGFBP6	insulin-like growth factor binding protein 6	1.4	2.6	2.0	2.20E-04
209119_x_at	NR2F2	nuclear receptor subfamily 2, group F, member 2	1.3	1.7	1.5	2.20E-04
212599_at	AUTS2	autism susceptibility candidate 2	1.3	2.0	1.7	2.30E-04
201487_at	CTSC	cathepsin C	1.4	2.4	1.9	2.30E-04
206404_at	FGF9	fibroblast growth factor 9 (glia-activating factor)	-1.3	-1.7	-1.5	2.30E-04
212680_x_at	PPP1R14B	protein phosphatase 1, regulatory (inhibitor) subunit 14B	1.3	1.7	1.5	2.30E-04
205481_at	ADORA1	adenosine A1 receptor	-1.6	-2.0	-1.8	2.40E-04
221042_s_at	CLMN	calmin (calponin-like, transmembrane)	1.2	1.7	1.5	2.40E-04
216866_s_at	COL14A1	collagen, type XIV, alpha 1 (undulin)	1.7	3.8	2.8	2.40E-04
204183_s_at	ADRBK2	adrenergic, beta, receptor kinase 2	1.4	2.4	1.9	2.50E-04
202921_s_at	ANK2	ankyrin 2, neuronal	1.4	2.4	1.9	2.50E-04
219355_at	FLJ10178	hypothetical protein FLJ10178	-1.9	-2.5	-2.2	2.50E-04
203414_at	MMD	monocyte to macrophage differentiation-associated	1.3	1.8	1.5	2.50E-04
203962_s_at	NEBL	nebulette	2.2	9.8	6.0	2.50E-04
214734_at	SLAC2-B	SLAC2-B	-1.3	-1.8	-1.6	2.50E-04
219474_at	TTMP	TPA-induced transmembrane protein	-1.6	-1.4	-1.5	2.50E-04
214895_s_at	ADAM10	a disintegrin and metalloproteinase domain 10	1.5	2.2	1.9	2.60E-04
205163_at	MYLPF	fast skeletal myosin light chain 2	-3.0	-1.5	-2.3	2.60E-04
204723_at	SCN3B	sodium channel, voltage-gated, type III, beta	1.6	2.3	1.9	2.60E-04
203408_s_at	SATB1	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	1.6	4.0	2.8	2.70E-04
216511_s_at	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	1.5	2.8	2.2	2.70E-04
218149_s_at	ZNF395	zinc finger protein 395	1.6	2.8	2.2	2.70E-04
219148_at	PBK	PDZ binding kinase	1.4	2.2	1.8	2.80E-04
201648_at	JAK1	Janus kinase 1 (a protein tyrosine kinase)	1.4	2.1	1.7	2.90E-04
209840_s_at	LRRN3	leucine rich repeat neuronal 3	-1.5	-2.2	-1.9	2.90E-04
219038_at	MORC4	MORC family CW-type zinc finger 4	1.4	1.7	1.6	2.90E-04
213652_at	PCSK5	Proprotein convertase subtilisin/kexin type 5	1.5	3.0	2.3	2.90E-04
205123_s_at	TMEFF1	transmembrane protein with EGF-like and two follistatin-like domains 1	1.7	3.4	2.6	2.90E-04
210517_s_at	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	1.6	2.4	2.0	3.00E-04
220495_s_at	C5orf14	chromosome 5 open reading frame 14	1.3	1.6	1.5	3.00E-04
215073_s_at	NR2F2	nuclear receptor subfamily 2, group F, member 2	1.7	3.7	2.7	3.00E-04
210026_s_at	CARD10	caspase recruitment domain family, member 10	1.3	1.7	1.5	3.10E-04
216942_s_at	CD58	CD58 antigen, (lymphocyte function-associated antigen 3)	1.4	2.0	1.7	3.10E-04
220161_s_at	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	1.4	2.1	1.7	3.10E-04
217853_at	TENS1	Tensin-like SH2 domain containing 1	1.4	2.1	1.7	3.10E-04
218832_x_at	ARRB1	arrestin, beta 1	1.4	2.3	1.8	3.20E-04
202723_s_at	FOXO1A	forkhead box O1A (rhabdomyosarcoma)	1.8	6.4	4.1	3.20E-04
200600_at	MSN	moesin	1.4	1.8	1.6	3.20E-04
212481_s_at	TPM4	tropomyosin 4	1.5	1.6	1.6	3.20E-04
201371_s_at	CUL3	cullin 3	1.5	2.5	2.0	3.40E-04
202759_s_at	PALM2-AKAP2	PALM2-AKAP2 protein	1.7	1.4	1.5	3.40E-04
204914_s_at	SOX11	SRY (sex determining region Y)-box 11	-1.5	-1.6	-1.6	3.40E-04
