UniGene ID	Symbol	Gene Name	tumor/normala	P value
Hs.50439		periodontal ligament cell specific protein 2 mRNA, partial sequence, mRNA sequence	0.41	<0.001
Hs.75741	ABP1	amiloride binding protein 1 (amine oxidase (copper-containing))	0.41	<0.001
Hs.382249		Immunoglobulin light chain variable region [Homo sapiens], mRNA sequence	0.41	<0.001
Hs.153042	LY9	lymphocyte antigen 9	0.41	<0.001
Hs.4055		mRNA; cDNA DKFZp564C2063 (from clone DKFZp564C2063), mRNA sequence	0.42	<0.001
Hs.290070	GSN	gelsolin (amyloidosis, Finnish type)	0.42	<0.001
Hs.171695	DUSP1	dual specificity phosphatase 1	0.42	<0.001
Hs.103502	GPT	glutamic-pyruvate transaminase (alanine aminotransferase)	0.42	<0.001
Hs.356176	ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	0.42	<0.001
Hs.37014	CA7	carbonic anhydrase VII	0.42	<0.001
Hs.101745	KIAA0848	KIAA0848 protein	0.43	<0.001
Hs.318545	TMPRSS2	transmembrane protease, serine 2	0.43	<0.001
Hs.301914	DAT1	neuronal specific transcription factor DAT1	0.43	0.004
Hs.197922	PRO1489	hypothetical protein PRO1489	0.43	<0.001
		partial mRNA, clone chc1-b23	0.43	0.003
Hs.73853	BMP2	bone morphogenetic protein 2	0.43	<0.001
Hs.87773	PRKACB	protein kinase, cAMP-dependent, catalytic, beta	0.43	<0.001
Hs.430	PLS1	plastin 1 (I isoform)	0.43	<0.001
Hs.334455	TPS1	tryptase, alpha	0.43	<0.001
Hs.391270	CRYAB	crystallin, alpha B	0.43	<0.001
		NKCC2 mRNA for Na-K-2Cl cotransporter isoform III, partial cds	0.43	0.002
Hs.103665	VILL	villin-like	0.43	<0.001
Hs.120	AOP2	anti-oxidant protein 2 (non-selenium glutathione peroxidase, acidic calcium-independent phospholipase A2)	0.43	<0.001
Hs.10706	EPLIN	epithelial protein lost in neoplasm beta	0.43	<0.001
Hs.351863	TST	thiosulfate sulfurtransferase (rhodanese)	0.44	<0.001
Hs.88844	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	0.44	<0.001
Hs.95655	SECTM1	secreted and transmembrane 1	0.44	<0.001
Hs.331555	SPINK5	serine protease inhibitor, Kazal type, 5	0.44	<0.001
Hs.180187		cDNA FLJ14337 fis, clone PLACE4000494, mRNA sequence	0.44	<0.001
Hs.422202		cDNA FLJ20722 fis, clone HEP15411, mRNA sequence	0.44	<0.001
Hs.75450	DSIPI	delta sleep inducing peptide, immunoreactor	0.44	<0.001
Hs.379930	MAD	MAX dimerization protein 1	0.44	<0.001
Hs.21415		mRNA; cDNA DKFZp761K2024 (from clone DKFZp761K2024), mRNA sequence	0.44	<0.001
Hs.6634		cDNA: FLJ21552 fis, clone COL06322, mRNA sequence	0.44	<0.001
Hs.33829	BHLHB3	basic helix-loop-helix domain containing, class B, 3	0.44	<0.001
Hs.1600	CCT5	chaperonin containing TCP1, subunit 5 (epsilon)	0.44	<0.001
Hs.99886	C4BPB	complement component 4 binding protein, beta	0.44	<0.001
Hs.288959	FLJ20920	hypothetical protein FLJ20920	0.44	<0.001
Hs.406565	IGKC	immunoglobulin kappa constant	0.45	<0.001
Hs.4775	JPH3	junctophilin 3	0.45	0.003
Hs.1686	GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	0.45	<0.001
Hs.111676	H11	protein kinase H11	0.45	0.005
Hs.107164	SPTBN1	spectrin, beta, non-erythrocytic 1	0.45	<0.001
Hs.417157	MGC14376	hypothetical protein MGC14376	0.45	<0.001
Hs.6434	DKFZp761F2014	hypothetical protein DKFZp761F2014	0.45	<0.001
Hs.49636		Scavenger receptor cysteine-rich type 1 protein M160 precursor [Homo sapiens]	0.45	<0.001
Hs.400556	BCAS1	breast carcinoma amplified sequence 1	0.45	<0.001
Hs.57975	CASQ2	calsequestrin 2 (cardiac muscle)	0.46	0.001
Hs.381458		Pregnancy-specific beta-1 glycoprotein precursor, mRNA sequence	0.46	<0.001
Hs.1869	PGM1	phosphoglucomutase 1	0.46	<0.001
Hs.4205	PC-LKC	protocadherin LKC	0.46	<0.001
Hs.89463	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	0.46	<0.001
Hs.238927		Hypothetical protein [Homo sapiens], mRNA sequence	0.46	<0.001
Hs.91139	SLC1A1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag)	0.46	<0.001
Hs.288568	FLJ22644	hypothetical protein FLJ22644	0.46	<0.001
Hs.109439	OGN	osteoglycin (osteoinductive factor, mimecan)	0.46	<0.001
Hs.102950	IGLJ3	immunoglobulin lambda joining 3	0.46	0.003
Hs.348500	VIPR1	vasoactive intestinal peptide receptor 1	0.46	<0.001
Hs.13377	ABHD3	abhydrolase domain containing 3	0.46	<0.001
		cDNA FLJ11433 fis, clone HEMBA1001121	0.46	<0.001
Hs.120439	EKI1	ethanolamine kinase	0.46	0.003
Hs.194720	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	0.46	<0.001
Hs.113	EPHX2	epoxide hydrolase 2, cytoplasmic	0.47	<0.001
Hs.384666		full length insert cDNA clone YQ15A02, mRNA sequence	0.47	0.005
Hs.384488		VH4 heavy chain variable region precursor [Homo sapiens], mRNA sequence	0.47	0.003
Hs.296722		cDNA FLJ12411 fis, clone MAMMA1002964, mRNA sequence	0.47	<0.001
Hs.5509	EVI2B	ecotropic viral integration site 2B	0.47	<0.001
Hs.103395	FLJ14146	hypothetical protein FLJ14146	0.47	<0.001
Hs.326248	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	0.47	<0.001
Hs.405944	NA	immunoglobulin lambda locus	0.47	0.004
Hs.156007	DSCR1L1	Down syndrome critical region gene 1-like 1	0.47	<0.001
Hs.1583	NCF1	neutrophil cytosolic factor 1 (47kDa, chronic granulomatous disease, autosomal 1)	0.47	<0.001
Hs.227777	PTP4A1	protein tyrosine phosphatase type IVA, member 1	0.47	<0.001
Hs.383773		Microfibrillar protein 2 [Homo sapiens], mRNA sequence	0.47	0.003
Hs.249159	ADRA2A	adrenergic, alpha-2A-, receptor	0.47	<0.001
Hs.85835		cDNA: FLJ22841 fis, clone KAIA4844, mRNA sequence	0.48	<0.001
Hs.58419	NESHBP	DKFZP586L2024 protein	0.48	<0.001
Hs.4190	FLJ40432	hypothetical protein FLJ40432	0.48	<0.001
Hs.251395	SLC22A7	solute carrier family 22 (organic anion transporter), member 7	0.48	<0.001
Hs.382719		mRNA fragment, mRNA sequence	0.48	0.008
Hs.377915	MAN2A1	mannosidase, alpha, class 2A, member 1	0.48	<0.001
Hs.374409	EPAS1	endothelial PAS domain protein 1	0.48	<0.001
Hs.2407	POU2AF1	POU domain, class 2, associating factor 1	0.48	<0.001
Hs.177687	AKR1C4	aldo-keto reductase family 1, member C4	0.48	<0.001
		mucin (mucin) mRNA, partial cds	0.49	0.003
Hs.248151	NKX6-1	NK6 transcription factor related, locus 1 (Drosophila)	0.49	<0.001
		hypothetical protein FLJ20163 (FLJ20163), mRNA	0.49	<0.001
Hs.95424	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	0.49	<0.001
Hs.1686	GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	0.49	<0.001
Hs.171763	CD22	CD22 antigen	0.49	<0.001
Hs.167115	KIAA0830	KIAA0830 protein	0.49	<0.001
Hs.191098	SEMA6D	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	0.49	<0.001
Hs.289077	FLJ12768	hypothetical protein FLJ12768	0.49	<0.001
Hs.192927	PPP1R14D	protein phosphatase 1, regulatory (inhibitor) subunit 14D	0.49	<0.001
Hs.306892		cDNA: FLJ23240 fis, clone COL01276, mRNA sequence	0.49	0.004
Hs.306406		cDNA FLJ20788 fis, clone COL02074, mRNA sequence	0.49	<0.001
Hs.321571	MUC11	mucin 11	0.49	0.001
Hs.272245		cDNA FLJ11170 fis, clone PLACE1007301, mRNA sequence	0.49	0.002
Hs.175043	CNNM4	cyclin M4	0.5	<0.001
Hs.96023	CD19	CD19 antigen	0.5	<0.001
Hs.8349	ACF	apobec-1 complementation factor	0.5	<0.001
Hs.12150	RetSDR2	retinal short-chain dehydrogenase/reductase 2	0.5	<0.001
Hs.95549	FLJ20273	RNA-binding protein	0.5	<0.001
Hs.91096	TRIM31	tripartite motif-containing 31	0.5	<0.001
Hs.348900	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	0.5	<0.001
Hs.2722	ITPKA	inositol 1,4,5-trisphosphate 3-kinase A	0.5	<0.001
Hs.136713	VPREB3	pre-B lymphocyte gene 3	0.5	<0.001
Hs.8364	PDK4	pyruvate dehydrogenase kinase, isoenzyme 4	0.5	<0.001
