Unigene	Gene name	Symbol	Hypoxia	AdCA5	Function
Hs.56	Phosphoribosyl pyrophosphate synthetase 1	PRPS1	-1.6	-2.3	Ribonucleotide metabolism
Hs.2057	Uridine monophosphate synthetase	UMPS	-1.6	-2.3	Ribonucleotide metabolism
Hs.464813	Dihydrofolate reductase	DHFR	-1.5	-2.3	Ribonucleotide metabolism
Hs.90280	5-aminoimidazole-4-carboxamide ribonucleotide transformylase	ATIC	-1.5	-2.2	Ribonucleotide metabolism
Hs.177766	Poly(ADP-ribose) polymerase	ADPRT	-1.7	-2	Ribonucleotide metabolism
Hs.215766	GTP-binding protein	GTPBP4	-1.5	-2	Ribonucleotide metabolism
Hs.409412	ADP-ribosyltransferase (NAD +; poly(ADP-ribose) polymerase)-like 2	ADPRTL2	-1.5	-1.8	Ribonucleotide metabolism
Hs.2057	Uridine monophosphate synthetase	UMPS	-1.5	-1.7	Ribonucleotide metabolism
Hs.383396	Ribonucleotide reductase M1 polypeptide	RRM1	-1.6	-1.5	Ribonucleotide metabolism
Hs.411125	Mitochondrial ribosomal protein S12	MRPS12	-1.7	-9.9	Ribosomal/mitochondrial biogenesis
Hs.435643	Ts translation elongation factor, mitochondrial	TSFM	-3.7	-6.5	Ribosomal/mitochondrial biogenesis
Hs.511949	Ribosomal RNA processing 4	RRP4	-2	-4.4	Ribosomal/mitochondrial biogenesis
Hs.71827	Ribosome biogenesis regulator homolog	RRS1	-1.9	-3.1	Ribosomal/mitochondrial biogenesis
Hs.132748	Ribosomal protein L39	RPL39	-1.8	-2.5	Ribosomal/mitochondrial biogenesis
Hs.256583	Interleukin enhancer binding protein 3	ILF3	-2	-2.3	Ribosomal/mitochondrial biogenesis
Hs.511949	Ribosomal RNA processing 4	RRP4	-1.7	-2.3	Ribosomal/mitochondrial biogenesis
Hs.101414	Zinc finger protein 500	ZNF500	-1.6	-2.3	Ribosomal/mitochondrial biogenesis
Hs.431307	Mitochondrial ribosomal protein L40	MRPL40	-1.6	-2.1	Ribosomal/mitochondrial biogenesis
Hs.376064	Nucleolar protein (KKED repeat)	NOL5A	-1.9	-2	Ribosomal/mitochondrial biogenesis
Hs.376681	Mitofusin 2	MFN2	-1.7	-1.7	Ribosomal/mitochondrial biogenesis
Hs.424264	Mitochondrial ribosomal protein L46	MRPL46	-1.5	-1.5	Ribosomal/mitochondrial biogenesis
Hs.443960	DEAD/H box polypeptide 11	DDX11	-4.1	-3.9	RNA binding/metabolism
Hs.434901	Small nuclear ribonucleoprotein polypeptide A	SNRPA1	-1.6	-3	RNA binding/metabolism
Hs.166463	Heterogeneous nuclear ribonucleoprotein U	HNRPU	-1.7	-2.9	RNA binding/metabolism
Hs.153768	RNA, U3 small nucleolar interacting protein 2	RNU3IP2	-1.7	-2.4	RNA binding/metabolism
Hs.363492	DEAD box polypeptide 18	DDX18	-1.5	-2.4	RNA binding/metabolism
Hs.434901	Small nuclear ribonucleoprotein polypeptide A	SNRPA1	-1.9	-2.1	RNA binding/metabolism
Hs.416994	POP7 (processing of precursor) homolog	RPP20	-1.8	-2.1	RNA binding/metabolism
Hs.30174	Small nuclear RNA activating complex 5	SNAPC5	-1.7	-2.1	RNA binding/metabolism
Hs.372673	Heterogeneous nuclear ribonucleoprotein D-like	HNRPDL	-1.6	-2.1	RNA binding/metabolism
Hs.130098	DEAD box polypeptide 23	DDX23	-1.5	-2.1	RNA binding/metabolism
Hs.7174	DEAH (Asp-Glu-Ala-His) box polypeptide 35	DHX35	-2.1	-2	RNA binding/metabolism
Hs.73965	Splicing factor, arginine/serine-rich 2	SFRS2	-1.6	-2	RNA binding/metabolism
Hs.438726	Heterogeneous nuclear ribonucleoprotein D	HNRPD	-2.2	-1.9	RNA binding/metabolism
Hs.434901	Small nuclear ribonucleoprotein polypeptide A	SNRPA1	-1.9	-1.9	RNA binding/metabolism
Hs.438726	DEAD box polypeptide 21	DDX21	-1.7	-1.9	RNA binding/metabolism
Hs.372673	Heterogeneous nuclear ribonucleoprotein D-like	HNRPDL	-1.6	-1.7	RNA binding/metabolism
Hs.86948	Small nuclear ribonucleoprotein D1 polypeptide	SNRPD1	-1.6	-1.7	RNA binding/metabolism
Hs.356549	Small nuclear ribonucleoprotein D3 polypeptide	SNRPD3	-1.5	-1.7	RNA binding/metabolism
Hs.511756	Ribonuclease P1	RNASEP1	-1.6	-1.6	RNA binding/metabolism
Hs.139120	Ribonuclease P (30 kDa)	RPP30	-1.6	-1.6	RNA binding/metabolism
Hs.152978	Proteasome activator subunit 3	PSME3	-1.6	-2.9	Ubiquitin/proteasome
Hs.396393	Ubiquitin-conjugating enzyme E2S	UBE2S	-1.6	-2.9	Ubiquitin/proteasome
Hs.25223	Ubiquitin carboxyl-terminal hydrolase L5	UCHL5	-1.6	-2.1	Ubiquitin/proteasome
Hs.443379	Proteasome 26S subunit, non-ATPase, 11	PSMD11	-1.5	-2.1	Ubiquitin/proteasome
Hs.152978	Proteasome activator subunit 3	PSME3	-1.6	-1.8	Ubiquitin/proteasome
Hs.119563	Proteasome activator subunit 4	PSME4	-1.6	-1.8	Ubiquitin/proteasome
Hs.12820	Ubiquitin specific protease 39	USP39	-1.6	-1.6	Ubiquitin/proteasome
Hs.35086	Ubiquitin specific protease 1	USP1	-1.5	-1.5	Ubiquitin/proteasome
Hs.446451	Myeloid/lymphoid leukemia; translocated to, 10	MLLT10	-2.2	-5.1	Transcription factors
Hs.54089	BRCA1 associated RING domain 1	BARD1	-1.6	-3.6	Transcription factors
Hs.194143	Breast cancer 1, early onset	BRCA1	-2.7	-3.2	Transcription factors
Hs.181128	ELK1, member of ETS oncogene family	ELK1	-2.4	-3	Transcription factors
Hs.75133	Transcription factor A, mitochondrial	TFAM	-1.6	-3	Transcription factors
Hs.448398	MYC-associated zinc finger protein	MAZ	-1.6	-2.8	Transcription factors
Hs.194143	Breast cancer 1, early onset	BRCA1	-2	-2.4	Transcription factors
Hs.106415	Peroxisome proliferative activated receptor, delta	PPARD	-2.1	-2.3	Transcription factors
Hs.408528	Retinoblastoma 1	RB1	-1.8	-2.3	Transcription factors
Hs.436187	Thyroid hormone receptor interactor 13	TRIP13	-1.9	-2.1	Transcription factors
Hs.75133	Transcription factor 6-like 1	TF6M	-1.6	-1.7	Transcription factors
Hs.75133	Transcription factor A, mitochondrial	TFAM	-1.6	-1.7	Transcription factors
Hs.410900	Inhibitor of DNA binding 1	ID1	-1.6	-1.5	Transcription factors
