ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	Ratio1	Pvalue	Ratio2	Pvalue2	Ratio3	Pvalue3
ENSMUSG00000027834	Neuroserpin precursor	MTG_602467339	1.95	0.00453	1.98	0.00365	-1.57	0.14295
ENSMUSG00000031029	Eukaryotic translation initiation factor 3 subunit 5	MTG_602471221	1.86	0.00816	1.91	0.0466	-0.12	0.92615
ENSMUSG00000035566		MTG_602477729	2.01	0.00415	1.69	0.0112	-0.2	0.92202
ENSMUSG00000050640		MTG_602474489	1.26	0.00345	2.41	0.00451	1.55	0.17099
ENSMUSG00000050493		gbctl04_plate3_L03	1.74	0.01526	1.87	0.00997	-1.72	0.2045
ENSMUSG00000018593	SPARC precursor	MTG_602469065	1.42	0.00428	2.16	0.00062	0.34	0.53794
ENSMUSG00000029211	Gamma-aminobutyric-acid receptor alpha-4 subunit pre	gbctl04_plate12_P13	1.48	0.0096	2.08	0.0273	1.47	0.09448
ENSMUSG00000006403	aggrecanase-1	gbctl04_plate3_H19	1.59	0.03715	1.96	0.0354	-2.7	0.10874
ENSMUSG00000034786	G-protein signalling modulator 3	gbctl04_plate13_G20	1.98	0.01229	1.57	0.00551	1.48	0.0515
ENSMUSG00000052131	aldo-keto reductase family 1 member B7	MTG_602472838	1.21	0.00563	2.33	0.00269	-1.44	0.28367
ENSMUSG00000008136	Skeletal muscle LIM-protein 3	MTG_602469765	1.04	0.02239	2.49	0.00034	-2.35	0.08494
ENSMUSG00000006205	Serine protease HTRA1 precursor	MTG_602469553	2.37	0.00331	1.13	0.0229	2.17	0.08111
ENSMUSG00000017309		MTG_602471842	1.98	0.00239	1.49	0.0191	-0.25	0.89096
ENSMUSG00000022272		MTG_602469704	1.78	0.02084	1.64	0.00929	-0.16	0.89911
ENSMUSG00000057604	LIM and cysteine-rich domains protein 1	gbctl04_plate4_H19	1.01	0.01103	2.41	0.00335	-2.03	0.06076
ENSMUSG00000031538	Tissue-type plasminogen activator precursor	MTG_602138944	2.13	0.00415	1.27	0.0102	0.71	0.30716
ENSMUSG00000056501	CCAAT/enhancer binding protein beta	MTG_602474692	1.44	0.03063	1.96	0.00097	-0.53	0.5752
ENSMUSG00000032666		MTG_602474473	1.12	0.02045	2.26	0.00056	-0.24	0.8305
ENSMUSG00000043298		MTG_602467115	1.38	0.01682	1.98	0.00096	1.37	0.16406
ENSMUSG00000027800	Transmembrane 4 superfamily member 1	gbctl04_plate10_O12	1.79	0.00958	1.56	0.00355	-0.25	0.56774
ENSMUSG00000051978		MTG_602467162	1.46	0.00765	1.86	0.00917	1.66	0.06172
ENSMUSG00000021453	Growth arrest and DNA-damage-inducible protein GAD	MTG_602467360	1.67	0.02043	1.65	0.0112	0.23	0.73345
ENSMUSG00000026152	procollagen, type IV, alpha 3	gbctl04_plate6_O08	1.57	0.00406	1.74	0.00601	1.07	0.07466
ENSMUSG00000030127	COP9 (constitutive photomorphogenic) homolog, subuni	MTG_602471313	1.51	0.01359	1.8	0.00164	-0.9	0.33612
ENSMUSG00000025402	NGFI-A binding protein 2	MTG_602477020	1.06	0.00678	2.22	0.00017	0.12	0.93971
ENSMUSG00000015568	Lipoprotein lipase precursor	MTG_602475573	1.09	0.01788	2.15	0.0004	-0.71	0.12723
ENSMUSG00000035441		MTG_602139038	1.32	0.00418	1.92	0.00067	0.69	0.27614
ENSMUSG00000022231	Semaphorin 5A precursor	gbctl04_plate17_H13	1.05	0.00574	2.16	0.0073	0.33	0.66728
ENSMUSG00000040260	Disheveled associated activator of morphogenesis 2	gbctl04_plate5_C02	1.48	0.00264	1.71	0.0471	0.43	0.65896
ENSMUSG00000052062	Partitioning-defective 3-like protein	MTG_602468054	1.14	0.0228	1.99	0.00876	-0.52	0.87702
ENSMUSG00000036879		MTG_602296393	1.56	0.00297	1.54	0.00289	1.3	0.12376
ENSMUSG00000031778	Fractalkine precursor	MTG_602476781	1.26	0.00364	1.8	0.00049	-0.18	0.81517
ENSMUSG00000035403	5930402A21 protein	MTG_602470194	1.76	0.00328	1.28	0.00709	1.7	0.28132
ENSMUSG00000001493	Homeobox protein MOX-1	MTG_602474862	1.24	0.02044	1.76	0.0204	0.24	0.73436
ENSMUSG00000037266		gbctl04_plate8_J22	1.45	0.0176	1.55	0.0428	-0.07	0.8781
ENSMUSG00000015745	TNF intracellular domain-interacting protein	gbctl04_plate12_N03	1.93	0.00395	1.05	0.0125	0.73	0.10788
ENSMUSG00000022894	ADAMTS-5 precursor	MTG_602469049	1.6	0.01184	1.35	0.0452	-1.17	0.21742
ENSMUSG00000013833	thyroid hormone receptor associated protein 5	MTG_602469016	1.43	0.00303	1.4	0.00369	0.49	0.7184
ENSMUSG00000022579	1110002J19Rik protein	gbctl04_plate15_B13	1.37	0.0401	1.46	0.0412	-2.32	0.12613
ENSMUSG00000019857	ASF1 anti-silencing function 1 homolog A	gbctl04_plate10_J02	1.43	0.00302	1.39	0.0126	1.08	0.20121
ENSMUSG00000064326	Apoptosis regulatory protein Siva	MTG_602477616	1.42	0.00428	1.39	0.011	1.2	0.10542
ENSMUSG00000052837	Transcription factor jun-B	MTG_602472486	1.2	0.00815	1.58	0.00829	0.34	0.75328
ENSMUSG00000048878	cardiac lineage protein 1	MTG_602470118	1.49	0.009	1.27	0.0199	0.15	0.83939
ENSMUSG00000057301		MTG_602476681	1.19	0.00367	1.57	0.0051	-0.24	0.82779
ENSMUSG00000002250	Peroxisome proliferator activated receptor delta	MTG_602476773	1.23	0.00422	1.5	0.00125	0.86	0.16294
ENSMUSG00000058799	Nucleosome assembly protein 1-like 1	MTG_602469448	1.13	0.01946	1.59	0.00322	0.71	0.14227
ENSMUSG00000026672	optineurin; TFIIIA-INTP	MTG_602296315	1.16	0.00635	1.45	0.00893	0.78	0.50593
ENSMUSG00000039628		MTG_602467022	1.06	0.01288	1.54	0.00666	-1	0.67424
ENSMUSG00000020121	SLIT-ROBO Rho GTPase activating protein 1	gbctl04_plate12_O13	1.05	0.00772	1.54	0.0129	-0.53	0.36583
ENSMUSG00000052105		MTG_602467135	1.37	0.00708	1.2	0.0163	0.67	0.227
ENSMUSG00000040003	Atrophin-1 interacting protein 1	MTG_602473284	1.33	0.00426	1.22	0.0144	2.02	0.05201
ENSMUSG00000021112	MAGUK p55 subfamily member 5	MTG_602468154	1.22	0.00347	1.32	0.00496	0.64	0.52729
ENSMUSG00000050212		gbctl04_plate8_G02	1.21	0.00609	1.29	0.00568	-0.7	0.42568
ENSMUSG00000022122	Endothelin B receptor precursor	gbctl04_plate11_C08	1.24	0.03716	1.23	0.0295	0.1	0.93226
ENSMUSG00000000934	DNA topoisomerase I	MTG_602476161	1.17	0.0278	1.29	0.0281	2.79	0.08169
ENSMUSG00000054203	interferon activated gene 205	MTG_602474876	1.35	0.03053	1.11	0.0305	-0.72	0.22862
ENSMUSG00000029070	limitrin	MTG_602469209	1.17	0.00597	1.27	0.00298	1.41	0.07237
ENSMUSG00000060985		MTG_602471140	1.32	0.00303	1.03	0.0466	0.86	0.21754
ENSMUSG00000056748		gbctl04_plate12_K16	1.05	0.02941	1.22	0.00879	0.79	0.13005
ENSMUSG00000058865		MTG_602467063	1.07	0.02394	1.19	0.0127	0.17	0.9411
ENSMUSG00000022505	Epithelial membrane protein-2	MTG_602475342	1.05	0.00556	1.16	0.00902	1.82	0.30754
ENSMUSG00000026712	mannose receptor, C type 1	MTG_602467778	1.04	0.00551	1.12	0.00342	0.75	0.42798
