ProbeSetID	Symbol	Cytoband	strWlcxn	P-value	FDR
208668_x_at	HMGN2	1p36.1	-4.176	2.96E-05	0.01996
203511_s_at	TRAPPC3	1p34.3	-4.134	3.57E-05	0.02327
208024_s_at	DGCR6	22q11.21	-4.128	3.67E-05	0.02327
204334_at	KLF7	2q32	4.109	3.97E-05	0.02448
209089_at	RAB5A	3p24-p22	4.097	4.18E-05	0.02510
204258_at	CHD1	5q15-q21	4.055	5.02E-05	0.02787
215068_s_at	FBXL18	7p22.2	-4.055	5.02E-05	0.02787
218580_x_at	AURKAIP1	1p36.33	-4.055	5.02E-05	0.02787
212098_at	LOC151162	2q21.3	4.043	5.29E-05	0.02796
212402_at	ZC3H13	13q14.12	4.043	5.29E-05	0.02796
210474_s_at	CDC2L2	1p36.33	-4.037	5.42E-05	0.02802
201173_x_at	NUDC	1p35-p34	-4.027	5.64E-05	0.02847
202048_s_at	CBX6	22q13.1	-4.018	5.86E-05	0.02893
201660_at	ACSL3	2q34-q35	4.000	6.33E-05	0.03057
214986_x_at	PPIL2	22q11.21	-3.982	6.84E-05	0.03231
200006_at	PARK7	1p36.33-p36.12	-3.967	7.29E-05	0.03372
204014_at	DUSP4	8p12-p11	3.939	8.17E-05	0.03558
200707_at	PRKCSH	19p13.2	-3.933	8.38E-05	0.03558
219322_s_at	WDR8	1p36.3	-3.933	8.38E-05	0.03558
221813_at	FBXO42	1p36.23-p36.11	-3.927	8.59E-05	0.03558
209184_s_at	IRS2	13q34	3.921	8.81E-05	0.03558
209185_s_at	IRS2	13q34	3.921	8.81E-05	0.03558
220355_s_at	PB1	3p21	3.921	8.81E-05	0.03558
220756_s_at	GPR172B	17p13.2	-3.915	9.03E-05	0.03584
218887_at	MRPL2	6p21.3	-3.909	9.26E-05	0.03611
209718_at	NCAPH2	22q13.33	-3.903	9.50E-05	0.03639
211471_s_at	RAB36	22q11.22	-3.888	1.01E-04	0.03645
203606_at	NDUFS6	5p15.33	-3.885	1.02E-04	0.03645
204015_s_at	DUSP4	8p12-p11	3.885	1.02E-04	0.03645
215329_s_at	CDC2L2	1p36.33	-3.885	1.02E-04	0.03645
210574_s_at	NUDC	1p35-p34	-3.879	1.05E-04	0.03645
222191_s_at	B4GALT7	5q35.2-q35.3	-3.879	1.05E-04	0.03645
207105_s_at	PIK3R2	19q13.2-q13.4	-3.861	1.13E-04	0.03867
205684_s_at	DENND4C	9p22.1	3.854	1.16E-04	0.03904
211289_x_at	CDC2L2	1p36.33	-3.848	1.19E-04	0.03942
219187_at	FKBPL	6p21.3	-3.842	1.22E-04	0.03977
206351_s_at	PEX10	1p36.32	-3.836	1.25E-04	0.03977
207428_x_at	CDC2L1	1p36.33	-3.830	1.28E-04	0.03977
208891_at	DUSP6	12q22-q23	3.824	1.31E-04	0.03977
217124_at	IQCE	7p22.2	-3.824	1.31E-04	0.03977
201363_s_at	IVNS1ABP	1q25.1-q31.1	3.818	1.35E-04	0.03977
202296_s_at	RER1	1pter-q24	-3.818	1.35E-04	0.03977
210586_x_at	RHD	1p36.11	-3.818	1.35E-04	0.03977
202494_at	PPIE	1p32	-3.812	1.38E-04	0.03977
219795_at	SLC6A14	Xq23-q24	3.812	1.38E-04	0.03977
201282_at	OGDH	7p14-p13	-3.800	1.45E-04	0.04072
210546_x_at	CTAG1B	Xq28	-3.800	1.45E-04	0.04072
207520_at	TROVE2	1q31	3.785	1.54E-04	0.04221
216969_s_at	KIF22	16p11.2	-3.782	1.56E-04	0.04221
219305_x_at	FBXO2	1p36.22	-3.782	1.56E-04	0.04221
208901_s_at	TOP1	20q12-q13.1	3.776	1.60E-04	0.04273
202183_s_at	KIF22	16p11.2	-3.763	1.68E-04	0.04433
207120_at	ZNF667	19q13.43	-3.760	1.70E-04	0.04434
202772_at	HMGCL	1p36.1-p35	-3.751	1.76E-04	0.04545
218300_at	C16orf53	16p11.2	-3.745	1.80E-04	0.04603
204056_s_at	MVK	12q24	-3.739	1.85E-04	0.04609
218504_at	FAHD2A	2p24.3-p11.2	-3.739	1.85E-04	0.04609
218341_at	PPCS	1p34.2	-3.730	1.91E-04	0.04642
209424_s_at	AMACR	5p13	-3.727	1.94E-04	0.04642
218837_s_at	UBE2D4	7p13	-3.727	1.94E-04	0.04642
207719_x_at	CEP170	1q44	3.721	1.98E-04	0.04642
218878_s_at	SIRT1	10q21.3	3.721	1.98E-04	0.04642
221148_at	NA	NA	-3.721	1.98E-04	0.04642
208107_s_at	LOC81691	16p12.2	-3.715	2.03E-04	0.04705
211411_at	LDLR	19p13.3	-3.709	2.08E-04	0.04721
34689_at	TREX1	3p21.3-p21.2	-3.709	2.08E-04	0.04721
212212_s_at	INTS1	7p22.3	-3.703	2.13E-04	0.04739
218541_s_at	C8orf4	8p11.2	3.703	2.13E-04	0.04739
220274_at	IQCA	2q37.2-q37.3	-3.697	2.18E-04	0.04805
208893_s_at	DUSP6	12q22-q23	3.684	2.29E-04	0.04942
212794_s_at	KIAA1033	12q24.11	3.684	2.29E-04	0.04942
