Probe ID	Gene Symbol	Description	Relative Expression	P value
32611_at	PBP	prostatic binding protein	2.42	0.0054
32619_at	FETUB	Fetuin B	0.61	0.0093
32647_at	VTI1B	vesicle transport through interaction with t-SNAREs homolog 1B (yeast)	-1.65	0
32658_at	VPS52	vacuolar protein sorting 52 (yeast)	-3	0.0002
327_f_at	---	---	2.66	0.0038
32746_at	CFLAR	CASP8 and FADD-like apoptosis regulator	0.86	0.0014
32750_r_at	FLNA	filamin A, alpha (actin binding protein 280)	2.78	0.0053
32837_at	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	2.04	0.0027
32948_at	USH2A	Usher syndrome 2A (autosomal recessive, mild)	0.62	0.0015
33065_at	---	---	-0.83	0.0017
33068_f_at	UGT2B15	UDP glycosyltransferase 2 family, polypeptide B15	-0.63	0.0018
33077_at	SDK1	Sidekick homolog 1 (chicken)	1.35	0.0014
33089_s_at	EFNA2	ephrin-A2	1.14	0.0012
33273_f_at	IGL/// IGLC1 /// IGLC2 /// IGLV2-14 /// IGLJ3	immunoglobulin lambda locus /// immunoglobulin lambda constant 1 (Mcg marker) /// immun+C37oglobulin lambda constant 2 (Kern-Oz- marker) /// immunoglobulin lambda variable 2-14 /// immunoglobulin lambda joining 3	-0.77	0.0067
33331_at	BENE	BENE protein	-0.82	0.0047
33337_at	DEGS1	degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)	1.57	0.0054
33378_at	NIPBL	Nipped-B homolog (Drosophila)	0.93	0.0052
33402_at	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	-0.59	0.0051
33409_at	FKBP2	FK506 binding protein 2, 13kDa	1.37	0.0018
33485_at	RPL4	ribosomal protein L4	1.96	0.0043
33550_at	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C	-0.63	0.0016
33570_at	NKX2-5	NK2 transcription factor related, locus 5 (Drosophila)	-0.81	0.0061
33621_at	TCF2	transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor	-0.78	0.0019
33772_at	PTGER4	prostaglandin E receptor 4 (subtype EP4)	0.86	0.0007
33788_at	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	-0.84	0.0091
33872_at	LPHN2	latrophilin 2	0.7	0.0074
34035_at	SLC10A1	solute carrier family 10 (sodium/bile acid cotransporter family), member 1	0.97	0.0002
34074_s_at	GNAT1	Guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1	0.81	0.0035
34108_g_at	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	1.02	0.01
34118_at	ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide	0.78	0.0082
34199_at	SEC24A	SEC24 related gene family, member A (S. cerevisiae)	-0.77	0.0017
34201_at	DNAJA2	DnaJ (Hsp40) homolog, subfamily A, member 2	1.37	0.0044
34215_at	DXYS155E	DNA segment on chromosome X and Y (unique) 155 expressed sequence	-1.99	0.0039
34223_at	CSF3R	colony stimulating factor 3 receptor (granulocyte)	-0.57	0.0079
34292_at	CXorf12	chromosome X open reading frame 12	1.49	0.005
34305_at	PCBP1	poly(rC) binding protein 1	2.02	0.004
34378_at	ADFP	adipose differentiation-related protein	0.82	0.0031
34464_at	DAO	D-amino-acid oxidase	0.59	0.0047
34480_at	CDH16	cadherin 16, KSP-cadherin	1.09	0.0074
34490_f_at	FSCN2	fascin homolog 2, actin-bundling protein, retinal (Strongylocentrotus purpuratus)	-0.77	0.0019
34560_at	S100A5	S100 calcium binding protein A5	0.89	0.0056
34570_at	RPS27A	ribosomal protein S27a	2.42	0.0013
34581_s_at	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	0.82	0.0036
34590_at	CNTF	ciliary neurotrophic factor	0.67	0.0076
34620_at	PAX5	paired box gene 5 (B-cell lineage specific activator)	1.02	0.0008
34689_at	TREX1	three prime repair exonuclease 1	1.57	0.0006
34699_at	CD2AP	CD2-associated protein	-0.69	0.0031
34801_at	USP52	ubiquitin specific protease 52	-0.7	0.0062
34892_at	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b	-0.74	0.0083
34895_at	SEC23IP	SEC23 interacting protein	1.16	0.0008
34914_at	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1	-0.81	0.0005
35004_at	DHRS2	dehydrogenase/reductase (SDR family) member 2	-0.75	0.0092
35028_at	GABRB1	gamma-aminobutyric acid (GABA) A receptor, beta 1	0.92	0.0017
35030_i_at	PDZK10	PDZ domain containing 10	0.67	0.0044
35164_at	WFS1	Wolfram syndrome 1 (wolframin)	-0.4	0.0018
35245_at	F5	coagulation factor V (proaccelerin, labile factor)	-0.48	0.0015
35510_at	SCN8A	sodium channel, voltage gated, type VIII, alpha	0.72	0.0053
35558_at	UGP2	UDP-glucose pyrophosphorylase 2	0.53	0.0054
35663_at	NPTX2	neuronal pentraxin II	0.54	0.0085
35674_at	---	---	-0.33	0.0062
35698_at	IF	I factor (complement)	-0.51	0.0036
35726_at	S100A2	S100 calcium binding protein A2	1.26	0
35745_f_at	PCBP2	poly(rC) binding protein 2	-2.05	0.0033
35809_g_at	SFRS6	splicing factor, arginine/serine-rich 6	-2.14	0.0037
35813_at	TNPO3	transportin 3	1.87	0.0099
35814_at	GA17	dendritic cell protein	1.66	0.0066
35875_at	SGPL1	sphingosine-1-phosphate lyase 1	1.01	0.0092
35913_at	ARID3A	AT rich interactive domain 3A (BRIGHT- like)	0.73	0.0081
35933_f_at	LOC442573	similar to PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	1.09	0.0042
35961_at	---	DKFZp586O1318 (from clone DKFZp586O1318)	-0.86	0.0001
36000_at	CREBL1	cAMP responsive element binding protein-like 1	1.17	0.0014
36060_at	SRP54	signal recognition particle 54kDa	1.11	0.005
36122_at	PSMA6	proteasome (prosome, macropain) subunit, alpha type, 6	1.24	0.0071
36124_at	MPST	mercaptopyruvate sulfurtransferase	2.99	0.0003
36291_at	C18orf25	chromosome 18 open reading frame 25	-0.64	0.0082
36497_at	C14orf78	chromosome 14 open reading frame 78	-0.85	0.0004
36508_at	GPC4	glypican 4	-0.67	0.0005
36614_at	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	-2.01	0.0036
36643_at	DDR1	discoidin domain receptor family, member 1	-0.7	0.0058
36715_at	ADRA1A	adrenergic, alpha-1A-, receptor	0.82	0.0003
36723_at	HNF4A	hepatocyte nuclear factor 4, alpha	0.7	0.0062
36773_f_at	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	-0.79	0.0026
36844_at	DOCK3	dedicator of cytokinesis 3	-0.51	0.0032
36892_at	ITGA7	integrin, alpha 7	0.58	0.0034
36898_r_at	PRIM2A	primase, polypeptide 2A, 58kDa	1.44	0.0018
36902_at	RHOG	ras homolog gene family, member G (rho G)	1.84	0.0051
36983_f_at	CXCL2/// HP /// HPR	chemokine (C-X-C motif) ligand 2 /// haptoglobin /// haptoglobin-related protein	0.92	0.004
37003_at	CD63	CD63 antigen (melanoma 1 antigen)	1.75	0.0089
37019_at	FGB	fibrinogen, B beta polypeptide	-0.68	0.0092
37050_r_at	TOMM34	translocase of outer mitochondrial membrane 34	-0.58	0.0069
37100_at	FMNL1	formin-like 1	1.41	0.0032
37103_at	BEAN	brain expressed, associated with Nedd4	0.68	0.0008
37162_at	CCDC6	coiled-coil domain containing 6	1.04	0.0063
37293_at	ch-TOG	KIAA0097 gene product	1.79	0.003
37374_at	ANXA4	annexin A4	0.67	0.009
37403_at	ANXA1	annexin A1	1.05	0.0062
37469_at	KNTC1	kinetochore associated 1	0.94	0.0056
37531_at	TBC1D5	TBC1 domain family, member 5	-0.94	0.0039
37535_at	CREB1	cAMP responsive element binding protein 1	-0.77	0.0075
37604_at	HNMT	histamine N-methyltransferase	0.67	0.002
37610_at	FLJ10803	hypothetical protein FLJ10803	-1.25	0
37619_at	METAP1	methionyl aminopeptidase 1	-1.48	0.0071
37637_at	RGS3	regulator of G-protein signalling 3	-0.68	0.0003
37645_at	CD69	CD69 antigen (p60, early T-cell activation antigen)	-0.56	0.0013
37666_at	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5	2.33	0.0079
37763_at	RXRB	retinoid X receptor, beta	-0.91	0.0033
37791_at	---	---	0.77	0.0047
37815_at	DDX51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51	0.67	0.0022
37826_at	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	1.03	0.0058
37829_at	GAS2	growth arrest-specific 2	-0.98	0.0086
37905_r_at	GNL1	Guanine nucleotide binding protein-like 1	1.91	0.0051
37943_at	ZFYVE26	zinc finger, FYVE domain containing 26	-0.92	0.0007
37950_at	PREP	prolyl endopeptidase	-1.18	0.0044
37992_s_at	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	1.97	0.0087
38080_at	COX8A	cytochrome c oxidase subunit 8A (ubiquitous)	3.3	0.0053
38094_at	HNRPAB	heterogeneous nuclear ribonucleoprotein A/B	2.68	0.007
38100_at	TLOC1	translocation protein 1	-0.73	0.0047
38106_at	TINP1	TGF beta-inducible nuclear protein 1	2.31	0.0003
38108_at	PPT2	palmitoyl-protein thioesterase 2	-0.97	0.0077
38120_at	PKD2	polycystic kidney disease 2 (autosomal dominant)	-0.86	0.0053
38240_at	CLDN18	Claudin 18	-0.82	0.0065
38241_at	BTN3A3	butyrophilin, subfamily 3, member A3	-0.9	0.0008
38458_at	CYB5	cytochrome b-5	-0.4	0.0059
38475_at	DCTN2	dynactin 2 (p50)	1.38	0.0041
38483_at	DULLARD	Dullard homolog (Xenopus laevis)	-1.95	0.0057
38491_at	ETV6	ets variant gene 6 (TEL oncogene)	1.28	0.0058
38577_at	---	Clone DT1P1B6 mRNA, CAG repeat region	0.69	0.0075
38846_at	SSBP1	single-stranded DNA binding protein 1	2.08	0.0099
38932_at	ZNF7	zinc finger protein 7 (KOX 4, clone HF.16)	1.09	0.0093
39031_at	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	0.77	0.0017
39061_at	BST2	bone marrow stromal cell antigen 2	1.49	0.0012
39139_at	SEC11L1	SEC11-like 1 (S. cerevisiae)	2.44	0.0032
39225_at	AGPS	alkylglycerone phosphate synthase	-0.49	0.0058
39253_s_at	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	0.89	0.0047
39294_at	NR2F1	nuclear receptor subfamily 2, group F, member 1	-0.73	0.0071
39307_s_at	CLTB	clathrin, light polypeptide (Lcb)	1.03	0.0001
39325_at	LEFTY2	left-right determination factor 2	0.72	0.0011
39489_g_at	PCDH9	Protocadherin 9	-0.77	0.0043
39498_at	---	---	-0.75	0.001
39580_at	KIAA0649	KIAA0649	0.71	0.004
39695_at	DAF	decay accelerating factor for complement (CD55, Cromer blood group system)	1.22	0.0079
39697_at	HSD11B2	hydroxysteroid (11-beta) dehydrogenase 2	-0.7	0.0089
39699_at	TRIP12	thyroid hormone receptor interactor 12	-0.62	0.0057
39712_at	S100A13	S100 calcium binding protein A13	0.95	0.0031
39763_at	HPX	hemopexin	0.88	0.0076
39844_at	FLJ30656	hypothetical protein FLJ30656	1.57	0.0026
39855_at	FZR1	fizzy/cell division cycle 20 related 1 (Drosophila)	2.09	0.0015
39879_s_at	LOC474170	C114 SLIT-like testicular protein /// Hypothetical LOC388397	-1.12	0.0037
39969_at	HIST1H4C	histone 1, H4c	1.93	0.0003
39997_at	PFC	properdin P factor, complement	1.55	0.0022
40014_at	SEMA6C	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	1.93	0.0004
40086_at	KIAA0261	KIAA0261	0.83	0.005
40147_at	VAT1	vesicle amine transport protein 1 homolog (T californica)	1.39	0.0014
40157_s_at	MYL1	myosin, light polypeptide 1, alkali; skeletal, fast	-0.88	0.0059
40244_s_at	MPPE1	metallophosphoesterase 1	-0.71	0.0021
40344_at	NLGN1	neuroligin 1	0.8	0.0026
40409_at	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	0.71	0.0006
40422_at	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	0.62	0.007
40423_at	EHBP1	EH domain binding protein 1	-0.84	0.0031
40435_at	SLC25A6	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	3.08	0.0003
40460_s_at	ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl	-1.02	0.0006
40521_at	RGL2	ral guanine nucleotide dissociation stimulator-like 2	-1.01	0.0016
40524_at	PTPN21	protein tyrosine phosphatase, non-receptor type 21	-0.55	0.0028
40581_at	TRIO	triple functional domain (PTPRF interacting)	-0.6	0.0058
40586_at	EEF1E1	Eukaryotic translation elongation factor 1 epsilon 1	1.03	0.0001
40616_at	EIF3S1	eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa	0.74	0.0064
40621_at	PAWR	PRKC, apoptosis, WT1, regulator	0.74	0.0002
40650_r_at	CRHR1	corticotropin releasing hormone receptor 1	-1.03	0.0014
40660_at	NR4A3	nuclear receptor subfamily 4, group A, member 3	0.49	0.0008
40720_at	T3JAM	TRAF3-interacting Jun N-terminal kinase (JNK)-activating modulator	0.91	0.0031
40751_at	C19orf36	chromosome 19 open reading frame 36	0.94	0.0017
40770_f_at	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like	1.94	0.0083
40903_at	ATP6AP2	ATPase, H+ transporting, lysosomal accessory protein 2	1.3	0.0085
41015_at	PRKAA1	protein kinase, AMP-activated, alpha 1 catalytic subunit	-0.57	0.0059
41093_at	OPCML	opioid binding protein/cell adhesion molecule-like	0.62	0.0021
41131_f_at	HNRPH2	heterogeneous nuclear ribonucleoprotein H2 (H)	1.36	0.0021
41167_at	PPP2R2A	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform	-0.86	0.0037
41177_at	FLJ12443	hypothetical protein FLJ12443	1.65	0.0092
41178_at	RPL11	ribosomal protein L11	3.11	0.0003
41260_at	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	-0.86	0.0072
41366_at	KIAA1002	KIAA1002 protein	-1.94	0.0019
41388_at	MEIS2	Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)	0.81	0.0092
41452_at	ZFP95	zinc finger protein 95 homolog (mouse)	1.2	0.0009
41577_at	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	-0.63	0.0098
41597_s_at	SEC22L1	SEC22 vesicle trafficking protein-like 1 (S. cerevisiae)	-1.41	0.0022
41705_at	RFNG	radical fringe homolog (Drosophila)	1.34	0.0012
41779_at	RGS16	regulator of G-protein signalling 16	0.62	0.0003
41854_at	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	-0.83	0.0004
507_s_at	ELF2	E74-like factor 2 (ets domain transcription factor)	-0.77	0.0065
601_s_at	KRT16	keratin 16 (focal non-epidermolytic palmoplantar keratoderma)	-0.95	0.0004
603_at	NR2C1	nuclear receptor subfamily 2, group C, member 1	-0.71	0.0027
607_s_at	VWF	von Willebrand factor	0.74	0.001
702_f_at	---	---	0.7	0.0081
846_s_at	BAK1	BCL2-antagonist/killer 1	-0.88	0.0082
920_at	---	---	-0.73	0.003
939_at	---	---	-0.87	0.0064
967_g_at	RAD54L	RAD54-like (S. cerevisiae)	0.87	0.0024
