Entrez GeneID	Symbol	Description	Fold Differential Expression 2 h	16 h	40 h	Functinal Group
13706	Ela2	elastase 2			4.3	Catabolism
67868	Ela3b	elastase 3B, pancreatic	3.4		3.9	Catabolism
67373	2210010C04Rik	RIKEN cDNA 2210010C04 gene	3.4		3.6	Catabolism
110196	Fdps	farnesyl diphosphate synthetase		-4.3	-2.5	Catabolism
22074	Try4	trypsin 4	3.6	1.6	7.7	Catabolism
109901	Ela1	elastase 1, pancreatic			4	Catabolism
16426	Itih3	inter-alpha trypsin inhibitor, heavy chain 3		3.6	3.2	Catabolism
67603	Dusp6	dual specificity phosphatase 6	3.4		1.7	Catabolism
109697	Cpa1	carboxypeptidase A1			1.6	Catabolism
223775	Pim3	proviral integration site 3	2.1			Catabolism
12494	Cd38	CD38 antigen		3.3	2.6	Catabolism
105349	Akr1c18	aldo-keto reductase family 1, member C18		-2.8		Catabolism
209186	C730036D15Rik	RIKEN cDNA C730036D15 gene	1.8	1.8	2.9	Catabolism
109660	Ctrl	chymotrypsin-like	2.2		1.8	Catabolism
16828	Ldh1	lactate dehydrogenase 1, A chain		2.6	2.2	Catabolism
20322	Sdh1	sorbitol dehydrogenase 1	-2	-2.8	-1.6	Catabolism
13430	Dnm2	dynamin 2	2.6	1.5	2.7	Catabolism
102022	9130231C15Rik	RIKEN cDNA 9130231C15 gene	-1.6	-2.2	-2.6	Catabolism
16612	Klk6	kallikrein 6	2.2		2.5	Catabolism
59044	Rnf130	ring finger protein 130	1.8		1.4	Catabolism
15473	Hrsp12	heat-responsive protein 12		-1.8	-1.8	Catabolism
68652	Map3k7ip2	mitogen-activated protein kinase kinase kinase 7 interacting protein 2			2.4	Catabolism
76703	Cpb1	carboxypeptidase B1 (tissue)			1.5	Catabolism
231842	6530401C20Rik	RIKEN cDNA 6530401C20 gene			1.8	Catabolism
74143	Opa1	optic atrophy 1 homolog (human)			2.3	Catabolism
71207	Nudt4	nudix (nucleoside diphosphate linked moiety X)-type motif 4		-1.9	-2.3	Catabolism
56734	Tulp2	tubby-like protein 2			2.2	Catabolism
67931	Serpini2	serine (or cysteine) proteinase inhibitor, clade I,member 1			2.1	Catabolism
53315	Sult1d1	sulfotransferase family 1D, member 1	2.2		1.6	Catabolism
226105	Cyp2c70	cytochrome P450, family 2, subfamily c, polypeptide 70			-1.6	Catabolism
212442	Lactb2	lactamase, beta 2	-1.6		-2.1	Catabolism
14651	Hagh	hydroxyacyl glutathione hydrolase		-2.1		Catabolism
75221	Dpp3	dipeptidylpeptidase 3			2.1	Catabolism
66597	Trim13	tripartite motif protein 13			1.6	Catabolism
103988	Gck	glucokinase		-2	-1.8	Catabolism
20768	Sephs2	selenophosphate synthetase 2	-1.5	-1.9	-1.5	Catabolism
11886	Asah1	N-acylsphingosine amidohydrolase 1	1.5			Catabolism
13806	Eno1	enolase 1, alpha non-neuron		1.6	1.7	Catabolism
19255	Ptpn2	protein tyrosine phosphatase, non-receptor type 2	1.9		1.3	Catabolism
229905	BC037135	cDNA sequence BC037135	1.5			Catabolism
66887	1300002A08Rik	RIKEN cDNA 1300002A08 gene	-1.3		-1.7	Catabolism
98711	Rdh10	retinol dehydrogenase 10 (all-trans)			1.6	Catabolism
102294	Cyp4v3	cytochrome P450, family 4, subfamily v, polypeptide 3	-1.4	-1.7	-1.8	Catabolism
66120	Fkbp11	FK506 binding protein 11		1.8	1.2	Catabolism
211770	Trib1	tribbles homolog 1 (Drosophila)	1.7			Catabolism
69786	1810034M08Rik	RIKEN cDNA 1810034M08 gene	-1.7	-1.8	-1.8	Catabolism
14711	Gnmt	glycine N-methyltransferase		-1.4	-1.6	Catabolism
57028	Pdxp	pyridoxal (pyridoxine, vitamin B6) phosphatase		1.7	1.6	Catabolism
83814	Nedd4l	neural precursor cell expressed, developmentally down-regulated gene 4-like		1.7	1.5	Catabolism
69590	2310016C16Rik	RIKEN cDNA 2310016C16 gene			1.6	Catabolism
17449	Mdh1	malate dehydrogenase 1, NAD (soluble)		-1.7		Catabolism
19141	Lgmn	legumain			1.7	Catabolism
268373	Ppia	peptidylprolyl isomerase A			1.6	Catabolism
13039	Ctsl	cathepsin L	1.6	1.7	1.2	Catabolism
225326	Pik3c3	phosphoinositide-3-kinase, class 3		1.4	1.6	Catabolism
16784	Lamp2	lysosomal membrane glycoprotein 2			-1.6	Catabolism
14858	Gsta2	glutathione S-transferase, alpha 2 (Yc2)		-1.6		Catabolism
11674	Aldoa	aldolase 1, A isoform		1.6		Catabolism
53381	Prdx4	peroxiredoxin 4	1.5		1.3	Catabolism
14228	Fkbp4	FK506 binding protein 4			1.5	Catabolism
27361	Sepx1	selenoprotein X 1		-1.5		Catabolism
16006	Igfbp1	insulin-like growth factor binding protein 1	32.6	4.7	3.9	Cell cycle
14453	Gas2	growth arrest specific 2			4.7	Cell cycle
21973	Top2a	topoisomerase (DNA) II alpha			4.3	Cell cycle
18538	Pcna	proliferating cell nuclear antigen			3.5	Cell cycle
12534	Cdc2a	cell division cycle 2 homolog A (S. pombe)			2.6	Cell cycle
17242	Mdk	midkine			2.2	Cell cycle
12575	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	2.1	2	2.4	Cell cycle
21761	Morf4l1	mortality factor 4 like 1		-1.9		Cell cycle
12314	Calm2	calmodulin 2	1.2	1.3	2.3	Cell cycle
19384	Ran	RAN, member RAS oncogene family		1.3	2.2	Cell cycle
23872	Ets2	E26 avian leukemia oncogene 2, 3 domain	2.1	1.2	1.4	Cell cycle
29811	Ndrg2	N-myc downstream regulated gene 2		-2.1	-1.5	Cell cycle
20877	Aurkb	aurora kinase B			2	Cell cycle
68275	Rpa1	replication protein A1			1.7	Cell cycle
12315	Calm3	calmodulin 3			1.9	Cell cycle
13713	Elk3	ELK3, member of ETS oncogene family		1.9	1.5	Cell cycle
19387	Rangap1	RAN GTPase activating protein 1			1.6	Cell cycle
56150	Mad2l1	MAD2 (mitotic arrest deficient, homolog)-like 1 (yeast)			1.8	Cell cycle
18035	Nfkbia	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	1.8	1.8	1.2	Cell cycle
12313	Calm1	calmodulin 1		1.6	1.7	Cell cycle
13401	Dmwd	dystrophia myotonica-containing WD repeat motif		-1.6		Cell cycle
54124	Cks1	CDC28 protein kinase 1			1.7	Cell cycle
56397	Morf4l2	mortality factor 4 like 2		1.4	1.6	Cell cycle
57296	Psmd8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8		1.5	1.5	Cell cycle
11652	Akt2	thymoma viral proto-oncogene 2			1.6	Cell cycle
21781	Tfdp1	transcription factor Dp 1			1.5	Cell cycle
22151	Tubb2	tubulin, beta 2		7.9	6.7	Cytoskeleton
22143	Tuba2	tubulin, alpha 2		2.5	5.1	Cytoskeleton
22146	Tuba6	tubulin, alpha 6		2.3	4.4	Cytoskeleton
16668	Krt1-18	keratin complex 1, acidic, gene 18		1.6	6.2	Cytoskeleton
22154	Tubb5	tubulin, beta 5		2.8	3.9	Cytoskeleton
22145	Tuba4	tubulin, alpha 4			2.6	Cytoskeleton
69654	Dctn2	dynactin 2		1.5	2.6	Cytoskeleton
11465	Actg1	actin, gamma, cytoplasmic 1	2.6	2.2	2.3	Cytoskeleton
56191	Tro	trophinin			2.2	Cytoskeleton
11461	Actb	actin, beta, cytoplasmic		2.4	2	Cytoskeleton
11475	Acta2	actin, alpha 2, smooth muscle, aorta		2.3	2	Cytoskeleton
22003	Tpm1	tropomyosin 1, alpha		2.1	2.2	Cytoskeleton
12317	Calr	calreticulin		1.9		Cytoskeleton
19241	Tmsb4x	thymosin, beta 4, X chromosome	1.8		2	Cytoskeleton
12331	Cap1	CAP, adenylate cyclase-associated protein 1 (yeast)			2	Cytoskeleton
94179	Krt1-23	keratin complex 1, acidic, gene 23		1.7	1.9	Cytoskeleton
13589	Mapre1	microtubule-associated protein, RP/EB family, member 1			1.7	Cytoskeleton
13800	Enah	enabled homolog (Drosophila)	-1.7	-1.4	-1.8	Cytoskeleton
18643	Pfn1	profilin 1		1.5	1.6	Cytoskeleton
12631	Cfl1	cofilin 1, non-muscle			1.7	Cytoskeleton
17904	Myl6	myosin, light polypeptide 6, alkali, smooth muscle and non-muscle			1.8	Cytoskeleton
20742	Spnb2	spectrin beta 2		1.6		Cytoskeleton
22388	Wdr1	WD repeat domain 1		1.4	1.7	Cytoskeleton
67938	Mylc2b	myosin light chain, regulatory B			1.7	Cytoskeleton
16905	Lmna	lamin A		1.3	1.6	Cytoskeleton
16691	Krt2-8	keratin complex 2, basic, gene 8		1.6	1.7	Cytoskeleton
13007	Csrp1	cysteine and glycine-rich protein 1	1.4		1.6	Cytoskeleton
59069	Tpm3	tropomyosin 3, gamma			1.5	Cytoskeleton
17920	Myo6	myosin VI	-1.5	-1.3	-1.4	Cytoskeleton
21648	Tctex1	t-complex testis expressed 1		1.4	1.5	Cytoskeleton
11364	Acadm	acetyl-Coenzyme A dehydrogenase, medium chain			3.7	Fatty acid metabolism
14081	Acsl1	acyl-CoA synthetase long-chain family member 1	-1.7		-3.6	Fatty acid metabolism
170439	Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	2.4		2.3	Fatty acid metabolism
16922	Phyh	phytanoyl-CoA hydroxylase	-1.9	-1.9	-2.1	Fatty acid metabolism
111175	Pecr	peroxisomal trans-2-enoyl-CoA reductase		-2.1	-1.7	Fatty acid metabolism
20216	Sah	SA rat hypertension-associated homolog	-1.4	-1.6	-1.7	Fatty acid metabolism
93747	Echs1	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial		-1.5		Fatty acid metabolism
66885	Acadsb	acyl-Coenzyme A dehydrogenase, short/branched chain		-1.4	-1.6	Fatty acid metabolism
20315	Cxcl12	chemokine (C-X-C motif) ligand 12	-2.2			Immune response
12475	Cd14	CD14 antigen			2.2	Immune response
80859	Nfkbiz	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	2		1.3	Immune response
18489	Pap	pancreatitis-associated protein			1.9	Immune response
12010	B2m	beta-2 microglobulin		-1.7	-1.7	Immune response
50909	C1r	complement component 1, r subcomponent			-1.5	Immune response
20209	Saa2	serum amyloid A 2	3.6	67.3	83.4	Lipid metabolism
11808	Apoa4	apolipoprotein A-IV		23.6	21.3	Lipid metabolism
69060	Pnlip	pancreatic lipase	7.1		2.6	Lipid metabolism
11520	Adfp	adipose differentiation related protein		4.6	1.7	Lipid metabolism
18946	Pnliprp1	pancreatic lipase related protein 1	2.9		3.7	Lipid metabolism
109791	Clps	colipase, pancreatic			2.1	Lipid metabolism
14137	Fdft1	farnesyl diphosphate farnesyl transferase 1		-2.8		Lipid metabolism
11807	Apoa2	apolipoprotein A-II		-1.9	-2.6	Lipid metabolism
171210		mitochondrial acyl-CoA thioesterase 1		2.4	1.8	Lipid metabolism
15450	Lipc	lipase, hepatic		-2.2	-1.5	Lipid metabolism
12613	Cel	carboxyl ester lipase			2.4	Lipid metabolism
11813	Apoc2	apolipoprotein C-II		1.6	2.3	Lipid metabolism
18534	Pck1	phosphoenolpyruvate carboxykinase 1, cytosolic	1.6	2.3		Lipid metabolism
56794	1600020H07Rik	RIKEN cDNA 1600020H07 gene	1.7			Lipid metabolism
13641	Efnb1	ephrin B1		-1.6		Lipid metabolism
21991	Tpi1	triosephosphate isomerase 1			1.8	Lipid metabolism
20280	Scp2	sterol carrier protein 2, liver	-2		-1.9	Lipid metabolism
11657	Alb1	albumin 1	1.9		1.3	Lipid metabolism
14824	Grn	granulin		1.5	1.9	Lipid metabolism
14080	Fabp1	fatty acid binding protein 1, liver		-1.5	-1.7	Lipid metabolism
66113	Apoa5	apolipoprotein A-V		1.5	1.5	Lipid metabolism
68465	Adipor2	adiponectin receptor 2	-1.5		-1.6	Lipid metabolism
228033	Atp5g3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 3			1.5	Lipid metabolism
68449	1110003P22Rik	RIKEN cDNA 1110003P22 gene	1.5			Metabolism - other
12350	Car3	carbonic anhydrase 3		-21	-15.5	Metabolism - other
11723	Amy2	amylase 2, pancreatic	7.1		6.2	Metabolism - other
11522	Adh1	alcohol dehydrogenase 1 (class I)		-4.5		Metabolism - other
231691	Sds	serine dehydratase		-2.5	-3.6	Metabolism - other
18979	Pon1	paraoxonase 1		-2.5	-2.2	Metabolism - other
14871	Gstt1	glutathione S-transferase, theta 1	1.5	-2	-1.5	Metabolism - other
22262	Uox	urate oxidase		-2.9	-2.3	Metabolism - other
14635	Galk1	galactokinase 1	2.8		1.8	Metabolism - other
109801	Glo1	glyoxalase 1	-2.1	-2.6	-2	Metabolism - other
14857	Gsta1	glutathione S-transferase, alpha 1 (Ya)		-2.5		Metabolism - other
68021	Bphl	biphenyl hydrolase-like (serine hydrolase, breast epithelial mucin-associated antigen)		-1.9	-1.8	Metabolism - other
19193	Pipox	pipecolic acid oxidase		-2.3	-1.7	Metabolism - other
14863	Gstm2	glutathione S-transferase, mu 2	-1.8	-2		Metabolism - other
14862	Gstm1	glutathione S-transferase, mu 1	-1.8	-1.9		Metabolism - other
14068	F7	coagulation factor VII		-2.1		Metabolism - other
11720	Mat1a	methionine adenosyltransferase I, alpha	2.1		1.4	Metabolism - other
12349	Car2	carbonic anhydrase 2		-2		Metabolism - other
11668	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1	-1.6	-2	-1.5	Metabolism - other
94284	Ugt1a6	UDP glycosyltransferase 1 family, polypeptide A6		-1.8	-1.8	Metabolism - other
20148	Dhrs3	dehydrogenase/reductase (SDR family) member 3		-2	-1.6	Metabolism - other
100727	AI788959	expressed sequence AI788959		-1.9		Metabolism - other
104444	Smfn	small fragment nuclease			1.7	Metabolism - other
58875	Hibadh	3-hydroxyisobutyrate dehydrogenase		-1.8	-1.6	Metabolism - other
22187	Ubb	ubiquitin B			1.8	Metabolism - other
20775	Sqle	squalene epoxidase		-1.6	-1.8	Metabolism - other
232223	Txnrd3	thioredoxin reductase 3		-1.8	-1.7	Metabolism - other
15199	Hebp1	heme binding protein 1		-1.6		Metabolism - other
216558	Ugp2	UDP-glucose pyrophosphorylase 2		-1.5		Metabolism - other
12346	Car1	carbonic anhydrase 1		-1.7	-1.7	Metabolism - other
16333	Ins1	insulin I			1.5	Metabolism - other
11867	Arpc1b	actin related protein 2/3 complex, subunit 1B		1.7	1.5	Metabolism - other
67895	Pyp	pyrophosphatase		1.5	1.7	Metabolism - other
110920	Stch	stress 70 protein chaperone, microsome-associated, human homolog			1.7	Metabolism - other
209558	Enpp3	ectonucleotide pyrophosphatase/phosphodiesterase 3	-1.6	-1.5	-1.5	Metabolism - other
110695	Aldh7a1	aldehyde dehydrogenase family 7, member A1		-1.6		Metabolism - other
12468	Cct7	chaperonin subunit 7 (eta)			1.6	Metabolism - other
15446	Hpgd	hydroxyprostaglandin dehydrogenase 15 (NAD)	1.6		1.2	Metabolism - other
319625	Galm	galactose mutarotase		-1.5	-1.5	Metabolism - other
110821	Pcca	propionyl-Coenzyme A carboxylase, alpha polypeptide		-1.5	-1.4	Metabolism - other
55990	Fmo2	flavin containing monooxygenase 2	1.5			Metabolism - other
19692	Reg1	regenerating islet-derived 1			7.3	Miscelaneous binding
19693	Reg2	regenerating islet-derived 2			5.4	Miscelaneous binding
20341	Selenbp1	selenium binding protein 1	-3.1	-1.8	-3.4	Miscelaneous binding
57436	Gabarapl1	gamma-aminobutyric acid (GABA(A)) receptor-associated protein-like 1		-3.1	-2.9	Miscelaneous binding
20219	Apcs	serum amyloid P-component	1.9	1.8	3	Miscelaneous binding
73710	2410129E14Rik	RIKEN cDNA 2410129E14 gene		3.4	2.5	Miscelaneous binding
72999	Insig2	insulin induced gene 2		2.2		Miscelaneous binding
54208	Arl6ip1	ADP-ribosylation factor-like 6 interacting protein 1	-1.9			Miscelaneous binding
23950	Dnajb6	DnaJ (Hsp40) homolog, subfamily B, member 6			2.1	Miscelaneous binding
22329	Vcam1	vascular cell adhesion molecule 1	1.6		1.3	Miscelaneous binding
83997	Slmap	sarcolemma associated protein		-1.7		Miscelaneous binding
93684		selenoprotein			1.7	Miscelaneous binding
17524	Mpp1	membrane protein, palmitoylated		1.4	1.5	Miscelaneous binding
110954	Rpl10	ribosomal protein 10	1.3		3.6	Protein biosynthesis
67945	Rpl41	ribosomal protein L41			2.7	Protein biosynthesis
269261	Rpl12	ribosomal protein L12			1.9	Protein biosynthesis
27050	Rps3	ribosomal protein S3		1.3	2.1	Protein biosynthesis
26961	Rpl8	ribosomal protein L8			2.1	Protein biosynthesis
20116	Rps8	ribosomal protein S8		1.3	1.9	Protein biosynthesis
20005	Rpl9	ribosomal protein L9		1.7	2	Protein biosynthesis
22121	Rpl13a	ribosomal protein L13a		1.6	2	Protein biosynthesis
27367	Rpl3	ribosomal protein L3		1.8	1.9	Protein biosynthesis
20055	Rps16	ribosomal protein S16		1.5	1.9	Protein biosynthesis
20042	Rps12	ribosomal protein S12		1.9	1.8	Protein biosynthesis
54127	Rps28	ribosomal protein S28			1.9	Protein biosynthesis
319195	Rpl17	ribosomal protein L17	1.4		1.8	Protein biosynthesis
27207	Rps11	ribosomal protein S11		1.3	1.8	Protein biosynthesis
27176	Rpl7a	ribosomal protein L7a			1.8	Protein biosynthesis
56040	Rplp1	ribosomal protein, large, P1			1.8	Protein biosynthesis
20088	Rps24	ribosomal protein S24			1.7	Protein biosynthesis
67097	Rps10	ribosomal protein S10			1.7	Protein biosynthesis
67248	Rpl39	ribosomal protein L39			1.7	Protein biosynthesis
19899	Rpl18	ribosomal protein L18			1.7	Protein biosynthesis
20085	Rps19	ribosomal protein S19			1.7	Protein biosynthesis
67025	Rpl11	ribosomal protein L11		1.7	1.4	Protein biosynthesis
20102	Rps4x	ribosomal protein S4, X-linked			1.7	Protein biosynthesis
26451	Rpl27a	ribosomal protein L27a			1.6	Protein biosynthesis
20103	Rps5	ribosomal protein S5		1.3	1.6	Protein biosynthesis
19989	Rpl7	ribosomal protein L7			1.6	Protein biosynthesis
67427	Rps20	ribosomal protein S20			1.6	Protein biosynthesis
20115	Rps7	ribosomal protein S7		1.4	1.5	Protein biosynthesis
267019	Rps15a	ribosomal protein S15a		1.4	1.5	Protein biosynthesis
19944	Rpl29	ribosomal protein L29			1.5	Protein biosynthesis
19921	Rpl19	ribosomal protein L19			1.5	Protein biosynthesis
78294	Rps27a	ribosomal protein S27a			1.5	Protein biosynthesis
16785	Lamr1	laminin receptor 1 (ribosomal protein SA)		1.5	2.6	Protein biosynthesis
27979	Eif3s9	eukaryotic translation initiation factor 3, subunit 9 (eta)		2.1	1.7	Protein biosynthesis
11837	Arbp	acidic ribosomal phosphoprotein P0		1.5	2.2	Protein biosynthesis
13681	Eif4a1	eukaryotic translation initiation factor 4A1		1.7	1.6	Protein biosynthesis
55949	Eef1b2	eukaryotic translation elongation factor 1 beta 2		1.3	1.7	Protein biosynthesis
15467	Eif2ak1	eukaryotic translation initiation factor 2 alpha kinase 1		1.4	1.7	Protein biosynthesis
13682	Eif4a2	eukaryotic translation initiation factor 4A2			-1.6	Protein biosynthesis
76846	Rps9	ribosomal protein S9			1.6	Protein biosynthesis
26905	Eif2s3x	eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked	1.3		1.5	Protein biosynthesis
76808	Rpl18a	Ribosomal protein L18A		1.4	1.5	Protein biosynthesis
66656	Eef1d	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)		1.3	1.5	Protein biosynthesis
22631	Ywhaz	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide		1.3	1.7	Protein biosynthesis
17750	Mt2	metallothionein 2	9.2	2.6	4.3	Signal transduction
17748	Mt1	metallothionein 1	6.5	2.7	4.2	Signal transduction
19376	Rab34	RAB34, member of RAS oncogene family			5.4	Signal transduction
19324	Rab1	RAB1, member RAS oncogene family			2.9	Signal transduction
20661	Sort1	sortilin 1			3	Signal transduction
18703	Pigr	polymeric immunoglobulin receptor		-2.3	-3.3	Signal transduction
14693	Gnb2	guanine nucleotide binding protein, beta 2			3.1	Signal transduction
105352	Dusp22	dual specificity phosphatase 22			1.7	Signal transduction
14784	Grb2	growth factor receptor bound protein 2		-2	-2.5	Signal transduction
12945	Dmbt1	deleted in malignant brain tumors 1			2.1	Signal transduction
66624	5730406I15Rik	RIKEN cDNA 5730406I15 gene		2.2	2.4	Signal transduction
16000	Igf1	insulin-like growth factor 1		-2.4		Signal transduction
20750	Spp1	secreted phosphoprotein 1			2.1	Signal transduction
14083	Ptk2	PTK2 protein tyrosine kinase 2			2.2	Signal transduction
14219	Ctgf	connective tissue growth factor	1.3	1.9	2.1	Signal transduction
67398	Srpr	signal recognition particle receptor (docking protein)	-1.6	-2		Signal transduction
57874	AW742319	expressed sequence AW742319		1.8	1.5	Signal transduction
14694	Gnb2-rs1	guanine nucleotide binding protein, beta 2, related sequence 1		1.6	1.9	Signal transduction
53328	Pgrmc1	progesterone receptor membrane component 1		-1.9		Signal transduction
22630	Ywhaq	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	1.8	1.4	1.8	Signal transduction
19283	Ptprz1	protein tyrosine phosphatase, receptor type Z, polypeptide 1			-1.5	Signal transduction
110052	Dek	DEK oncogene (DNA binding)			1.6	Signal transduction
12257	Bzrp	benzodiazepine receptor, peripheral			1.7	Signal transduction
80904	Dtx3	deltex 3 homolog (Drosophila)			1.7	Signal transduction
66256	Ssr2	signal sequence receptor, beta		1.3	1.6	Signal transduction
14388	Gab1	growth factor receptor bound protein 2-associated protein 1		-1.7		Signal transduction
20850	Stat5a	signal transducer and activator of transcription 5A		1.7	1.5	Signal transduction
12034	Bcap37	B-cell receptor-associated protein 37		1.5	1.8	Signal transduction
19294	Pvrl2	poliovirus receptor-related 2		-1.6	-1.5	Signal transduction
22416	Wnt3a	wingless-related MMTV integration site 3A			1.5	Signal transduction
18751	Prkcb1	protein kinase C, beta 1			1.5	Signal transduction
11843	Arf4	ADP-ribosylation factor 4		1.6		Signal transduction
54720	Dscr1	Down syndrome critical region homolog 1 (human)	1.5			Signal transduction
11658	Alcam	activated leukocyte cell adhesion molecule		1.5	1.5	Signal transduction
66684	Tceal8	transcription elongation factor A (SII)-like 8	1.4	1.6	1.4	Signal transduction
14366	Fzd4	frizzled homolog 4 (Drosophila)		-1.6		Signal transduction
192678	Rassf3	Ras association (RalGDS/AF-6) domain family 3	1.6			Signal transduction
67952	Tomm20	translocase of outer mitochondrial membrane 20 homolog (yeast)	1.6		1.6 1.5	Signal transduction
26934	Racgap1	Rac GTPase-activating protein 1	1.5		1.5	Signal transduction
15170	Hcph	hemopoietic cell phosphatase	1.5			Signal transduction
15495	Hsd3b4	hydroxysteroid dehydrogenase-4, delta<5>-3-beta	-4.3	-9	-4.5	Steroid metabolism
66234	Sc4mol	sterol-C4-methyl oxidase-like		-5	-3.3	Steroid metabolism
15492	Hsd3b1	hydroxysteroid dehydrogenase-1, delta<5>-3-beta	-2.4	-3.6	-3	Steroid metabolism
319554	Idi1	isopentenyl-diphosphate delta isomerase		-3.6	-1.8	Steroid metabolism
116852	Akr1c20	aldo-keto reductase family 1, member C20		-2.8		Steroid metabolism
208715	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1		-2.1	-1.7	Steroid metabolism
22139	Ttr	transthyretin		-2		Steroid metabolism
12359	Cat	catalase	-1.8	-2.4	-3	Stress response
14268	Fn1	fibronectin 1		2.6		Stress response
23992	Prkra	protein kinase, interferon inducible double stranded RNA dependent activator		2.4	2.4 1.6	Stress response
15519	Hspca	heat shock protein 1, alpha	2.1	1.6		Stress response
15926	Idh1	isocitrate dehydrogenase 1 (NADP+), soluble			-2	Stress response
