Gene	Fold increase	Location
WT1	2.6	Up in ovary versus uterus within endometrioid histotype
SST	2.6	Up in ovary versus uterus within endometrioid histotype
STAR	2.6	Up in ovary versus uterus within endometrioid histotype
ATP6B1	2.5	Up in ovary versus uterus within endometrioid histotype
TNNT1	2.4	Up in ovary versus uterus within endometrioid histotype
PFKM	2.4	Up in ovary versus uterus within endometrioid histotype
PRKCI	2.3	Up in ovary versus uterus within endometrioid histotype
DPYSL3	2.2	Up in ovary versus uterus within endometrioid histotype
MSX1	3.7	Up in endometrioid versus serous histotype within ovary
TFF3	3.6	Up in endometrioid versus serous histotype within ovary
DLK1	3	Up in endometrioid versus serous histotype within ovary
MSX1b	3	Up in endometrioid versus serous histotype within ovary
GAD1b	2.8	Up in endometrioid versus serous histotype within ovary
CST4	2.7	Up in endometrioid versus serous histotype within ovary
ALDH1	2.4	Up in endometrioid versus serous histotype within ovary
CEACAM1b	2.4	Up in endometrioid versus serous histotype within ovary
SFN	2.2	Up in endometrioid versus serous histotype within ovary
PIK3R1	2.2	Up in endometrioid versus serous histotype within ovary
PLAB	2.2	Up in endometrioid versus serous histotype within ovary
MGB1	2.1	Up in endometrioid versus serous histotype within ovary
NMA	2.1	Up in endometrioid versus serous histotype within ovary
STC1	2.1	Up in endometrioid versus serous histotype within ovary
MSX2b	2.1	Up in endometrioid versus serous histotype within ovary
FOLR1	8.1	Up in serous versus endometrioid histotype within ovary
MSLN	5.5	Up in serous versus endometrioid histotype within ovary
PTGS1	4.8	Up in serous versus endometrioid histotype within ovary
S100A1	4.8	Up in serous versus endometrioid histotype within ovary
WT1	4.1	Up in serous versus endometrioid histotype within ovary
KLK7	3.6	Up in serous versus endometrioid histotype within ovary
GAS6	3.5	Up in serous versus endometrioid histotype within ovary
APOA1	3.5	Up in serous versus endometrioid histotype within ovary
IGF2	2.9	Up in serous versus endometrioid histotype within ovary
KLK6	2.8	Up in serous versus endometrioid histotype within ovary
IGFBP2	2.8	Up in serous versus endometrioid histotype within ovary
LU	2.7	Up in serous versus endometrioid histotype within ovary
KIAA0275	2.7	Up in serous versus endometrioid histotype within ovary
NPR1	2.6	Up in serous versus endometrioid histotype within ovary
CRABP2	2.6	Up in serous versus endometrioid histotype within ovary
