LocusLink	Name
4776	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
4817	Nitrilase 1
4928	Nucleoporin 98kDa
4987	Opiate receptor-like 1
5046	Proprotein convertase subtilisin/kexin type 6
5080	Paired box gene 6 (aniridia, keratitis)
5178
5179	Proenkephalin
5207	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1
5213	Phosphofructokinase, muscle
5291	Phosphoinositide-3-kinase, catalytic, beta polypeptide
5412	Ubiquitin-like 3
5730	Prostaglandin D2 synthase 21kDa (brain)
5733	Prostaglandin E receptor 3 (subtype EP3)
5770	Protein tyrosine phosphatase, non-receptor type 1
5771	Protein tyrosine phosphatase, non-receptor type 2
5917	Arginyl-tRNA synthetase
5927	Jumonji, AT rich interactive domain 1A (RBBP2-like)
5970	V-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)
5984	Replication factor C (activator 1) 4, 37kDa
5996	Regulator of G-protein signalling 1
6505	Solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
6538	Solute carrier family 6 (neurotransmitter transporter, GABA), member 11
6539	Solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12
6634	Small nuclear ribonucleoprotein D3 polypeptide 18kDa
6653
6674	Sperm associated antigen 1
6869	Tachykinin receptor 1
6897	Threonyl-tRNA synthetase
6898	Tyrosine aminotransferase
6948	Transcobalamin II; macrocytic anemia
7037	Transferrin receptor (p90, CD71)
7050	TGFB-induced factor (TALE family homeobox)
7132	Tumor necrosis factor receptor superfamily, member 1A
7204	Triple functional domain (PTPRF interacting)
7298
7341	SMT3 suppressor of mif two 3 homolog 1 (yeast)
7378	Uridine phosphorylase 1
7436
7444	Vaccinia related kinase 2
7468
7516	X-ray repair complementing defective repair in Chinese hamster cells 2
7597	Zinc finger protein 46 (KUP)
7693	Zinc finger protein 134 (clone pHZ-15)
7697	Zinc finger protein 138 (clone pHZ-32)
8000	Prostate stem cell antigen
8320	Eomesodermin homolog (Xenopus laevis)
8443	Glyceronephosphate O-acyltransferase
8500	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
8607	RuvB-like 1 (E. coli)
8661	Eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa
8706	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3
8772	Fas (TNFRSF6)-associated via death domain
8813	Dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
8833	Guanine monphosphate synthetase
8972	Maltase-glucoamylase (alpha-glucosidase)
9037	Sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A
9070	Ash2 (absent, small, or homeotic)-like (Drosophila)
9169	Splicing factor, arginine/serine-rich 2, interacting protein
9183	ZW10 homolog, centromere/kinetochore protein (Drosophila)
9213	Xenotropic and polytropic retrovirus receptor
9230	RAB11B, member RAS oncogene family
9258	Malignant fibrous histiocytoma amplified sequence 1
9260	PDZ and LIM domain 7 (enigma)
9319	Thyroid hormone receptor interactor 13
9372	Zinc finger, FYVE domain containing 9
9425	Chromodomain protein, Y-like
9469	Carbohydrate (chondroitin 6) sulfotransferase 3
9497	Solute carrier family 4, sodium bicarbonate cotransporter, member 7
9509	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2
9588	Peroxiredoxin 6
9650	Likely ortholog of chicken chondrocyte protein with a poly-proline region
9651	Phospholipase C-like 4
9679	Family with sequence similarity 53, member B
9701	KIAA0685
9718
9791	Phosphatidylserine synthase 1
9831	Zinc finger protein 623
9878	Chromosome 14 open reading frame 92
10171	RNA terminal phosphate cyclase-like 1
10195	Asparagine-linked glycosylation 3 homolog (yeast, alpha-1,3-mannosyltransferase)
10274	Stromal antigen 1
10278	Embryonal Fyn-associated substrate
10326	Signal-regulatory protein beta 1
10485	Transcriptional activator of the c-fos promoter
10539	Thioredoxin-like 2
10585	Protein-O-mannosyltransferase 1
10589	DR1-associated protein 1 (negative cofactor 2 alpha)
10627	Myosin regulatory light chain MRCL3
10643	IGF-II mRNA-binding protein 3
10650	Chromosome 18 open reading frame 43
10987	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)
10992	Splicing factor 3b, subunit 2, 145kDa
11015	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
11073	Topoisomerase (DNA) II binding protein 1
11148	HERV-H LTR-associating 2
11235	Programmed cell death 10
22827	Fuse-binding protein-interacting repressor
22948	Chaperonin containing TCP1, subunit 5 (epsilon)
23077	MYC binding protein 2
23197	Expressed in T-cells and eosinophils in atopic dermatitis
23211	Chromosome 19 open reading frame 7
23212	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)
23252	In multiple clusters
23291	F-box and WD-40 domain protein 11
23317	DnaJ (Hsp40) homolog, subfamily C, member 13
23463	Isoprenylcysteine carboxyl methyltransferase
23551	RASD family, member 2
23654	Plexin B2
25805	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)
26005	DKFZP586P0123 protein
26012	Nasal embryonic LHRH factor
26031	Oxysterol binding protein-like 3
26053	Autism susceptibility candidate 2
26136	Testis derived transcript (3 LIM domains)
26231	Leucine rich repeat containing 29
26585	Gremlin 1 homolog, cysteine knot superfamily (Xenopus laevis)
26751	SH3 domain containing, Ysc84-like 1 (S. cerevisiae)
26873	5-oxoprolinase (ATP-hydrolysing)
27257	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)
27301	APEX nuclease (apurinic/apyrimidinic endonuclease) 2
27314	RAB30, member RAS oncogene family
28960	Decapping enzyme, scavenger
29082	Chromatin modifying protein 4A
29083	HSPC135 protein
29085	Phosphohistidine phosphatase 1
29087	Thymocyte protein thy28
29110	TANK-binding kinase 1
29126	CD274 antigen
29781	Hypothetical protein 384D8_6
29803
29843	SUMO1/sentrin specific protease 1
29888	Striatin, calmodulin binding protein 4
29909	G protein-coupled receptor 171
50808	Adenylate kinase 3
50856	C-type lectin domain family 4, member A
51016	Chromosome 14 open reading frame 122
51117	Coenzyme Q4 homolog (yeast)
51214	Insulin-like growth factor 2 antisense
51222	Zinc finger protein 219
51337	Mesenchymal stem cell protein DSCD75
51440	Hippocalcin like 4
51506	Ufm1-conjugating enzyme 1
51527	Chromosome 14 open reading frame 129
51560	RAB6B, member RAS oncogene family
51602	Nucleolar protein NOP5/NOP58
51741	WW domain containing oxidoreductase
54205	Cytochrome c, somatic
54471	In multiple clusters
54540	Hypothetical protein FLJ10404
54626	Hairy and enhancer of split 2 (Drosophila)
54913	Ribonuclease P 25kDa subunit
55033	FK506 binding protein 14, 22 kDa
55045
55150	Hypothetical protein FLJ10490
55168	Mitochondrial ribosomal protein S18A
55210	ATPase family, AAA domain containing 3A
55290	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like
55299	Brix domain containing 2
55573	Hypothetical protein H41
55668	Chromosome 14 open reading frame 118
55703	Polymerase (RNA) III (DNA directed) polypeptide B
55759	WD repeat domain 12
55764
55783	Hypothetical protein FLJ11171
55810	Forkhead box J2
55848	Chromosome 9 open reading frame 46
55975	Kelch-like 7 (Drosophila)
56751	BarH-like 1 (Drosophila)
56907	Spire homolog 1 (Drosophila)
56922	Methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)
56925	Latexin
56945	Mitochondrial ribosomal protein S22
56948	Chromosome 14 open reading frame 124
56952	Phosphoribosyl transferase domain containing 1
56984	Tumor necrosis factor superfamily, member 5-induced protein 1
57030	Solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7
57101	Transmembrane protein 16B
57117	PHD finger protein 22
57226	Hypothetical protein dJ122O8.2
57396	CDC-like kinase 4
57404	Cytochrome P450, family 20, subfamily A, polypeptide 1
57473	KIAA1196 protein
57549	Immunoglobulin superfamily, member 9
57630	SH3 multiple domains 2
57679	Amyotrophic lateral sclerosis 2 (juvenile)
60686	Chromosome 14 open reading frame 93
63874	Abhydrolase domain containing 4
63929	In multiple clusters
64066	Matrix metalloproteinase 27
64091	Popeye domain containing 2
64283	Rho-guanine nucleotide exchange factor
64324	Nuclear receptor binding SET domain protein 1
64400	Fused toes homolog (mouse)
64409	Williams-Beuren syndrome chromosome region 17
64794	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31
64806	Interleukin 17E
65987	Potassium channel tetramerisation domain containing 14
79258	Mel transforming oncogene-like 1
79657	Hypothetical protein FLJ21908
79677
79784	Myosin, heavy polypeptide 14
79906	Hypothetical protein FLJ13941
79929	Hypothetical protein FLJ12748
79959	Chromosome 18 open reading frame 9
80198	MUS81 endonuclease homolog (yeast)
80254	Centrosome protein Cep63
80321	P10-binding protein
80331	DnaJ (Hsp40) homolog, subfamily C, member 5
80824	Dual specificity phosphatase 16
80896	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
81037	Cisplatin resistance related protein CRR9p
81698	Chromosome 15 open reading frame 5
83451	Abhydrolase domain containing 11
83638	Basophilic leukemia expressed protein BLES03
83655	Chromosome 8 open reading frame 14
83985	Spinster
84002	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5
84056	Katanin p60 subunit A-like 1
84259	Hypothetical protein MGC2714
84445	Leucine zipper, putative tumor suppressor 2
84557	Microtubule-associated protein 1 light chain 3 alpha
84617	Tubulin, beta 6
84619	Zinc finger, CCCH-type with G patch domain
84663	Chromosome Y open reading frame 15B
84674	Caspase recruitment domain family, member 6
84792	Hypothetical protein MGC12966
84905	Zinc finger protein 341
84932	RAB2B, member RAS oncogene family
84933	Hypothetical protein FLJ14825
85320	ATP-binding cassette, sub-family C (CFTR/MRP), member 11
85378	Tubulin, gamma complex associated protein 6
90806	Similar to RIKEN cDNA 2610307I21
90809	Chromosome 14 open reading frame 9
92241	Protein kinase substrate MK2S4
92716
93100	Similar to CG3714 gene product
94235	Guanine nucleotide binding protein (G protein), gamma 8
113675	Serine dehydratase-like
116441	Transmembrane 4 L six family member 18
117608	Zinc finger protein 354B
128061	Hypothetical protein DKFZp547B1713
131408	Hypothetical protein MGC21688
137872	Alcohol dehydrogenase, iron containing, 1
140461	Ankyrin repeat and SOCS box-containing 8
151393	Hypothetical protein FLJ32954
151742	Protein phosphatase 1 (formerly 2C)-like
158056	Apical early endosomal glycoprotein precursor
199713	NACHT, leucine rich repeat and PYD containing 7
219995	Hypothetical protein MGC35295
221223	Hypothetical protein FLJ31547
221656	Amine oxidase (flavin containing) domain 1
246243	Ribonuclease H1
252969	Nei like 2 (E. coli)
256790
348013	Hypothetical protein MGC20579
	A_23_P126698
	A_23_P154420
	A_23_P56630
	A_23_P165380
	A_23_P67928
	A_23_P41553
	A_23_P45087
	A_23_P123440
	A_23_P216080
	A_23_P169558
	A_23_P36234
	A_23_P37191
	A_23_P168714
	A_23_P91390
	A_23_P120629
	A_23_P136961
