SHORT_NAME	DESCRIPTION	AverageRatio3-12h	AverageRatio3-24h	AverageRatio3-48h
FLJ21313	hypothetical protein FLJ21313	0.55	0.61	0.57
FLJ22056	hypothetical protein FLJ22056	0.57	0.65	0.69
FLJ22662	hypothetical protein FLJ22662	0.45	0.48	0.48
FXYD3	FXYD domain containing ion transport regulator 3	0.48	0.35	0.27
FXYD3	FXYD domain containing ion transport regulator 3	0.62	0.50	0.34
GALE	galactose-4-epimerase, UDP-	0.45	0.46	0.51
GALE	galactose-4-epimerase, UDP-	0.61	0.61	0.48
GAS6	growth arrest-specific 6	0.61	0.42	0.38
GBE1	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	0.48	0.49	0.61
GG2-1	TNF-induced protein	0.68	0.60	0.52
GPI	glucose phosphate isomerase	0.37	0.32	0.38
GRB7	growth factor receptor-bound protein 7	0.58	0.70	0.71
GRM2	glutamate receptor, metabotropic 2	0.71	0.69	0.73
GSN	gelsolin (amyloidosis, Finnish type)	0.53	0.52	0.59
HEPH	hephaestin	0.67	0.66	0.63
HIG2	hypoxia-inducible protein 2	0.60	0.41	0.46
HK2	hexokinase 2	0.41	0.62	0.46
HMGCL	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	0.60	0.46	0.48
HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	0.29	0.39	0.45
HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	0.31	0.55	0.44
HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	0.20	0.29	0.25
HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	0.15	0.31	0.33
HNOEL-iso	HNOEL-iso protein	0.60	0.50	0.42
HOOK1	hook1 protein	0.47	0.54	0.41
HPCAL1	hippocalcin-like 1	0.33	0.42	0.45
HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	0.63	0.64	0.62
HSD17B7	hydroxysteroid (17-beta) dehydrogenase 7	0.57	0.69	0.55
ICA1	islet cell autoantigen 1, 69kDa	0.54	0.56	0.35
ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	0.44	0.53	0.48
IDI1	isopentenyl-diphosphate delta isomerase	0.39	0.59	0.53
ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	0.52	0.57	0.64
JM1	JM1 protein	0.59	0.50	0.54
KIAA0494	KIAA0494 gene product	0.50	0.51	0.47
KIAA1102	KIAA1102 protein	0.41	0.57	0.53
KIAA1522	KIAA1522 protein	0.59	0.60	0.62
KLF4	Kruppel-like factor 4 (gut)	0.47	0.55	0.51
KLF5	Kruppel-like factor 5 (intestinal)	0.39	0.32	0.40
KRT15	keratin 15	0.45	0.43	0.57
KRT17	keratin 17	0.29	0.40	0.38
KRT18	keratin 18	0.46	0.26	0.26
KRT19	keratin 19	0.26	0.28	0.26
KRT20	cytokeratin 20	0.51	0.38	0.27
KRT7	keratin 7	0.34	0.37	0.33
KRT8	keratin 8	0.38	0.39	0.44
LDHA	lactate dehydrogenase A	0.66	0.53	0.60
LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	0.46	0.58	0.48
LOC51141	insulin induced protein 2	0.45	0.55	0.54
LOC51141	insulin induced protein 2	0.53	0.59	0.61
LOC51195	Link guanine nucleotide exchange factor II	0.58	0.60	0.50
LOC51633	CGI-77 protein	0.44	0.31	0.33
LRP10	low density lipoprotein receptor-related protein 10	0.62	0.66	0.56
MAPK3	mitogen-activated protein kinase 3	0.59	0.56	0.59
MAPK3	mitogen-activated protein kinase 3	0.70	0.67	0.55
MB	myoglobin	0.61	0.55	0.42
MGC11242	hypothetical protein MGC11242	0.10	0.15	0.10
MGC17528	hypothetical protein MGC17528	0.52	0.47	0.51
MLF2	myeloid leukemia factor 2	0.50	0.45	0.54
MPI	mannose phosphate isomerase	0.37	0.41	0.43
MRIP2	ARF GTPase-activating protein	0.29	0.36	0.37
MUC6	mucin 6, gastric	0.71	0.69	0.70
MVD	mevalonate (diphospho) decarboxylase	0.60	0.52	0.47
MVD	mevalonate (diphospho) decarboxylase	0.47	0.54	0.50
MVK	mevalonate kinase (mevalonic aciduria)	0.40	0.48	0.50
MVP	major vault protein	0.36	0.33	0.28
MXI1	MAX interacting protein 1	0.21	0.25	0.29
NDRG1	N-myc downstream regulated gene 1	0.05	0.11	0.15
NFE2	nuclear factor (erythroid-derived 2), 45kDa	0.41	0.52	0.49
NUP210	nucleoporin 210	0.51	0.54	0.37
OAS1	2,5-oligoadenylate synthetase 1, 40/46kDa	0.47	0.64	0.43
P2RX1	purinergic receptor P2X, ligand-gated ion channel, 1	0.34	0.28	0.27
P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	0.32	0.53	0.59
PCCA	propionyl Coenzyme A carboxylase, alpha polypeptide	0.38	0.32	0.27
PCCA	propionyl Coenzyme A carboxylase, alpha polypeptide	0.36	0.43	0.26
PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	0.24	0.32	0.39
PFKP	phosphofructokinase, platelet	0.58	0.48	0.50
PGD	phosphogluconate dehydrogenase	0.50	0.49	0.53
PIM1	pim-1 oncogene	0.42	0.42	0.46
PIM1	pim-1 oncogene	0.32	0.53	0.47
PKP2	plakophilin 2	0.48	0.50	0.44
PLAB	prostate differentiation factor	0.23	0.30	0.26
PLAUR	plasminogen activator, urokinase receptor	0.46	0.57	0.50
PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	0.46	0.57	0.52
PLXNB2	plexin B2	0.58	0.48	0.48
PME-1	protein phosphatase methylesterase-1	0.52	0.52	0.57
PRKCD	protein kinase C, delta	0.62	0.68	0.68
PTPRA	protein tyrosine phosphatase, receptor type, A	0.56	0.71	0.61
PTPRR	protein tyrosine phosphatase, receptor type, R	0.48	0.57	0.37
RAB25	RAB25, member RAS oncogene family	0.39	0.36	0.31
RALGDS	ral guanine nucleotide dissociation stimulator	0.34	0.48	0.55
RARRES2	retinoic acid receptor responder (tazarotene induced) 2	0.59	0.54	0.38
RRBP1	ribosome binding protein 1 homolog 180kDa (dog)	0.64	0.66	0.54
RTP801	HIF-1 responsive RTP801	0.36	0.53	0.54
SARDH	sarcosine dehydrogenase	0.53	0.55	0.49
SC4MOL	sterol-C4-methyl oxidase-like	0.20	0.36	0.33
SC4MOL	sterol-C4-methyl oxidase-like	0.29	0.42	0.36
SCAP1	src family associated phosphoprotein 1	0.60	0.64	0.61
SCD	stearoyl-CoA desaturase (delta-9-desaturase)	0.18	0.31	0.28
SCNN1A	sodium channel, nonvoltage-gated 1 alpha	0.32	0.28	0.31
SDC4	syndecan 4 (amphiglycan, ryudocan)	0.25	0.38	0.33
SDCCAG28	serologically defined colon cancer antigen 28	0.46	0.50	0.57
SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	0.55	0.57	0.59
SERPINA1	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	0.43	0.49	0.50
SERPINB1	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	0.42	0.52	0.43
SERPINB7	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 7	0.64	0.46	0.57
ShrmL	Shroom-related protein	0.64	0.60	0.50
SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	0.57	0.58	0.49
SLC27A2	solute carrier family 27 (fatty acid transporter), member 2	0.57	0.64	0.49
SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	0.49	0.49	0.52
SQLE	squalene epoxidase	0.31	0.43	0.44
ST14	suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)	0.42	0.29	0.28
STAU2	staufen, RNA binding protein, homolog 2 (Drosophila)	0.55	0.66	0.64
STAU2	staufen, RNA binding protein, homolog 2 (Drosophila)	0.58	0.69	0.66
STXBP2	syntaxin binding protein 2	0.66	0.67	0.66
SULT2B1	sulfotransferase family, cytosolic, 2B, member 1	0.43	0.43	0.39
SYNGR2	synaptogyrin 2	0.49	0.40	0.47
TETRAN	tetracycline transporter-like protein	0.54	0.55	0.56
TOB1	transducer of ERBB2, 1	0.66	0.59	0.60
TPD52	tumor protein D52	0.65	0.46	0.36
TRIM31	tripartite motif-containing 31	0.68	0.56	0.62
TTRAP	TRAF and TNF receptor-associated protein	0.45	0.60	0.39
UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	0.47	0.49	0.59
ZNF266	zinc finger protein 266	0.43	0.60	0.61
