Gene	Product	Function	Expression
CCNE2	Cyclin E2	G1-specific CDK regulatory subunit that interacts with CDK2 and CDK3, overexpressed in transformed cells and up-regulated in breast and lung cancer	Repressed in HepG2 cells only
CCNF	Cyclin F	A member of the cyclin family of CDK kinase regulatory subunits, forms a complex with cyclin B1 (CCNB1) and CDC2	Repressed in HepG2 cells only
CCNJ	Cyclin J	Protein containing cyclin COOH-terminal and NH2-terminal domains have a region of low similarity to a region of cyclin A2	Repressed in HepG2 cells only
SKP2	S-phase kinase-associated protein 2	A component of a ubiquitin E3 ligase complex, mediates cell cycle regulatory protein degradation, promotes cell proliferation and invasion, inhibits cell adhesion and apoptosis; overexpressed in many cancers	Repressed in HepG2 cells only
CKS1B	CDC28 protein kinase regulatory subunit 1B	Binds SKP2 and targets it to its substrates, required for ubiquitination of p21 Cip1 (CDKN1A) and p27 Kip1 (CDKN1B), highly expressed in non–small cell lung, gastric, and colon carcinoma	Repressed in HepG2 cells only
CDC20	Cell division cycle 20	Activates the mitotically phosphorylated form of the anaphase promoting complex as well as the mitotic spindle checkpoint, overexpressed in gastric cancer	Repressed in HepG2 cells only
CDCA1	Cell division cycle associated 1	Mediates stable attachment of microtubules to the kinetochore during mitosis and play a role in the spindle checkpoint	Repressed in HepG2 cells only
CDAC2	Cell division cycle associated 2	Novel protein	Repressed in HepG2 cells only
CDAC3/TOME1	Cell division cycle associated 3/trigger of mitotic entry 1	A cytosolic protein that is degraded during G1 phase and whose gene promoter activity is stimulated at the G2-M phase	Repressed in HepG2 cells only
CDCA5	Cell division cycle associated 5	Novel protein	Repressed in HepG2 cells only
CDAC7	Cell division cycle associated 7	A nuclear protein expressed highly in thymus and small intestine, has a role in anchorage-dependent growth, up-regulated in Burkitt lymphoma cell lines; gene may be a MYC target	Repressed in HepG2 cells only
CDCA8	Cell division cycle associated 8 (borealin)	A chromosomal passenger complex component may target survivin (BIRC5) and INCENP to centromere, required for kinetochore function, mitotic spindle stability, and metaphase chromosome alignment during mitosis	Repressed in HepG2 cells only
RRM1 and RRM2	Ribonucleotide reductase M1 and M2 polypeptides	DNA synthesis	Repressed in HepG2 cells only
CDC6	Encoding cell division cycle 6 homologue	DNA replication, up-regulated in cervical intraepithelial neoplasia and cervical cancer	Repressed in HepG2 cells only
CDC45L	Cell division cycle 45 like	Associates with ORC2L, MCM7, and POLA2, predicted to be involved in the initiation of DNA replication	Repressed in HepG2 cells only
CDT1	Chromatin licensing factor	Ensures replication occurs once per cell cycle, up-regulated in non–small cell lung carcinomas	Repressed in HepG2 cells only
ORC1L and ORC6L	Origin recognition complex proteins	DNA replication	Repressed in HepG2 cells only
MCM2/3/4/5/6/7/8/10	Mini chromosome maintenance-deficient complex	DNA replication, up-regulated in multiple cancers	Repressed in HepG2 cells only
RFC2/3/4/5	Replication factor C complex	DNA replication	Repressed in HepG2 cells only
E2F6 and E2F8	E2F transcription factors	Regulators of cell cycle	Repressed in HepG2 cells only
CHEK1	Checkpoint homologue 1 kinase	Required for mitotic G2 checkpoint in response to radiation-induced DNA damage, associated with lung cancer	Repressed in HepG2 cells only
BUB1 and BUB1B	Budding uninhibited by benzimidazoles 1 homologues	Acts in spindle assembly checkpoint and chromosome congression, may regulate vesicular traffic; mutations are associated with lung cancer, T cell leukemia, and colorectal cancer cell chromosomal instability; a protein kinase of the mitotic spindle checkpoint, inhibits anaphase-promoting complex activation	Repressed in HepG2 cells only
MAD2L1	MAD2 mitotic arrest deficient-like 1	Component with BUB1B	Repressed in HepG2 cells only
CDC23	Cell division cycle 23	A putative component of the anaphase-promoting complex (APC), considered a tumor antigen in ovarian carcinoma; mutation in corresponding gene is associated with colon cancer	Repressed in HepG2 cells only
FANCD2	Fanconi anemia complementation group D2	Involved in DNA damage response	Repressed in HepG2 cells only
BRCA1 and BRCA2	Breast Cancer Susceptibility loci	Tumor suppressors; mutations are linked to breast and ovarian cancer	Repressed in HepG2 cells only
RRM2B	Ribonucleotide reductase M2B	DNA synthesis, up-regulated by p53	Up-regulated in both cell types
EIF2C2	Argonaute	Functions in RNAi and miRNA pathways	Up-regulated in both cell types
CDKN2B	CDK inhibitor 2B	Interacts with the D type CDK4 and CDK6, inhibits cell proliferation; gene deletion and promoter hypermethylation are associated with many different neoplasms	Up-regulated in HepG2 cells only
CCNG2	cyclin G2	Down-regulated in thyroid papillary carcinoma	Up-regulated in HepG2 cells only
MXI1	MAX-interacting protein 1	Transcription regulator, antagonizes MYC, tumor suppressor in prostatic neoplasms	Up-regulated in HepG2 cells only
