Gene symbol	Chromosomal location	Gene name	Cell line	Fold change
C1orf139	1p31.2	chromosome 1 open reading frame 139	NCI-H929	5.3
C1orf16	1q25	chromosome 1 open reading frame 16	MM1	5.7
C3orf14	3p14.2	chromosome 3 open reading frame 14	U266	7.0
C5R1	19q13.3-q13.4	complement component 5 receptor 1 (C5a ligand)	NCI-H929	35.0
CACNG3	16p12-p13.1	calcium channel, voltage-dependent, gamma subunit 3	NCI-H929	22.7
CAPG	2cen-q24	capping protein (actin filament), gelsolin-like	MM1	4.2
CAPN3	15q15.1-q21.1	calpain 3, (p94)	U266	32.9
CCL19	9p13	chemokine (C-C motif) ligand 19	NCI-H929	10.3
CCNB1	5q12	cyclin B1	MM1	5.6
CCNF	16p13.3	cyclin F	MM1	23.4
CCNG2	4q21.22	cyclin G2	NCI-H929	4.3
CCR7	17q12-q21.2	chemokine (C-C motif) receptor 7	NCI-H929	35.5
CD1E	1q22-q23	CD1E antigen, e polypeptide	NCI-H929	85.9
CD200	3q12-q13	CD200 antigen	NCI-H929	11.1
CD86	3q21	CD86 antigen (CD28 antigen ligand 2, B7-2 antigen)	U266, NCI-H929	5.6, 23.3
CDC20	1p34.1	CDC20 cell division cycle 20 homolog (S. cerevisiae)	MM1	6.1
CDC42EP4	17q24-q25	CDC42 effector protein (Rho GTPase binding) 4	NCI-H929	9.5
CDH1	16q22.1	cadherin 1, type 1, E-cadherin (epithelial)	NCI-H929	87.2
CDH11	16q22.1	cadherin 11, type 2, OB-cadherin (osteoblast)	NCI-H929	7.0
CDKN1A	6p21.2	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	NCI-H929	29.3
CEL	9q34.3	carboxyl ester lipase (bile salt-stimulated lipase)	U266	45.7
CELSR1	22q13.3	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	MM1, NCI-H929	7.6, 7.0
CENPF	1q32-q41	centromere protein F, 350/400ka (mitosin)	MM1	4.6
CHI3L1	1q32.1	chitinase 3-like 1 (cartilage glycoprotein-39)	U266	7.6
CHRNA1	2q24-q32	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)	MM1, NCI-H929	10.6, 6.2
CLDN3	7q11.23	claudin 3	MM1, NCI-H929	7.1, 39.4
CLEC7A	12p13.2-p12.3	C-type lectin domain family 7, member A	MM1, NCI-H929	4.8, 5.9
CLU	8p21-p12	clusterin	NCI-H929	6.5
CNTNAP2	7q35-q36	contactin associated protein-like 2	NCI-H929	8.9
COL9A2	1p33-p32	collagen, type IX, alpha 2	NCI-H929	4.3
CRYBB1	22q12.1	crystallin, beta B1	MM1	26.6
CSAG2	Xq28	CSAG family, member 2	NCI-H929	69.5
CSF2RB	22q13.1	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	NCI-H929	7.4
CSPG3	19p12	chondroitin sulfate proteoglycan 3 (neurocan)	NCI-H929	33.6
CST7	20p11.21	cystatin F (leukocystatin)	U266	6.7
CSTA	3q21	cystatin A (stefin A)	NCI-H929	90.4
CTSH	15q24-q25	cathepsin H	NCI-H929	11.6
CTSS	1q21	cathepsin S	MM1, NCI-H929	6.9, 13.4
CUL7	6p21.1	cullin 7	U266	7.0
CX3CR1	3p21.3	chemokine (C-X3-C motif) receptor 1	NCI-H929	27.6
CXCL10	4q21	chemokine (C-X-C motif) ligand 10	NCI-H929	9.2
CXCL13	4q21	chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)	NCI-H929	12.9
CYLN2	7q11.23	cytoplasmic linker 2	NCI-H929	16.1
CYP1B1	2p21	cytochrome P450, family 1, subfamily B, polypeptide 1	NCI-H929	5.4
CYP3A5	7q21.1	cytochrome P450, family 3, subfamily A, polypeptide 5	NCI-H929	8.8
DAPP1	4q25-q27	dual adaptor of phosphotyrosine and 3-phosphoinositides	NCI-H929	6.6
DAZL	3p24.3	deleted in azoospermia-like	U266, NCI-H929	12.8, 15.9
DDAH2	6p21.3	dimethylarginine dimethylaminohydrolase 2	NCI-H929	15.4
DDX43	6q12-q13	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43	U266	16.2
DDX58	9p12	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	NCI-H929	13.2
DHX8	17q21.31	DEAH (Asp-Glu-Ala-His) box polypeptide 8	U266	5.3
DKFZP586A0522	12q13.13	DKFZP586A0522 protein	MM1	4.7
DNMT3L	21q22.3	DNA (cytosine-5-)-methyltransferase 3-like	NCI-H929	23.2
DOCK10	2q36.3	dedicator of cytokinesis 10	NCI-H929	7.4
DOK4	16q13	docking protein 4	MM1	13.7
DPEP3	16q22.1	dipeptidase 3	U266	35.5
EBI2	13q32.3	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor)	NCI-H929	12.3
EBI3	19p13.3	Epstein-Barr virus induced gene 3	NCI-H929	13.1
ECAT8	19q13.11	ES cell associated transcript 8	NCI-H929	24.8
ENPP2	8q24.1	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	NCI-H929	17.4
EPHX2	8p21-p12	epoxide hydrolase 2, cytoplasmic	NCI-H929	6.0
FAM49A	2p24.3-p24.2	Family with sequence similarity 49, member A	NCI-H929	9.2
FBN1	15q21.1	fibrillin 1 (Marfan syndrome)	MM1, NCI-H929	21.1, 25.6
FER1L3	10q24	fer-1-like 3, myoferlin (C. elegans)	NCI-H929	14.8
FKBP5	6p21.3-21.2	FK506 binding protein 5	MM1	9.2
FLJ20035	4q32.3	hypothetical protein FLJ20035	U266	8.6
FLJ21127	12q24.13	hypothetical protein FLJ21127	NCI-H929	7.4
FOXM1	12p13	forkhead box M1	MM1	5.0
FSCN1	7p22	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)	NCI-H929	42.2
FUT7	9q34.3	fucosyltransferase 7 (alpha (1,3) fucosyltransferase)	NCI-H929	28.6
G1P2	1p36.33	interferon, alpha-inducible protein (clone IFI-15K)	U266	7.5
GAGE2	Xp11.4-p11.2	G antigen 2	NCI-H929	5.9
GATA3	10p15	GATA binding protein 3	NCI-H929	42.4
GBP1	1p22.2	guanylate binding protein 1, interferon-inducible, 67kDa	NCI-H929	11.8
GCNT3	15q21.3	glucosaminyl (N-acetyl) transferase 3, mucin type	NCI-H929	10.4
GPC4	Xq26.1	glypican 4	NCI-H929	7.9
GPM6B	Xp22.2	glycoprotein M6B	MM1	8.7
GPNMB	7p15	glycoprotein (transmembrane) nmb	U266	6.3
GPSM2	1p13.3	glycoprotein M6B	MM1	6.0
HCK	20q11-q12	hemopoietic cell kinase	NCI-H929	18.7
HERC6	4q22.1	hect domain and RLD 6	U266	5.6
HIST1H2AE	6p22.2-p21.1	histone 1, H2ae	MM1, U266	6.1, 31.0
HIST1H2AG	6p22.1	histone 1, H2ag	NCI-H929	4.4
HIST1H2BG	6p21.3	histone 1, H2bg	U266	18.2
HIST1H3D	6p21.3	histone 1, H3d	U266	15.5
HLA-DMA	6p21.3	major histocompatibility complex, class II, DM alpha	MM1	7.8
HLA-DMB	6p21.3	major histocompatibility complex, class II, DM beta	MM1	4.3
HLA-DOB	6p21.3	major histocompatibility complex, class II, DO beta	NCI-H929	6.9
HLA-DPA1	6p21.3	major histocompatibility complex, class II, DP alpha 1	MM1, NCI-H929	12.6, 6.7
HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1	MM1, NCI-H929	16.7, 5.2
HLA-DQA1	6p21.3	major histocompatibility complex, class II, DQ alpha 1	MM1, NCI-H929	13.2, 4.7
HLA-DQA2	6p21.3	major histocompatibility complex, class II, DQ alpha 2	MM1	8.1
HLA-DQB1	6p21.3	major histocompatibility complex, class II, DQ beta 1	MM1, NCI-H929	8.9, 11.1
HLA-DRA	6p21.3	major histocompatibility complex, class II, DR alpha	MM1	6.7
HLA-DRB1	6p21.3	major histocompatibility complex, class II, DR beta 1	MM1	13.3
HLA-DRB4	6p21.3	major histocompatibility complex, class II, DR beta 4	MM1, NCI-H929	147.0, 11.2
HLA-DRB6	6p21.3	major histocompatibility complex, class II, DR beta 6 (pseudogene)	NCI-H929	5.5
HNMT	2q22.1	histamine N-methyltransferase	NCI-H929	38.7
HSD17B1	17q11-q21	hydroxysteroid (17-beta) dehydrogenase 1	U266	42.9
HSPA1A	6p21.3	heat shock 70kDa protein 1A	U266	27.9
IBRDC3	1p35.1	IBR domain containing 3	MM1, NCI-H929	4.6, 5.5
ICAM1	19p13.3-p13.2	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	NCI-H929	5.6
ID1	20q11	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	MM1	7.8
IDH2	15q26.1	isocitrate dehydrogenase 2 (NADP+), mitochondrial	MM1	5.4
IER3	6p21.3	immediate early response 3	NCI-H929	15.6
IFI27	14q32	interferon, alpha-inducible protein 27	U266, NCI-H929	11.6, 54.9
IFI44	1p31.1	interferon-induced protein 44	NCI-H929	6.8
IFI44L	1p31.1	interferon-induced protein 44-like	U266, NCI-H929	14.1, 7.5
IFIH1	2p24.3-q24.3	interferon induced with helicase C domain 1	NCI-H929	5.0
IFIT1	10q25-q26	interferon-induced protein with tetratricopeptide repeats 1	U266, NCI-H929	7.8, 60.1
IFIT3	10q24	interferon-induced protein with tetratricopeptide repeats 4	NCI-H929	5.9
IFIT5	10q23.31	interferon-induced protein with tetratricopeptide repeats 5	U266	5.9
IFITM1	11p15.5	interferon induced transmembrane protein 1 (9-27)	U266, NCI-H929	40.5, 16.1
IGFBP3	7p13-p12	insulin-like growth factor binding protein 3	NCI-H929	10.4
IGFBP4	17q12-q21.1	insulin-like growth factor binding protein 4	NCI-H929	16.8
IGHA1	14q32.33	immunoglobulin heavy constant alpha 1	MM1	37.7
IL13RA1	Xq24	interleukin 13 receptor, alpha 1	MM1, U266, NCI-H929	5.7, 10.2, 9.5
IL15	4q31	interleukin 15	NCI-H929	9.3
IL17	6p12	interleukin 17 (cytotoxic T-lymphocyte-associated serine esterase 8)	U266	22.0
IL1R2	2q12-q22	interleukin 1 receptor, type II	NCI-H929	29.6
IL32	16p13.3	interleukin 32	U266, NCI-H929	45.4, 98.3
IL3RA	Xp22.3 or Yp11.3	interleukin 3 receptor, alpha (low affinity)	NCI-H929	9.5
IL6R	1q21	interleukin 6 receptor	NCI-H929	9.5
IQSEC3	12p13.33	IQ motif and Sec7 domain 3	U266	8.8
IRS2	13q34	insulin receptor substrate 2	NCI-H929	5.7
ISG20	15q26	interferon stimulated gene 20kDa	NCI-H929	17.2
ISGF3G	14q11.2	interferon-stimulated transcription factor 3, gamma 48kDa	NCI-H929	6.2
KCNN2	5q22.3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	NCI-H929	20.2
KIAA0913	10q22.3	KIAA0913 protein	NCI-H929	14.0
KIAA0963	19p13.3	KIAA0963 protein	MM1	7.5
KLF4	9q31	Kruppel-like factor 4 (gut)	NCI-H929	8.4
KRT7	12q12-q13	keratin 7	NCI-H929	40.5
KYNU	2q22.3	kynureninase (L-kynurenine hydrolase)	NCI-H929	10.9
L1CAM	Xq28	L1 cell adhesion molecule	MM1, NCI-H929	10.0, 16.4
LAMC2	1q25-q31	laminin, gamma 2	NCI-H929	6.9
LAMP3	3q26.3-q27	lysosomal-associated membrane protein 3	NCI-H929	41.3
LCP1	13q14.3	lymphocyte cytosolic protein 1 (L-plastin)	MM1, NCI-H929	7.0, 9.1
LDLR	19p13.3	low density lipoprotein receptor (familial hypercholesterolemia)	U266	10.0
LOR	1q21	loricrin	NCI-H929	22.6
LPXN	11q12.1	leupaxin	NCI-H929	5.5
LRFN4	11q13.2	leucine rich repeat and fibronectin type III domain containing 4	MM1	6.3
LSP1	11p15.5	lymphocyte-specific protein 1	NCI-H929	15.4
MAFB	20q11.2-q13.1	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	NCI-H929	70.3
MAGEA12	Xq28	melanoma antigen, family A, 12	NCI-H929	5.1
MAGEA3	Xq28	melanoma antigen, family A, 3	MM1, NCI-H929	11.7, 44.2
MAGEA4	Xq28	melanoma antigen, family A, 4	MM1, NCI-H929	6.8, 6.8
MAGEA6	Xq28	melanoma antigen, family A, 6	NCI-H929	35.4
MAGEA9	Xq28	melanoma antigen, family A, 9	NCI-H929	15.8
MAGEB1	Xp21.3	melanoma antigen, family B, 1	NCI-H929	11.3
MAGEC1	Xq26	melanoma antigen, family C, 1	NCI-H929	8.1
MAP3K6	1p35.3	mitogen-activated protein kinase kinase kinase 6	NCI-H929	9.7
MAP3K8	10p12.1	mitogen-activated protein kinase kinase kinase 8	NCI-H929	9.6
MBNL2	13q32.2	muscleblind-like 2 (Drosophila)	NCI-H929	19.8
MCAM	11q23.3	melanoma cell adhesion molecule	U266	5.7
MGC14376	17p13.3	hypothetical protein MGC14376	NCI-H929	4.7
MHC2TA	16p13	MHC class II transactivator	MM1, NCI-H929	8.4, 5.1
MICAL1	6q21	microtubule associated monoxygenase, calponin and LIM domain containing 1	NCI-H929	5.9
MMP9	20q11.2-q13.1	matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	MM1	5.7
MSR1	8p22	macrophage scavenger receptor 1	NCI-H929	7.1
MUC1	1q21	mucin 1, transmembrane	U266	17.5
MX1	21q22.3	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	NCI-H929	5.1
MYO9B	19p13.1	myosin IXB	MM1, U266, NCI-H929	10.0, 7.2, 8.2
NADSYN1	11q13.2	NAD synthetase 1	U266	8.0
NCF1	7q11.23	neutrophil cytosolic factor 1 (47kDa, chronic granulomatous disease, autosomal 1)	NCI-H929	60.1
NCF2	1q25	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	NCI-H929	32.1
NCF4	22q13.1	neutrophil cytosolic factor 4, 40kDa	NCI-H929	9.1
NCR2	6p21.1	natural cytotoxicity triggering receptor 2	MM1	6.1
NQO1	16q22.1	NAD(P)H dehydrogenase, quinone 1	U266, NCI-H929	11.6, 5.6
NR4A3	9q22	nuclear receptor subfamily 4, group A, member 3	NCI-H929	14.1
NRXN1	2p21	neurexin 1	NCI-H929	15.8
OCA2	15q11.2-q12	oculocutaneous albinism II (pink-eye dilution homolog, mouse)	NCI-H929	14.9
OLFML2B	1q23.3	olfactomedin-like 2B	MM1	12.3
PACSIN2	22q13.2-13.33	protein kinase C and casein kinase substrate in neurons 2	NCI-H929	4.9
PAEP	9q34	progestagen-associated endometrial protein	U266	21.8
PDE4DIP	1q12	phosphodiesterase 4D interacting protein (myomegalin)	MM1, NCI-H929	5.1, 6.7
PECAM1	17q23	platelet/endothelial cell adhesion molecule (CD31 antigen)	NCI-H929	15.0
PFC	Xp11.3-p11.23	properdin P factor, complement	NCI-H929	137.3
PHLDA2	11p15.5	pleckstrin homology-like domain, family A, member 2	NCI-H929	7.6
PIK3CD	1p36.2	phosphoinositide-3-kinase, catalytic, delta polypeptide	MM1, NCI-H929	8.4, 8.0
PIP5K1A	1q22-q24	phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	MM1	12.0
PLA2G4C	19q13.3	phospholipase A2, group IVC (cytosolic, calcium-independent)	U266	13.3
PLEK	2p13.3	pleckstrin	NCI-H929	7.9
PLK1	16p12.1	polo-like kinase 1 (Drosophila)	MM1	5.0
PMAIP1	18q21.32	phorbol-12-myristate-13-acetate-induced protein 1	NCI-H929	5.7
PML	15q22	promyelocytic leukemia	U266	6.4
PPP1R16B	20q12	protein phosphatase 1, regulatory (inhibitor) subunit 16B	MM1, NCI-H929	5.3, 4.7
PRAME	22q11.22	preferentially expressed antigen in melanoma	NCI-H929	7.7
PRF1	10q22	perforin 1 (pore forming protein)	U266	8.8
PRSS2	7q34	protease, serine, 2 (trypsin 2)	U266	6.5
PTGER4	5p13.1	prostaglandin E receptor 4 (subtype EP4)	MM1, NCI-H929	9.6, 6.9
PTPNS1	20p13	protein tyrosine phosphatase, non-receptor type substrate 1	NCI-H929	35.3
PYY	17q21.1	peptide YY	U266	24.9
RAB13	1q21.2	RAB13, member RAS oncogene family	U266	10.0
RAB6IP1	11p15.3	RAB6 interacting protein 1	NCI-H929	8.7
RAB9A	Xp22.2	RAB9A, member RAS oncogene family	NCI-H929	6.8
RAFTLIN	3p25.1-p24.3	raft-linking protein	NCI-H929	77.0
RASSF2	20pter-p12.1	Ras association (RalGDS/AF-6) domain family 2	NCI-H929	10.6
REL	2p13-p12	v-rel reticuloendotheliosis viral oncogene homolog (avian)	NCI-H929	5.7
RELN	7q22	reelin	NCI-H929	30.7
RGS1	1q31	regulator of G-protein signalling 1	MM1, NCI-H929	8.2, 6.9
RGS13	1q31.1	regulator of G-protein signalling 13	NCI-H929	17.8
RPS2	16p13.3	ribosomal protein S2	NCI-H929	7.5
S100A13	1q21	S100 calcium binding protein A13	NCI-H929	5.7
S100A4	1q21	S100 calcium binding protein A4	MM1	26.7
S100A6	1q21	S100 calcium binding protein A6 (calcyclin)	U266	5.1
S100P	4p16	S100 calcium binding protein P	U266	13.3
SAMSN1	21q11	SAM domain, SH3 domain and nuclear localisation signals, 1	NCI-H929	55.6
SAT	Xp22.1	spermidine/spermine N1-acetyltransferase	U266, NCI-H929	11.9, 5.8
SEPT9	17q25	septin 9	MM1	10.9
SERPINF1	17p13.1	serine (or cysteine) proteinase inhibitor, clade F	MM1, U266, NCI-H929	41.8, 23.7, 55.7
SLAMF7	1q23.1-q24.1	SLAM family member 7	U266	9.0
SMARCA1	Xq25	SWI/SNF related, matrix associated, actin dependent regulator of chromatin	MM1	12.9
SNN	16p13	stannin	NCI-H929	9.2
SOCS1	16p13.13	suppressor of cytokine signaling 1	MM1, NCI-H929	10.6, 28.4
SOCS3	17q25.3	suppressor of cytokine signaling 3	MM1	8.1
SPARC	5q31.3-q32	secreted protein, acidic, cysteine-rich (osteonectin)	U266	6.1
SPIB	19q13.3-q13.4	Spi-B transcription factor (Spi-1/PU.1 related)	MM1, NCI-H929	14.2, 13.5
SSTR2	17q24	somatostatin receptor 2	NCI-H929	5.9
SSX1	Xp11.23-p11.22	synovial sarcoma, X breakpoint 1	NCI-H929	30.9
SSX2	Xp11.23-p11.22	synovial sarcoma, X breakpoint 2	NCI-H929	33.4
SSX3	Xp11.23	synovial sarcoma, X breakpoint 3	NCI-H929	10.7
SSX4	Xp11.23	synovial sarcoma, X breakpoint 4	NCI-H929	8.4
ST8SIA1	12p12.1-p11.2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	NCI-H929	8.6
STAT1	2q32.2	signal transducer and activator of transcription 1, 91kDa	NCI-H929	13.3
STK6	20q13.2-q13.3	serine/threonine kinase 6	MM1	6.5
SURF2	9q34.2	surfeit 2	U266	7.4
SYNPO	5q33.1	synaptopodin	NCI-H929	6.4
TADA3L	3p25.3	transcriptional adaptor 3 (NGG1 homolog, yeast)-like	MM1	5.9
TANK	2q24-q31	TRAF family member-associated NFKB activator	NCI-H929	5.4
TBRG4	7p14-p13	transforming growth factor beta regulator 4	MM1	7.5
TBX3	12q24.1	T-box 3 (ulnar mammary syndrome)	NCI-H929	7.1
TFF2	21q22.3	trefoil factor 2 (spasmolytic protein 1)	U266	7.4
TFPI	2q31-q32.1	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	NCI-H929	103.9
TFPT	19q13	TCF3 (E2A) fusion partner (in childhood Leukemia)	NCI-H929	4.7
THEDC1	10p13	thioesterase domain containing 1	NCI-H929	6.1
TKTL1	Xq28	transketolase-like 1	MM1, U266, NCI-H929	30.3, 131.4, 75.2
TNFAIP2	14q32	tumor necrosis factor, alpha-induced protein 2	MM1, NCI-H929	10.4, 6.7
TNFAIP6	2q24.1	tumor necrosis factor, alpha-induced protein 6	NCI-H929	7.6
TNFRSF11A	18q22.1	tumor necrosis factor receptor superfamily, member 11a, activator of NFKB	NCI-H929	12.8
TNFRSF1B	1p36.3-p36.2	tumor necrosis factor receptor superfamily, member 1B	MM1	6.0
TNFRSF25	1p36.2	tumor necrosis factor receptor superfamily, member 25	U266	12.1
TNFRSF4	1p36	tumor necrosis factor receptor superfamily, member 4	MM1	18.0
TNFRSF9	1p36	tumor necrosis factor receptor superfamily, member 9	NCI-H929	5.5
TOP2A	17q21-q22	topoisomerase (DNA) II alpha 170kDa	MM1	7.3
TRIM22	11p15	tripartite motif-containing 22	NCI-H929	16.0
TRIP6	7q22	thyroid hormone receptor interactor 6	U266	15.1
TSPAN15	10q22.1	tetraspanin 15	NCI-H929	5.4
TUBB2	6p25	tubulin, beta, 2	NCI-H929	5.8
UBD	6p21.3	ubiquitin D	MM1, NCI-H929	27.4, 10.1
UPB1	22q11.2	ureidopropionase, beta	NCI-H929	60.5
USP18	22q11.21	ubiquitin specific protease 18	NCI-H929	7.5
VAMP8	2p12-p11.2	vesicle-associated membrane protein 8 (endobrevin)	NCI-H929	47.4
VCAM1	1p32-p31	vascular cell adhesion molecule 1	NCI-H929	6.8
VCX	Xp22	variable charge, X-linked	NCI-H929	6.5
XIST	Xq13.2	X (inactive)-specific transcript	NCI-H929	6.4
ZNF297B	9p24.1-q22.33	zinc finger protein 297B	NCI-H929	5.4
ZNF42	19q13.2-q13.4	zinc finger protein 42 (myeloid-specific retinoic acid-responsive)	U266	7.7
ZYG11BL	9q34.11	zyg-11 homolog B (C. elegans)-like	U266	7.3
