Symbol	Gene Name	combined p value	Expression
Prkar2b	Protein kinase, cAMP dependent regulatory, type II beta	2.77E-08	Up-regulated transcripts
Pscd2	Pleckstrin homology, Sec7 and coiled-coil domains 2	2.83E-08	Up-regulated transcripts
Gtpbp2	GTP binding protein 2	2.95E-08	Up-regulated transcripts
Efhd1	EF hand domain containing 1	2.96E-08	Up-regulated transcripts
Gla	Galactosidase, alpha	3.15E-08	Up-regulated transcripts
Strap	Serine/threonine kinase receptor associated protein	3.16E-08	Up-regulated transcripts
Gas5	Growth arrest specific 5	3.18E-08	Up-regulated transcripts
Rars	Arginyl-tRNA synthetase	3.22E-08	Up-regulated transcripts
Ciapin1	Cytokine induced apoptosis inhibitor 1	3.36E-08	Up-regulated transcripts
Cct3	Chaperonin subunit 3 (gamma)	3.63E-08	Up-regulated transcripts
Ypel5	Yippee-like 5 (Drosophila)	3.65E-08	Up-regulated transcripts
Slc4a7	Solute carrier family 4, sodium bicarbonate cotransporter, member 7	3.94E-08	Up-regulated transcripts
Fdxr	Ferredoxin reductase	4.27E-08	Up-regulated transcripts
Kcmf1	Potassium channel modulatory factor 1	4.49E-08	Up-regulated transcripts
Acvr2	Activin receptor IIA	4.70E-08	Up-regulated transcripts
Sqstm1	Sequestosome 1	4.80E-08	Up-regulated transcripts
Gm944	Gene model 944, (NCBI)	4.83E-08	Up-regulated transcripts
Sgpp1	Sphingosine-1-phosphate phosphatase 1	5.07E-08	Up-regulated transcripts
Gsta4	Glutathione S-transferase, alpha 4	5.08E-08	Up-regulated transcripts
Idh1	Isocitrate dehydrogenase 1 (NADP+), soluble	5.22E-08	Up-regulated transcripts
Eif4e	Eukaryotic translation initiation factor 4E	5.46E-08	Up-regulated transcripts
Gfpt1	Glutamine fructose-6-phosphate transaminase 1	5.88E-08	Up-regulated transcripts
Gprk5	G protein-coupled receptor kinase 5	6.76E-08	Up-regulated transcripts
Eif3s10	Eukaryotic translation initiation factor 3, subunit 10 (theta)	7.87E-08	Up-regulated transcripts
Pdcd6	Programmed cell death 6	8.27E-08	Up-regulated transcripts
Tnfrsf12a	Tumor necrosis factor receptor superfamily, member 12a	8.57E-08	Up-regulated transcripts
Hmgcr	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	9.00E-08	Up-regulated transcripts
Srp14	Signal recognition particle 14	9.26E-08	Up-regulated transcripts
Hspb8	Heat shock 27kDa protein 8	9.44E-08	Up-regulated transcripts
Slc38a2	Solute carrier family 38, member 2	9.85E-08	Up-regulated transcripts
Nt5c	5,3-nucleotidase, cytosolic	9.95E-08	Up-regulated transcripts
Hsd17b12	Hydroxysteroid (17-beta) dehydrogenase 12	1.03E-07	Up-regulated transcripts
Tgif	TG interacting factor	1.03E-07	Up-regulated transcripts
Atp6v0b	ATPase, H+ transporting, V0 subunit B	1.06E-07	Up-regulated transcripts
Srp54	Signal recognition particle 54	1.09E-07	Up-regulated transcripts
Zfr	Zinc finger RNA binding protein	1.32E-07	Up-regulated transcripts
Arf1	ADP-ribosylation factor 1	1.40E-07	Up-regulated transcripts
Eml2	Echinoderm microtubule associated protein like 2	1.45E-07	Up-regulated transcripts
Cnn1	Calponin 1	1.51E-07	Up-regulated transcripts
Nupr1	Nuclear protein 1	1.61E-07	Up-regulated transcripts
Sdccag1	Serologically defined colon cancer antigen 1	1.65E-07	Up-regulated transcripts
Slc25a3	Solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3	1.90E-07	Up-regulated transcripts
Tax1bp1	Tax1 (human T-cell leukemia virus type I) binding protein 1	1.90E-07	Up-regulated transcripts
Prdx3	Peroxiredoxin 3	1.93E-07	Up-regulated transcripts
Atp6v1b2	ATPase, H+ transporting, V1 subunit B, isoform 2	1.95E-07	Up-regulated transcripts
Ctsh	Cathepsin H	2.08E-07	Up-regulated transcripts
Armc1	Armadillo repeat containing 1	2.16E-07	Up-regulated transcripts
Mcfd2	Multiple coagulation factor deficiency 2	2.23E-07	Up-regulated transcripts
Slc6a6	Solute carrier family 6 (neurotransmitter transporter, taurine), member 6	2.29E-07	Up-regulated transcripts
Prkcbp1	Protein kinase C binding protein 1	2.30E-07	Up-regulated transcripts
Tcte1l	T-complex-associated-testis-expressed 1-like	2.38E-07	Up-regulated transcripts
Sdcbp	Syndecan binding protein	2.60E-07	Up-regulated transcripts
Zfyve21	Zinc finger, FYVE domain containing 21	2.65E-07	Up-regulated transcripts
Scp2	Sterol carrier protein 2, liver	2.78E-07	Up-regulated transcripts
Bzrp	Benzodiazepine receptor, peripheral	2.95E-07	Up-regulated transcripts
Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	3.23E-07	Up-regulated transcripts
Zfp54	Zinc finger protein 54	3.44E-07	Up-regulated transcripts
Fem1b	Feminization 1 homolog b (C. elegans)	3.81E-07	Up-regulated transcripts
Rabggtb	RAB geranylgeranyl transferase, b subunit	3.93E-07	Up-regulated transcripts
Ifrd1	Interferon-related developmental regulator 1	4.09E-07	Up-regulated transcripts
Psmb1	Proteasome (prosome, macropain) subunit, beta type 1	4.40E-07	Up-regulated transcripts
Acsl3	UTP14, U3 small nucleolar ribonucleoprotein, homolog B (yeast)	4.86E-07	Up-regulated transcripts
Tnip1	TNFAIP3 interacting protein 1	5.03E-07	Up-regulated transcripts
Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	5.38E-07	Up-regulated transcripts
Atp5l	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g	5.51E-07	Up-regulated transcripts
Cttn	Cortactin	5.83E-07	Up-regulated transcripts
Ube2h	Ubiquitin-conjugating enzyme E2H	6.02E-07	Up-regulated transcripts
Chuk	Conserved helix-loop-helix ubiquitous kinase	6.64E-07	Up-regulated transcripts
Blvrb	Biliverdin reductase B (flavin reductase (NADPH))	6.95E-07	Up-regulated transcripts
Hspca	Heat shock protein 1, alpha	7.78E-07	Up-regulated transcripts
Eif4e2	Eukaryotic translation initiation factor 4E member 2	8.04E-07	Up-regulated transcripts
Zfp238	Zinc finger protein 238	8.09E-07	Up-regulated transcripts
Grcc3f	Gene rich cluster, C3f gene	9.16E-07	Up-regulated transcripts
Za20d3	Zinc finger, A20 domain containing 3	1.05E-06	Up-regulated transcripts
Itpr5	Inositol 1,4,5-triphosphate receptor 5	1.08E-06	Up-regulated transcripts
Ppp1r15b	Protein phosphatase 1, regulatory (inhibitor) subunit 15b	1.11E-06	Up-regulated transcripts
Cept1	Choline/ethanolaminephosphotransferase 1	1.24E-06	Up-regulated transcripts
Plcd3	Phospholipase C, delta 3	1.25E-06	Up-regulated transcripts
Serpinb9	Serine (or cysteine) proteinase inhibitor, clade B, member 9	1.27E-06	Up-regulated transcripts
Rab18	RAB18, member RAS oncogene family	1.38E-06	Up-regulated transcripts
Prdx5	Peroxiredoxin 5	1.51E-06	Up-regulated transcripts
Fndc3	Fibronectin type III domain containing 3	1.52E-06	Up-regulated transcripts
Tex261	Testis expressed gene 261	1.61E-06	Up-regulated transcripts
Gt(ROSA)26asSor	Gene trap ROSA 26 antisense, Philippe Soriano	1.62E-06	Up-regulated transcripts
Zfp51	Zinc finger protein 51	1.76E-06	Up-regulated transcripts
Prkcsh	Protein kinase C substrate 80K-H	1.80E-06	Up-regulated transcripts
Itgb4bp	Integrin beta 4 binding protein	1.84E-06	Up-regulated transcripts
Serpinb1a	Serine (or cysteine) proteinase inhibitor, clade B, member 1a	1.88E-06	Up-regulated transcripts
Selk	Selenoprotein K	1.94E-06	Up-regulated transcripts
Cstb	Cystatin B	1.96E-06	Up-regulated transcripts
Mtdh	Metadherin	1.99E-06	Up-regulated transcripts
Sdc3	Syndecan 3	2.03E-06	Up-regulated transcripts
Nr1h3	Nuclear receptor subfamily 1, group H, member 3	2.16E-06	Up-regulated transcripts
Zfp131	Zinc finger protein 131	2.21E-06	Up-regulated transcripts
Procr	Protein C receptor, endothelial	2.24E-06	Up-regulated transcripts
Cth	Cystathionase (cystathionine gamma-lyase)	2.27E-06	Up-regulated transcripts
Prkab1	Protein kinase, AMP-activated, beta 1 non-catalytic subunit	2.46E-06	Up-regulated transcripts
Btg2	B-cell translocation gene 2, anti-proliferative	2.77E-06	Up-regulated transcripts
Peli1	Pellino 1	2.98E-06	Up-regulated transcripts
Ddx52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52	3.08E-06	Up-regulated transcripts
Egr1	Early growth response 1	3.12E-06	Up-regulated transcripts
Hspcb	Heat shock protein 1, beta	3.13E-06	Up-regulated transcripts
Jun	Jun oncogene	3.22E-06	Up-regulated transcripts
Csnk2a2	Casein kinase II, alpha 2, polypeptide	3.26E-06	Up-regulated transcripts
Polr2g	Polymerase (RNA) II (DNA directed) polypeptide G	3.28E-06	Up-regulated transcripts
Snap91	Synaptosomal-associated protein 91	3.28E-06	Up-regulated transcripts
Lgmn	Legumain	3.36E-06	Up-regulated transcripts
Rbm22	RNA binding motif protein 22	3.42E-06	Up-regulated transcripts
Map1lc3b	Microtubule-associated protein 1 light chain 3 beta	3.45E-06	Up-regulated transcripts
Psap	Prosaposin	3.52E-06	Up-regulated transcripts
Psmc5	Protease (prosome, macropain) 26S subunit, ATPase 5	3.66E-06	Up-regulated transcripts
Ppp1cb	Protein phosphatase 1, catalytic subunit, beta isoform	4.09E-06	Up-regulated transcripts
Myd116	Myeloid differentiation primary response gene 116	4.22E-06	Up-regulated transcripts
Pabpc1	Poly A binding protein, cytoplasmic 1	4.37E-06	Up-regulated transcripts
Tfg	Trk-fused gene	4.72E-06	Up-regulated transcripts
Adcy7	Adenylate cyclase 7	4.73E-06	Up-regulated transcripts
Pum2	Pumilio 2 (Drosophila)	4.91E-06	Up-regulated transcripts
Dmtf1	Cyclin D binding myb-like transcription factor 1	5.14E-06	Up-regulated transcripts
Nfatc2ip	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein	5.39E-06	Up-regulated transcripts
Copz1	Coatomer protein complex, subunit zeta 1	5.75E-06	Up-regulated transcripts
Eif3s2	Eukaryotic translation initiation factor 3, subunit 2 (beta)	5.94E-06	Up-regulated transcripts
Dhrs1	Dehydrogenase/reductase (SDR family) member 1	6.11E-06	Up-regulated transcripts
Zfp639	Zinc finger protein 639	6.62E-06	Up-regulated transcripts
Tpm3	Tropomyosin 3, gamma	6.77E-06	Up-regulated transcripts
Ldlr	Low density lipoprotein receptor	6.88E-06	Up-regulated transcripts
Ap1s1	Adaptor protein complex AP-1, sigma 1	6.99E-06	Up-regulated transcripts
Tpm4	Tropomyosin 4	7.03E-06	Up-regulated transcripts
Sdc1	Syndecan 1	7.19E-06	Up-regulated transcripts
Eif4a1	Eukaryotic translation initiation factor 4A1	7.23E-06	Up-regulated transcripts
Por	P450 (cytochrome) oxidoreductase	7.36E-06	Up-regulated transcripts
Slc25a11	Solute carrier family 25 (mitochondrial carrier oxoglutarate carrier), member 11	7.48E-06	Up-regulated transcripts
Hsd3b1	Hydroxysteroid dehydrogenase-1, delta<5>-3-beta	7.75E-06	Up-regulated transcripts
Nars	Asparaginyl-tRNA synthetase	8.23E-06	Up-regulated transcripts
Cln2	Ceroid-lipofuscinosis, neuronal 2	8.60E-06	Up-regulated transcripts
Atp6v0e	ATPase, H+ transporting, V0 subunit	8.68E-06	Up-regulated transcripts
Slc25a17	Solute carrier family 25 (mitochondrial carrier, peroxisomal membrane protein), member 17	8.70E-06	Up-regulated transcripts
Drg2	Developmentally regulated GTP binding protein 2	9.47E-06	Up-regulated transcripts
Rab5a	RAB5A, member RAS oncogene family	1.00E-05	Up-regulated transcripts
Cab39	Calcium binding protein 39	1.01E-05	Up-regulated transcripts
Atp5d	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	1.04E-05	Up-regulated transcripts
Dad1	Defender against cell death 1	1.04E-05	Up-regulated transcripts
Qars	Glutaminyl-tRNA synthetase	1.15E-05	Up-regulated transcripts
Rpl13a	Ribosomal protein L13a	1.19E-05	Up-regulated transcripts
Slc39a7	Solute carrier family 39 (zinc transporter), member 7	1.19E-05	Up-regulated transcripts
Ndufs8	NADH dehydrogenase (ubiquinone) Fe-S protein 8	1.20E-05	Up-regulated transcripts
Gsto1	Glutathione S-transferase omega 1	1.20E-05	Up-regulated transcripts
Btg1	B-cell translocation gene 1, anti-proliferative	1.22E-05	Up-regulated transcripts
Azi2	5-azacytidine induced gene 2	1.25E-05	Up-regulated transcripts
Dbnl	Drebrin-like	1.34E-05	Up-regulated transcripts
Bteb1	Basic transcription element binding protein 1	1.34E-05	Up-regulated transcripts
Dtnb	Dystrobrevin, beta	1.42E-05	Up-regulated transcripts
Cox6b1	Cytochrome c oxidase, subunit VIb polypeptide 1	1.44E-05	Up-regulated transcripts
Actr2	ARP2 actin-related protein 2 homolog (yeast)	1.49E-05	Up-regulated transcripts
Riok2	RIO kinase 2 (yeast)	1.49E-05	Up-regulated transcripts
Mt2	Metallothionein 2	1.51E-05	Up-regulated transcripts
Grhpr	Glyoxylate reductase/hydroxypyruvate reductase	1.51E-05	Up-regulated transcripts
Mrps10	Mitochondrial ribosomal protein S10	1.58E-05	Up-regulated transcripts
Rnf14	Ring finger protein 14	1.59E-05	Up-regulated transcripts
Cdv3	Carnitine deficiency-associated gene expressed in ventricle 3	1.59E-05	Up-regulated transcripts
Wbp5	WW domain binding protein 5	1.68E-05	Up-regulated transcripts
Mlstd2	Male sterility domain containing 2	1.68E-05	Up-regulated transcripts
Ern1	Endoplasmic reticulum (ER) to nucleus signalling 1	1.69E-05	Up-regulated transcripts
Clcn3	Chloride channel 3	1.73E-05	Up-regulated transcripts
Luc7l	Luc7 homolog (S. cerevisiae)-like	1.74E-05	Up-regulated transcripts
Arpc3	Actin related protein 2/3 complex, subunit 3	1.88E-05	Up-regulated transcripts
Crry	Complement receptor related protein	1.91E-05	Up-regulated transcripts
Elovl5	ELOVL family member 5, elongation of long chain fatty acids (yeast)	1.93E-05	Up-regulated transcripts
Csnk1e	Casein kinase 1, epsilon	1.95E-05	Up-regulated transcripts
Creb3	CAMP responsive element binding protein 3	1.95E-05	Up-regulated transcripts
Hipk1	Homeodomain interacting protein kinase 1	2.03E-05	Up-regulated transcripts
Sc4mol	Sterol-C4-methyl oxidase-like	2.06E-05	Up-regulated transcripts
Myst1	MYST histone acetyltransferase 1	2.07E-05	Up-regulated transcripts
Nsf	N-ethylmaleimide sensitive fusion protein	2.07E-05	Up-regulated transcripts
Rnmt	RNA (guanine-7-) methyltransferase	2.09E-05	Up-regulated transcripts
Tpd52	Tumor protein D52	2.13E-05	Up-regulated transcripts
Klhl2	Kelch-like 2, Mayven (Drosophila)	2.23E-05	Up-regulated transcripts
Pam	Peptidylglycine alpha-amidating monooxygenase	2.27E-05	Up-regulated transcripts
Cdk8	Cyclin-dependent kinase 8	2.29E-05	Up-regulated transcripts
Mrps18b	Mitochondrial ribosomal protein S18B	2.29E-05	Up-regulated transcripts
C1galt1	Core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase	2.31E-05	Up-regulated transcripts
Pank3	Pantothenate kinase 3	2.33E-05	Up-regulated transcripts
Prune	Prune homolog (Drosophila)	2.45E-05	Up-regulated transcripts
Bcat1	Branched chain aminotransferase 1, cytosolic	2.57E-05	Up-regulated transcripts
Tmem14c	Transmembrane protein 14C	2.60E-05	Up-regulated transcripts
Atf4	Activating transcription factor 4	2.68E-05	Up-regulated transcripts
Usp9x	Ubiquitin specific protease 9, X chromosome	2.73E-05	Up-regulated transcripts
Ggps1	Geranylgeranyl diphosphate synthase 1	2.78E-05	Up-regulated transcripts
Ugalt2	UDP-galactose translocator 2	2.80E-05	Up-regulated transcripts
Ercc1	Excision repair cross-complementing rodent repair deficiency, complementation group 1	2.89E-05	Up-regulated transcripts
Hs1bp1	HS1 binding protein	2.91E-05	Up-regulated transcripts
Bxdc1	Brix domain containing 1	2.98E-05	Up-regulated transcripts
Aldoa	Aldolase 1, A isoform	3.00E-05	Up-regulated transcripts
Ctla2a	Cytotoxic T lymphocyte-associated protein 2 beta	3.05E-05	Up-regulated transcripts
Xpo1	Exportin 1, CRM1 homolog (yeast)	3.16E-05	Up-regulated transcripts
Ndrg2	N-myc downstream regulated gene 2	3.19E-05	Up-regulated transcripts
Usp53	Ubiquitin specific protease 53	3.31E-05	Up-regulated transcripts
Asahl	N-acylsphingosine amidohydrolase (acid ceramidase)-like	3.34E-05	Up-regulated transcripts
Mrps23	Mitochondrial ribosomal protein S23	3.40E-05	Up-regulated transcripts
Rad23b	RAD23b homolog (S. cerevisiae)	3.43E-05	Up-regulated transcripts
Ubl3	Ubiquitin-like 3	3.45E-05	Up-regulated transcripts
Mthfd2	Methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	3.56E-05	Up-regulated transcripts
Sptlc1	Serine palmitoyltransferase, long chain base subunit 1	3.65E-05	Up-regulated transcripts
Ube2r2	Ubiquitin-conjugating enzyme E2R 2	3.90E-05	Up-regulated transcripts
Eif1a	Eukaryotic translation initiation factor 1A	4.00E-05	Up-regulated transcripts
Pak2	P21 (CDKN1A)-activated kinase 2	4.01E-05	Up-regulated transcripts
Hdc	Histidine decarboxylase	4.03E-05	Up-regulated transcripts
Prei3	Preimplantation protein 3	4.03E-05	Up-regulated transcripts
Lars	Leucyl-tRNA synthetase	4.11E-05	Up-regulated transcripts
Map2k1ip1	Mitogen-activated protein kinase kinase 1 interacting protein 1	4.18E-05	Up-regulated transcripts
Sfxn1	Sideroflexin 1	4.30E-05	Up-regulated transcripts
Crsp2	Cofactor required for Sp1 transcriptional activation, subunit 2	4.50E-05	Up-regulated transcripts
Rbx1	Ring-box 1	4.60E-05	Up-regulated transcripts
Ppid	Peptidylprolyl isomerase D (cyclophilin D)	4.63E-05	Up-regulated transcripts
Dhps	Deoxyhypusine synthase	4.65E-05	Up-regulated transcripts
Sdhb	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	4.71E-05	Up-regulated transcripts
Psmc1	Protease (prosome, macropain) 26S subunit, ATPase 1	4.81E-05	Up-regulated transcripts
Ywhaz	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	4.82E-05	Up-regulated transcripts
Eif2s3x	Eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked	4.88E-05	Up-regulated transcripts
Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	4.89E-05	Up-regulated transcripts
Nfe2l1	Nuclear factor, erythroid derived 2,-like 1	4.96E-05	Up-regulated transcripts
Spock2	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2	5.01E-05	Up-regulated transcripts
Ndufs5	NADH dehydrogenase (ubiquinone) Fe-S protein 5	5.11E-05	Up-regulated transcripts
Gcipip	GCIP-interacting protein p29	5.14E-05	Up-regulated transcripts
Farslb	Phenylalanine-tRNA synthetase-like, beta subunit	5.18E-05	Up-regulated transcripts
Tde2	Tumor differentially expressed 2	5.23E-05	Up-regulated transcripts
Mrg1	Myeloid ecotropic viral integration site-related gene 1	5.58E-05	Up-regulated transcripts
Ddx17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	5.58E-05	Up-regulated transcripts
Sdfr2	Stromal cell derived factor receptor 2	5.73E-05	Up-regulated transcripts
Mc2r	Melanocortin 2 receptor	5.78E-05	Up-regulated transcripts
Csnk2a1	Casein kinase II, alpha 1 polypeptide	5.79E-05	Up-regulated transcripts
Usp34	Ubiquitin specific protease 34	6.00E-05	Up-regulated transcripts
Nbr1	Neighbor of Brca1 gene 1	6.08E-05	Up-regulated transcripts
Dnajc13	DnaJ (Hsp40) homolog, subfamily C, member 13	6.08E-05	Up-regulated transcripts
Cnih	Cornichon homolog (Drosophila)	6.19E-05	Up-regulated transcripts
Gmfb	Glia maturation factor, beta	6.22E-05	Up-regulated transcripts
Nqo3a2	NAD(P)H:quinone oxidoreductase type 3, polypeptide A2	6.34E-05	Up-regulated transcripts
Rps20	Ribosomal protein S20	6.37E-05	Up-regulated transcripts
Aasdhppt	Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	6.37E-05	Up-regulated transcripts
Lpp	LIM domain containing preferred translocation partner in lipoma	6.38E-05	Up-regulated transcripts
Cdw92	CDW92 antigen	6.70E-05	Up-regulated transcripts
Xpot	Exportin, tRNA (nuclear export receptor for tRNAs)	6.80E-05	Up-regulated transcripts
Bloc1s1	Biogenesis of lysosome-related organelles complex-1, subunit 1	6.86E-05	Up-regulated transcripts
Bet1l	Blocked early in transport 1 homolog (S. cerevisiae)-like	7.33E-05	Up-regulated transcripts
Chd1	Chromodomain helicase DNA binding protein 1	7.58E-05	Up-regulated transcripts
Ccnl2	Cyclin L2	7.76E-05	Up-regulated transcripts
Gmppa	GDP-mannose pyrophosphorylase A	7.90E-05	Up-regulated transcripts
Nif3l1	Ngg1 interacting factor 3-like 1 (S. pombe)	8.05E-05	Up-regulated transcripts
