Official Symbol	Accession number and gene name	fold change in SPN vs. normal pancreas	p value
PDXK	NM_003681       Pyridoxal (pyridoxine, vitamin B6) kinase	14.31	1.85E-06
ROBO3	NM_022370       Roundabout, axon guidance receptor, homolog 3 (Drosophila)	13.53	1.67E-05
APLP2	NM_001642       Amyloid beta (A4) precursor-like protein 2	13.31	5.74E-06
C16orf30	NM_024600       Transmembrane protein 204	13.02	2.65E-05
DKK4	NM_014420       Dickkopf homolog 4 (Xenopus laevis)	13.01	9.88E-06
OGDHL	NM_018245       Oxoglutarate dehydrogenase-like	12.86	2.87E-05
AXIN2	NM_004655       Axin 2 (conductin, axil)	12.79	1.19E-05
COL13A1	NM_005203       Collagen, type XIII, alpha 1	12.67	2.59E-06
ZAP70	NM_001079       Zeta-chain (TCR) associated protein kinase 70kDa	12.48	2.14E-05
SPOCK	NM_004598       Sparc/osteonectin	12.39	4.52E-06
DNAH9	NM_001372       Dynein, axonemal, heavy chain 9	12.23	3.23E-06
CLDN5	NM_003277       Claudin 5	12.12	2.19E-05
CA4	NM_000717       Carbonic anhydrase IV	12.11	0.0157
MPP1	NM_002436       Membrane protein, palmitoylated 1, 55kDa	12.06	1.86E-06
THSD1	NM_018676       Thrombospondin, type I, domain containing 1	11.68	5.22E-06
HPS4	NM_152840       Hermansky-Pudlak syndrome 4	11.65	2.37E-05
HOXB2	NM_002145       Homeobox B2	11.5	0.000101
MAP6	NM_033063       Microtubule-associated protein 6	11.47	1.58E-05
WIG1	NM_022470       Zinc finger, matrin type 3	11.42	1.11E-05
C20orf155	NM_019095       Cardiolipin synthase 1	11.41	5.02E-05
DIRAS3	NM_004675       DIRAS family, GTP-binding RAS-like 3	11.38	0.000283
FLRT3	NM_013281       Fibronectin leucine rich transmembrane protein 3	11.35	9.79E-06
C6orf166	NM_018064       Chromosome 6 open reading frame 166	11.3	1.13E-05
CPT1C	NM_152359       Carnitine palmitoyltransferase 1C	11.14	8.54E-07
TCAP	NM_003673       Titin-cap (telethonin)	10.74	7.53E-05
RCBTB1	NM_018191       Regulator of chromosome condensation and BTB domain containing protein 1	10.43	1.18E-05
RAPGEF3	NM_006105       Rap guanine nucleotide exchange factor (GEF) 3	10.4	2.94E-05
TFRC	NM_003234       Transferrin receptor (p90, CD71)	10.36	0.000186
CHN1	NM_001822       Chimerin (chimaerin) 1	10.26	9.11E-06
LIX1	NM_153234       Lix1 homolog (chicken)	10.24	4.11E-06
TNFRSF11B	NM_002546       Tumor necrosis factor receptor superfamily, member 11b	10.21	9.80E-06
EMILIN2	NM_032048       Elastin microfibril interfacer 2	10.08	1.16E-06
PDZK3	NM_178140       PDZ domain containing 2	9.63	1.89E-05
CSRP2	NM_001321       Cysteine and glycine-rich protein 2	9.51	9.11E-05
PRKAR1A	NM_002734       Protein kinase, cAMP-dependent, regulatory, type I, alpha	9.48	6.86E-06
LSAMP	NM_002338       Limbic system-associated membrane protein	9.37	1.78E-05
MAP3K8	NM_005204       Mitogen-activated protein kinase kinase kinase 8	9.27	0.00232
ITK	NM_005546       IL2-inducible T-cell kinase	9.16	8.26E-05
MI-ER1	NM_020948       Mesoderm induction early response 1 homolog (Xenopus laevis)	9.03	1.52E-05
MMP28	NM_032950       matrix metallopeptidase 28	8.87	0.000506
PPP1R2	NM_006241       Protein phosphatase 1, regulatory (inhibitor) subunit 2	8.65	1.09E-05
MAGI1	NM_173515       CNKSR family member 3	8.65	0.000131
GNAI1	NM_002069       Guanine nucleotide binding protein, alpha inhibiting activity polypeptide 1	8.63	6.68E-06
C6orf166	NM_018064       Chromosome 6 open reading frame 166	8.6	0.00348
DMRT2	NM_006557       Doublesex and mab-3 related transcription factor 2	8.46	9.38E-05
MT3	NM_005954       Metallothionein 3	8.44	0.0036
LRCH2	NM_020871       Leucine-rich repeats and calponin homology (CH) domain containing 2	8.35	1.70E-05
CDC42EP3	NM_006449       CDC42 effector protein (Rho GTPase binding) 3	8.2	0.000555
MSRB2	NM_012228       Methionine sulfoxide reductase B2	8.12	6.41E-07
ADCY2	NM_020546       Adenylate cyclase 2 (brain)	8.09	0.000193
RBM24	NM_153020       RNA binding motif protein 24	8.08	9.19E-05
LPIN1	NM_145693       Lipin 1	8	0.000107
CXCR4	NM_003467       Chemokine (C-X-C motif) receptor 4	7.94	0.000961
MYH11	NM_002474       Myosin, heavy chain 11, smooth muscle	7.86	0.00239
PARG1	NM_004815       Rho GTPase activating protein 29	7.8	0.00299
PYGL	NM_002863       Phosphorylase, glycogen; liver	7.76	0.000112
MMD	NM_012329       Monocyte to macrophage differentiation-associated	7.56	0.00115
FBXO15	NM_152676       F-box protein 15	7.55	0.000426
AIG1	NM_016108       Androgen-induced 1	7.54	4.41E-05
SNCAIP	NM_005460       Synuclein, alpha interacting protein (synphilin)	7.51	0.00149
NEDD1	NM_152905       Neural precursor cell expressed, developmentally down-regulated 1	7.35	0.000149
STARD3	NM_006804       StAR-related lipid transfer (START) domain containing 3	7.33	4.08E-05
FBXO32	NM_058229       F-box protein 32	7.27	0.00129
FLJ11127	NM_019018       Family with sequence similarity 105, member A	7.22	0.000321
NET1	NM_005863       Neuroepithelial cell transforming gene 1	7.21	1.78E-05
PNMA1	NM_006029       Paraneoplastic antigen MA1	7.2	3.22E-05
PON2	NM_000305       Paraoxonase 2	7.18	3.89E-05
TMEM2	NM_013390       Transmembrane protein 2	7.1	0.000676
PLEKHA5	NM_019012       Pleckstrin homology domain containing, family A member 5	7.04	0.00022
CAPN7	NM_014296       Calpain 7	7.01	4.41E-05
SASH1	NM_015278       SAM and SH3 domain containing 1	7	0.000268
NMNAT2	NM_170706       Nicotinamide nucleotide adenylyltransferase 2	6.94	6.70E-05
NKAIN2	NM_153355       Na+/K+ transporting ATPase interacting 2	6.88	0.00823
AMACR	NM_014324       Alpha-methylacyl-CoA racemase	6.88	2.89E-05
TCF7	NM_003202       Transcription factor 7 (T-cell specific, HMG-box)	6.74	0.000633
FLJ12442	NM_022908       5-nucleotidase domain containing 2	6.71	0.00162
HAND2	NM_021973       Heart and neural crest derivatives expressed 2	6.69	0.000206
IGF2R	NM_000876       Insulin-like growth factor 2 receptor	6.65	2.21E-06
TPD52L1	NM_003287       Tumor protein D52-like 1	6.59	0.000574
C2orf23	NM_022912       Receptor accessory protein 1	6.57	0.000455
PRKCZ	NM_002744       Protein kinase C, zeta	6.53	4.40E-05
TMSB10	NM_021103       Thymosin beta 10	6.45	1.02E-06
MSRA	NM_012331       Methionine sulfoxide reductase A	6.43	0.000537
CDH11	NM_033664       cadherin 11	6.37	2.14E-05
ZNF462	NM_021224       Zinc finger protein 462	6.37	6.15E-05
HSBP1	NM_001537       Heat shock factor binding protein 1	6.35	0.000137
NEDD1	NM_152905       Neural precursor cell expressed, developmentally down-regulated 1	6.31	3.11E-05
MGLL	NM_007283       Monoglyceride lipase	6.3	1.83E-05
RGS5	NM_003617       Regulator of G-protein signaling 5	6.26	0.00418
NET1	NM_005863       Neuroepithelial cell transforming gene 1	6.26	3.85E-05
CGRRF1	NM_006568       Cell growth regulator with ring finger domain 1	6.22	0.000137
PNMT	NM_002686       Phenylethanolamine N-methyltransferase	6.2	2.03E-05
SLC24A1	NM_004727       Solute carrier family 24, member 1	6.2	0.000529
RUVBL1	NM_003707       RuvB-like 1 (E. coli)	6.18	7.48E-05
RAD21	NM_006265       RAD21 homolog (S. pombe)	6.16	0.000141
PEX3	NM_003630       Peroxisomal biogenesis factor 3	6.14	0.000181
SMURF2	NM_022739       SMAD specific E3 ubiquitin protein ligase 2	6.12	0.000206
FZD7	NM_003507       Frizzled homolog 7 (Drosophila)	6.11	0.000243
HAND2	NM_021973       Heart and neural crest derivatives expressed 2	6.11	0.000407
PVRL3	NM_015480       Poliovirus receptor-related 3	6.05	0.00062
ARL3	NM_004311       ADP-ribosylation factor-like 3	5.98	6.08E-05
GCC2	NM_181453       GRIP and coiled-coil domain containing 2	5.92	1.70E-05
TMEM25	NM_032780       Transmembrane protein 25	5.9	0.000943
SNX10	NM_013322       Sorting nexin 10	5.88	0.000183
STARD3NL	NM_032016       STARD3 N-terminal like	5.81	8.34E-05
JAM2	NM_021219       Junctional adhesion molecule 2	5.78	0.00107
C20orf46	NM_018354       Chromosome 20 open reading frame 46	5.7	5.74E-05
GADD45A	NM_001924       Growth arrest and DNA-damage-inducible, alpha	5.68	0.00104
RACGAP1	NM_013277       Rac GTPase activating protein 1	5.67	0.000536
BBS2	NM_031885       Bardet-Biedl syndrome 2	5.66	5.74E-05
JMJD1A	NM_018433       Jumonji domain containing 1A	5.65	5.96E-05
SYT6	NM_205848       Synaptotagmin VI	5.64	0.0123
SMARCA4	NM_003072       SWI/SNF related, matrix associated, actin dependent regulator of chromatin	5.59	2.01E-05
QPCT	NM_012413       Glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	5.58	3.43E-05
ADRA2C	NM_000683       Adrenergic, alpha-2C-, receptor	5.55	0.0132
FEZ2	NM_005102       Fasciculation and elongation protein zeta 2 (zygin II)	5.55	0.000262
DDX5	NM_004396       DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	5.53	5.22E-05
NGL-1	NM_020929       Leucine rich repeat containing 4C	5.52	2.85E-06
BBX	NM_020235       Bobby sox homolog (Drosophila)	5.5	0.000336
HOXC9	NM_006897       Homeobox C9	5.5	0.000301
STX7	AJ420529          Syntaxin 7	5.46	0.000306
PHLDA1	NM_007350       Pleckstrin homology-like domain, family A, member 1	5.45	5.64E-05
RUVBL1	NM_003707       RuvB-like 1 (E. coli)	5.44	0.00031
RHEB	NM_005614       Ras homolog enriched in brain	5.42	2.51E-05
TGFBR3	NM_003243       Transforming growth factor, beta receptor III	5.41	0.000166
TGFA	NM_003236       Transforming growth factor, alpha	5.4	0.000414
ATP6V1G1	NM_004888       ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1	5.4	0.000191
PDXK	NM_003681       Pyridoxal (pyridoxine, vitamin B6) kinase	5.38	0.00104
TBC1D14	NM_020773       TBC1 domain family, member 14	5.38	0.000161
ZNF435	NM_025231       Zinc finger and SCAN domain containing 16	5.37	0.000377
HARS2	NM_080820       D-tyrosyl-tRNA deacylase 1 homolog (S. cerevisiae)	5.37	0.00052
IGFBP7	NM_001553       Insulin-like growth factor binding protein 7	5.36	1.27E-07
OLFML3	NM_020190       Olfactomedin-like 3	5.36	0.00269
OXSR1	NM_005109       Oxidative-stress responsive 1	5.33	0.000498
FLJ31810	NM_152570       Leucine rich repeat and Ig domain containing 2	5.3	0.000108
SDCCAG33	NM_005786       Teashirt zinc finger homeobox 1	5.3	0.000118
ATP1B3	NM_001679       ATPase, Na+/K+ transporting, beta 3 polypeptide	5.29	6.14E-05
CHL1	NM_006614       Cell adhesion molecule with homology to L1CAM	5.29	5.84E-05
C6orf111	NM_032870       Splicing factor, arginine/serine-rich 18	5.28	6.66E-05
IGSF4	NM_014333       Cell adhesion molecule 1	5.28	5.51E-05
TGFB1I4	NM_183422       TSC22 domain family, member 1	5.28	5.08E-05
GOLPH4	NM_014498       Golgi integral membrane protein 4	5.26	0.000195
DUT	NM_001948       Deoxyuridine triphosphatase	5.2	0.000356
MYEF2	NM_016132       Myelin expression factor 2	5.2	0.00176
SUSD1	NM_022486       Sushi domain containing 1	5.18	0.00371
MPDZ	NM_003829       Multiple PDZ domain protein	5.16	9.06E-05
HOXB6	NM_156036       homeo box B6	5.13	0.000819
SH2D4A	NM_022071       SH2 domain containing 4A	5.13	0.000129
NRXN3	NM_004796       Neurexin 3	5.11	0.000545
CTSB	NM_147780       Cathepsin B	5.08	3.91E-05
CKLF	NM_016951       Chemokine-like factor	5.04	5.13E-05
PSD3	NM_118730       pleckstrin and Sec7 domain containing 3	5.03	0.00131
PXK	NM_017771       PX domain containing serine/threonine kinase	5.02	0.00304
TNFRSF25	NM_148965       Tumor necrosis factor receptor superfamily, member 25	4.99	0.000624
NNT	NM_012343       Nicotinamide nucleotide transhydrogenase	4.98	0.000451
HECTD1	NM_015382       HECT domain containing 1	4.97	0.000333
CYB5R2	NM_016229       Cytochrome b5 reductase 2	4.94	0.000591
TWIST2	NM_057179       Twist homolog 2 (Drosophila)	4.92	0.00328
FLJ20758	NM_017952       Small nucleolar RNA, C/D box 94	4.91	8.32E-05
SELENBP1	NM_003944       Selenium binding protein 1	4.9	0.00881
BLVRA	NM_000712       Biliverdin reductase A	4.89	0.00025
RIPK5	NM_015375       Receptor interacting protein kinase 5	4.88	8.46E-05
BMP7	NM_001719       Bone morphogenetic protein 7 (osteogenic protein 1)	4.86	9.56E-05
JAG1	NM_000214       Jagged 1 (Alagille syndrome)	4.82	0.000919
SAP30	NM_003864       Sin3A-associated protein, 30kDa	4.81	0.000122
NAP1L1	NM_139207       Nucleosome assembly protein 1-like 1	4.8	0.000418
ATP6V1C1	NM_001695       ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	4.8	0.000513
SEC23A	NM_006364       Sec23 homolog A (S. cerevisiae)	4.79	0.000491
DDAH2	NM_013974       Dimethylarginine dimethylaminohydrolase 2	4.77	0.00188
RORA	NM_134260       RAR-related orphan receptor A	4.76	0.000489
SLC1A5	NM_005628       Solute carrier family 1, member 5	4.76	0.00102
IFI44	NM_006417       Interferon-induced protein 44	4.76	0.0114
RRAGA	NM_006570       Ras-related GTP binding A	4.76	0.000329
TANK	NM_004180       TRAF family member-associated NFKB activator	4.75	0.000217
C20orf108	NM_080821       Chromosome 20 open reading frame 108	4.75	0.00382
EFNA3	NM_004952       Ephrin-A3	4.74	0.000264
BNIP3L	NM_004331       BCL2/adenovirus E1B 19kDa interacting protein 3-like	4.72	0.00112
ITPR1	NM_002222       Inositol 1,4,5-triphosphate receptor, type 1	4.7	0.0033
SLC24A3	NM_020689       Solute carrier family 24, member 3	4.69	0.00091
ITM2C	NM_030926       Integral membrane protein 2C	4.68	0.00226
CSPG2	NM_004385       Versican	4.67	0.000533
FLJ20315	NM_017763       Ring finger protein 43	4.66	0.000196
NID67	NM_032947       MSTP150	4.64	0.000153
DZIP3	NM_014648       DAZ interacting protein 3, zinc finger	4.64	0.00179
USP11	NM_004651       Ubiquitin specific peptidase 11	4.64	0.000149
TAX1BP1	NM_006024       Tax1 (human T-cell leukemia virus type I) binding protein 1	4.63	8.50E-05
CAPS	NM_004058       Calcyphosine	4.63	0.000327
WIPI49	NM_017983       WD repeat domain, phosphoinositide interacting 1	4.62	0.000464
RASL11A	NM_206827       RAS-like, family 11, member A	4.61	0.000125
PIM1	NM_002648       Pim-1 oncogene	4.61	0.00126
PKP4	NM_003628       Plakophilin 4	4.6	0.00194
GPD1L	NM_015141       Glycerol-3-phosphate dehydrogenase 1-like	4.58	0.000209
ANKRD36B	NM_020970       ankyrin repeat domain 36B	4.57	0.00492
ARL4A	NM_005738       ADP-ribosylation factor-like 4A	4.55	0.0011
C14orf129	NM_016472       Chromosome 14 open reading frame 129	4.54	0.00074
SLC24A4	NM_153646       Solute carrier family 24, member 4	4.53	0.00169
LAPTM4A	NM_014713       Lysosomal-associated protein transmembrane 4 alpha	4.52	3.20E-05
FBXO18	NM_178150       F-box protein, helicase, 18	4.51	0.00234
UGCG	NM_003358       UDP-glucose ceramide glucosyltransferase	4.5	0.00076
ATOX1	NM_004045       ATX1 antioxidant protein 1 homolog (yeast)	4.49	0.000543
CYB5-M	NM_030579       Cytochrome b5 type B (outer mitochondrial membrane)	4.48	0.0157
ATP6V0B	NM_004047       ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b	4.46	0.00123
SMAD3	NM_005902       SMAD family member 3	4.45	0.0016
ACOT7	NM_181862       acyl-CoA thioesterase 7	4.44	0.000198
FN1	NM_002026       Fibronectin 1	4.44	0.000401
ZNF184	NM_007149       Zinc finger protein 184	4.44	0.000276
SLC15A4	NM_145648       Solute carrier family 15, member 4	4.41	0.000769
BCL6	NM_138931       B-cell CLL/lymphoma 6	4.39	0.000101
GRPEL2	NM_152407       GrpE-like 2, mitochondrial (E. coli)	4.38	0.00492
ZA20D2	NM_006007       Zinc finger, AN1-type domain 5	4.38	0.00128
EPM2AIP1	NM_014805       EPM2A (laforin) interacting protein 1	4.37	0.000253
DNAJD1	NM_013238       DnaJ (Hsp40) homolog, subfamily C, member 15	4.37	0.000367
BBP	NM_032027       TM2 domain containing 1	4.37	0.000244
SQLE	NM_003129       Squalene epoxidase	4.37	0.000242
MYO10	NM_012334       Myosin X	4.36	0.00184
DCXR	NM_016286       Dicarbonyl/L-xylulose reductase	4.36	7.13E-05
MKL2	NM_014048       MKL/myocardin-like 2	4.35	0.00707
FLJ23560	NM_024685       Bardet-Biedl syndrome 10	4.35	0.00145
CKLFSF3	NM_144601       CKLF-like MARVEL transmembrane domain containing 3	4.35	0.000144
DYRK1A	NM_001396       Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	4.33	0.000326
BMI1	NM_005180       BMI1 polycomb ring finger oncogene	4.33	0.00108
RANBP2L1	NM_005054       RANBP2-like and GRIP domain containing 5	4.33	0.000588
DHCR7	NM_001360       7-dehydrocholesterol reductase	4.33	0.00978
CD200	NM_005944       CD200 molecule	4.32	0.0151
HSF2	NM_004506       Heat shock transcription factor 2	4.31	0.00147
XPOT	NM_007235       Exportin, tRNA (nuclear export receptor for tRNAs)	4.31	0.000963
TARDBP	NM_007375       TAR DNA binding protein	4.29	8.98E-05
MGST2	NM_002413       Microsomal glutathione S-transferase 2	4.28	0.0123
CNOT2	NM_014515       CCR4-NOT transcription complex, subunit 2	4.28	0.000161
TIMELESS	NM_003920       Timeless homolog (Drosophila)	4.27	0.00145
RNF6	NM_005977       Ring finger protein (C3H2C3 type) 6	4.26	0.00011
SNF7DC2	NM_016410       Chromatin modifying protein 5	4.26	0.000185
CENTB1	NM_014716       Centaurin, beta 1	4.26	0.00101
KIAA1797	NM_017794       KIAA1797	4.26	0.000357
FLJ31951	NM_144726       Ring finger protein 145	4.25	0.000272
PTPNS1	NM_080792       Signal-regulatory protein alpha	4.25	0.00221
DDEF1	NM_018482       Development and differentiation enhancing factor 1	4.24	0.00262
ASGR1	NM_001671       Asialoglycoprotein receptor 1	4.23	0.00234
ACYP1	NM_001107       Acylphosphatase 1, erythrocyte (common) type	4.23	0.000233
SNAPC1	NM_003082       Small nuclear RNA activating complex, polypeptide 1, 43kDa	4.22	0.000679
EIF4G2	NM_001418       Eukaryotic translation initiation factor 4 gamma, 2	4.22	0.000174
ARNT2	NM_014862       Aryl-hydrocarbon receptor nuclear translocator 2	4.19	0.000162
FOSL2	NM_005253       FOS-like antigen 2	4.19	0.00691
CAB39	NM_016289       Calcium binding protein 39	4.19	0.00109
MAP3K7	NM_003188       Mitogen-activated protein kinase kinase kinase 7	4.18	0.00167
RNASEL	NM_021133       Ribonuclease L (2,5-oligoisoadenylate synthetase-dependent)	4.18	0.000406
NAP1L1	NM_139207       Nucleosome assembly protein 1-like 1	4.17	0.00192
BTBD1	NM_025238       BTB (POZ) domain containing 1	4.17	0.00038
TUBD1	NM_016261       Tubulin, delta 1	4.16	0.00107
HIBADH	NM_152740       3-hydroxyisobutyrate dehydrogenase	4.15	0.000382
LGALS1	NM_002305       Lectin, galactoside-binding, soluble, 1 (galectin 1)	4.15	0.000289
BTG3	NM_006806       BTG family, member 3	4.15	0.00206
UXS1	NM_025076       UDP-glucuronate decarboxylase 1	4.14	0.00559
C1GALT1C1	NM_152692       C1GALT1-specific chaperone 1	4.13	0.000935
CBLB	NM_170662       Cas-Br-M (murine) ecotropic retroviral transforming sequence b	4.12	0.000396
CHST1	NM_003654       Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	4.12	0.0044
CRSP8	NM_004269       Mediator complex subunit 27	4.11	0.000121
NTNG2	NM_032536       Netrin G2	4.11	0.00138
AK172861	AK172861         Kringle containing transmembrane protein 1	4.09	0.00114
SKP1A	NM_006930       S-phase kinase-associated protein 1	4.09	0.000185
PGK1	NM_000291       Phosphoglycerate kinase 1	4.09	0.000308
SACS	NM_014363       Spastic ataxia of Charlevoix-Saguenay (sacsin)	4.07	0.0141
HOXB5	NM_002147       Homeobox B5	4.07	0.0025
C10orf45	NM_031453       Family with sequence similarity 107, member B	4.05	0.00228
PTPRG	NM_002841       Protein tyrosine phosphatase, receptor type, G	4.03	0.00142
RCN2	NM_002902       Reticulocalbin 2, EF-hand calcium binding domain	4.03	0.00303
GTF3C1	NM_001520       General transcription factor IIIC, polypeptide 1, alpha 220kDa	4.03	0.00392
OCRL	NM_000276       Oculocerebrorenal syndrome of Lowe	4.03	0.000331
ZDHHC17	NM_015336       Zinc finger, DHHC-type containing 17	4.02	0.000167
DR1	NM_001938       Down-regulator of transcription 1, TBP-binding (negative cofactor 2)	4.02	0.00187
FYN	NM_002037       FYN oncogene related to SRC, FGR, YES	4.02	0.0009
LAMA2	NM_000426       Laminin, alpha 2 (merosin, congenital muscular dystrophy)	4.01	0.00224
ARNT2	NM_014862       Aryl-hydrocarbon receptor nuclear translocator 2	4	0.000345
SUZ12	NM_015355       Suppressor of zeste 12 homolog (Drosophila)	3.98	0.000859
LAMP1	NM_005561       Lysosomal-associated membrane protein 1	3.97	0.000714
TLL1	NM_012464       Tolloid-like 1	3.96	0.0103
CGI-116	NM_016053       Coiled-coil domain containing 53	3.96	0.00097
PAIP2	NM_016480       Poly(A) binding protein interacting protein 2	3.95	0.000231
TTLL1	NM_012263       Tubulin tyrosine ligase-like family, member 1	3.95	0.0031
SLC2A12	NM_145176       Solute carrier family 2 (facilitated glucose transporter), member 12	3.94	0.00114
TMEM44	NM_138399       Transmembrane protein 44	3.94	0.00345
PFN2	NM_002628       Profilin 2	3.93	0.00229
CRABP2	NM_001878       Cellular retinoic acid binding protein 2	3.93	0.0033
NAV2	NM_182964       Neuron navigator 2	3.92	0.00536
PRKRA	NM_003690       Protein kinase, interferon-inducible double stranded RNA dependent activator	3.92	2.07E-05
VIM	NM_003380       Vimentin	3.91	0.000421
C6orf33	NM_133367       Progestin and adipoQ receptor family member VIII	3.91	0.00239
TSPYL5	NM_033512       TSPY-like 5	3.9	0.000154
FLJ21827	NM_020153       Chromosome 11 open reading frame 60	3.9	0.00105
NOTUM	NM_178493       Notum pectinacetylesterase homolog (Drosophila)	3.9	0.00164
RANBP2L1	NM_005054       RANBP2-like and GRIP domain containing 5	3.89	0.00111
FADS1	NM_013402       Fatty acid desaturase 1	3.89	0.00175
RALBP1	NM_006788       RalA binding protein 1	3.88	0.00156
BAZ2B	NM_013450       Bromodomain adjacent to zinc finger domain, 2B	3.88	0.00125
PBP	NM_002567       Phosphatidylethanolamine binding protein 1	3.88	7.30E-05
HEY2	NM_012259       Hairy/enhancer-of-split related with YRPW motif 2	3.88	0.00114
C7orf32	NM_145230       ATPase, H+ transporting V0 subunit e2	3.87	0.000461
FSIP2	NM_173651       fibrous sheath interacting protein 2	3.86	4.56E-05
MATR3	NM_018834       Matrin 3	3.86	0.000733
KLF7	NM_003709       Kruppel-like factor 7 (ubiquitous)	3.85	0.000528
LAMA3	NM_000227       Laminin, alpha 3	3.85	0.00033
PLS3	NM_005032       Plastin 3 (T isoform)	3.85	0.00577
PRKAR1A	NM_002734       Protein kinase, cAMP-dependent, regulatory, type I, alpha	3.84	0.0089
C1orf51	NM_144697       Chromosome 1 open reading frame 51	3.84	0.00805
ARPC2	NM_152862       Actin related protein 2/3 complex, subunit 2, 34kDa	3.83	0.000305
CDC14B	NM_003671       CDC14 cell division cycle 14 homolog B (S. cerevisiae)	3.83	0.00595
FLJ14825	NM_032847       Chromosome 8 open reading frame 76	3.82	0.00151
LOC112476	NM_145239       Proline-rich transmembrane protein 2	3.81	0.00292
XPOT	NM_007235       Exportin, tRNA (nuclear export receptor for tRNAs)	3.81	0.0036
CUL5	NM_003478       Cullin 5	3.8	0.00212
NOTCH2	NM_024408       Notch homolog 2 (Drosophila)	3.8	0.0171
PIGB	NM_004855       Phosphatidylinositol glycan anchor biosynthesis, class B	3.79	0.000951
MCM6	NM_005915       Minichromosome maintenance complex component 6	3.79	0.00547
GSS	NM_000178       Glutathione synthetase	3.77	0.000339
GRN	NM_002087       Granulin	3.77	0.00378
HK1	NM_033500       Hexokinase 1	3.76	0.00102
SLC20A2	NM_006749       Solute carrier family 20 (phosphate transporter), member 2	3.76	0.00503
FCHSD2	NM_014824       FCH and double SH3 domains 2	3.75	0.00251
FLJ20156	NM_017691       Leucine rich repeat containing 49	3.74	0.00111
SEC31L2	NM_015490       SEC31 homolog B (S. cerevisiae)	3.74	0.00121
ACYP2	NM_138448       Acylphosphatase 2, muscle type	3.73	0.00113
ACAS2	NM_018677       Acyl-CoA synthetase short-chain family member 2	3.72	0.000253
ECHS1	NM_004092       Enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	3.72	0.00052
MRPL33	NM_004891       Mitochondrial ribosomal protein L33	3.72	0.000608
UBADC1	NM_016172       UBA domain containing 1	3.71	0.000722
KLHL8	NM_020803       Kelch-like 8 (Drosophila)	3.71	0.000474
KDELC1	NM_024089       KDEL (Lys-Asp-Glu-Leu) containing 1	3.7	0.000771
TCN2	NM_000355       Transcobalamin II; macrocytic anemia	3.7	0.0085
CAPN10	NM_023087       calpain 10	3.68	6.35E-05
PHF13	NM_153812       PHD finger protein 13	3.67	0.000622
IER5	NM_016545       Immediate early response 5	3.67	0.00138
LRRFIP2	NM_017724       Leucine rich repeat (in FLII) interacting protein 2	3.67	0.00128
FLJ20331	NM_017768       Leucine rich repeat containing 40	3.67	0.000544
PKM2	NM_182470       Pyruvate kinase, muscle	3.67	0.000615
AIP1	NM_012301       Membrane associated guanylate kinase, WW and PDZ domain containing 2	3.65	0.00134
DDX24	NM_020414       DEAD (Asp-Glu-Ala-Asp) box polypeptide 24	3.64	0.000487
ZNF185	NM_007150       Zinc finger protein 185 (LIM domain)	3.64	0.00864
