AffyID	AverageRatio SCARKO/Contr	Gene Symbol
1434027_at	1.15	Dscr1l2
1416632_at	1.15	Mod1
1434044_at	1.15	Repin1
1421824_at	1.15	Bace
1416774_at	1.14	Wee1
1421892_at	1.14	Siat5
1417869_s_at	1.14	Ctsz
1448488_at	1.14	Mrps5
1418389_at	1.14	2810453I06Rik
1431980_a_at	1.13	Cyt19-pending
1452181_at	1.13	5630400A09Rik
1415907_at	1.13	Ccnd3
1416896_at	1.13	Rps6ka1
1448124_at	1.13	Gus
1450864_at	1.13	Calm2
1416357_a_at	1.13	Mcam
1416837_at	1.13	Bax
1416135_at	1.13	Apex1
1448786_at	1.13	1100001H23Rik
1460346_at	1.12	Arsa
1426427_at	1.12	Ttll1
1423543_at	1.12	Swap70
1421568_at	1.12	Kcna6
1428052_a_at	1.12	5830412B09Rik
1422688_a_at	1.12	Nras
1448111_at	1.12	Ctps2
1423054_at	1.12	Wdr1
1450919_at	1.12	Mpp1
1451703_s_at	1.12	Aprt
1434278_at	1.10	---
1434433_x_at	1.10	2700038L12Rik
1448060_at	1.10	Sema6d
1435830_a_at	1.10	5430435G22Rik
1418663_at	1.10	Mpdz
1448205_at	1.10	Ccnb1
1417774_at	1.10	Nans
1424426_at	1.09	Mtap
1424866_at	1.07	C630032K07Rik
1448690_at	1.03	Kcnk1
1424426_at	1.09	Mtap
1424866_at	1.07	C630032K07Rik
1448690_at	1.03	Kcnk1
