HGNC ID	Name	Fold differenceMK/EB
MLC1	Membrane protein MLC1	3.3
DHCR24	Delta(14)-sterol reductase	3.3
PHEMX	Phemx protein.	3.3
STXBP2	Syntaxin binding protein 2	3.2
NAT8	N-acetyltransferase 8	3.1
BAT5	BAT5 Protein	3.1
PLP2	Intestinal membrane A4 protein	3.0
MDK	Midkine precursor	2.9
PTPLA	Protein tyrosine phosphatase-like, member a	2.9
PTAFR	Platelet activating factor receptor	2.9
TSPAN18	Tetraspanin similiar to uroplakin 1	2.8
IL9R	Interleukin-9 receptor precursor	2.8
ARMCX1	ALEX1 protein	2.8
RAG1AP1	stromal cell protein	2.7
GPR171	Probable G protein-coupled receptor H963.	2.7
SLC29A3	Solute carrier family 29, member 3	2.7
c1orf75	c1orf75	2.7
CGRRF1	cell growth regulator with ring finger domain 1	2.6
PDIA4	Protein disulfide isomerase A4	2.6
PPIB	Peptidyl-prolyl cis-trans isomerase B	2.6
TRPM4	Transient receptor potential cation channel, subfamily M, member 4	2.6
TSN9	Tetraspan NET-5	2.6
IL21R	Interleukin 21 receptor	2.6
ICAM2	Intercellular adhesion molecule-2 (CD102 antigen)	2.6
C9orf125	C9orf125	2.5
SLC6A20	Solute carrier family 20, member 2	2.5
ADAM10	ADAM 10	2.5
NPR3	Atrial natriuretic peptide clearance receptor	2.5
RAMP1	Receptor activity-modifying protein 1	2.5
COMT	Catechol O-methyltransferase, membrane-bound form	2.4
SDF2L1	Stromal cell-derived factor 2-like protein 1	2.4
APOB	Apolipoprotein B-100	2.4
DAD1	Defender against cell death 1	2.4
FUT8	Alpha-(1,6)-fucosyltransferase	2.3
BACE2	Beta secretase 2	2.3
INSIG2	Insulin induced protein 2	2.3
NT5C3	5-nucleotidase, cytosolic III	2.3
VANGL1	Vang-like protein 1	2.3
NRP1	Neuropilin-	2.3
SYT11	Synaptotagmin XI	2.3
RHO	Rhodopsin	2.3
TLR9	Toll-like receptor 9 precursor.	2.3
SPINT2	Kunitz-type protease inhibitor 2	2.2
ROBO2	Roundabout homolog 2	2.2
BTN3A3	Butyrophilin, subfamily 3, member A3	2.2
c9orf46	c9orf46	2.2
TREML2	triggering receptor expressed on myeloid cells-like 2	2.2
ST8SIA2	Alpha-2,8-sialyltransferase 8B	2.2
TMEM63A	transmembrane protein 63A	2.2
SLC39A4	solute carrier family 39 (zinc transporter), member 4	2.2
EMD	Emerin	2.2
ARL6IP5	PRA1 family protein 3	2.2
ROBO3	Roundabout homolog 3	2.2
STARD3NL	MLN64 N-terminal domain homolog	2.2
PTGER3	Prostaglandin E2 receptor	2.2
TRI27	Ret finger protein 2	2.2
SYPL1	Pantophysin	2.1
RNF130	Ring finger protein 130	2.1
CD4	T-cell surface glycoprotein CD4	2.1
SSR1	Translocon-associated protein, alpha subunit	2.1
VAMP3	Vesicle-associated membrane protein 3	2.1
TM2D2	BBP-like protein 1	2.1
GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial precursor	2.1
RARRES2	Retinoic acid receptor responder protein 3	2.1
CD99L2	CD99 antigen-like 2	2.1
TRAM1	Translocation associated membrane protein 1	2.1
GPR56	G protein-coupled receptor 56	2.0
DHCR24	24-dehydrocholesterol reductase	2.0
TPSNR	Tapasin-related protein precursor	2.0
NP_776161	Laeverin	2.0
RFP2	Ret finger protein 2	2.0
