symbol	CCN  tpm	HES3  tpm	HES4  tpm
CRSP6	20	5	19
CRSP8	20	54	34
CRTC1	40	5	0
CSDA	40	10	10
CSNK1E	139	5	24
CTBP1	40	39	19
CTBP2	99	5	5
CTDSP1	40	63	10
CTDSP2	20	5	5
CTDSPL	40	10	24
CTNNB1	20	156	58
CTNNBIP1	59	24	10
CUL1	59	112	58
CUL4A	20	10	5
CUTL1	20	5	5
CXCL12	20	404	5
CXORF15	20	5	5
DAP3	99	54	5
DAXX	59	10	39
DCAMKL1	20	5	10
DDB1	119	10	5
DDB2	20	5	10
DDX5	79	29	5
DDX54	40	146	10
DEAF1	40	49	78
DEDD	20	10	5
DEK	356	29	58
DHX9	20	190	15
DIXDC1	20	15	15
DKK3	119	5	34
DLL1	40	15	19
DMTF1	20	5	5
DNAJA3	59	5	5
DNAJB6	59	151	151
DNMT1	79	5	73
DNTTIP1	40	34	15
DR1	20	5	5
DRAP1	257	112	73
DSCR1	20	15	5
DUSP1	79	10	5
DUSP22	20	19	5
DUSP3	20	5	5
DUSP4	20	5	5
DVL1	158	88	73
DYRK1B	59	19	5
E2F1	40	10	5
E2F3	40	29	5
E2F4	20	5	5
E2F5	20	5	5
E2F7	20	10	5
ECT2	79	88	15
EDF1	40	15	5
EEF1D	20	10	5
EGR1	158	49	5
EID1	0	0	0
EIF2S1	20	5	5
EIF4G2	40	5	190
ELF2	20	24	5
ELK1	20	39	39
ELK3	20	5	15
ELL	40	5	5
ELL2	20	5	10
ELP3	20	24	5
ENO1	20	10	122
EP300	20	19	19
EPC1	20	5	5
EPN2	20	5	5
ERBB2	79	88	5
ERBB2IP	20	5	19
ERCC2	59	19	10
ERCC3	79	24	5
ERF	139	83	5
ESRRA	40	44	10
ETF1	20	5	5
ETS1	337	5	15
ETS2	20	29	15
ETV1	20	5	10
ETV6	40	5	5
EWSR1	139	5	19
EZH2	119	63	49
F2R	79	5	10
FADD	79	19	54
FGFR1	20	5	5
FHIT	20	5	19
FKBP1A	20	19	15
FLII	59	5	29
FN1	20	112	5
FOS	59	5	487
FOSB	40	5	0
FOXA2	79	39	10
FOXD3	40	5	10
FOXK2	40	5	15
FOXM1	20	58	5
FOXO1A	20	19	5
FOXO3A	20	10	15
FOXP1	20	5	5
FOXP4	59	5	487
FRAT1	20	5	5
FUBP1	20	5	5
FUBP3	40	5	5
FZD2	59	39	5
FZD3	20	19	15
FZD6	20	5	5
FZD7	20	19	10
GABPA	20	29	29
GABPB2	20	10	10
GAS6	40	19	5
GCN5L2	40	24	10
GJA1	79	15	19
GLI2	20	19	15
GLI3	99	5	5
GLMN	20	5	5
GNA12	59	39	5
GNA13	40	10	15
GNAQ	20	5	15
GRB10	40	19	5
GRB2	40	5	5
GRIP1	20	5	5
GRLF1	20	10	5
GRN	79	5	5
GSK3B	20	5	10
GSTP1	20	5	15
GTF2A1	20	34	10
GTF2A2	20	54	93
GTF2B	119	19	39
GTF2F1	20	29	545
GTF2F2	139	5	5
GTF2H4	20	10	19
GTF2I	178	5	5
GTF3C1	40	5	5
GTF3C2	20	5	5
GTF3C3	99	10	5
GTF3C4	20	10	10
GTF3C5	59	5	5
HCFC1	40	19	34
HDAC1	20	5	39
HDAC10	20	19	10
HDAC2	40	29	5
HDAC3	20	5	5
HDAC5	59	5	5
HDAC7A	59	44	29
HDAC9	40	15	5
HES1	40	10	44
HES6	416	44	29
HGS	20	83	5
HIF1A	20	10	5
HIP1	20	5	10
HIPK2	20	5	10
HIRA	99	10	24
HLTF	0	0	0
HMGA1	40	58	107
HMGA2	20	34	34
HMGB1	119	10	925
HMGB2	950	375	419
HMGN2	79	5	360
HNRPA1	59	5	29
HNRPAB	20	10	39
HNRPK	20	34	175
HOXA2	20	5	5
HRAS	59	54	34
HSBP1	257	24	44
HSF1	20	34	5
HSP90B1	20	467	273
HTATIP2	59	63	5
ID1	337	5	10
ID2	40	78	10
ID3	20	156	5
ID4	40	5	19
IFNAR1	20	5	44
IFRD1	20	29	5
IGF2	20	5	5
IGFBP2	20	394	10
IGFBP3	20	29	5
IGFBP4	20	97	88
IGFBP5	178	10	5
IKBKAP	40	10	10
IKBKB	20	5	10
IL2RA	20	10	5
IL6ST	20	5	3394
ILF2	198	24	5
ILF3	20	5	5
ILK	59	141	63
ING1	20	10	5
INHBE	20	5	5
INPPL1	79	117	58
IQGAP1	20	29	10
IRAK1	337	88	68
ITGA5	158	10	10
ITGA6	20	15	15
ITGAV	59	15	39
ITGB1	59	5	5
ITSN1	20	5	5
IVNS1ABP	20	19	10
JARID2	20	5	112
JAZF1	20	5	10
JMJD1C	20	5	5
JUN	20	10	93
JUNB	20	5	5
JUND	99	68	24
JUP	20	180	112
KHDRBS1	20	5	10
KHDRBS3	40	5	49
KLF16	20	54	5
KLF5	20	5	5
KLF6	40	19	15
KLF7	40	5	15
KPNA2	99	166	19
KRAS	0	44	5
LBH	59	5	15
LEP	1168	297	765
LEPR	20	10	5
LGALS1	20	29	10
LHCGR	59	5	5
LIMD1	40	5	5
LITAF	59	10	146
LMCD1	40	15	10
LMNA	79	15	39
LMO4	20	5	10
LRCH4	20	5	5
LRRFIP2	59	5	5
LYN	20	10	5
MACF1	59	5	5
MAFF	20	156	200
MAGED1	158	5	5
MAML1	20	5	49
MAP2K1	40	39	5
MAP2K1IP1	20	29	78
MAP2K5	20	10	5
MAP2K7	79	10	10
MAP3K1	40	15	10
MAP3K11	119	49	10
MAP3K2	20	5	5
MAP3K7IP1	20	19	5
MAP3K7IP2	20	19	34
MAP4K4	20	29	5
MAPK1	20	5	5
MAPK14	20	29	5
MAPK3	79	5	10
MAPK7	20	5	39
MAPK8	20	10	5
MAPK8IP1	20	39	19
MAPKAPK2	20	68	5
MAPKAPK3	20	5	54
MAX	20	5	10
MAZ	40	44	10
MBD1	20	19	5
MBD2	20	29	10
MBD3	20	5	5
MCM5	99	5	5
MCM7	257	589	10
MCRS1	20	44	5
MDM2	20	24	24
MDM4	59	5	5
MDS1	20	10	10
MECP2	40	10	10
MED12	40	10	15
MED28	20	15	15
MED4	20	10	68
MEF2A	20	5	5
MEF2B	20	15	5
MEF2D	20	10	5
MEIS2	20	5	15
MEN1	20	15	5
MIF	515	5	5
MIZF	40	19	34
MKL2	20	5	5
MLL	20	10	10
MNAT1	20	5	5
MNT	20	5	19
MPG	20	73	34
MSX1	139	44	15
MSX2	20	5	5
MTA1	20	170	5
MTF1	20	5	5
MTPN	79	5	19
MXD3	40	10	5
MXD4	20	5	15
MXI1	20	5	5
MYBBP1A	20	54	5
MYBL2	158	5	5
MYCBP2	40	29	10
MYCN	20	5	5
MYD88	20	10	5
MYEF2	20	10	15
MYH9	20	15	10
MYO6	20	5	5
MYST3	20	10	19
MYST4	20	5	10
MZF1	0	0	0
NAB1	20	5	5
NAB2	79	34	63
NAP1L1	20	39	10
NARG1	59	24	5
NCAM1	20	5	49
NCOA1	20	15	5
NCOA2	20	5	5
NCOA3	20	15	15
NCOA4	20	5	34
NCOA5	40	19	5
NCOA6	40	10	5
NCOR1	79	5	5
NCOR2	20	24	5
NDN	158	5	5
NDNL2	20	5	5
NEK6	20	5	5
NFAT5	20	5	5
NFATC2IP	40	10	54
NFE2L1	59	15	10
NFE2L2	99	10	24
NFKB2	20	5	10
NFKBIA	20	10	5
NFKBIB	40	5	5
NFX1	20	5	5
NFYA	20	10	5
NFYC	20	10	15
NKRF	20	19	15
NME1	20	5	5
NME2	20	321	584
NOLC1	20	5	5
NOTCH1	59	15	10
NOTCH2	59	29	5
NOTCH3	20	73	49
NR1D2	20	5	5
NR1H2	20	34	19
NR2F1	20	5	10
NR2F2	59	5	10
NR2F6	20	117	141
NR6A1	20	5	5
NRAS	99	63	5
NRG1	59	5	10
NRIP1	59	5	5
NRIP2	2020	243	190
NSBP1	20	5	10
NSD1	20	5	5
NUP62	20	10	5
OGT	20	15	15
ORC1L	20	39	34
ORC2L	20	19	5
PA2G4	20	5	15
PABPN1	59	54	200
PAK2	99	15	10
PARD3	20	5	5
PARP1	99	209	34
PATZ1	0	0	0
PAWR	20	15	5
PAX3	20	5	10
PAX6	40	10	10
PBX1	20	5	5
PCGF2	20	5	15
PCOLN3	40	5	5
PCQAP	40	5	5
PDCD11	20	5	5
PDCD4	40	5	10
PDGFA	20	5	10
PDLIM1	20	88	10
PDPK1	20	5	5
PEA15	20	10	19
PEBP1	317	5	200
PEG10	20	10	5
PELP1	20	102	54
PER1	20	44	19
PFDN5	20	336	5
PFN1	238	29	10
PHB	99	24	10
PHF12	40	10	24
PHF5A	40	10	5
PIAS3	40	15	34
PIAS4	20	15	5
PIN1	40	73	49
PITX2	20	10	5
PKN1	20	5	5
PKN2	20	5	5
PKNOX1	20	5	5
PLK2	59	5	5
PMF1	40	5	68
PML	20	15	5
PODXL	59	10	29
POLR1C	20	5	34
POLR2A	20	83	29
POLR2B	20	5	34
POLR2C	20	19	5
POLR2E	59	219	5
POLR2F	139	5	5
POLR2G	59	122	5
POLR2I	40	78	5
POLR2J	20	5	78
POLR2L	20	19	15
POLR3H	40	5	10
POLRMT	59	34	5
POMC	20	5	10
POU2F1	20	10	15
PPARBP	79	5	15
PPARD	40	5	5
PPIE	20	15	5
PPM1D	40	5	10
PPP1CC	475	15	10
PPP1R8	20	39	44
PPP2R5C	20	5	5
PPP3CA	20	5	5
PPP4C	20	131	136
PPP5C	119	5	10
PQBP1	20	54	63
PRDM2	20	5	10
PRDM4	20	10	15
PRDX1	178	24	19
PREB	20	5	44
PRIM1	20	29	15
PRIM2A	40	5	44
PRKAR1A	20	54	78
PRKAR2A	20	5	5
PRKAR2B	20	15	29
PRKCA	20	5	19
PRKCI	40	10	5
PRKDC	79	5	19
PRMT2	40	15	5
PRPF6	0	0	0
PSEN1	20	5	5
PSMC3	139	200	127
PSMC5	40	5	5
PSMD14	40	136	5
PSMD9	40	39	19
PTBP1	475	5	10
PTEN	20	5	5
PTGES2	20	10	5
PTK2	20	5	5
PTMA	376	5	5
PTMS	40	229	219
PTPN1	20	5	39
PTPN11	40	34	5
PTRF	297	10	49
PTTG1	99	5	5
PURB	20	10	5
PXN	79	5	5
PYCARD	79	34	29
PYGO2	59	5	19
RAC1	158	351	331
RAC3	79	5	5
RAF1	59	5	10
RALBP1	20	5	5
RAP1A	20	10	5
RAPGEF1	20	5	49
RARA	20	5	5
RARG	20	29	10
RASA1	20	5	5
RBBP7	20	19	5
RBBP8	40	5	5
RBM14	139	49	24
RBM39	0	0	0
RBM9	79	5	15
RBPSUH	20	10	5
RBX1	178	5	156
RDBP	218	5	141
RELA	20	5	5
RFWD2	59	19	15
RFXANK	99	49	24
RGS12	20	10	5
RHOA	20	19	97
RHOB	356	5	5
RHOC	20	5	44
RING1	20	15	15
RIPK2	20	5	29
RNF11	40	10	5
RNF14	20	5	5
RNF2	20	10	15
RNF6	20	15	15
RNPS1	40	10	5
RPL6	1228	10	5
RPL7A	40	19	5
RRN3	20	15	10
RSF1	0	0	0
RUVBL1	59	5	131
RXRA	20	5	5
RXRB	40	24	5
SAFB	356	102	5
SALL1	79	34	54
SALL2	20	5	58
SALL4	139	5	34
SAP18	20	10	229
SAR1A	99	39	34
SART3	20	34	19
SATB1	40	15	15
SCAP	139	5	29
SEC61A1	20	5	10
SERPINE1	99	10	5
SERTAD1	20	5	5
SET	20	141	19
SF1	79	10	44
SFPQ	20	5	5
SFRP1	20	10	5
SGK	20	19	5
SH3BP2	40	10	5
SHC1	139	19	10
SIN3A	20	5	10
SIN3B	40	5	29
SIRT1	59	63	54
SIRT2	20	19	19
SIX5	20	44	58
SKI	40	10	10
SKIL	79	63	5
SLC19A2	20	5	5
SLC20A1	20	10	5
SLC2A4RG	20	78	5
SLC3A1	20	10	5
SMAD1	20	5	10
SMAD2	40	10	10
SMAD3	99	5	5
SMAD4	20	5	19
SMAD5	20	19	5
SMARCA4	297	10	5
SMARCA5	20	146	5
SMARCC1	20	15	39
SMARCC2	20	5	15
SMARCD1	20	5	5
SMARCD3	40	5	5
SMARCE1	40	29	5
SMURF1	20	10	10
SMURF2	40	5	5
SNAPC3	20	24	10
SNAPC4	20	34	15
SNAPC5	20	15	15
SND1	297	5	5
SNF1LK	20	10	5
SNF1LK2	20	5	5
SNRPC	119	10	141
SNW1	40	34	5
SNX6	20	5	24
SOCS3	79	5	15
SOX10	20	5	15
SOX11	257	5	24
SOX12	139	15	5
SOX2	119	175	19
SOX21	20	24	136
SOX9	40	10	5
SP1	20	5	19
SP2	20	10	5
SP3	59	10	5
SPEN	20	5	10
SPHK2	40	49	5
SQSTM1	20	5	39
SRA1	20	10	10
SREBF1	79	39	39
SREBF2	20	15	5
SRF	40	10	10
SSB	119	5	97
SSRP1	20	200	131
STAG2	20	24	39
STAMBP	20	5	10
STAT1	59	24	5
STAT2	257	122	93
STAT3	20	5	5
STAT5B	40	5	10
STAT6	20	5	10
STATIP1	20	5	19
STK4	20	5	5
STRAP	178	24	409
STUB1	40	44	54
SUFU	40	5	5
SUMO1	20	5	5
SUMO3	59	29	49
SUPT16H	99	5	5
SUPT3H	20	10	15
SUPT4H1	20	10	19
SUPT5H	79	15	10
SURF5	20	54	24
SUV39H1	20	10	24
SUZ12	40	5	10
SYNJ2BP	40	5	5
TADA2L	20	10	0
TADA3L	40	10	19
TAF1	20	19	5
TAF11	20	5	102
TAF15	20	5	73
TAF1B	20	5	5
TAF3	20	5	10
TAF6L	20	15	19
TAF7	40	10	73
TAF9	40	5	5
TAGLN	20	5	15
TARBP2	40	5	34
TARDBP	119	10	5
TAT	40	15	15
TBL1X	20	5	5
TBL1XR1	40	24	24
TBPL1	119	29	34
TBX3	20	5	5
TCEA1	158	5	5
TCEA2	40	15	24
TCEB1	20	127	5
TCEB2	238	263	15
TCEB3	20	24	5
TCERG1	20	10	5
TCF12	79	5	58
TCF19	20	5	5
TCF20	40	5	5
TCF3	40	24	24
TCF4	20	15	5
TCF7	40	10	5
TCF7L1	20	10	68
TCF7L2	20	10	15
TCFL5	40	5	10
TCOF1	178	39	5
TDG	40	24	49
TEAD1	20	5	5
TEAD2	40	44	5
TEAD3	40	721	195
TEAD4	20	73	10
TFAP4	20	10	5
TFCP2	40	15	24
TFDP1	20	15	10
TFDP2	20	19	10
TFG	178	5	5
TGFB1	20	19	24
TGFBR1	20	10	34
TGFBR3	40	10	10
TGIF2	40	54	49
THOC1	40	29	10
THOC4	20	5	5
THRAP1	20	5	15
THRAP3	59	5	5
THRAP4	40	78	24
THRAP5	20	49	5
THRAP6	20	15	29
TIAL1	20	5	44
TIAM1	20	5	15
TIMELESS	20	5	29
TIMP1	59	5	5
TLE1	20	10	10
TLE3	20	34	5
TMF1	40	10	5
TMPO	20	10	5
TNFRSF1A	20	34	19
TNFSF10	79	19	29
TOP1	40	5	5
TOP2A	20	5	10
TOPBP1	20	34	5
TOPORS	40	10	5
TP53	40	5	10
TP53BP1	20	5	19
TP53BP2	79	5	10
TRAF2	20	29	24
TRAF3	20	5	5
TRAPPC2	20	15	24
TRIM13	0	0	0
TRIM16	40	10	10
TRIM24	0	10	5
TRIM27	0	0	0
TRIM28	20	925	5
TRIM38	20	5	0
TRIP11	20	5	5
TRIP13	20	44	5
TRIP4	20	15	5
TROVE2	0	5	5
TRRAP	59	5	10
TSC2	20	15	5
TSC22D1	119	180	131
TSC22D3	59	5	19
TSG101	20	24	44
TTF1	40	5	5
TTF2	20	10	24
TXN	40	10	175
TXNIP	20	10	5
TXNRD1	59	5	5
UBA52	20	730	677
UBE1C	20	73	5
UBE2I	20	5	19
UBP1	20	19	5
UBTF	20	19	24
UCP2	59	73	10
UPF1	79	5	19
VAPA	20	58	5
VDR	40	15	39
VEGFA	0	0	0
VEZF1	0	0	0
VHL	40	34	34
VPS39	59	5	5
VPS4B	20	5	34
VPS72	20	54	44
VRK1	20	5	44
WIPF1	0	0	0
WWP1	20	19	15
WWTR1	20	5	5
XAB2	40	19	24
XBP1	20	5	5
XIST	119	5	19
XRCC6	297	5	628
YAP1	218	5	5
YBX1	59	1188	1281
YWHAH	20	39	63
YWHAQ	20	5	10
YWHAZ	20	5	5
YY1	59	54	5
ZBTB10	20	5	10
ZBTB4	59	5	5
ZBTB7A	20	0	5
ZFP161	40	5	10
ZMYND11	20	10	19
ZNF143	20	19	5
ZNF146	99	10	58
ZNF148	20	5	5
ZNF224	20	5	5
ZNF238	20	10	5
ZNF24	20	10	5
ZNF254	0	0	0
ZNF263	20	39	19
ZNF274	20	19	5
ZNF281	20	5	39
ZNF367	20	5	10
ZNF384	20	5	5
ZNF423	40	19	5
ZNF496	59	10	10
ZNF589	59	10	5
ZNF593	40	19	58
ZNF76	20	5	10
ZNHIT3	20	68	122
