Gene symbol	Gene name	Accession no.	Foldc difference
MX1	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78	M33882	0.48
GBP2	guanylate binding protein 2, IFN-inducible	M55543	0.45
KLF6	Kruppel-like factor 6	U44975	0.45
COL8A1	collagen, type VIII, a 1	X57527	0.45
FN1	fibronectin 1	X02761; K00799; K02273; X00307; X00739	0.45
CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	U47741	0.43
ARHE	ras homologue gene family, member E	X95282	0.43
IL15	interleukin 15	U14407	0.43
KRT19	keratin 19	Y00503	0.43
CDH6	cadherin 6, type 2, K-cadherin ( fetal kidney)	D31784	0.43
LRRC17	leucine rich repeat containing 17	U32907	0.43
DSG2	desmoglein 2	Z26317 S64273	0.42
CASP4	caspase 4, apoptosis-related cysteine protease	U28014 U28015	0.4
KRT4	keratin 4	X67683	0.37
SMAD2	SMAD, mothers against DPP homologue 2	U68018	0.37
KRT14	keratin 14	J00124	0.36
GADD45A	growth arrest and DNA damage–inducible, a	M60974	0.36
CREM	cAMP responsive element modulator	D14825	0.36
TRAM1	translocation associated membrane protein 1	X63679	0.33
MMP7	Matrix metalloproteinase 7 (matrilysin, uterine)	X07819	0.33
IGFBP3	Insulin-like growth factor binding protein 3	M31159; M35878	0.31
KIAA0033	KIAA0033	D26067	0.29
ATF1	Activating transcription factor 1	X55544	0.25
SLK	STE20-like kinase	D86959	0.25
UGT2B15	UDP glycosyltransferase 2 family, polypeptide B15	U08854; X63359; U06641; J05428; Y00317	0.25
TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	U57059	0.17
HRH1	Histamine receptor H1	D28481	0.17
XDH	Xanthine dehydrogenase	U39487	0.17
