Gene ID	Fold Change	q-value (%)	Accession	Unigene	Symbol	Function	Gene Name
204932_at	0.65	2.52	NM_002546	Hs.81791	TNFRSF11B	Immunity	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)
218718_at	0.65	2.52	NM_016205	Hs.43080	PDGFC	Signaling	platelet derived growth factor C
37408_at	0.65	2.52	NM_006039	Hs.7835	MRC2	Vesicles	mannose receptor, C type 2
202479_s_at	0.65	3.03	NM_021643	Hs.155418	GS3955	Other/Unknown	GS3955 protein
204086_at	0.64	2.37	NM_006115	Hs.30743	PRAME	Tumor	preferentially expressed antigen in melanoma
212205_at	0.64	2.37	NM_012412	Hs.301005	H2AV	RNA/DNA	histone H2A.F/Z variant
208812_x_at	0.64	3.03	NM_002117	Hs.277477	HLA-C	Immunity	major histocompatibility complex, class I, C
219529_at	0.63	2.2	NM_004669	Hs.64746	CLIC3	Transporter/Channel	chloride intracellular channel 3
233955_x_at	0.63	2.37	AK001782	Hs.15093	HSPC195	Other/Unknown	hypothetical protein HSPC195
224516_s_at	0.63	2.2	BC006428	Hs.15093	HSPC195	Other/Unknown	hypothetical protein HSPC195
200847_s_at	0.63	1.63	NM_016127	Hs.279921	MGC8721	Other/Unknown	hypothetical protein MGC8721
203066_at	0.63	1.49	NM_014863	Hs.6079	GALNAC4S-6ST	Repair/Recomb	B cell RAG associated protein
209426_s_at	0.63	1.44	NM_014324	Hs.128749	AMACR	Tumor	alpha-methylacyl-CoA racemase
201646_at	0.63	2.52	AA885297	Hs.349656	NA	0 Other/Unknown	Homo sapiens cDNA FLJ31439 fis, clone NT2NE2000707, mRNA sequence
212956_at	0.63	2.64	AB020689	Hs.90419	KIAA0882	Other/Unknown	KIAA0882 protein
211675_s_at	0.62	1.49	AF054589	Hs.132739	HIC	Other/Unknown	I-mfa domain-containing protein
212110_at	0.62	1.49	D31887	Hs.89868	KIAA0062	Other/Unknown	KIAA0062 protein
209515_s_at	0.62	1.49	NM_004580	Hs.50477	RAB27A	Signaling	RAB27A, member RAS oncogene family
209621_s_at	0.62	1.63	NM_014476	Hs.135281	ALP	Cytoskeleton	alpha-actinin-2-associated LIM protein
214701_s_at	0.62	2.37	NM_002026	Hs.287820	FN1	Signaling	fibronectin 1
209596_at	0.62	1.63	NM_015419	Hs.72157	DKFZp564I1922	Other/Unknown	adlican
202614_at	0.62	1.63	NM_006345	Hs.270956	C4orf1	Other/Unknown	chromosome 4 open reading frame 1
218541_s_at	0.62	1.63	NM_020130	Hs.283683	C8orf4	Other/Unknown	chromosome 8 open reading frame 4
213455_at	0.62	1.63	W87466	Hs.352406	LOC92689	Other/Unknown	hypothetical protein BC001096
212136_at	0.62	2.2	NM_001684	Hs.343522	ATP2B4	Transporter/Channel	ATPase, Ca++ transporting, plasma membrane 4
202202_s_at	0.61	1.63	NM_002290	Hs.78672	LAMA4	ECM-Adhesion	laminin, alpha 4
209010_s_at	0.61	2.13	NM_007118	Hs.367689	TRIO	Signaling	triple functional domain (PTPRF interacting)
206026_s_at	0.61	1.17	NM_007115	Hs.29352	TNFAIP6	Immunity	tumor necrosis factor, alpha-induced protein 6
204963_at	0.61	1.49	NM_005086	Hs.183428	SSPN	Tumor	sarcospan (Kras oncogene-associated gene)
204596_s_at	0.61	2.13	NM_003155	Hs.25590	STC1	Signaling	stanniocalcin 1
208078_s_at	0.61	1.17	NM_030751	Hs.232068	TCF8	Tx Factor	transcription factor 8 (represses interleukin 2 expression)
209619_at	0.61	2.13	NM_004355	Hs.84298	CD74	Immunity	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
204597_x_at	0.61	2.52	NM_003155	Hs.25590	STC1	Signaling	stanniocalcin 1
209228_x_at	0.61	1.17	NM_006765	Hs.71119	N33	Tumor	Putative prostate cancer tumor suppressor
39402_at	0.6	1.44	NM_000576	Hs.126256	IL1B	Immunity	interleukin 1, beta
201163_s_at	0.6	2.37	NM_001553	Hs.119206	IGFBP7	Signaling	insulin-like growth factor binding protein 7
216526_x_at	0.6	1.44	NM_002117	Hs.277477	HLA-C	Immunity	major histocompatibility complex, class I, C
224990_at	0.6	1.25	BE972723	Hs.342655	NA	0 Other/Unknown	Homo sapiens cDNA FLJ13289 fis, clone OVARC1001170, mRNA sequence
215111_s_at	0.6	0.78	NM_006022	Hs.114360	TSC22	Tx Factor	transforming growth factor beta-stimulated protein TSC-22
202710_at	0.6	1.17	NM_005868	Hs.23103	BET1	Vesicles	BET1 homolog (S. cerevisiae)
212012_at	0.59	1.63	AF200348	Hs.401975	NA	0 Tumor	ESTs, Weakly similar to T17346 hypothetical protein DKFZp586O1624.1 - human (fragment) [H.sapiens]
211048_s_at	0.59	1.63	NM_004911	Hs.93659	ERP70	Vesicles	protein disulfide isomerase related protein (calcium-binding protein, intestinal-related)
209994_s_at	0.59	1.17	NM_000927	Hs.21330	ABCB1	Transporter/Channel	ATP-binding cassette, sub-family B (MDR/TAP), member 1
203324_s_at	0.59	1.17	NM_001233	Hs.139851	CAV2	Signaling	caveolin 2
205433_at	0.59	0.68	NM_000055	Hs.1327	BCHE	lipid metabolism	butyrylcholinesterase
201238_s_at	0.58	0.68	NM_006136	Hs.75546	CAPZA2	Cytoskeleton	capping protein (actin filament) muscle Z-line, alpha 2
201533_at	0.58	0.78	NM_001904	Hs.171271	CTNNB1	ECM-Adhesion	catenin (cadherin-associated protein), beta 1, 88kDa
208025_s_at	0.58	0.68	NM_003483	Hs.2726	HMGA2	Tx Factor	high mobility group AT-hook 2
202435_s_at	0.58	0.78	NM_000104	Hs.154654	CYP1B1	ER	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)
211799_x_at	0.57	1.17	NM_002117	Hs.277477	HLA-C	Immunity	major histocompatibility complex, class I, C
204726_at	0.57	0.68	NM_001257	Hs.63984	CDH13	ECM-Adhesion	cadherin 13, H-cadherin (heart)
216064_s_at	0.57	0.78	NM_000027	Hs.207776	AGA	metabolism	aspartylglucosaminidase
205067_at	0.56	0.68	NM_000576	Hs.126256	IL1B	Immunity	interleukin 1, beta
215506_s_at	0.56	1.17	NM_004675	Hs.194695	ARHI	Cell Cycle	ras homolog gene family, member I
211527_x_at	0.56	0.68	NM_003376	Hs.73793	VEGF	Signaling	vascular endothelial growth factor
209505_at	0.56	1.17	AI951185	Hs.374991	NA	0 Tx Factor	Homo sapiens full length insert cDNA clone YW26E10, mRNA sequence
212412_at	0.56	0.68	AV715767	Hs.7780	NA	0 Other/Unknown	Homo sapiens mRNA; cDNA DKFZp564A072 (from clone DKFZp564A072), mRNA sequence
201735_s_at	0.56	1.17	NM_001829	Hs.174139	CLCN3	Transporter/Channel	chloride channel 3
212169_at	0.56	0.54	NM_007270	Hs.302749	FKBP9	Other/Unknown	FK506 binding protein 9, 63 kDa
201312_s_at	0.55	0.68	NM_003022	Hs.14368	SH3BGRL	Signaling	SH3 domain binding glutamic acid-rich protein like
214091_s_at	0.55	1.63	NM_002084	Hs.386793	GPX3	oxidative stress	glutathione peroxidase 3 (plasma)
202478_at	0.55	0.68	NM_021643	Hs.155418	GS3955	Other/Unknown	GS3955 protein
202310_s_at	0.55	1.17	NM_000088	Hs.172928	COL1A1	ECM-Adhesion	collagen, type I, alpha 1
227052_at	0.55	1.49	AI810669	Hs.44829	NA	0 Other/Unknown	ESTs, Moderately similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]
208729_x_at	0.54	1.17	NM_005514	Hs.77961	HLA-B	Immunity	major histocompatibility complex, class I, B
221530_s_at	0.54	0.32	NM_030762	Hs.33829	BHLHB3	Tx Factor	basic helix-loop-helix domain containing, class B, 3
205334_at	0.54	0.32	NM_006271	Hs.433503	S100A1	Calcium	S100 calcium binding protein A1
212063_at	0.54	0.68	NM_000610	Hs.169610	CD44	ECM-Adhesion	CD44 antigen (homing function and Indian blood group system)
215485_s_at	0.54	0.32	NM_000201	Hs.168383	ICAM1	ECM-Adhesion	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor
201876_at	0.54	0.32	NM_000305	Hs.169857	PON2	lipid metabolism	paraoxonase 2
216841_s_at	0.54	1.25	NM_000636	Hs.372783	SOD2	oxidative stress	superoxide dismutase 2, mitochondrial
221844_x_at	0.53	0.32	NM_021928	Hs.42194	FLJ22649	Other/Unknown	hypothetical protein FLJ22649 similar to signal peptidase SPC22/23
200906_s_at	0.53	1.17	NM_016081	Hs.194431	KIAA0992	Cytoskeleton	palladin
203854_at	0.53	0.54	NM_000204	Hs.36602	IF	Immunity	I factor (complement)
211959_at	0.52	0.32	L27560	Hs.380833	NA	0 Signaling	Unknown (protein for IMAGE:4183312) [Homo sapiens], mRNA sequence
212092_at	0.52	0.54	NM_015068	Hs.137476	PEG10	Other/Unknown	paternally expressed 10
210605_s_at	0.51	0.32	NM_005928	Hs.3745	MFGE8	Apoptosis	milk fat globule-EGF factor 8 protein
205266_at	0.51	0.32	NM_002309	Hs.2250	LIF	Cell Cycle	leukemia inhibitory factor (cholinergic differentiation factor)
209146_at	0.51	0.68	NM_006745	Hs.239926	SC4MOL	ER	sterol-C4-methyl oxidase-like
217767_at	0.51	0.32	NM_000064	Hs.284394	C3	Immunity	complement component 3
229290_at	0.51	0.32	AI692575	Hs.59761	NA	0 Other/Unknown	Homo sapiens full length insert cDNA clone ZE09G12, mRNA sequence
201744_s_at	0.5	0.32	NM_002345	Hs.79914	LUM	ECM-Adhesion	lumican
201348_at	0.5	0.32	NM_002084	Hs.386793	GPX3	metabolism	glutathione peroxidase 3 (plasma)
204933_s_at	0.5	0.32	NM_002546	Hs.81791	TNFRSF11B	Immunity	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)
211744_s_at	0.5	0.32	NM_001779	Hs.75626	CD58	Immunity	CD58 antigen, (lymphocyte function-associated antigen 3)
216942_s_at	0.49	0.32	NM_001779	Hs.75626	CD58	Immunity	CD58 antigen, (lymphocyte function-associated antigen 3)
208949_s_at	0.49	0.32	NM_002306	Hs.621	LGALS3	Tumor	lectin, galactoside-binding, soluble, 3 (galectin 3)
210512_s_at	0.48	0.32	NM_003376	Hs.73793	VEGF	Signaling	vascular endothelial growth factor
203343_at	0.48	0.32	NM_003359	Hs.28309	UGDH	metabolism	UDP-glucose dehydrogenase
203562_at	0.48	0.32	NM_005103	Hs.79226	FEZ1	Development	fasciculation and elongation protein zeta 1 (zygin I)
211911_x_at	0.47	0.32	NM_005514	Hs.77961	HLA-B	Immunity	major histocompatibility complex, class I, B
223278_at	0.47	0.68	NM_004004	Hs.323733	GJB2	ECM-Adhesion	gap junction protein, beta 2, 26kDa (connexin 26)
225626_at	0.46	0.32	NM_018440	Hs.266175	PAG	Signaling	phosphoprotein associated with glycosphingolipid-enriched microdomains
209140_x_at	0.46	0.32	NM_005514	Hs.77961	HLA-B	Immunity	major histocompatibility complex, class I, B
205173_x_at	0.46	0.32	NM_001779	Hs.75626	CD58	Immunity	CD58 antigen, (lymphocyte function-associated antigen 3)
201581_at	0.46	0.32	NM_021156	Hs.169358	NA	Other/Unknown	hypothetical protein DJ971N18.2
210830_s_at	0.45	0.32	NM_000305	Hs.169857	PON2	lipid metabolism	paraoxonase 2
207819_s_at	0.45	0.32	NM_000443	Hs.73812	ABCB4	Transporter/Channel	ATP-binding cassette, sub-family B (MDR/TAP), member 4
212094_at	0.45	0.32	NM_015068	Hs.137476	PEG10	Other/Unknown	paternally expressed 10
202687_s_at	0.45	0.32	NM_003810	Hs.83429	TNFSF10	Apoptosis	tumor necrosis factor (ligand) superfamily, member 10
202181_at	0.44	0.32	NM_014734	Hs.82426	KIAA0247	Other/Unknown	KIAA0247 gene product
200907_s_at	0.44	0.32	NM_016081	Hs.194431	KIAA0992	Cytoskeleton	palladin
203789_s_at	0.44	0.32	NM_006379	Hs.171921	SEMA3C	Immunity	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
203423_at	0.44	0.32	NM_002899	Hs.101850	RBP1	metabolism	retinol binding protein 1, cellular
204688_at	0.42	0.32	NM_003919	Hs.110708	SGCE	Development	sarcoglycan, epsilon
202637_s_at	0.41	0.32	NM_000201	Hs.168383	ICAM1	ECM-Adhesion	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor
204115_at	0.41	0.32	NM_004126	Hs.83381	GNG11	Signaling	guanine nucleotide binding protein (G protein), gamma 11
201645_at	0.4	0.32	NM_002160	Hs.289114	TNC	ECM-Adhesion	tenascin C (hexabrachion)
200897_s_at	0.4	0.32	NM_016081	Hs.194431	KIAA0992	Cytoskeleton	palladin
212311_at	0.4	0.32	AB018289	Hs.49500	KIAA0746	Other/Unknown	KIAA0746 protein
204470_at	0.39	0.32	NM_001511	Hs.789	CXCL1	Cytoskeleton	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)
202859_x_at	0.39	0.32	NM_000584	Hs.624	IL8	Immunity	interleukin 8
211506_s_at	0.38	0.32	NM_000584	Hs.624	IL8	Immunity	interleukin 8
201889_at	0.36	0.32	NM_014888	Hs.29882	FAM3C	Other/Unknown	family with sequence similarity 3, member C
221477_s_at	0.36	0.32	BF575213	Hs.177781		0 oxidative stress	Homo sapiens, clone IMAGE:4711494, mRNA, mRNA sequence
212314_at	0.36	0.32	AB018289	Hs.49500	KIAA0746	Other/Unknown	KIAA0746 protein
209277_at	0.34	0.32	NM_006528	Hs.295944	TFPI2	Proteolysis	tissue factor pathway inhibitor 2
209278_s_at	0.33	0.32	NM_006528	Hs.295944	TFPI2	Proteolysis	tissue factor pathway inhibitor 2
201185_at	0.33	0.32	NM_002775	Hs.75111	PRSS11	Proteolysis	protease, serine, 11 (IGF binding)
209821_at	0.31	0.32	NM_033439	Hs.348390	DVS27	Other/Unknown	DVS27-related protein
205870_at	0.31	0.32	NM_000623	Hs.250882	BDKRB2	Signaling	bradykinin receptor B2
202638_s_at	0.31	0.32	NM_000201	Hs.168383	ICAM1	ECM-Adhesion	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor
206157_at	0.3	0.32	NM_002852	Hs.2050	PTX3	Immunity	pentaxin-related gene, rapidly induced by IL-1 beta
227705_at	0.28	0.32	NM_152278	Hs.21861	MGC23947	Other/Unknown	hypothetical protein MGC23947
207038_at	0.27	0.32	NM_004694	Hs.114924	SLC16A6	Transporter/Channel	solute carrier family 16 (monocarboxylic acid transporters), member 6
205767_at	0.27	0.32	NM_001432	Hs.115263	EREG	Signaling	epiregulin
201272_at	0.27	0.32	NM_001628	Hs.75313	AKR1B1	metabolism	aldo-keto reductase family 1, member B1 (aldose reductase)
203404_at	0.25	0.32	NM_014782	Hs.48924	ALEX2	Other/Unknown	armadillo repeat protein ALEX2
202688_at	0.25	0.32	NM_003810	Hs.83429	TNFSF10	Immunity	tumor necrosis factor (ligand) superfamily, member 10
203868_s_at	0.22	0.32	NM_001078	Hs.109225	VCAM1	ECM-Adhesion	vascular cell adhesion molecule 1
202436_s_at	0.21	0.32	NM_000104	Hs.154654	CYP1B1	ER	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)
230748_at	0.19	0.32	AI873273	Hs.42645	NA	0 Other/Unknown	ESTs
225681_at	0.19	0.32	NM_138455	Hs.283713	CTHRC1	ECM-Adhesion	collagen triple helix repeat containing 1
202437_s_at	0.16	0.32	NM_000104	Hs.154654	CYP1B1	ER	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)
219134_at	0.05	0.32	NM_022159	Hs.57958	ETL	Development	EGF-TM7-latrophilin-related protein
203474_at	0.04	0.32	NM_006633	Hs.78993	IQGAP2	Cytoskeleton	IQ motif containing GTPase activating protein 2
