Probeset	Gene symbol	Description	Relative expression	P value
35028_AT	GABARB1	Gamma-aminobutyric acid (GABA) A receptor, beta 1	0.88	0.008
38095_I_AT	HLA-DPB1	Major histocompatibility complex, class II, DP beta 1	-1.009	0.008
34570_AT	RPS27A	Ribosomal protein S27a	2.434	0.008
38087_S_AT	S100A4	S100 calcium binding protein A4 (Mts1)	1.051	0.008
35875_AT	SGPL1	Sphingosine-1-phosphate lyase 1	1.078	0.008
38100_AT	TLOC1	Translocation protein 1	-0.762	0.008
36643_AT	DDR1	Discoidin domain receptor family, member 1	-0.754	0.008
40791_AT	POLR2A	RNA polymerase II (220kD)	-2.892	0.008
32528_AT	CLPP	ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog	2.268	0.009
34201_AT	DNAJA2	Hdj-1 (DnaJ/Hsp40 homolog)	1.407	0.009
34892_AT	TNFRSF10B	Tumor necrosis factor receptor superfamily, member 10b	-0.759	0.009
278_AT	NPR2	Natriuretic peptide receptor B/guanylate cyclase B	1.027	0.009
36187_AT	RNH	Ribonuclease/angiogenin inhibitor	3.182	0.009
1550_AT	MRPL28	Mitochondrial ribosomal protein L28	-0.782	0.01
31488_S_AT	PGK1	Phosphoglycerate kinase 1	1.974	0.01
37763_AT	RXRB	Retinoid X receptor, beta	-1.571	0.01
