Gene transcript	Gene symbol	Unigene	Probeset ID	p-value	FC±	Adjustedp<0.05
calcium/calmodulin -dependent proteinkinase II	CaMKIINalpha	Hs.132246	218309_at	9.72E-07	4.1	yes
agrin	AGRN	Hs.16003	217419_x_at	1.03E-06	1.9	yes
beta 5-tubulin	OK/SW-cl.56	Hs.73793	211714_x_at	1.07E-06	2.5	yes
chromosome 20 open reading frame 149	C20orf149	Hs.388130	218010_x_at	1.07E-06	2	yes
catenin (cadherin-associated protein), delta 1	CTNND1	Hs.168913	208862_s_at	1.09E-06	1.9	yes
beta 5-tubulin	OK/SW-cl.56	Hs.23881	209026_x_at	1.11E-06	2.4	yes
heterogeneous nuclear ribonucleoprotein A1	HNRPA1	Hs.374638	214280_x_at	1.13E-06	2.3	yes
filamin B, beta (actin binding protein 278)	FLNB	Hs.308709	208613_s_at	1.16E-06	2	yes
adipose specific 2	APM2	Hs.436441	203571_s_at	1.25E-06	4	yes
serologically defined breast cancer antigen 84	SDBCAG84	Hs.142	216032_s_at	1.25E-06	2.4	yes
slingshot 3	SSH-3	Hs.29173	51192_at	1.37E-06	2	yes
GPI-anchored metastasis-associated protein homolog	C4.4A	Hs.59889	204952_at	1.39E-06	2.6	yes
cyclin L2	CCNL2	Hs.143601	221427_s_at	1.40E-06	2.4	yes
S-adenosylhomocysteine hydrolase	AHCY	Hs.183994	200903_s_at	1.59E-06	3.1	yes
aldolase A, fructose-bisphosphate	ALDOA	Hs.406693	200966_x_at	1.67E-06	2	yes
NADH:ubiquinone oxidoreductase MLRQ subunit homolog	LOC56901	Hs.433615	214096_s_at	1.70E-06	1.8	yes
WD repeat domain 6	WDR6	Hs.381079	217734_s_at	1.73E-06	1.7	yes
leucine rich repeat (in FLII) interacting protein 1	LRRFIP1	Hs.180577	211452_x_at	1.73E-06	3.3	yes
protein tyrosine phosphatase, receptor type, F	PTPRF	Hs.75216	200637_s_at	1.77E-06	5.5	yes
similar to Nu clear envelope pore membrane protein POM 121 (Pore membrane protein of 121 kDa) (P145)	na	Hs.440900	213360_s_at	1.77E-06	1.8	yes
mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	MGAT1	Hs.368741	201126_s_at	2.04E-06	2	yes
ribonuclease 6 precursor	RNASE6PL	Hs.313544	217983_s_at	2.07E-06	3.5	yes
tripartite motif -containing 28	TRIM28	Hs.434937	200990_at	2.09E-06	2.5	yes
calpain 1, (mu/I) large subunit	CAPN1	Hs.374638	200752_s_at	2.18E-06	1.9	yes
OGT(O -Glc-NAc transferase)-interacting protein 106 Kda	OIP106	Hs.7768	202080_s_at	2.46E-06	1.8	yes
involucrin	IVL	Hs.311765	214599_at	2.46E-06	2.4	yes
glucose regulated protein, 58kDa	GRP58	Hs.387667	208612_at	2.51E-06	3.4	yes
pogo transposable element with KRAB domain	POGK	Hs.25597	218229_s_at	3.00E-06	2.4	yes
fatty acid synthase	FASN	Hs.73793	212218_s_at	3.13E-06	2.5	yes
CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	Hs.375108	266_s_at	3.13E-06	3.2	yes
heat shock 70kDa protein 9B (mortalin -2)	HSPA9B	Hs.410578	200692_s_at	3.24E-06	2.1	yes
small nuclear ribonucleoprotein polypeptides B and B1	SNRPB		213175_s_at	3.43E-06	2	yes
HLA -B associated transcript 1	BAT1	Hs.254042	200041_s_at	3.52E-06	2.7	yes
heme-regulated initiation factor 2 -alpha kinase	HRI	Hs.8737	217736_s_at	3.55E-06	2.4	yes
fer-1-like 4 (C. elegans)	FER1L4	Hs.72222	222245_s_at	3.58E-06	2	yes
general transcription factor II, i	GTF2I	Hs.2340	201065_s_at	3.61E-06	3.3	yes
likely ortholog of mouse exocyst component protein 70 kDa homolog (S.cerevisiae) Exo70: exocyst component protein 70 kDa homolog (S. cerevisiae)	EXO70	Hs.172550	212034_s_at	3.98E-06	2.1	yes
transgelin 2	TAGLN2	Hs.388004	200916_at	3.99E-06	1.7	yes
fuse-binding protein -interacting repressor	SIAHBP1	Hs.241567	209899_s_at	4.00E-06	1.9	yes
amyloid beta (A4) precursor -like protein 2	APLP2	Hs.406532	208702_x_at	4.08E-06	2.3	yes
cartilage acidic protein 1	CRTAC1	Hs.326444	221204_s_at	4.24E-06	7.3	yes
KDEL (Lys -Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	KDELR1	Hs.406504	200922_at	4.29E-06	1.9	yes
ribonuclease 6 precursor L	RNASE6P	Hs.388130	217984_at	4.39E-06	2.3	yes
CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	Hs.75860	208650_s_at	4.52E-06	5.6	yes
vascular endothelial growth factor	VEGF	Hs.170333	212171_x_at	4.53E-06	2.8	yes
TH1 -like (Drosophila)	TH1L	Hs.5184	220607_x_at	4.57E-06	3.2	yes
major histocompatibility complex, class II, DP beta 1	HLA-DPB1	Hs.387567	201137_s_at	4.79E-06	0.4	yes
fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	FGFR3	Hs.433797	204379_s_at	4.94E-06	5.3	yes
ladinin 1	LAD1	Hs.212102	216641_s_at	4.95E-06	2	yes
solute carrier family 6 (neurotransmitter transporter, creatine), member 8	SLC6A8	Hs.457063	202219_at	5.19E-06	3.4	yes
fatty acid bin ding protein 5 (psoriasis-associated)	FABP5	Hs.444947	202345_s_at	5.28E-06	5.8	yes
eukaryotic translation initiation factor 3, subunit 8, 110kDa	EIF3S8	Hs.436549	210949_s_at	5.30E-06	2.6	yes
RNA binding motif, single stranded interacting protein 1	RBMS1	Hs.375108	209868_s_at	5.84E-06	1.9	yes
FXYD domain containing ion transport regulator 3	FXYD3	Hs.202453	202488_s_at	6.08E-06	1.8	yes
keratin 17	KRT17	Hs.83190	212236_x_at	6.19E-06	3.6	yes
T-box 3 (ulnar mammary syndrome)	TBX3	Hs.371804	219682_s_at	6.38E-06	2.6	yes
MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	MCM7	Hs.4112	208795_s_at	6.60E-06	1.8	yes
voltage-dependent anion channel 1	VDAC1	Hs.325530	212038_s_at	6.76E-06	2.8	yes
ret finger protein	RFP	Hs.436441	212116_at	6.83E-06	1.6	yes
Homo sapiens, clone MGC:8772 IMAGE:3862861, mRNA, complete cds		Hs.432850	213166_x_at	6.86E-06	2.2	yes
ubiquitin -activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing)	UBE1	Hs.107720	200964_at	7.16E-06	1.9	yes
polypyrimidine tract bin ding protein 1	PTBP1	Hs.172550	212016_s_at	7.41E-06	1.9	yes
SREBP CLEAVAGE -ACTIVATING PROTEIN	SCAP	Hs.356729	212329_at	7.72E-06	2	yes
FK506 binding protein 1A, 12kDa	FKBP1A	Hs.173902	200709_at	8.00E-06	1.9	yes
hypothetical protein FLJ21918	FLJ21918	Hs.12727	219395_at	8.02E-06	2.1	yes
oxidase (cytochrome c) assembly 1-like	OXA1L	Hs.7744	208717_at	8.09E-06	1.4	yes
hypothetical protein FLJ20618	FLJ20618	Hs.52184	222244_s_at	8.23E-06	2.2	yes
splicing factor 1	SF1	Hs.406458	208313_s_at	8.28E-06	1.6	yes
actin, gamma 1	ACTG1	Hs.446579	211995_x_at	8.52E-06	2.3	yes
NSFL1 (p97) cofactor (p47)	NSFL1C	Hs.12865	220248_x_at	8.59E-06	2.1	yes
		Hs.429975	217256_x_at	8.62E-06	1.5	yes
NAD(P)H dehydrogenase, quinone 1	NQO1	Hs.73793	210519_s_at	8.85E-06	3.7	yes
non-metastatic cells 2, protein (NM23B) expressed in	NME2	Hs.169902	201268_at	8.87E-06	2.6	yes
LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)	LSM4	Hs.301350	202736_s_at	9.22E-06	2.7	yes
low density lipoprotein receptor -related protein associated protein 1	LRPAP1	Hs.368409	201186_at	9.59E-06	1.8	yes
granulin	GRN	Hs.172550	211284_s_at	9.73E-06	1.7	yes
actin, gamma 1	ACTG1	Hs.437096	212363_x_at	9.75E-06	2.2	yes
adaptor-related protein complex 2, mu 1 subunit	AP2M1	Hs.433892	200613_at	9.75E-06	2.6	yes
thioredoxin interacting protein	TXNIP	Hs.433612	201009_s_at	1.00E-05	2.3	yes
lamin A/C	LMNA	Hs.404814	212086_x_at	1.04E-05	1.7	yes
proteasome (prosome, macropain) subunit, beta type, 3	PSMB3	Hs.73527	201400_at	1.05E-05	2.2	yes
catenin (cadherin-associated protein), delta 1	CTNND1	Hs.143323	211240_x_at	1.06E-05	1.6	yes
v-myc myelocytomatosis viral oncogene homolog (avian)	MYC	Hs.408061	202431_s_at	1.06E-05	2.4	yes
RNA binding motif, single stranded interacting protein 1	RBMS1	Hs.57301	207266_x_at	1.11E-05	1.8	yes
heterogeneous nuclear ribonucleoprotein A/B	HNRPAB	Hs.433416	201277_s_at	1.12E-05	2.1	yes
pM5 protein	PM5		217225_x_at	1.13E-05	1.7	yes
Putative prostate cancer tumor suppressor N33		Hs.170160	209228_x_at	1.16E-05	2.6	yes
RAB2, member RAS oncogene family -like	RAB2L	Hs.82045	209110_s_at	1.24E-05	1.9	yes
amyloid beta (A4) precursor -like protein 2	APLP2	Hs.279518	208703_s_at	1.26E-05	2.7	yes
amyloid beta (A4) precursor -like protein 2	APLP2	Hs.183706	214875_x_at	1.30E-05	2.4	yes
fusion, deriv ed from t(12;16) malignant liposarcoma	FUS	Hs.178551	200959_at	1.31E-05	1.7	yes
		Hs.457063	215299_x_at	1.32E-05	2.6	yes
protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	PPP2R1A	Hs.184233	200695_at	1.35E-05	1.5	yes
aldolase A, fructose-bisphosphate	ALDOA	Hs.157091	214687_x_at	1.36E-05	1.9	yes
peptidylprolyl isomerase F (cyclophilin F)	PPIF	Hs.82793	201489_at	1.36E-05	2.2	yes
lysophosphatidic acid phosphatase	ACP6	Hs.100071	218795_at	1.36E-05	2.7	yes
ring finger protein 44	RNF44	Hs.244318	203286_at	1.44E-05	2.1	yes
t-complex 1	TCP1	Hs.151134	208778_s_at	1.45E-05	2.5	yes
transgelin 2	TAGLN2	Hs.212787	210978_s_at	1.47E-05	2	yes
hypothetical protein LOC162427	LOC162427	Hs.120197	212697_at	1.58E-05	2.3	yes
solute carrier family 2 (facilitated glucose transporter), member 1	SLC2A1	Hs.433455	201250_s_at	1.58E-05	1.8	yes
F11 receptor	F11R	Hs.414880	221664_s_at	1.58E-05	2.6	yes
RNA binding motif, single stranded interacting protein 1	RBMS1	Hs.511763	203748_x_at	1.63E-05	2	yes
keratin 17	KRT17	Hs.152096	205157_s_at	1.69E-05	4.9	yes
			216640_s_at	1.73E-05	2.6	yes
eukaryotic translation initiation factor 3,	EIF3S8	Hs.192425	200647_x_at	1.73E-05	1.9	yes
N-myc downstream regulated gene 1	NDRG1	Hs.318567	200632_s_at	1.76E-05	2.5	yes
hypothetical protein LOC283820	LOC283820	Hs.227823	221853_s_at	1.86E-05	2.3	yes
hypothetical protein MGC5178	MGC5178	Hs.114309	209607_x_at	1.94E-05	1.8	yes
3-hydroxy -3-methylglutaryl -Coenzyme A synthase 2 (mitochondrial)	HMGCS2	Hs.1420	204607_at	1.97E-05	6.2	yes
tubulin, beta, 2	TUBB2	Hs.426324	213726_x_at	2.03E-05	2.1	yes
CpG binding protein	CGBP	Hs.180933	48580_at	2.04E-05	1.5	yes
retinoic acid induced 17	RAI17	Hs.440382	212124_at	2.09E-05	2.1	yes
phosphoprotein regulated by mitogenic pathways	C8FW	Hs.388375	202241_at	2.10E-05	2.3	yes
basigin (OK blood group)	BSG	Hs.301882	208677_s_at	2.10E-05	2.4	yes
adducin 1 (alpha)	ADD1	Hs.271511	214736_s_at	2.11E-05	1.7	yes
glutathione S-transferase subunit 13 homolog	LOC51064	Hs.434986	217751_at	2.12E-05	2.3	yes
vascular endothelial growth factor	VEGF	Hs.127951	211527_x_at	2.25E-05	2.8	yes
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	YWHAE	Hs.406504	210996_s_at	2.27E-05	2.3	yes
Putative prostate cancer tumor suppressor	N33	Hs.168357	213423_x_at	2.31E-05	2.6	yes
sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3	SULT1A3	Hs.406515	210580_x_at	2.32E-05	2.6	yes
KIAA0100 gene product	KIAA0100	Hs.309517	201729_s_at	2.32E-05	2.4	yes
peptidylprolyl isomerase F (cyclophilin F)	PPIF	Hs.381072	201490_s_at	2.38E-05	2.6	yes
FK506 binding protein 1A, 12kDa	FKBP1A	Hs.188401	210186_s_at	2.44E-05	1.9	yes
glucose phosphate isomerase	GPI	Hs.406701	208308_s_at	2.46E-05	2.8	yes
hydroxyacyl -Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	HADHA	Hs.476435	208631_s_at	2.50E-05	1.9	yes
peroxisome proliferative activated receptor, gamma	PPARG	Hs.440835	208510_s_at	2.51E-05	3.3	yes
karyopherin (importin) beta 1	KPNB1	Hs.422340	208974_x_at	2.52E-05	2.9	yes
hypothetical protein FLJ20700	FLJ20700	Hs.241567	207730_x_at	2.62E-05	2	yes
apolipoprotein L, 1	APOL1	Hs.170222	209546_s_at	2.63E-05	2.6	yes
elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast) -like 1	ELOVL1	Hs.25597	57163_at	2.66E-05	2.2	yes
heat shock 70kDa protein 8	HSPA8	Hs.5215	210338_s_at	2.66E-05	4	yes
solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+ , amiloride sensitive)	SLC9A1	Hs.454713	209453_at	2.73E-05	1.4	yes
zinc finger protein 36, C3H type -like 2	ZFP36L2	Hs.82109	201369_s_at	2.74E-05	2.6	yes
procollagen-proline, 2 -oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)	P4HB	Hs.388163	200656_s_at	2.87E-05	2.9	yes
ribosomal protein L8	RPL8	Hs.78040	200936_at	2.95E-05	2.1	yes
non-metastatic cells 1, protein (NM23A) expressed in	NME1	Hs.14376	201577_at	2.98E-05	2.4	yes
CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	Hs.375108	209772_s_at	2.99E-05	1.8	yes
FK506 binding protein 1A, 12kDa	FKBP1A	Hs.221447	214119_s_at	3.06E-05	1.5	yes
calnexin	CANX	Hs.240013	208852_s_at	3.09E-05	2.6	yes
SWI/SNF relate d, matrix associated, actin dependent regulator of chromatin, subfamily f, member 1	SMARCF1	Hs.438767	212152_x_at	3.12E-05	1.4	yes
v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	ERBB2	Hs.18141	216836_s_at	3.12E-05	2.2	yes
dolichyl -diphosphooligosaccharide-protein glycosyltransferase	DDOST	Hs.375108	208675_s_at	3.17E-05	2.5	yes
non-POU domain containing, octamer -binding	NONO	Hs.147391	210470_x_at	3.21E-05	1.8	yes
putative DNA/chromatin bindi ng motif	PLU-1	Hs.79474	211202_s_at	3.22E-05	1.7	yes
HLA -B associated transcript 3	BAT3	Hs.83753	213318_s_at	3.29E-05	2.6	yes
casein kinase 2, beta polypeptide	CSNK2B	Hs.78909	201390_s_at	3.31E-05	1.7	yes
beta 5-tubulin	OK/SW-cl.56	Hs.273330	212320_at	3.34E-05	1.6	yes
annexin A10	ANXA10	Hs.74562	210143_at	3.34E-05	6	yes
hypothetical protein FLJ20154	FLJ20154	Hs.334707	202809_s_at	3.37E-05	1.4	yes
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	Hs.386834	200640_at	3.39E-05	3.1	yes
protein phosphatase 1, catalytic subunit, alpha isoform	PPP1CA	Hs.356181	200846_s_at	3.45E-05	2.2	yes
filamin B, beta (actin binding protein 278)	FLNB	Hs.476435	208614_s_at	3.46E-05	1.9	yes
KRAB zinc finger protein KR18	KR18	Hs.273415	214715_x_at	3.54E-05	2	yes
granulin	GRN	Hs.169992	216041_x_at	3.56E-05	1.9	yes
heat shock 90kDa protein 1, alpha	HSPCA	Hs.156316	211968_s_at	3.59E-05	3.9	yes
death-associated protein kinase 1	DAPK1	Hs.233950	203139_at	3.64E-05	2	yes
polyp yrimidine tract binding protein 1	PTBP1	Hs.166011	211271_x_at	3.67E-05	2	yes
6-phosphogluconolactonase	PGLS	Hs.197922	218388_at	3.69E-05	2.1	yes
Homo sapiens Alu repeat (LNX1) mRNA sequence		Hs.180577	216187_x_at	3.70E-05	1.8	yes
cytochrome P450, famil y 2, subfamily J, polypeptide 2	CYP2J2	Hs.926	205073_at	3.72E-05	1.8	yes
sorcin	SRI	Hs.166011	208921_s_at	3.76E-05	3.3	yes
interleukin enhancer binding factor 2, 45kDa	ILF2	Hs.75117	200052_s_at	3.79E-05	3	yes
ribophorin II	RPN2	Hs.501293	208689_s_at	3.79E-05	2.9	yes
NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	NDUFV1	Hs.279518	208714_at	3.82E-05	2.5	yes
fibroblast growth factor (acidic) intracellular binding protein	FIBP	Hs.333417	202041_s_at	3.83E-05	1.8	yes
spastic paraplegia 7, paraplegin (pure and complicated autosomal recessive)	SPG7	Hs.74335	214494_s_at	3.89E-05	1.9	yes
decorin	DCN	Hs.356729	211896_s_at	3.98E-05	0.1	yes
T-box 2	TBX2	Hs.380964	213417_at	3.99E-05	3.1	yes
ribosomal protein S2	RPS2	Hs.273330	217466_x_at	4.00E-05	1.4	yes
catechol-O-methyltransferase	COMT	Hs.438720	208817_at	4.02E-05	2.3	yes
myxovirus (influenza virus) resistance 2 (mouse)	MX2	Hs.85266	204994_at	4.05E-05	1.6	yes
nuclear prelamin A recognition factor	NARF	Hs.129895	219862_s_at	4.05E-05	2.2	yes
ATP citrate lyase	ACLY	Hs.120870	201128_s_at	4.06E-05	2.1	yes
capping protein (actin filament) muscle Z -line, beta	CAPZB	Hs.110855	201950_x_at	4.07E-05	2.3	yes
actin, gamma 1	ACTG1	Hs.309763	201550_x_at	4.18E-05	1.8	yes
polymerase (RNA) II (DNA directed) polypepti de H	POLR2H	Hs.426324	209302_at	4.23E-05	2.2	yes
polypyrimidine tract binding protein 1	PTBP1		216306_x_at	4.34E-05	2.4	yes
midkine (neurite growth -promoting factor 2)	MDK	Hs.356729	209035_at	4.37E-05	2.4	yes
tumor differentially expressed 1	TDE1	Hs.272168	221473_x_at	4.38E-05	2.3	yes
enolase 1, (alpha)	ENO1	Hs.75140	201231_s_at	4.39E-05	2.3	yes
hypothetical protein FLJ21610	FLJ21610	Hs.29173	219377_at	4.43E-05	2.1	yes
heat shock 90kDa protein 1, beta	HSPCB	Hs.356721	214359_s_at	4.43E-05	3.6	yes
keratin 18	KRT18	Hs.166994	201596_x_at	4.44E-05	2.7	yes
peptidylprolyl isomerase B (cyclophilin B)	PPIB	Hs.273415	200968_s_at	4.46E-05	3.5	yes
small nuclear ribonucleoprotein polypeptide A	SNRPA	Hs.151761	201770_at	4.50E-05	1.5	yes
		Hs.446352	217140_s_at	4.58E-05	3.1	yes
retinoblastoma binding protein 4	RBBP4		217301_x_at	4.84E-05	1.7	yes
