Probe set	Gene symbol	SAM	P of WRS	Ratio NEC/USPC	Title
41245_at	GDF10	6.643	0.0027	14.21467179	Growth differentiation factor 10
38322_at	GAGEC1	6.215	0.0027	14.10508119	G antigen, family C, 1
1198_at	EDNRB	4.899	0.0027	14.08196951	Endothelin receptor type B
41505_r_at	MAF	4.528	0.0027	14.0059518	v-maf
36976_at	CDH11	3.692	0.0027	14.00329993	Cadherin 11, type 2, OB-cadherin (osteoblast)
32688_at	PTGER3	4.998	0.0027	13.68791213	Prostaglandin E receptor 3 (subtype EP3)
1575_at	ABCB1	6.21	0.0027	13.64196645	ATP-binding cassette, subfamily B
32778_at	ITPR1	4.914	0.0027	13.60359986	Inositol 1,4,5-triphosphate receptor, type 1
40737_at	KCNMA1	5.642	0.0027	13.60011778	potassium large-conductance calcium-activated channel, subfamily M, alpha member 1
36569_at	TNA	11.512	0.0027	13.14186685	Tetranectin (plasminogen-binding protein)
1897_at	TGFBR3	4.922	0.0041	12.99722509	Transforming growth factor, beta receptor III (betaglycan, 300 kDa)
2087_s_at	CDH11	4.345	0.0027	12.96131894	Cadherin 11, type 2, OB-cadherin (osteoblast)
34820_at	PTN	4.413	0.0041	12.94626537	Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)
743_at	NAP1L3	7.859	0.0027	12.91061134	Nucleosome assembly protein 1-like 3
1507_s_at	EDNRA	4.319	0.0041	12.88466839	Endothelin receptor type A
38995_at	CLDN5	12.156	0.0027	12.86636376	Claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)
1147_at		7.084	0.0027	12.69931721
1954_at	KDR	6.077	0.0027	12.6174344	Kinase insert domain receptor (a type III receptor tyrosine kinase)
38786_at		5.676	0.0027	12.61170471	Homo sapiens mRNA full-length insert cDNA clone EUROIMAGE 248114
40757_at	GZMA	4.575	0.0041	12.56281091	Granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)
36695_at	na	5.776	0.0027	12.53905775	Similar to hypothetical protein 6720478C22
32052_at	HBB	5.107	0.0063	12.52262761	Haemoglobin, beta
37446_at	GASP	8.227	0.0027	12.39360585	G protein-coupled receptor-associated protein
38038_at	LUM	4.462	0.0027	12.34757673	Lumican
32889_at	RPIB9	6.337	0.0027	12.34540513	Rap2-binding protein 9
35234_at	RECK	4.476	0.0027	12.33793353	Reversion-inducing-cysteine-rich protein
661_at	GAS1	4.648	0.0027	12.32556384	Growth arrest-specific 1
41195_at	LPP	6.292	0.0027	12.26636801	LIM domain containing preferred translocation partner in lipoma
32664_at	RNASE4	6.395	0.0027	11.89680804	Ribonuclease, RNase A family, 4
39038_at	FBLN5	4.325	0.0027	11.89440528	Fibulin 5
40693_at	KCNB1	4.952	0.0041	11.84773944	Potassium voltage-gated channel, Shab-related subfamily, member 1
38052_at	F13A1	5.346	0.0027	11.69181717	Coagulation factor XIII, A1 polypeptide
35220_at	ENPEP	4.2	0.0027	11.66308093	Glutamyl aminopeptidase (aminopeptidase A)
37512_at	RODH	5.112	0.0027	11.65031202	3-Hydroxysteroid epimerase
103_at	THBS4	5.114	0.0027	11.6063075	Thrombospondin 4
36156_at	AQP1	6.927	0.0027	11.6016663	Aquaporin 1
39593_at	FGL2	5.176	0.0027	11.38223584	Fibrinogen-like 2
33248_at	HOXA11	6.555	0.0027	11.34828098	Homeo box A11
41420_at	IGFBP5	4.166	0.0041	11.32365037	Insulin-like growth factor binding protein 5
35644_at	HEPH	6.666	0.0027	11.26324425	Hephaestin
39646_at	CACNB2	4.719	0.0027	11.25017414	Calcium channel, voltage-dependent, beta 2 subunit
35333_r_at	DVS27	4.403	0.0027	11.23759398	DVS27-related protein
33182_at		4.99	0.0027	11.20258783	Homo sapiens mRNA full-length insert cDNA clone EUROIMAGE 1630957
34303_at	FLJ90798	4.909	0.0027	11.10458088	Hypothetical protein FLJ90798
33756_at	AOC3	5.186	0.0027	11.09776026	Amine oxidase, copper containing 3 (vascular adhesion protein 1)
37710_at	MEF2C	7.485	0.0027	11.03832245	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)
35680_r_at	DPP6	3.783	0.0027	10.88151987	Dipeptidylpeptidase 6
40126_at		4.62	0.0027	10.87424764
31831_at	SMTN	5.712	0.0027	10.84917408	Smoothelin
234_s_at	PTN	5.66	0.0041	10.803161	Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)
36939_at	GPM6A	4.981	0.0027	10.76644676	Glycoprotein M6A
41158_at	PLP1	4.879	0.0027	10.76462278	Proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)
41839_at	GAS1	4.401	0.0027	10.75375673	Growth arrest-specific 1
1186_at	GDF10	4.165	0.0063	10.74677086	Growth differentiation factor 10
35404_at	TACR2	4.416	0.0063	10.67366905	Tachykinin receptor 2
160023_at	WNT2	5.424	0.0027	10.67077677	Wingless-type MMTV integration site family member 2
34561_at	MS4A2	6.38	0.0027	10.6336763	Membrane-spanning 4-domains, subfamily A, member 2 (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide)
36280_at	GZMK	4.739	0.0027	10.5607572	Granzyme K
35668_at	RAMP1	3.43	0.0027	10.4886967	Receptor (calcitonin) activity modifying protein 1
32521_at	SFRP1	4.488	0.0027	10.43051698	Secreted frizzled-related protein 1
1975_s_at	IGF1	7.381	0.0027	10.34307322	Insulin-like growth factor 1 (somatomedin C)
37671_at	LAMA4	5.094	0.0027	10.34084543	Laminin, alpha 4
40013_at	CLIC2	5.388	0.0027	10.2736905	Chloride intracellular channel 2
32782_r_at	BPAG1	4.597	0.0027	10.2197061	Bullous pemphigoid antigen 1, 230/240 kDa
36918_at	GUCY1A3	4.344	0.0027	10.18606373	Guanylate cyclase 1, soluble, alpha 3
32239_at	MATN2	6.197	0.0027	10.14895891	Matrilin 2
36503_at	CCL21	6.812	0.0027	10.09354903	Chemokine (C–C motif) ligand 21
38508_s_at	TNXB	8.826	0.0027	10.0794719	Tenascin XB
35146_at	TGFB1I1	5.562	0.0027	10.0680837	Transforming growth factor beta 1
38653_at	PMP22	6.085	0.0027	10.04665889	Peripheral myelin protein 22
342_at	ENPP1	5.008	0.0041	10.0434301	Ectonucleotide pyrophosphatase/phosphodiesterase
32826_at	ENTPD1	6.423	0.0027	10.01186286	Ectonucleoside triphosphate diphosphohydrolase 1
40318_at	DNCI1	3.348	0.0063	10.00454416	Dynein, cytoplasmic, intermediate polypeptide 1
