ProbeSetID	UniGene Symbol	o score	y score
211323_s_at	ITPR1	0.013	-0.0115
219874_at	SLC12A8	0.0145	-0.0128
221276_s_at	SYNC1	0.0153	-0.0136
220581_at	C6orf97	0.018	-0.0159
205472_s_at	DACH1	0.0182	-0.0161
202986_at	ARNT2	0.0199	-0.0176
213397_x_at	RNASE4	0.02	-0.0177
220979_s_at	ST6GALNAC5	0.0215	-0.019
219077_s_at	WWOX	0.0233	-0.0206
212841_s_at	PPFIBP2	0.0239	-0.0212
216733_s_at	GATM	0.0242	-0.0214
202688_at	TNFSF10	0.0251	-0.0222
219771_at	FLJ20298	0.0261	-0.0231
203339_at	SLC25A12	0.0276	-0.0245
201711_x_at	RANBP2	0.0303	-0.0268
215552_s_at	ESR1	0.0305	-0.027
218546_at	C1orf115	0.0306	-0.0271
213622_at	COL9A2	0.0336	-0.0298
219001_s_at	WDR32	0.0347	-0.0307
205710_at	LRP2	0.0352	-0.0312
211423_s_at	SC5DL	0.0362	-0.0321
205601_s_at	HOXB5	0.0366	-0.0324
205600_x_at	HOXB5	0.0373	-0.033
205913_at	PLIN	0.0378	-0.0335
203474_at	IQGAP2	0.0389	-0.0344
204365_s_at	C2orf23	0.0389	-0.0344
202990_at	PYGL	0.0406	-0.0359
204607_at	HMGCS2	0.0416	-0.0369
206100_at	CPM	0.0421	-0.0373
205757_at	ENTPD5	0.0427	-0.0379
221042_s_at	CLMN	0.0461	-0.0408
212328_at	KIAA1102	0.0469	-0.0415
206191_at	ENTPD3	0.0469	-0.0415
203642_s_at	COBLL1	0.0482	-0.0427
219580_s_at	TMC5	0.0485	-0.0429
206339_at	CART	0.0503	-0.0446
218720_x_at	SEZ6L2	0.0509	-0.045
41644_at	SASH1	0.0547	-0.0485
202687_s_at	TNFSF10	0.055	-0.0487
213713_s_at	LOC89944	0.0578	-0.0512
204939_s_at	PLN	0.0595	-0.0527
204364_s_at	C2orf23	0.0597	-0.0529
218532_s_at	FLJ20152	0.0611	-0.0541
206439_at	DSPG3	0.064	-0.0567
213236_at	SASH1	0.0688	-0.0609
220945_x_at	MANSC1	0.0732	-0.0648
206994_at	CST4	0.0767	-0.068
205225_at	ESR1	0.0871	-0.0771
218963_s_at	KRT23	0.1019	-0.0902
205366_s_at	HOXB6	0.1056	-0.0935
218510_x_at	FLJ20152	0.1112	-0.0985
206799_at	SCGB1D2	0.1361	-0.1206
206378_at	SCGB2A2	0.1425	-0.1262
