PrimSeqName	Entrez Gene ID	Family	Foldchange Paz	Foldchange Lap	Foldchange Paz+Lap	Foldchange Paz+Lap vs. Paz	Foldchange Paz+Lap vs. Lap
UPP1	7378	enzyme	-1	-1	1.9	289.33%	289.27%
PRR3	80742	other	1.04	-1.07	2.01	93.78%	289.08%
DENND5B	160518	other	1.08	-1.06	-2.01	286.72%	89.01%
MSC	9242	transcription regulator	1.16	-1.11	2.06	77.95%	285.36%
PHLDA1	22822	other	1.1	-1.04	1.92	73.95%	285.04%
ASAH2	56624	enzyme	1.09	-1.12	2.07	89.57%	285.01%
PTPN4	5775	phosphatase	1.53	-1.02	1.87	21.61%	283.72%
BE671182			1.1	-1.06	1.94	77.13%	283.09%
MED12	9968	transcription regulator	-1.11	-1.08	1.93	274.41%	278.96%
MAP4K5	11183	kinase	1.05	-1.02	1.8	71.72%	276.57%
NDFIP2	54602	other	1.19	-1	1.74	46.24%	273.61%
LOC441294	441294	other	1.09	-1.14	1.98	81.10%	273.55%
THC2687538			-1	1.04	1.72	271.49%	65.52%
CTAGE4			1.18	-1.06	1.81	53.77%	270.73%
CDKL5	6792	kinase	-1.11	-1.08	1.84	265.44%	270.71%
CTAGE5	4253	enzyme	1.16	-1.04	1.74	50.63%	268.08%
CFLAR	8837	other	1.07	-1.05	1.77	64.96%	267.40%
RHOT1	55288	enzyme	1.01	1.24	3.72	266.83%	200.72%
CTAGE4			1.16	-1.05	1.75	50.44%	266.32%
CHGB	1114	other	1.1	-1.06	1.75	58.81%	264.70%
PDLIM5	10611	other	-1.1	1.05	1.81	264.42%	71.98%
PPP1R2	5504	phosphatase	1.27	-1.05	1.73	35.73%	264.25%
LOC339047	339047	other	1.27	-1.07	1.76	38.36%	263.88%
TADA2L	6871	transcription regulator	1.03	-1.06	1.73	67.95%	263.79%
AL133018			1.17	-1.08	1.77	50.72%	263.34%
CITED4	163732	transcription regulator	1.17	-1.08	1.75	50.13%	262.39%
GPR89B	51463	other	-1.09	1.23	1.75	261.28%	42.32%
DDX60L	91351	other	-1.1	1.08	1.76	259.87%	62.77%
BC042589			1.28	1.17	-1.87	246.17%	259.22%
PLEKHA3	65977	other	1.24	-1.05	1.67	34.33%	258.78%
C16orf79	283870	enzyme	-1.1	1.2	-1.9	72.38%	258.37%
CITED4			1	-1.09	1.72	71.42%	257.16%
BC028842			1.1	1.29	3.9	255.64%	201.51%
CTAGE1	64693	other	1.05	-1.19	1.84	75.40%	254.95%
TRMT11	60487	other	1.09	-1.07	1.66	52.70%	254.20%
BC092421			1.1	-1.21	1.72	55.91%	241.73%
MPHOSPH8	54737	transcription regulator	1.42	1.23	-1.7	219.52%	238.15%
THC2697442			1.01	1.27	3.37	233.39%	165.40%
AK001118			1.1	1.53	3.64	231.10%	137.24%
A_32_P90468			1.29	1.48	4.22	227.21%	186.35%
THC2632909			-1.04	-1.05	-3.21	209.02%	205.32%
SLFNL1	200172	other	1.21	1.2	3.59	195.40%	198.91%
SLC25A21	89874	other	1.24	1.01	2.92	136.15%	190.15%
CR615261			1.48	1.42	3.96	166.71%	179.51%
KIAA0485	57235	other	1.39	1.15	3.12	124.17%	171.49%
THC2656802			1.79	1.41	3.66	104.24%	159.34%
GORASP2	26003	other	1.31	1.03	2.58	97.96%	152.03%
FRMD6	122786	other	1.13	1.28	2.74	142.73%	112.97%
RND2	8153	enzyme	1.3	1.16	2.77	113.45%	138.40%
VPS13B			1.04	1	2.39	129.14%	137.60%
SLC6A15	55117	transporter	1.03	1.1	2.44	137.11%	120.91%
A_32_P179646			1.45	1.16	2.72	86.73%	134.62%
RAB5A	5868	enzyme	1.43	1.04	2.36	64.66%	126.23%
EAF1	85403	transcription regulator	1.94	1.22	2.75	41.75%	125.17%
THC2526509			1.25	1.29	2.82	125.10%	118.11%
AK095300			-1.03	-1.09	-2.31	125.07%	112.83%
IL1A	3552	cytokine	1.53	1.08	2.42	57.70%	123.60%
THC2639056			1.48	1.25	2.78	88.59%	122.59%
AK124941			1.51	1.4	3	98.73%	113.87%
THC2652466			1.1	1.28	2.34	113.39%	82.63%
ADAM9	8754	peptidase	1.84	1.75	3.72	102.42%	113.15%
A_24_P915675			1.35	1.66	2.87	112.42%	72.92%
SERP1	27230	other	1.3	1.14	2.37	82.31%	108.50%
ATF2	1386	transcription regulator	1.42	1.22	2.54	79.56%	108.46%
THC2509244			1.25	1.41	2.61	108.13%	84.76%
PPP1CB	5500	phosphatase	1.62	1.42	2.9	79.69%	104.95%
A_32_P204565			1.48	1.6	3.02	104.43%	89.18%
GNA13	10672	enzyme	1.44	1.49	2.93	102.82%	96.39%
THC2651036			1.34	1.53	2.71	101.92%	77.06%
THC2476126			1.12	1.14	2.25	99.82%	97.58%
THC2639689			1.38	1.33	2.62	90.36%	96.73%
A_24_P256050			1.6	1.34	2.63	64.46%	96.17%
OCRL	4952	phosphatase	1.05	1.01	1.98	89.01%	95.15%
C4orf16	55435	other	1.31	1.21	2.37	80.16%	94.97%
LOC642897			1.21	1.04	2.02	66.89%	93.47%
MTMR6	9107	phosphatase	1.34	1.04	2.01	50.36%	92.64%
ANKHD1	54882	transcription regulator	1.39	1.22	2.35	69.06%	92.27%
BC047110			-1.15	-1.11	-2.14	86.60%	91.83%
GJA1	2697	transporter	2.29	1.72	3.29	43.53%	91.50%
BE855644			-1.29	-1.12	-2.14	65.92%	91.05%
AK022443			1.14	1.25	2.18	90.97%	73.79%
B4GALNT4	338707	enzyme	-1.14	-1	-1.91	67.90%	90.63%
NCOA7	135112	other	1.15	1.17	2.18	90.44%	86.36%
TP53	7157	transcription regulator	1.2	1.13	2.12	76.43%	87.22%
TWF1	5756	kinase	1.21	1.33	2.26	86.27%	69.28%
APBB3	10307	other	1.05	1.15	1.92	83.58%	66.58%
THC2683448			-1.11	-1.04	-1.9	71.20%	83.53%
SERINC2	347735	transporter	1.07	1.07	1.96	83.44%	82.26%
LMAN1	3998	other	1.18	1.31	2.15	82.82%	63.78%
SLC9A6	10479	transporter	1.47	1.55	2.68	82.06%	72.98%
CEP68	23177	other	-1.01	-1.08	-1.82	80.10%	68.81%
ZDHHC13	54503	transcription regulator	1.24	1.46	2.21	78.03%	50.78%
DKFZP564C152	26120	other	-1.19	-1.08	-1.92	61.77%	77.23%
SFXN4	119559	transporter	1.15	1.08	1.92	67.01%	77.09%
TRIM23	373	enzyme	1.18	1.08	1.9	61.21%	76.72%
BC030138			1.14	1.23	2	76.11%	62.88%
ROCK1	6093	kinase	1.49	1.2	2.12	42.41%	76.02%
AK098597			-1.06	-1.05	-1.84	74.58%	74.99%
TAF9B	51616	transcription regulator	1.03	1.26	1.81	74.92%	43.02%
AV736006			1.09	1.33	1.9	74.53%	42.95%
PLAA	9373	other	1.22	1.25	2.11	73.74%	68.71%
SLC37A3	84255	transporter	1.72	1.31	2.26	31.44%	73.30%
CAPRIN1	4076	other	1.23	1.11	1.92	55.46%	73.02%
APPBP2	10513	other	1.39	1.18	2.03	46.77%	72.66%
GMCL1	64395	other	1.17	1.43	2.02	72.55%	41.82%
LOC391540			1.55	1.47	2.53	63.47%	72.43%
PIF1	80119	enzyme	-1.18	-1.11	-1.89	59.76%	70.92%
VPS13B			1.1	1.05	1.79	63.09%	69.58%
CPNE8	144402	other	1.37	1.57	2.31	69.10%	47.23%
SAFB	6294	other	-1.07	-1.01	-1.7	59.50%	68.72%
PCYOX1	51449	enzyme	-1.09	-1.03	-1.73	58.56%	68.68%
PSMD5	5711	other	1.32	1.26	2.12	59.97%	68.29%
A_24_P349428			1.42	1.07	1.8	26.92%	68.21%
RRN3	54700	transcription regulator	1.12	1.11	1.85	65.26%	66.69%
USP10	9100	peptidase	1.49	1.21	2.02	35.72%	66.57%
WDR82	80335	other	-1.1	-1.04	-1.73	56.52%	66.55%
VPS24	51652	other	1.21	1.1	1.82	51.07%	66.42%
FARP2	9855	other	-1.24	-1.21	-2.01	62.02%	65.94%
MSI2	124540	other	1.05	1.11	1.74	65.89%	57.39%
TMEM123	114908	other	1.24	1.11	1.82	46.45%	63.76%
BX107298			-1.04	-1.1	-1.7	63.30%	55.35%
LOC728836	728836	other	1.32	1.29	2.1	59.38%	62.63%
FLJ23556	79938	other	1.36	1.37	2.21	61.59%	61.45%
PML	5371	transcription regulator	1.12	1.04	1.67	49.83%	61.45%
CTNND1	1500	other	1.24	1.2	1.93	55.97%	60.81%
MET	4233	kinase	1.19	1.52	1.88	58.70%	23.45%
C6orf66	29078	other	-1.06	-1.06	-1.67	58.04%	58.51%
RRN3			1.12	1.09	1.72	54.25%	58.29%
HSD17B12	51144	enzyme	1.43	1.31	2.08	45.54%	58.18%
ZNF146	7705	other	1.45	1.33	2.1	44.81%	57.91%
AIDA	64853	other	1.32	1.19	1.88	41.98%	57.67%
THC2728570			2.9	2.25	3.53	21.70%	56.78%
A_24_P622697			1.41	1.23	1.93	36.91%	56.67%
C14orf45	80127	other	1.12	1.11	1.74	55.72%	56.49%
YES1	7525	kinase	1.19	1.18	1.83	53.16%	55.59%
BMI1	648	transcription regulator	1.05	1.09	1.64	55.58%	50.22%
TTC7B	145567	other	1.32	1.15	1.79	35.99%	55.27%
TMED2	10959	transporter	1.21	1.2	1.79	47.89%	49.39%
ATRX	546	transcription regulator	1.31	1.18	1.75	33.71%	48.56%
AV702101			2.24	2.29	3.26	45.38%	42.33%
BZW1	9689	translation regulator	1.31	1.23	1.79	36.29%	45.12%
CAV2	858	other	1.34	1.21	1.75	30.62%	44.09%
JAK1	3716	kinase	1.29	1.23	1.78	38.25%	44.08%
RRN3			1.27	1.18	1.68	32.53%	41.98%
PTGES3	10728	enzyme	1.45	1.47	1.99	37.39%	35.46%
