Probe Set ID	Gene	Ratio	95% Conf. Interval min	95% Conf. Interval max
203820_s_at	IMP-3	5.73	2.43	13.51
201275_at	FDPS	5.61	3.56	8.85
213577_at	SQLE	5.53	2.36	12.96
203214_x_at	CDC2	5.52	2.22	13.69
211019_s_at	LSS	5.43	2.77	10.63
205167_s_at	CDC25C	5.42	2.11	13.96
209146_at	SC4MOL	5.39	2.65	10.98
210973_s_at	FGFR1	5.35	1.92	14.9
201301_s_at	ANXA4	5.34	2.79	10.21
204857_at	MAD1L1	5.26	2.11	13.12
207469_s_at	PIR	5.16	2.01	13.26
212282_at	MAC30	5.08	2.96	8.72
202314_at	CYP51A1	5.06	3.46	7.4
204825_at	MELK	5.05	2.51	10.17
31845_at	ELF4	5.04	2.6	9.77
214285_at	FABP3	4.96	2.45	10.04
212281_s_at	MAC30	4.94	3.14	7.76
203358_s_at	EZH2	4.79	2.33	9.86
221436_s_at	CDCA3	4.75	2.93	7.7
211964_at	COL4A2	4.74	2.45	9.2
205738_s_at	FABP3	4.72	2.13	10.49
217784_at	YKT6	4.71	2.8	7.93
218741_at	C22orf18	4.69	2.67	8.21
205822_s_at	HMGCS1	4.58	2.8	7.5
204579_at	FGFR4	4.56	2.52	8.24
204182_s_at	ZNF297B	4.51	2.75	7.4
204092_s_at	STK6	4.45	2.1	9.42
202539_s_at	HMGCR	4.38	2.23	8.61
217776_at	RDH11	4.3	3.03	6.1
214651_s_at	HOXA9	4.11	1.8	9.36
212279_at	MAC30	4.07	2.65	6.27
210141_s_at	INHA	4.07	2.67	6.2
219148_at	TOPK	4.04	2.39	6.83
204199_at	RALGPS1	4.02	1.93	8.38
212702_s_at	BICD2	3.96	1.83	8.57
221849_s_at	LOC90379	3.93	1.78	8.7
210950_s_at	FDFT1	3.83	2.55	5.77
203210_s_at	RFC5	3.81	1.77	8.21
218564_at	FLJ10520	3.78	1.61	8.86
202245_at	LSS	3.77	2.47	5.76
215714_s_at	SMARCA4	3.75	1.74	8.08
203957_at	E2F6	3.7	2.02	6.79
204720_s_at	DNAJC6	3.59	2.12	6.07
213787_s_at	EBP	3.53	1.89	6.61
204203_at	CEBPG	3.52	1.3	9.48
202540_s_at	HMGCR	3.5	2.03	6.05
217188_s_at	C14orf1	3.5	1.78	6.86
219880_at	FLJ23053	3.46	1.77	6.77
220363_s_at	ELMO2	3.45	2.12	5.63
203594_at	RTCD1	3.45	2.4	4.95
205904_at	MICA	3.43	2.14	5.52
218705_s_at	SNX24	3.43	2.16	5.47
208647_at	FDFT1	3.43	2.24	5.26
204831_at	CDK8	3.38	2.23	5.12
204204_at	SLC31A2	3.38	2.06	5.53
222077_s_at	RACGAP1	3.37	2.32	4.9
201128_s_at	ACLY	3.35	2.44	4.6
201393_s_at	IGF2R	3.32	2.39	4.62
204458_at	LYPLA3	3.3	1.55	7
213523_at	CCNE1	3.29	2.16	5.03
205905_s_at	MICA /// MICB	3.29	2.17	4.97
203755_at	BUB1B	3.28	1.81	5.92
218567_x_at	DPP3	3.27	2.15	4.97
209900_s_at	SLC16A1	3.26	1.65	6.44
208822_s_at	DAP3	3.26	1.67	6.34
213911_s_at	H2AFZ	3.24	2.27	4.63
203560_at	GGH	3.22	2.04	5.08
209098_s_at	JAG1	3.22	2.2	4.7
220060_s_at	FLJ20641	3.18	1.08	9.37
214283_at	MAC30	3.16	2.06	4.85
202805_s_at	ABCC1	3.15	1.53	6.49
200832_s_at	SCD	3.13	1.75	5.6
217789_at	SNX6	3.12	1.35	7.21
222250_s_at	DKFZP434B168	3.1	1.65	5.83
201791_s_at	DHCR7	3.09	1.91	5.01
218350_s_at	GMNN	3.05	2.24	4.16
214710_s_at	CCNB1	3.05	1.78	5.22
203975_s_at	CHAF1A	3.04	1.85	4.97
208936_x_at	LGALS8	3.03	1.82	5.04
204026_s_at	ZWINT	3.02	2.2	4.13
200853_at	H2AFZ	3.01	1.94	4.68
203554_x_at	PTTG1	3.01	2.04	4.45
202562_s_at	C14orf1	2.97	1.83	4.83
207121_s_at	MAPK6	2.96	1.38	6.35
204766_s_at	NUDT1	2.93	1.85	4.66
52285_f_at	C18orf9	2.84	1.44	5.6
203625_x_at	SKP2	2.83	2.05	3.91
211423_s_at	SC5DL	2.83	2.15	3.72
208808_s_at	HMGB2	2.83	1.88	4.24
201410_at	PLEKHB2	2.77	2.04	3.78
208864_s_at	TXN	2.77	2.04	3.77
203184_at	FBN2	2.77	1.53	5
201458_s_at	BUB3	2.77	2.03	3.77
217297_s_at	MYO9B	2.77	1.66	4.6
202107_s_at	MCM2	2.75	1.83	4.12
202737_s_at	LSM4	2.75	2.08	3.62
202557_at	STCH	2.73	1.79	4.15
201764_at	MGC5576	2.72	1.61	4.58
206364_at	KIF14	2.71	1.86	3.95
204256_at	ELOVL6	2.71	1.96	3.74
202260_s_at	STXBP1	2.7	1.94	3.75
201664_at	SMC4L1	2.69	1.93	3.74
203347_s_at	M96	2.68	1.41	5.08
203725_at	GADD45A	2.67	1.69	4.24
209172_s_at	CENPF	2.67	1.92	3.73
206055_s_at	SNRPA1	2.67	1.74	4.11
202129_s_at	RIOK3	2.67	1.37	5.21
203432_at	TMPO	2.65	1.85	3.79
215952_s_at	OAZ1	2.65	1.68	4.16
201584_s_at	DDX39	2.64	2	3.5
201532_at	PSMA3	2.63	1.86	3.72
218260_at	PCIA1	2.62	1.94	3.53
209760_at	KIAA0922	2.61	1.5	4.52
204342_at	SLC25A24	2.6	1.35	5.02
202644_s_at	TNFAIP3	2.59	1.65	4.05
200843_s_at	EPRS	2.54	1.82	3.54
200665_s_at	SPARC	2.53	1.9	3.38
201920_at	SLC20A1	2.53	1.6	4
203390_s_at	KIF3C	2.51	1.5	4.2
200786_at	PSMB7	2.51	1.87	3.36
202715_at	CAD	2.5	1.53	4.07
208737_at	ATP6V1G1	2.49	1.83	3.37
222011_s_at	TCP1	2.47	1.77	3.43
201697_s_at	DNMT1	2.46	1.89	3.21
204208_at	RNGTT	2.45	1.37	4.38
202733_at	P4HA2	2.45	1.42	4.21
208654_s_at	CD164	2.45	1.55	3.85
201392_s_at	IGF2R	2.44	1.67	3.55
202800_at	SLC1A3	2.43	1.56	3.8
213453_x_at	GAPD	2.41	1.96	2.97
202804_at	ABCC1	2.41	1.86	3.12
209408_at	KIF2C	2.4	1.68	3.43
217775_s_at	RDH11	2.4	1.67	3.43
91952_at	LOC90379	2.38	1.46	3.86
222039_at	LOC146909	2.37	1.53	3.7
219105_x_at	ORC6L	2.36	1.61	3.46
202635_s_at	POLR2K	2.36	1.86	3
208002_s_at	BACH	2.35	1.16	4.76
218953_s_at	MGC3265	2.34	1.67	3.29
38158_at	ESPL1	2.34	1.52	3.59
220948_s_at	ATP1A1	2.33	1.72	3.16
201060_x_at	STOM	2.32	1.68	3.21
217398_x_at	GAPD	2.32	2	2.69
212038_s_at	VDAC1	2.31	1.87	2.85
220935_s_at	CDK5RAP2	2.31	1.53	3.49
206340_at	NR1H4	2.31	1.59	3.34
202783_at	NNT	2.3	1.52	3.47
214550_s_at	TNPO3	2.29	1.14	4.59
209711_at	SLC35D1	2.29	1.75	3
216977_x_at	SNRPA1	2.24	1.71	2.93
220925_at	MAK10	2.23	1.73	2.88
209707_at	PIGK	2.23	1.2	4.12
220161_s_at	EPB41L4B	2.22	1.76	2.81
213119_at	SLC36A1	2.21	1.39	3.52
208918_s_at	FLJ13052	2.21	1.72	2.83
212639_x_at	TUBA3 /// K-ALPHA-1	2.19	1.77	2.73
210968_s_at	RTN4	2.19	1.54	3.1
220966_x_at	ARPC5L	2.19	1.7	2.81
201609_x_at	ICMT	2.18	1.85	2.58
213476_x_at	TUBB4	2.18	1.5	3.16
218244_at	NOL8	2.17	1.65	2.87
218011_at	---	2.17	1.63	2.87
212623_at	KIAA0033	2.17	1.59	2.96
201411_s_at	PLEKHB2	2.15	1.33	3.47
207627_s_at	TFCP2	2.15	1.33	3.47
201222_s_at	RAD23B	2.15	1.42	3.25
208828_at	POLE3	2.15	1.66	2.78
201420_s_at	MEP50	2.14	1.54	2.99
36907_at	MVK	2.14	1.72	2.66
212635_at	TNPO1	2.13	1.64	2.76
220081_x_at	HSD17B7	2.12	1.51	2.99
204784_s_at	MLF1	2.12	1.51	2.97
220094_s_at	C6orf79	2.11	1.45	3.08
217907_at	MRPL18	2.1	1.66	2.66
209103_s_at	UFD1L	2.1	1.63	2.69
211042_x_at	MCAM	2.1	1.61	2.72
202647_s_at	NRAS	2.1	1.34	3.28
201327_s_at	CCT6A	2.1	1.64	2.67
219178_at	QTRTD1	2.09	1.67	2.62
212888_at	DICER1	2.09	1.55	2.81
201745_at	PTK9	2.08	1.71	2.53
213241_at	PLXNC1	2.07	1.48	2.89
212276_at	LPIN1	2.06	1.46	2.91
201760_s_at	WSB2	2.05	1.65	2.55
219933_at	GLRX2	2.05	1.59	2.66
203825_at	BRD3	2.05	1.5	2.8
208926_at	NEU1	2.05	1.34	3.12
209251_x_at	TUBA6	2.04	1.67	2.5
205888_s_at	KIAA0555	2.04	1.49	2.81
220200_s_at	SET8	2.04	1.39	3
200666_s_at	DNAJB1	2.04	1.58	2.63
202892_at	CDC23	2.04	1.73	2.41
220642_x_at	GPR89	2.03	1.61	2.57
202154_x_at	TUBB4	2.03	1.47	2.82
202128_at	KIAA0317	2.03	1.43	2.88
200713_s_at	MAPRE1	2.03	1.58	2.6
202939_at	ZMPSTE24	2.03	1.63	2.52
211750_x_at	TUBA6	2.03	1.59	2.58
208726_s_at	EIF2S2	2.03	1.43	2.88
201769_at	ENTH	2.02	1.46	2.8
218447_at	DC13	2.02	1.64	2.49
208977_x_at	TUBB2	2.02	1.48	2.75
200681_at	GLO1	2.02	1.55	2.62
201127_s_at	ACLY	2.01	1.49	2.72
213671_s_at	MARS	2.01	1.55	2.62
201264_at	COPE	2.01	1.37	2.95
202277_at	SPTLC1	2	1.67	2.41
221918_at	PCTK2	2	1.38	2.91
208839_s_at	TIP120A	2	1.41	2.84
211747_s_at	LSM5	2	1.57	2.54
200069_at	---	1.98	1.43	2.73
202976_s_at	RHOBTB3	1.97	1.2	3.25
201068_s_at	PSMC2	1.97	1.53	2.53
211072_x_at	K-ALPHA-1	1.96	1.58	2.42
200078_s_at	ATP6V0B	1.96	1.48	2.59
202346_at	HIP2	1.95	1.59	2.38
201456_s_at	BUB3	1.94	1.62	2.34
202975_s_at	RHOBTB3	1.94	1.4	2.69
201457_x_at	BUB3	1.94	1.39	2.69
209096_at	UBE2V2	1.94	1.46	2.57
205588_s_at	FGFR1OP	1.93	1.2	3.11
211928_at	DNCH1	1.93	1.47	2.53
204744_s_at	IARS	1.92	1.53	2.42
200932_s_at	DCTN2	1.92	1.5	2.46
201326_at	CCT6A	1.92	1.54	2.38
209226_s_at	TNPO1	1.91	1.61	2.27
212495_at	JMJD2B	1.91	1.43	2.54
201209_at	HDAC1	1.91	1.58	2.3
221502_at	KPNA3	1.9	1.43	2.53
212219_at	PSME4	1.9	1.39	2.6
209657_s_at	HSF2	1.89	1.44	2.49
212112_s_at	STX12	1.89	1.4	2.55
201991_s_at	KIF5B	1.88	1.52	2.33
201231_s_at	ENO1	1.88	1.43	2.48
212160_at	XPOT	1.87	1.39	2.53
201330_at	RARS	1.87	1.43	2.46
203743_s_at	TDG	1.87	1.41	2.48
221751_at	PANK3	1.86	1.45	2.38
208374_s_at	CAPZA1	1.86	1.52	2.27
203345_s_at	M96	1.85	1.45	2.37
212581_x_at	GAPD	1.85	1.58	2.16
201671_x_at	USP14	1.83	1.39	2.41
207157_s_at	GNG5	1.83	1.49	2.24
208757_at	HSGP25L2G	1.82	1.34	2.46
211378_x_at	PPIA	1.81	1.5	2.19
206061_s_at	DICER1	1.81	1.45	2.27
65086_at	MGC3262	1.81	1.16	2.82
212296_at	PSMD14	1.81	1.5	2.18
209015_s_at	DNAJB6	1.8	1.47	2.21
218140_x_at	SRPRB	1.8	1.44	2.26
201293_x_at	PPIA	1.8	1.5	2.15
203429_s_at	C1orf9	1.8	1.27	2.54
203008_x_at	TXNDC9	1.79	1.37	2.34
209234_at	KIF1B	1.79	1.34	2.38
218329_at	PRDM4	1.79	1.34	2.37
212661_x_at	PPIA	1.78	1.53	2.08
200011_s_at	ARF3	1.78	1.33	2.38
211765_x_at	PPIA	1.78	1.46	2.17
213646_x_at	K-ALPHA-1	1.77	1.47	2.15
211058_x_at	K-ALPHA-1	1.77	1.42	2.21
208736_at	ARPC3	1.77	1.38	2.27
200729_s_at	ACTR2	1.77	1.36	2.3
214629_x_at	RTN4	1.76	1.4	2.2
221711_s_at	HSPC142	1.75	1.4	2.19
213720_s_at	SMARCA4	1.75	1.39	2.2
210417_s_at	PIK4CB	1.75	1.41	2.16
209537_at	EXTL2	1.75	1.26	2.41
211978_x_at	PPIA	1.74	1.47	2.07
210216_x_at	RAD1	1.74	1.23	2.46
44696_at	TBC1D13	1.72	1.4	2.1
201699_at	PSMC6	1.71	1.36	2.15
202168_at	TAF9	1.7	1.27	2.27
201216_at	C12orf8	1.7	1.37	2.11
212798_s_at	ANKMY2	1.69	1.37	2.1
201223_s_at	RAD23B	1.69	1.38	2.06
208775_at	XPO1	1.68	1.24	2.29
51176_at	CRSP8	1.67	1.34	2.08
201475_x_at	MARS	1.66	1.3	2.12
217743_s_at	TMEM30A	1.66	1.34	2.06
210849_s_at	VPS41	1.66	1.24	2.21
208777_s_at	PSMD11	1.65	1.36	2
212802_s_at	DKFZP434C212	1.65	1.38	1.97
218842_at	FLJ21908	1.63	1.33	2
201379_s_at	TPD52L2	1.62	1.32	1.98
216988_s_at	PTP4A2	1.62	1.28	2.04
202163_s_at	CNOT8	1.6	1.21	2.12
217809_at	BZW2	1.6	1.31	1.95
208773_s_at	ANKHD1 /// MASK-BP3	1.58	1.27	1.98
202596_at	ENSA	1.57	1.31	1.88
218520_at	TBK1	1.57	1.28	1.91
201725_at	C10orf7	1.55	1.28	1.87
204488_at	TMEM15	1.54	1.2	1.97
203677_s_at	TARBP2	1.53	1.2	1.95
211946_s_at	XTP2	1.52	1.33	1.72
212356_at	KIAA0323	1.51	1.15	1.99
213399_x_at	RPN2	1.5	1.33	1.68
200077_s_at	OAZ1	1.49	1.3	1.71
201863_at	FAM32A	1.49	1.26	1.76
219035_s_at	RNF34	1.47	1.19	1.83
218052_s_at	ATP13A	1.4	1.19	1.65
209390_at	TSC1	1.35	1.15	1.59
211982_x_at	XPO6	1.35	1.19	1.52
