Genbank ID	Gene Title	Gene Symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos FC ± SEM	Gene sequence
NM_019467	allograft inflammatory factor 1	Aif1	N.C.	N.C.	-1.8 ± 0.4	N.C.	16
BB525437	Dendritic cell protein GA17	Ga17	N.C.	-2.0 ± 0.4	N.C.	N.C.	176
AW494220	macrophage galactose N-acetyl-galactosamine specific lectin 2	Mgl2	N.C.	N.C.	-1.7 ± 0.4	-1.7 ± 0.3	490
BB039211	C1q and tumor necrosis factor related protein 7	C1qtnf7	-1.5 ± 0.4	N.C.	N.C.	N.C.	534
BB035924	C-type lectin domain family 1, member a	Clec1a	-3.8 ± 0.4	N.C.	N.C.	-2.0 ± 0.4	530
BB543291	Chemokine (C-C motif) receptor-like 1	Ccrl1	-1.7 ± 0.4	N.C.	N.C.	N.C.	731
BB822862	PREDICTED: histocompatibility 60 [Mus musculus], mRNA sequence	H60	N.C.	N.C.	-1.5 ± 0.4	N.C.	785
BC011474	lymphocyte protein tyrosine kinase	Lck	N.C.	N.C.	-1.9 ± 0.4	N.C.	786
BF318589	complement receptor related protein	Crry	-1.7 ± 0.4	N.C.	N.C.	N.C.	829
NM_007768	C-reactive protein, pentraxin-related	Crp	N.C.	-2.9 ± 0.4	N.C.	N.C.	1041
NM_010819	C-type lectin domain family 4, member d	Clec4d	N.C.	-2.0 ± 0.4	N.C.	N.C.	1034
NM_054084	calcitonin-related polypeptide, beta	Calcb	N.C.	-2.1 ± 0.4	N.C.	N.C.	1054
BC016551	macrophage scavenger receptor 2	Msr2	N.C.	-1.5 ± 0.4	N.C.	N.C.	1121
AF146523	receptor (calcitonin) activity modifying protein 2	Ramp2	-3.8 ± 0.5	N.C.	N.C.	N.C.	1184
AF252873	chemokine (C-X-C motif) ligand 14	Cxcl14	N.C.	N.C.	-1.7 ± 0.5	-2.0 ± 0.5	1193
BB528408	mannose receptor, C type 2	Mrc2	N.C.	N.C.	-1.6 ± 0.4	-1.7 ± 0.4	1445
AK014135	C-type lectin domain family 4, member a3	Clec4a3	-2.2 ± 0.4	N.C.	N.C.	N.C.	1320
AK017979	CD69 antigen	Cd69	N.C.	N.C.	-2.1 ± 0.4	N.C.	1344
AY047360	chemokine-like factor	Cklf	-1.6 ± 0.4	N.C.	N.C.	N.C.	1409
BC011116	mannose-6-phosphate receptor binding protein 1	M6prbp1	-1.6 ± 0.4	N.C.	N.C.	N.C.	1509
BC019402	CD37 antigen	Cd37	N.C.	N.C.	-3.3 ± 0.4	-2.3 ± 0.5	1546
BC027283	CD177 antigen	Cd177	N.C.	N.C.	-1.5 ± 0.3	N.C.	1612
BE634960	CD48 antigen	Cd48	-2.0 ± 0.4	N.C.	-1.6 ± 0.3	-1.5 ± 0.4	1632
BG063249	chemokine-like factor super family 8	Cklfsf8	-1.7 ± 0.4	N.C.	N.C.	-1.5 ± 0.4	1654
NM_007646	CD38 antigen	Cd38	-2.2 ± 0.4	N.C.	-1.5 ± 0.4	-1.7 ± 0.4	1732
NM_007651	CD53 antigen	Cd53	N.C.	N.C.	-1.6 ± 0.4	N.C.	1733
NM_008677	neutrophil cytosolic factor 4	Ncf4	N.C.	N.C.	-1.6 ± 0.4	N.C.	1755
NM_009844	CD19 antigen	Cd19	N.C.	N.C.	-23.9 ± 0.5	N.C.	1781
NM_009856	CD83 antigen	Cd83	N.C.	N.C.	-1.7 ± 0.4	-1.7 ± 0.4	1782
NM_021893	CD274 antigen	Cd274	N.C.	N.C.	N.C.	-1.5 ± 0.4	1851
NM_022429	membrane-spanning 4-domains, subfamily A, member 4C	Ms4a4c	-4.6 ± 0.4	N.C.	-4.3 ± 0.4	-2.6 ± 0.5	1853
NM_024217	chemokine-like factor super family 3	Cklfsf3	-1.6 ± 0.4	N.C.	-1.5 ± 0.3	N.C.	1863
NM_025809	C-type lectin domain family 14, member a	Clec14a	-2.7 ± 0.4	N.C.	N.C.	N.C.	1876
NM_021365	X-linked lymphocyte-regulated 4B /// X-linked lymphocyte-regulated 4A	Xlr4b /// Xlr4a	N.C.	N.C.	-1.7 ± 0.4	N.C.	1846
NM_013869	tumor necrosis factor receptor superfamily, member 19	Tnfrsf19	-2.6 ± 0.4	N.C.	-1.6 ± 0.4	N.C.	1822
NM_013706	CD52 antigen	Cd52	-1.8 ± 0.4	N.C.	-2.7 ± 0.4	-1.5 ± 0.4	1821
NM_023785	chemokine (C-X-C motif) ligand 7	Cxcl7	N.C.	N.C.	-2.0 ± 0.5	N.C.	1860
NM_133978	chemokine-like factor super family 7	Cklfsf7	N.C.	N.C.	-1.6 ± 0.4	N.C.	1929
AF244979	lectin, galactose binding, soluble 12	Lgals12	-2.1 ± 0.5	N.C.	N.C.	N.C.	15
U34882	CD8 antigen, beta chain 1	Cd8b1	N.C.	N.C.	-2.8 ± 0.5	N.C.	1944
U72644	leukocyte specific transcript 1	Lst1	-1.9 ± 0.4	N.C.	-2.1 ± 0.4	N.C.	1945
U95921	T-cell receptor alpha chain /// RIKEN cDNA A430107P09 gene /// similar to T-CELL RECEPTOR ALPHA CHAIN C REGION /// similar to T-cell receptor alpha-chain precursor	Tcra /// A430107P09Rik /// LOC545051 /// LOC547333	N.C.	N.C.	-2.1 ± 0.4	N.C.	1946
X01134	T-cell receptor alpha chain /// RIKEN cDNA A430107P09 gene /// similar to T-CELL RECEPTOR ALPHA CHAIN C REGION	Tcra /// A430107P09Rik /// LOC545051	N.C.	N.C.	-1.9 ± 0.4	N.C.	1947
NM_010583	IL2-inducible T-cell kinase	Itk	N.C.	N.C.	-1.5 ± 0.4	N.C.	1793
NM_011579	T-cell specific GTPase	Tgtp	-2.2 ± 0.4	N.C.	N.C.	N.C.	1804
BB622792	T cell receptor associated transmembrane adaptor 1	Trat1	N.C.	-2.9 ± 0.4	N.C.	N.C.	1077
BB469300	T-cell activation kelch repeat protein		-2.0 ± 0.4	N.C.	N.C.	N.C.	704
U07662	T-cell receptor alpha chain /// RIKEN cDNA A430107P09 gene	Tcra /// A430107P09Rik	N.C.	N.C.	-1.7 ± 0.4	N.C.	1942
BM243643	TCR alpha C=T cell receptor alpha {Alternatively Spliced, C region} [mice, DBA/2J, kidney, Genomic/mRNA, 180 nt]	Tcra	N.C.	N.C.	-1.9 ± 0.4	N.C.	958
BB155992	triggering receptor expressed on myeloid cells-like 2	Treml2	N.C.	N.C.	-1.8 ± 0.4	N.C.	587
BB734586	Histocompatibility 2, class II, locus Mb1	H2-DMb1	N.C.	N.C.	N.C.	-1.6 ± 0.4	752
NM_010382	histocompatibility 2, class II antigen E beta	H2-Eb1	N.C.	N.C.	-1.5 ± 0.4	N.C.	1787
NM_010388	histocompatibility 2, class II, locus Mb2	H2-DMb2	N.C.	N.C.	-2.2 ± 0.4	N.C.	1788
BB219290	Fc receptor-like mucin-like 1	Fcrlm1	N.C.	N.C.	-3.2 ± 0.4	N.C.	611
L22338	histocompatibility 2, T region locus 24	H2-T24	-1.8 ± 0.4	N.C.	N.C.	N.C.	29
NM_008206	histocompatibility 2, O region alpha locus	H2-Oa	N.C.	N.C.	-1.8 ± 0.4	N.C.	1740
