UniGene ID	Entrez Gene	Gene Symbol	Entrez Definition	EGR1 16 h	CV16h	EGR1 24 h	CV24h	EGR1 48 h	CV 48h
Hs.333383	8547	FCN3	ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen)	4,6	1,7	5,1	0,5	4,4	1,6
Hs.257511	54852	MPRG	membrane progestin receptor gamma	4,7	2	5,1	0,1	4,8	3,7
Hs.28391	NA	NA	CDNA FLJ37384 fis, clone BRAMY2026347	4,2	0,5	5,1	3,3	7,3	1,1
Hs.184640	745	C11orf9	chromosome 11 open reading frame 9	4,5	1	5,1	1,3	6,7	2,2
NA	29034	PRO0132	PRO0132 protein	0,1	0,1	5,1	2,7	-0,1	0
Hs.125504	92270	LOC92270	hypothetical protein LOC92270	5,2	-0,1	5,1	0,2	4,1	3,7
Hs.445574	NA	NA	Transcribed sequence with weak similarity to protein pir:I37984 (H.sapiens)	5,5	0,4	5,1	0,4	4,6	0,4
Hs.135121	79827	ASAM	adipocyte-specific adhesion molecule	4,2	0,4	5,1	0,4	3,8	0
Hs.441202	2675	GFRA2	GDNF family receptor alpha 2	3,8	0,2	5,1	0,6	7,6	0
Hs.86092	85366	MYLK2	myosin light chain kinase 2, skeletal muscle	4,9	0,1	5,1	0,4	4,6	0,2
Hs.98381	167681	C6orf158	chromosome 6 open reading frame 158	3,6	3,5	5,1	0,8	3,5	2,8
Hs.374579	201501	NA	CDNA FLJ37907 fis, clone COLON2009337	3,1	0	5,1	-0,1	4,6	0
